frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.230053,10.875194,1.834586
0,2,chest,1.315817,28.604874,2.146031
0,3,neck,-5.677310,56.786293,4.790028
0,4,head,-9.229966,69.793278,7.233922
0,5,hair,-6.942224,85.037616,7.692856
0,7,zero_joint_hand_l,1.315817,28.604874,2.146031
0,8,clavicle_l,-6.867375,52.135305,3.833957
0,9,arm_l,-20.003930,46.831603,-8.014942
0,10,forearm_l,-27.983006,21.012464,-18.406757
0,11,forearm_twist_l,-37.071030,17.022078,-11.774369
0,12,hand_l,-46.714613,12.798630,-4.749804
0,13,weapon_l,1.466034,18.782679,34.554759
0,14,f_big1_l,-49.643552,12.812468,0.715626
0,15,f_big2_l,-51.486335,14.536183,3.914409
0,16,f_big3_l,-53.203672,16.331427,7.731874
0,17,f_main1_l,-57.817198,10.356755,-4.077279
0,18,f_main2_l,-61.385415,7.765951,-2.101402
0,19,f_main3_l,-65.321852,6.230581,-0.349094
0,20,f_pointer1_l,-57.544299,12.951881,0.547334
0,21,f_pointer2_l,-61.685325,11.264268,1.392006
0,22,f_pointer3_l,-64.643573,9.660029,2.272493
0,23,scapular_l,-18.722357,54.613374,-6.586804
0,24,chest_l,-18.119591,32.201972,10.453061
0,25,zero_joint_hand_r,1.315865,28.604712,2.146007
0,26,clavicle_r,-3.704028,52.664967,6.550520
0,27,arm_r,12.216737,52.563319,15.910736
0,28,forearm_r,30.484467,32.808226,26.602310
0,29,forearm_twist_r,20.199085,27.919050,30.181527
0,30,hand_r,9.296663,22.739323,33.987886
0,31,weapon_r,1.469319,18.787347,34.537524
0,32,f_big1_r,3.394951,24.181357,32.422343
0,33,f_big2_r,-0.208034,23.053604,30.710977
0,34,f_big3_r,-1.689037,18.607196,30.535588
0,35,f_main1_r,0.580140,16.881288,38.220275
0,36,f_main2_r,0.467449,16.000538,33.569907
0,37,f_main3_r,3.477374,18.711798,31.747559
0,38,f_pointer1_r,-2.319524,21.146453,36.988479
0,39,f_pointer2_r,-3.536485,18.524082,33.438540
0,40,f_pointer3_r,-1.136391,20.193338,31.549801
0,41,scapular_r,8.919818,59.487205,13.592913
0,42,chest_r,-4.848686,34.424416,21.838906
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-8.347402,1.118617,-3.726068
0,45,calf_l,-42.248958,-31.280561,10.699834
0,46,foot_l,-46.326868,-68.631942,-6.018738
0,47,toe_l,-59.244095,-78.507683,6.739816
0,48,back_l,-3.498088,-3.269341,-12.829284
0,51,zero_joint_pelvis_r,-0.000042,-0.000295,0.000006
0,52,thigh_r,6.923836,-0.847802,6.013002
0,53,calf_r,25.697906,-38.589694,31.117042
0,54,foot_r,28.257058,-68.804889,3.336502
0,55,toe_r,35.023443,-78.842341,20.088556
0,56,back_r,12.322802,-5.306352,-2.740253
0,57,biceps_twist_l,-23.836711,34.422907,-13.008455
0,58,biceps_twist_r,20.996193,43.070230,21.049172
0,59,thigh_twist_l,-20.763945,-11.300748,1.163749
0,60,thigh_twist_r,13.928161,-15.200057,14.803476
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.230053,10.875194,1.834586
1,2,chest,1.315817,28.604874,2.146031
1,3,neck,-5.677310,56.786293,4.790028
1,4,head,-9.229966,69.793278,7.233922
1,5,hair,-6.942224,85.037616,7.692856
1,7,zero_joint_hand_l,1.315817,28.604874,2.146031
1,8,clavicle_l,-6.867375,52.135305,3.833957
1,9,arm_l,-20.003930,46.831603,-8.014942
1,10,forearm_l,-27.983006,21.012464,-18.406757
1,11,forearm_twist_l,-37.071030,17.022078,-11.774369
1,12,hand_l,-46.714613,12.798630,-4.749804
1,13,weapon_l,1.466034,18.782679,34.554759
1,14,f_big1_l,-49.643552,12.812468,0.715626
1,15,f_big2_l,-51.486335,14.536183,3.914409
1,16,f_big3_l,-53.203672,16.331427,7.731874
1,17,f_main1_l,-57.817198,10.356755,-4.077279
1,18,f_main2_l,-61.385415,7.765951,-2.101402
1,19,f_main3_l,-65.321852,6.230581,-0.349094
1,20,f_pointer1_l,-57.544299,12.951881,0.547334
1,21,f_pointer2_l,-61.685325,11.264268,1.392006
1,22,f_pointer3_l,-64.643573,9.660029,2.272493
1,23,scapular_l,-18.722357,54.613374,-6.586804
1,24,chest_l,-18.119591,32.201972,10.453061
1,25,zero_joint_hand_r,1.315865,28.604712,2.146007
1,26,clavicle_r,-3.704028,52.664967,6.550520
1,27,arm_r,12.216737,52.563319,15.910736
1,28,forearm_r,30.484467,32.808226,26.602310
1,29,forearm_twist_r,20.199085,27.919050,30.181527
1,30,hand_r,9.296663,22.739323,33.987886
1,31,weapon_r,1.469319,18.787347,34.537524
1,32,f_big1_r,3.394951,24.181357,32.422343
1,33,f_big2_r,-0.208034,23.053604,30.710977
1,34,f_big3_r,-1.689037,18.607196,30.535588
1,35,f_main1_r,0.580140,16.881288,38.220275
1,36,f_main2_r,0.467449,16.000538,33.569907
1,37,f_main3_r,3.477374,18.711798,31.747559
1,38,f_pointer1_r,-2.319524,21.146453,36.988479
1,39,f_pointer2_r,-3.536485,18.524082,33.438540
1,40,f_pointer3_r,-1.136391,20.193338,31.549801
1,41,scapular_r,8.919818,59.487205,13.592913
1,42,chest_r,-4.848686,34.424416,21.838906
1,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
1,44,thigh_l,-8.347402,1.118617,-3.726068
1,45,calf_l,-42.248958,-31.280561,10.699834
1,46,foot_l,-46.326868,-68.631942,-6.018738
1,47,toe_l,-59.244095,-78.507683,6.739816
1,48,back_l,-3.498088,-3.269341,-12.829284
