frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.318194,10.876978,1.810684
0,2,chest,1.378325,28.593385,2.071057
0,3,neck,-5.268819,56.831781,4.985743
0,4,head,-8.756328,69.817191,7.629988
0,5,hair,-6.378680,85.047402,8.100851
0,7,zero_joint_hand_l,1.378293,28.593393,2.071056
0,8,clavicle_l,-6.469672,52.234436,3.806457
0,9,arm_l,-19.611961,46.451256,-7.809474
0,10,forearm_l,-27.724009,20.952203,3.248393
0,11,forearm_twist_l,-30.013545,19.553749,14.872499
0,12,hand_l,-32.457942,18.077686,27.226475
0,13,weapon_l,-38.327783,13.750701,33.015121
0,14,f_big1_l,-37.468699,19.787996,30.600839
0,15,f_big2_l,-39.219248,19.569150,34.365298
0,16,f_big3_l,-40.833918,16.587888,37.652158
0,17,f_main1_l,-39.836326,10.369539,30.972168
0,18,f_main2_l,-37.967251,11.727212,35.100197
0,19,f_main3_l,-35.366279,15.300035,34.615344
0,20,f_pointer1_l,-43.216318,14.443621,31.298551
0,21,f_pointer2_l,-42.629220,13.371563,35.690226
0,22,f_pointer3_l,-40.196037,15.695851,36.465891
0,23,scapular_l,-18.882796,54.224352,-6.048468
0,24,chest_l,-18.560826,32.367304,8.979919
0,25,zero_joint_hand_r,1.378357,28.593237,2.071044
0,26,clavicle_r,-3.514622,52.623676,6.770134
0,27,arm_r,9.158216,50.994769,20.105822
0,28,forearm_r,-1.355439,24.308298,24.052816
0,29,forearm_twist_r,-10.364139,17.206171,27.355397
0,30,hand_r,-19.912156,9.677735,30.868052
0,31,weapon_r,-38.323687,13.747671,33.021481
0,32,f_big1_r,-25.476335,10.191375,33.183092
0,33,f_big2_r,-29.205801,9.793571,34.303288
0,34,f_big3_r,-33.408502,9.120287,34.085460
0,35,f_main1_r,-28.527055,3.292556,26.949971
0,36,f_main2_r,-31.893147,6.264497,24.839152
0,37,f_main3_r,-28.424108,9.052720,26.533377
0,38,f_pointer1_r,-30.624673,4.491253,31.674208
0,39,f_pointer2_r,-34.067211,6.199354,29.447357
0,40,f_pointer3_r,-32.961205,9.443436,29.625055
0,41,scapular_r,5.935051,57.975444,18.990196
0,42,chest_r,-6.157971,34.003807,21.385979
0,43,zero_joint_pelvis_l,-0.000007,-0.000036,-0.000010
0,44,thigh_l,-8.345842,1.174968,-3.712843
0,45,calf_l,-42.460058,-31.162746,10.344947
0,46,foot_l,-47.125918,-68.534320,-6.173552
0,47,toe_l,-59.561517,-78.626501,6.890501
0,48,back_l,-3.538567,-3.265426,-12.811793
0,51,zero_joint_pelvis_r,-0.000044,-0.000323,0.000001
0,52,thigh_r,6.926150,-0.889872,6.004667
0,53,calf_r,25.905606,-38.435167,31.248676
0,54,foot_r,27.571994,-68.561235,3.303931
0,55,toe_r,34.779081,-78.617634,19.859668
0,56,back_r,12.272174,-5.408822,-2.743507
0,57,biceps_twist_l,-23.509938,34.204884,-2.497607
0,58,biceps_twist_r,4.109506,38.176680,22.000787
0,59,thigh_twist_l,-20.823162,-11.213369,1.040759
0,60,thigh_twist_r,13.977241,-15.154704,14.835249
1,0,pelvis,-5.232422,-7.750000,-3.171875
1,1,stomach,-5.115450,3.119738,-1.294754
1,2,chest,-5.498452,20.819098,-0.010729
1,3,neck,-13.077395,48.098216,6.953196
1,4,head,-17.554951,60.031434,11.985636
1,5,hair,-16.256424,75.323891,13.498515
1,7,zero_joint_hand_l,-5.498485,20.819104,-0.010726
1,8,clavicle_l,-14.183524,43.610651,5.338722
1,9,arm_l,-28.107754,38.388487,-5.612972
1,10,forearm_l,-35.220064,11.280103,1.717722
