frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.341793,10.840531,-2.013592
0,2,chest,1.077053,28.584344,-2.497218
0,3,neck,-5.438375,56.906586,-4.839592
0,4,head,-8.597566,69.981002,-7.457759
0,5,hair,-7.436541,85.320929,-8.540762
0,7,zero_joint_hand_l,1.075871,28.583943,-2.498777
0,8,clavicle_l,-3.472589,52.788738,-6.614661
0,9,arm_l,12.528172,52.305364,-15.825345
0,10,forearm_l,30.135013,31.322348,-25.205945
0,11,forearm_twist_l,19.547418,27.126172,-28.731006
0,12,hand_l,8.294915,22.669858,-32.485852
0,13,weapon_l,-0.514728,19.432810,-31.756872
0,14,f_big1_l,2.767389,25.114296,-30.828275
0,15,f_big2_l,-0.820319,24.729458,-28.803957
0,16,f_big3_l,-2.873702,20.596583,-27.969240
0,17,f_main1_l,-1.370163,17.639282,-35.450060
0,18,f_main2_l,-1.281379,17.362853,-30.736329
0,19,f_main3_l,2.174623,19.816983,-29.447643
0,20,f_pointer1_l,-3.586734,22.386136,-34.646940
0,21,f_pointer2_l,-4.894886,20.423742,-30.732067
0,22,f_pointer3_l,-2.171624,21.956217,-29.203701
0,23,scapular_l,9.320261,59.309972,-13.620913
0,24,chest_l,-4.437877,34.835727,-22.248639
0,25,zero_joint_hand_r,1.075555,28.583940,-2.495955
0,26,clavicle_r,-6.723134,52.256374,-4.003539
0,27,arm_r,-19.881350,46.876308,7.786752
0,28,forearm_r,-27.982625,21.048335,18.061412
0,29,forearm_twist_r,-36.783183,16.932019,11.138724
0,30,hand_r,-46.146414,12.566459,3.787103
0,31,weapon_r,-54.087146,10.757077,-0.735796
0,32,f_big1_r,-49.938472,15.789411,0.338955
0,33,f_big2_r,-52.124038,16.195725,-2.873444
0,34,f_big3_r,-54.043069,13.011701,-4.964921
0,35,f_main1_r,-56.894336,9.069693,1.990750
0,36,f_main2_r,-54.676921,8.862939,-2.456321
0,37,f_main3_r,-50.423630,10.836395,-1.646391
0,38,f_pointer1_r,-57.581990,14.200253,0.826659
0,39,f_pointer2_r,-57.390491,12.618331,-3.327603
0,40,f_pointer3_r,-54.108786,13.612482,-3.413789
0,41,scapular_r,-18.634696,54.657781,6.365261
0,42,chest_r,-18.049009,32.607447,-11.282289
0,43,zero_joint_pelvis_l,-0.001837,0.000199,0.000843
0,44,thigh_l,7.688450,-0.856226,-4.993627
0,45,calf_l,26.178866,-37.933319,-31.271424
