frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.303687,10.874665,1.826993
0,2,chest,1.423474,28.603657,2.042319
0,3,neck,-5.270804,56.826870,4.995923
0,4,head,-8.633123,69.855481,7.547728
0,5,hair,-6.058346,85.050449,8.111379
0,7,zero_joint_hand_l,1.423305,28.605364,2.045319
0,8,clavicle_l,-6.511054,52.184456,3.997026
0,9,arm_l,-19.736381,46.982932,-7.798295
0,10,forearm_l,-28.682000,21.540036,-18.330075
0,11,forearm_twist_l,-37.717210,17.473381,-11.699958
0,12,hand_l,-47.342036,13.150083,-4.654071
0,13,weapon_l,-55.345812,11.356548,-0.251779
0,14,f_big1_l,-51.276205,16.422589,-1.441201
0,15,f_big2_l,-53.386815,18.039079,1.421254
0,16,f_big3_l,-55.790094,18.216015,4.931457
0,17,f_main1_l,-58.010499,9.504450,-2.980563
0,18,f_main2_l,-57.620579,8.942905,1.937856
0,19,f_main3_l,-53.995578,10.564244,4.545132
0,20,f_pointer1_l,-58.871703,14.656270,-2.042740
0,21,f_pointer2_l,-60.458482,13.064191,1.792589
0,22,f_pointer3_l,-58.533567,13.250462,4.620713
0,23,scapular_l,-18.398054,54.748009,-6.350350
0,24,chest_l,-17.938872,32.318276,10.471545
0,25,zero_joint_hand_r,1.425030,28.603720,2.043578
0,26,clavicle_r,-3.332886,52.668131,6.705184
0,27,arm_r,12.772962,51.971687,15.716919
0,28,forearm_r,30.091791,30.808756,25.228594
0,29,forearm_twist_r,19.429965,26.751919,28.692506
0,30,hand_r,8.098202,22.447358,32.385521
0,31,weapon_r,-0.491898,18.699909,31.670929
0,32,f_big1_r,2.446088,24.538556,30.678682
0,33,f_big2_r,-1.098967,23.911524,28.655563
0,34,f_big3_r,-2.900874,19.657258,27.873554
0,35,f_main1_r,-1.280618,16.894959,35.395493
0,36,f_main2_r,-2.483375,15.687693,30.995201
0,37,f_main3_r,0.009806,17.446224,27.777494
0,38,f_pointer1_r,-3.759828,21.493435,34.521594
0,39,f_pointer2_r,-6.451295,19.113647,31.696518
0,40,f_pointer3_r,-5.093099,19.349850,28.507006
0,41,scapular_r,9.617183,59.008437,13.559640
0,42,chest_r,-4.595616,34.287020,21.820656
0,43,zero_joint_pelvis_l,0.000636,0.001494,0.003051
0,44,thigh_l,-8.337763,1.171932,-3.727034
0,45,calf_l,-42.338616,-31.264573,10.377718
0,46,foot_l,-46.812325,-68.638555,-6.188422
0,47,toe_l,-59.507073,-78.418163,6.864101
0,48,back_l,-3.515752,-3.253674,-12.824835
0,51,zero_joint_pelvis_r,0.001627,-0.000518,0.001073
0,52,thigh_r,6.917054,-0.891108,6.017831
0,53,calf_r,25.819572,-38.476775,31.259491
0,54,foot_r,27.446331,-68.487904,3.189018
0,55,toe_r,34.709730,-78.473227,19.763157
0,56,back_r,12.288711,-5.392512,-2.732007
0,57,biceps_twist_l,-24.031936,34.763070,-12.858628
0,58,biceps_twist_r,21.086665,41.812992,20.283081
0,59,thigh_twist_l,-20.772750,-11.252964,1.042309
0,60,thigh_twist_r,13.944278,-15.179347,14.861368
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.303687,10.874665,1.826993
1,2,chest,1.423474,28.603657,2.042319
1,3,neck,-5.270804,56.826870,4.995923
1,4,head,-8.633123,69.855481,7.547728
1,5,hair,-6.058346,85.050449,8.111379
1,7,zero_joint_hand_l,1.423305,28.605364,2.045319
1,8,clavicle_l,-6.511054,52.184456,3.997026
1,9,arm_l,-19.736381,46.982932,-7.798295
1,10,forearm_l,-28.682000,21.540036,-18.330075
1,11,forearm_twist_l,-37.717210,17.473381,-11.699958
1,12,hand_l,-47.342036,13.150083,-4.654071
1,13,weapon_l,-55.345812,11.356548,-0.251779
1,14,f_big1_l,-51.276205,16.422589,-1.441201
1,15,f_big2_l,-53.386815,18.039079,1.421254
1,16,f_big3_l,-55.790094,18.216015,4.931457
1,17,f_main1_l,-58.010499,9.504450,-2.980563
1,18,f_main2_l,-57.620579,8.942905,1.937856
1,19,f_main3_l,-53.995578,10.564244,4.545132
1,20,f_pointer1_l,-58.871703,14.656270,-2.042740
1,21,f_pointer2_l,-60.458482,13.064191,1.792589
1,22,f_pointer3_l,-58.533567,13.250462,4.620713
1,23,scapular_l,-18.398054,54.748009,-6.350350
1,24,chest_l,-17.938872,32.318276,10.471545
1,25,zero_joint_hand_r,1.425030,28.603720,2.043578
1,26,clavicle_r,-3.332886,52.668131,6.705184
1,27,arm_r,12.772962,51.971687,15.716919
1,28,forearm_r,30.091791,30.808756,25.228594
1,29,forearm_twist_r,19.429965,26.751919,28.692506
1,30,hand_r,8.098202,22.447358,32.385521
1,31,weapon_r,-0.491898,18.699909,31.670929
1,32,f_big1_r,2.446088,24.538556,30.678682
1,33,f_big2_r,-1.098967,23.911524,28.655563
1,34,f_big3_r,-2.900874,19.657258,27.873554
1,35,f_main1_r,-1.280618,16.894959,35.395493
1,36,f_main2_r,-2.483375,15.687693,30.995201
1,37,f_main3_r,0.009806,17.446224,27.777494
1,38,f_pointer1_r,-3.759828,21.493435,34.521594
1,39,f_pointer2_r,-6.451295,19.113647,31.696518
1,40,f_pointer3_r,-5.093099,19.349850,28.507006
1,41,scapular_r,9.617183,59.008437,13.559640
1,42,chest_r,-4.595616,34.287020,21.820656
1,43,zero_joint_pelvis_l,0.000636,0.001494,0.003051
1,44,thigh_l,-8.337763,1.171932,-3.727034
1,45,calf_l,-42.338616,-31.264573,10.377718
1,46,foot_l,-46.812325,-68.638555,-6.188422
1,47,toe_l,-59.507073,-78.418163,6.864101
1,48,back_l,-3.515752,-3.253674,-12.824835
1,51,zero_joint_pelvis_r,0.001627,-0.000518,0.001073
1,52,thigh_r,6.917054,-0.891108,6.017831
1,53,calf_r,25.819572,-38.476775,31.259491
1,54,foot_r,27.446331,-68.487904,3.189018
1,55,toe_r,34.709730,-78.473227,19.763157
1,56,back_r,12.288711,-5.392512,-2.732007
1,57,biceps_twist_l,-24.031936,34.763070,-12.858628
1,58,biceps_twist_r,21.086665,41.812992,20.283081
1,59,thigh_twist_l,-20.772750,-11.252964,1.042309
1,60,thigh_twist_r,13.944278,-15.179347,14.861368
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,0.303687,10.874665,1.826993
2,2,chest,1.423474,28.603657,2.042319
2,3,neck,-5.270804,56.826870,4.995923
2,4,head,-8.633123,69.855481,7.547728
2,5,hair,-6.058346,85.050449,8.111379
2,7,zero_joint_hand_l,1.423305,28.605364,2.045319
2,8,clavicle_l,-6.511054,52.184456,3.997026
2,9,arm_l,-19.736381,46.982932,-7.798295
2,10,forearm_l,-28.682000,21.540036,-18.330075
2,11,forearm_twist_l,-37.717210,17.473381,-11.699958
2,12,hand_l,-47.342036,13.150083,-4.654071
2,13,weapon_l,-55.345812,11.356548,-0.251779
2,14,f_big1_l,-51.276205,16.422589,-1.441201
2,15,f_big2_l,-53.386815,18.039079,1.421254
2,16,f_big3_l,-55.790094,18.216015,4.931457
