frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.752553,10.672222,-0.464341
0,2,chest,-7.401805,27.816627,-0.197404
0,3,neck,-24.625805,50.854929,-4.957380
0,4,head,-31.424555,62.701302,-6.060142
0,5,hair,-32.730878,77.994439,-4.560901
0,7,zero_joint_hand_l,-7.402702,27.815647,-0.198898
0,8,clavicle_l,-21.146933,47.721951,-6.390526
0,9,arm_l,-7.451459,52.612927,-17.775035
0,10,forearm_l,18.850827,41.677761,-12.588961
0,11,forearm_twist_l,12.379046,35.670844,-20.599212
0,12,hand_l,5.503004,29.293461,-29.121270
0,13,weapon_l,0.456038,24.370343,-30.137018
0,14,f_big1_l,-0.291113,29.707586,-31.260527
0,15,f_big2_l,-4.179328,28.571211,-31.084647
0,16,f_big3_l,-5.564038,24.508035,-29.621487
0,17,f_main1_l,0.312314,20.277921,-33.642011
0,18,f_main2_l,-2.208355,21.291967,-29.669752
0,19,f_main3_l,-0.495314,25.224155,-28.172205
0,20,f_pointer1_l,-2.799508,23.901535,-35.940612
0,21,f_pointer2_l,-5.626329,22.656338,-32.630573
0,22,f_pointer3_l,-4.560793,25.428365,-30.853050
0,23,scapular_l,-13.317537,57.778302,-16.023175
0,24,chest_l,-14.564462,29.554463,-20.332616
0,25,zero_joint_hand_r,-7.403039,27.815764,-0.196081
0,26,clavicle_r,-23.965213,46.173531,-3.683665
0,27,arm_r,-37.208637,37.345681,5.685193
0,28,forearm_r,-43.290147,10.505380,14.679465
0,29,forearm_twist_r,-51.712286,3.720847,9.644073
0,30,hand_r,-60.672630,-3.484654,4.299215
0,31,weapon_r,-68.940791,-8.335566,1.135179
0,32,f_big1_r,-63.947129,-2.791769,-0.837437
0,33,f_big2_r,-65.781813,-4.040786,-4.149299
0,34,f_big3_r,-67.917272,-6.917345,-6.723795
0,35,f_main1_r,-70.958732,-8.263877,3.222931
0,36,f_main2_r,-70.806854,-11.193823,-0.680601
0,37,f_main3_r,-68.161280,-11.967249,-4.415503
0,38,f_pointer1_r,-71.589994,-4.566632,-0.524030
0,39,f_pointer2_r,-73.152513,-7.958805,-3.020549
0,40,f_pointer3_r,-71.694816,-10.946167,-3.934928
0,41,scapular_r,-38.336134,44.868650,3.171369
0,42,chest_r,-26.378822,23.063953,-8.972234
