frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.242125,10.750913,-1.038859
0,2,chest,-4.622276,27.842267,-5.262355
0,3,neck,-19.205500,52.275252,-11.622055
0,4,head,-26.432141,63.817572,-13.147217
0,5,hair,-28.306498,78.326914,-18.025745
0,7,zero_joint_hand_l,-4.623607,27.844454,-5.260039
0,8,clavicle_l,-18.876992,47.395703,-11.432805
0,9,arm_l,-27.312701,37.304964,-24.398550
0,10,forearm_l,-32.411244,9.419867,-30.290041
0,11,forearm_twist_l,-41.851687,5.555533,-24.104377
0,12,hand_l,-51.893569,1.454762,-17.537886
0,13,weapon_l,-47.770366,7.257878,-10.506073
0,14,f_big1_l,-55.746799,4.136919,-13.714828
0,15,f_big2_l,-58.196992,3.985293,-10.670892
0,16,f_big3_l,-60.525869,0.603707,-9.558920
0,17,f_main1_l,-62.950230,-1.342118,-17.452336
0,18,f_main2_l,-61.187731,-2.781099,-13.034181
0,19,f_main3_l,-56.752492,-1.079510,-13.027325
0,20,f_pointer1_l,-63.402835,3.412642,-15.151031
0,21,f_pointer2_l,-63.722667,0.900289,-11.497524
0,22,f_pointer3_l,-60.400862,1.537711,-10.927810
0,23,scapular_l,-28.208867,45.275612,-24.187750
0,24,chest_l,-25.693577,26.882703,-1.411363
0,25,zero_joint_hand_r,-4.621142,27.843111,-5.260940
0,26,clavicle_r,-16.678474,49.465711,-8.508728
0,27,arm_r,-3.631024,59.343312,0.052334
0,28,forearm_r,14.146122,67.617980,21.354597
0,29,forearm_twist_r,8.500179,62.491900,30.518535
0,30,hand_r,2.494222,57.052469,40.261097
0,31,weapon_r,7.121006,14.553692,21.454680
0,32,f_big1_r,-2.720599,53.796617,39.038168
0,33,f_big2_r,-4.762347,50.208856,39.150887
0,34,f_big3_r,-3.922103,46.866841,42.326102
0,35,f_main1_r,-3.316812,52.094354,48.587011
0,36,f_main2_r,-1.735516,48.515471,45.942271
0,37,f_main3_r,0.057745,50.375977,42.334012
0,38,f_pointer1_r,-7.396808,52.158384,45.208371
0,39,f_pointer2_r,-6.244358,47.756524,44.702974
0,40,f_pointer3_r,-4.471196,48.681492,41.859153
0,41,scapular_r,-9.553816,62.990720,-3.910111
0,42,chest_r,-16.474382,35.566823,10.848867
0,43,zero_joint_pelvis_l,-0.000008,0.002293,0.002581
0,44,thigh_l,-7.983197,-1.757934,-4.238015
0,45,calf_l,-45.075364,-33.871678,-4.151461
0,46,foot_l,-39.370374,-72.716336,-16.391202
0,47,toe_l,-51.907206,-82.661426,-3.311113
0,48,back_l,-1.441347,-6.998906,-11.677381
0,51,zero_joint_pelvis_r,0.001585,0.000154,0.001235
0,52,thigh_r,6.315427,2.244459,6.319361
0,53,calf_r,30.428870,-39.016747,17.418171
0,54,foot_r,40.140585,-71.077278,-6.437030
0,55,toe_r,47.612790,-83.874431,7.743439
0,56,back_r,13.373691,-2.854401,-0.743096
0,57,biceps_twist_l,-29.759764,23.919164,-27.226767
0,58,biceps_twist_r,4.901497,63.316125,10.278741
0,59,thigh_twist_l,-21.360080,-14.094297,-4.471351
0,60,thigh_twist_r,15.248602,-13.252476,9.835554
1,0,pelvis,-0.025391,0.125000,0.320312
1,1,stomach,-2.354888,10.851553,-0.776491
1,2,chest,-4.866929,27.896522,-5.109633
1,3,neck,-19.726712,52.116201,-11.642694
1,4,head,-27.076063,63.571524,-13.235883
1,5,hair,-29.127436,77.998721,-18.283864
1,7,zero_joint_hand_l,-4.868278,27.898715,-5.107332
1,8,clavicle_l,-19.345458,47.242264,-11.412230
1,9,arm_l,-27.670746,37.069287,-24.385080
1,10,forearm_l,-32.705143,9.093655,-29.971429
1,11,forearm_twist_l,-42.081834,5.107426,-23.766180
1,12,hand_l,-52.043767,0.882118,-17.187032
1,13,weapon_l,-46.253365,11.895945,-12.176060
1,14,f_big1_l,-55.935456,3.466680,-13.334039
1,15,f_big2_l,-58.395386,3.242084,-10.302529
1,16,f_big3_l,-60.700227,-0.181476,-9.256342
1,17,f_main1_l,-63.075761,-2.011251,-17.188482
1,18,f_main2_l,-61.317888,-3.507242,-12.791872
1,19,f_main3_l,-56.897767,-1.767715,-12.738779
1,20,f_pointer1_l,-63.577906,2.699981,-14.809515
1,21,f_pointer2_l,-63.888692,0.124159,-11.199684
1,22,f_pointer3_l,-60.574674,0.780866,-10.607000
1,23,scapular_l,-28.633084,45.025190,-24.189640
1,24,chest_l,-25.917260,26.744936,-1.197082
1,25,zero_joint_hand_r,-4.865801,27.897390,-5.108228
1,26,clavicle_r,-17.162115,49.360878,-8.511690
1,27,arm_r,-4.184545,59.452164,-0.094840
1,28,forearm_r,13.416262,68.564022,21.118342
1,29,forearm_twist_r,7.932772,63.595302,30.465763
1,30,hand_r,2.099304,58.323062,40.403095
1,31,weapon_r,3.067870,16.578067,24.912129
1,32,f_big1_r,-3.067452,54.964013,39.265542
1,33,f_big2_r,-5.055501,51.354655,39.468704
1,34,f_big3_r,-4.166491,48.104542,42.724926
1,35,f_main1_r,-3.640760,53.489153,48.860501
1,36,f_main2_r,-2.008891,49.868779,46.304442
1,37,f_main3_r,-0.243116,51.667037,42.646625
1,38,f_pointer1_r,-7.713882,53.415235,45.473530
1,39,f_pointer2_r,-6.499322,49.022919,45.077816
1,40,f_pointer3_r,-4.742027,49.900974,42.211747
1,41,scapular_r,-10.182489,62.997064,-4.045340
1,42,chest_r,-16.761745,35.632866,10.964414
1,43,zero_joint_pelvis_l,-0.025397,0.127311,0.322877
1,44,thigh_l,-8.025568,-1.721356,-3.847502
1,45,calf_l,-45.228192,-33.895814,-4.270723
1,46,foot_l,-39.383121,-72.725430,-16.386513
1,47,toe_l,-51.917507,-82.672103,-3.305283
1,48,back_l,-1.498585,-6.965469,-11.297705
1,51,zero_joint_pelvis_r,-0.023798,0.125174,0.321535
1,52,thigh_r,6.318459,2.460011,6.578094
1,53,calf_r,30.910437,-38.915144,17.447168
1,54,foot_r,40.679108,-71.206047,-6.560086
1,55,toe_r,48.170206,-84.083789,7.556986
1,56,back_r,13.363483,-2.635556,-0.499944
1,57,biceps_twist_l,-30.087074,23.639725,-27.066869
1,58,biceps_twist_r,4.240581,63.815099,10.061371
1,59,thigh_twist_l,-21.405144,-14.049929,-4.265986
1,60,thigh_twist_r,15.370424,-12.974585,9.981872
2,0,pelvis,-0.326172,0.437500,1.033203
2,1,stomach,-2.839762,11.104616,-0.224965
2,2,chest,-5.617565,28.036860,-4.829348
2,3,neck,-21.016143,51.775539,-11.861121
2,4,head,-28.614883,63.034421,-13.670088
2,5,hair,-31.001015,77.277000,-19.082071
2,7,zero_joint_hand_l,-5.618972,28.039063,-4.827093
2,8,clavicle_l,-20.522177,46.917044,-11.537510
2,9,arm_l,-28.526427,36.503406,-24.521457
2,10,forearm_l,-33.383305,8.375391,-29.370058
2,11,forearm_twist_l,-42.658396,4.195683,-23.139471
2,12,hand_l,-52.524813,-0.240862,-16.525440
2,13,weapon_l,-43.266399,21.927167,-15.042814
2,14,f_big1_l,-56.495852,2.171016,-12.638925
2,15,f_big2_l,-58.980198,1.819899,-9.637077
2,16,f_big3_l,-61.235562,-1.674461,-8.709164
2,17,f_main1_l,-63.504768,-3.319470,-16.706998
2,18,f_main2_l,-61.762268,-4.903271,-12.339557
2,19,f_main3_l,-57.377256,-3.092586,-12.194864
2,20,f_pointer1_l,-64.108864,1.315322,-14.205402
2,21,f_pointer2_l,-64.406479,-1.363030,-10.669844
2,22,f_pointer3_l,-61.109940,-0.665449,-10.028417
2,23,scapular_l,-29.644549,44.440156,-24.386051
2,24,chest_l,-26.648067,26.467758,-0.955522
2,25,zero_joint_hand_r,-5.616461,28.037780,-4.827956
2,26,clavicle_r,-18.398316,49.140311,-8.671339
2,27,arm_r,-5.713164,59.795331,-0.507259
2,28,forearm_r,10.986814,70.719104,20.513586
2,29,forearm_twist_r,5.720332,66.106789,30.163552
2,30,hand_r,0.110118,61.207206,40.434495
2,31,weapon_r,-6.516433,20.630279,31.007221
2,32,f_big1_r,-4.914881,57.604271,39.424948
2,33,f_big2_r,-6.774851,53.941173,39.803012
2,34,f_big3_r,-5.816473,50.909331,43.239292
2,35,f_main1_r,-5.565714,56.638404,49.080854
2,36,f_main2_r,-3.767529,52.942765,46.746498
2,37,f_main3_r,-2.016809,54.605293,43.013331
2,38,f_pointer1_r,-9.587352,56.228586,45.656285
2,39,f_pointer2_r,-8.210325,51.868626,45.519357
2,40,f_pointer3_r,-6.446042,52.651681,42.630142
2,41,scapular_r,-11.851418,63.073059,-4.473045
2,42,chest_r,-17.742065,35.794508,11.061783
2,43,zero_joint_pelvis_l,-0.326201,0.439852,1.035730
2,44,thigh_l,-8.320230,-1.609078,-3.052025
2,45,calf_l,-45.630109,-33.862645,-4.628739
2,46,foot_l,-39.376671,-72.705168,-16.388067
2,47,toe_l,-51.913500,-82.650357,-3.308049
2,48,back_l,-1.753367,-6.867714,-10.456808
2,51,zero_joint_pelvis_r,-0.324575,0.437721,1.034412
2,52,thigh_r,6.016619,2.979950,7.210701
2,53,calf_r,31.360242,-38.596631,17.567414
2,54,foot_r,41.439026,-71.250428,-6.687101
2,55,toe_r,48.957274,-84.314031,7.269359
2,56,back_r,13.101278,-2.115489,0.172243
2,57,biceps_twist_l,-30.858820,22.993411,-26.850356
2,58,biceps_twist_r,2.293600,65.034110,9.573092
2,59,thigh_twist_l,-21.688383,-13.929044,-3.884389
2,60,thigh_twist_r,15.268361,-12.384221,10.388535
3,0,pelvis,-0.990234,0.875000,2.037109
3,1,stomach,-3.752765,11.446535,0.520680
3,2,chest,-6.873420,28.202068,-4.492407
3,3,neck,-22.932098,51.235455,-12.345360
3,4,head,-30.852676,62.203114,-14.524929
3,5,hair,-33.645664,76.169841,-20.437966
3,7,zero_joint_hand_l,-6.874924,28.204285,-4.490230
3,8,clavicle_l,-22.287853,46.405833,-11.883378
3,9,arm_l,-29.758877,35.605905,-24.869528
3,10,forearm_l,-34.374255,7.272090,-28.634719
3,11,forearm_twist_l,-43.546260,2.915947,-22.372465
3,12,hand_l,-53.303260,-1.708714,-15.725060
3,13,weapon_l,-39.862172,36.089682,-17.411840
3,14,f_big1_l,-57.376856,0.510193,-11.821577
3,15,f_big2_l,-59.896202,0.018271,-8.861496
3,16,f_big3_l,-62.091170,-3.559955,-8.066054
3,17,f_main1_l,-64.210856,-5.012937,-16.137826
3,18,f_main2_l,-62.493235,-6.680125,-11.796117
3,19,f_main3_l,-58.154385,-4.783793,-11.537240
3,20,f_pointer1_l,-64.946693,-0.465086,-13.515716
3,21,f_pointer2_l,-65.230989,-3.250282,-10.057552
3,22,f_pointer3_l,-61.959386,-2.499262,-9.352041
3,23,scapular_l,-31.106646,43.508087,-24.855255
3,24,chest_l,-27.889176,26.063193,-0.816289
3,25,zero_joint_hand_r,-6.872364,28.203061,-4.491029
3,26,clavicle_r,-20.270993,48.772693,-9.055147
3,27,arm_r,-8.157639,60.291913,-1.202189
3,28,forearm_r,6.732153,73.846491,19.602882
3,29,forearm_twist_r,1.574669,69.819820,29.568694
3,30,hand_r,-3.913506,65.548389,40.161675
3,31,weapon_r,-21.032615,26.175473,37.767394
3,32,f_big1_r,-8.698414,61.605250,39.300838
3,33,f_big2_r,-10.372094,57.894043,39.918492
3,34,f_big3_r,-9.382855,55.210508,43.609971
3,35,f_main1_r,-9.643905,61.388213,48.976994
3,36,f_main2_r,-7.568140,57.618714,47.012451
3,37,f_main3_r,-5.775096,59.073809,43.208863
3,38,f_pointer1_r,-13.514430,60.480176,45.474507
3,39,f_pointer2_r,-11.906793,56.210293,45.743003
3,40,f_pointer3_r,-10.082912,56.853444,42.856262
3,41,scapular_r,-14.466541,63.136422,-5.234070
3,42,chest_r,-19.431968,35.992028,11.041815
3,43,zero_joint_pelvis_l,-0.990320,0.877412,2.039578
3,44,thigh_l,-8.931696,-1.457105,-1.997367
3,45,calf_l,-46.312404,-33.842164,-5.211719
3,46,foot_l,-39.375554,-72.676502,-16.381960
3,47,toe_l,-51.908778,-82.623564,-3.299913
3,48,back_l,-2.238945,-6.738046,-9.272428
3,51,zero_joint_pelvis_r,-0.988644,0.875287,2.038313
3,52,thigh_r,5.287569,3.714639,8.151205
3,53,calf_r,31.428299,-38.175961,17.804572
3,54,foot_r,42.109357,-71.170394,-6.708223
3,55,toe_r,49.655486,-84.505284,7.005882
3,56,back_r,12.493931,-1.382162,1.238410
3,57,biceps_twist_l,-31.974062,22.004713,-26.677042
3,58,biceps_twist_r,-1.011227,66.799162,8.785358
3,59,thigh_twist_l,-22.254467,-13.773356,-3.410047
3,60,thigh_twist_r,14.738764,-11.586753,11.030929
4,0,pelvis,-2.166016,1.312500,3.173828
4,1,stomach,-5.188090,11.757243,1.312945
4,2,chest,-8.642098,28.287436,-4.204298
4,3,neck,-25.272347,50.493888,-13.170637
4,4,head,-33.497494,61.114128,-15.878608
4,5,hair,-36.634651,74.767356,-22.327005
4,7,zero_joint_hand_l,-8.643744,28.289656,-4.202229
4,8,clavicle_l,-24.469776,45.705544,-12.553093
4,9,arm_l,-31.194767,34.395563,-25.512781
4,10,forearm_l,-35.562477,5.870048,-28.043911
4,11,forearm_twist_l,-44.718591,1.437472,-21.812112
4,12,hand_l,-54.458674,-3.269083,-15.197458
4,13,weapon_l,-36.125589,50.847587,-19.737204
4,14,f_big1_l,-58.650864,-1.185912,-11.341504
4,15,f_big2_l,-61.224329,-1.773913,-8.438520
4,16,f_big3_l,-63.369080,-5.412634,-7.748625
4,17,f_main1_l,-65.292241,-6.765986,-15.877742
4,18,f_main2_l,-63.632704,-8.466560,-11.530905
4,19,f_main3_l,-59.343641,-6.499089,-11.149949
4,20,f_pointer1_l,-66.172188,-2.274195,-13.202811
4,21,f_pointer2_l,-66.472488,-5.119625,-9.790314
4,22,f_pointer3_l,-63.228941,-4.317377,-9.006544
4,23,scapular_l,-32.815068,42.244209,-25.698924
4,24,chest_l,-29.668565,25.481840,-1.079094
4,25,zero_joint_hand_r,-8.641119,28.288504,-4.202918
4,26,clavicle_r,-22.624608,48.221157,-9.736057
4,27,arm_r,-11.439904,60.796212,-2.129145
4,28,forearm_r,0.636521,77.219888,18.474661
4,29,forearm_twist_r,-4.604585,73.768952,28.611375
4,30,hand_r,-10.182471,70.108706,39.384779
4,31,weapon_r,-37.744831,31.242439,42.930186
4,32,f_big1_r,-14.626091,65.771637,38.634676
4,33,f_big2_r,-16.078219,62.019424,39.492086
4,34,f_big3_r,-15.136135,59.743342,43.449798
4,35,f_main1_r,-16.135106,66.326875,48.223572
4,36,f_main2_r,-13.692413,62.559175,46.722907
4,37,f_main3_r,-11.775387,63.811902,42.898768
4,38,f_pointer1_r,-19.713593,64.840815,44.611392
4,39,f_pointer2_r,-17.842072,60.742022,45.353090
4,40,f_pointer3_r,-15.895589,61.262303,42.524586
4,41,scapular_r,-17.880409,63.066784,-6.314224
4,42,chest_r,-21.931408,36.034390,10.731953
4,43,zero_joint_pelvis_l,-2.166210,1.314976,3.176226
4,44,thigh_l,-9.968605,-1.349880,-0.926643
4,45,calf_l,-47.246380,-33.850766,-6.027043
4,46,foot_l,-39.369854,-72.698473,-16.383415
4,47,toe_l,-51.906103,-82.645337,-3.304116
4,48,back_l,-3.007218,-6.643399,-7.935602
4,51,zero_joint_pelvis_r,-2.164455,1.312864,3.175049
4,52,thigh_r,3.923269,4.493694,9.310371
4,53,calf_r,30.428999,-37.714342,18.188359
4,54,foot_r,42.070384,-70.729678,-6.402311
4,55,toe_r,49.629413,-84.382102,7.042059
4,56,back_r,11.386591,-0.591537,2.666949
4,57,biceps_twist_l,-33.291144,20.702046,-26.727931
4,58,biceps_twist_r,-5.650305,68.672137,7.750983
4,59,thigh_twist_l,-23.198386,-13.672883,-2.999906
4,60,thigh_twist_r,13.461952,-10.807847,11.884767
5,0,pelvis,-4.119141,1.687500,4.142578
5,1,stomach,-7.316257,11.998678,1.873979
5,2,chest,-10.930207,28.309128,-4.169696
5,3,neck,-27.684023,49.827111,-14.483422
5,4,head,-36.041120,60.143910,-17.874324
5,5,hair,-39.252071,73.580028,-24.729598
5,7,zero_joint_hand_l,-10.932034,28.311331,-4.167766
5,8,clavicle_l,-26.774334,45.077608,-13.729507
5,9,arm_l,-32.554144,33.153159,-26.594034
5,10,forearm_l,-36.813437,4.547825,-27.963967
5,11,forearm_twist_l,-46.164621,0.332587,-21.872612
5,12,hand_l,-56.172961,-4.171184,-15.367921
5,13,weapon_l,-32.572105,60.850292,-22.854704
5,14,f_big1_l,-60.486336,-2.007697,-11.683166
5,15,f_big2_l,-63.148885,-2.540077,-8.842787
5,16,f_big3_l,-65.308395,-6.184704,-8.137156
5,17,f_main1_l,-66.965354,-7.715966,-16.279917
5,18,f_main2_l,-65.434690,-9.304089,-11.852941
5,19,f_main3_l,-61.175208,-7.319748,-11.386386
5,20,f_pointer1_l,-67.950139,-3.167589,-13.741503
5,21,f_pointer2_l,-68.342925,-5.931976,-10.272261
5,22,f_pointer3_l,-65.125076,-5.097948,-9.411057
5,23,scapular_l,-34.429189,40.930982,-27.095370
5,24,chest_l,-32.006429,24.906618,-2.178114
5,25,zero_joint_hand_r,-10.929341,28.310250,-4.168284
5,26,clavicle_r,-25.168522,47.698421,-10.862217
5,27,arm_r,-15.330501,61.360679,-3.269404
5,28,forearm_r,-7.300484,80.151563,17.461664
5,29,forearm_twist_r,-13.112337,76.995813,27.381076
5,30,hand_r,-19.381423,73.602918,38.065118
5,31,weapon_r,-53.721859,32.259588,41.139178
5,32,f_big1_r,-23.390118,68.877553,37.244785
5,33,f_big2_r,-24.628973,65.092209,38.241989
5,34,f_big3_r,-23.908559,63.174880,42.411921
5,35,f_main1_r,-25.862189,69.957879,46.594847
5,36,f_main2_r,-23.002637,66.305253,45.610151
5,37,f_main3_r,-20.822099,67.457350,41.883216
5,38,f_pointer1_r,-28.942780,67.943729,42.785534
5,39,f_pointer2_r,-26.850413,64.076124,44.002415
5,40,f_pointer3_r,-24.684351,64.560358,41.334065
5,41,scapular_r,-21.777745,62.974510,-7.739280
5,42,chest_r,-25.272987,35.900271,9.843578
5,43,zero_joint_pelvis_l,-4.119518,1.690026,4.144901
5,44,thigh_l,-11.637254,-1.283499,-0.265786
5,45,calf_l,-48.438863,-33.778441,-7.060025
5,46,foot_l,-39.374874,-72.750095,-16.427555
5,47,toe_l,-51.907914,-82.649641,-3.309429
5,48,back_l,-4.202044,-6.551184,-6.790884
5,51,zero_joint_pelvis_r,-4.117652,1.687936,4.143865
5,52,thigh_r,1.574064,5.178891,10.487194
5,53,calf_r,27.401693,-37.257261,18.648062
5,54,foot_r,40.297732,-69.737631,-5.592916
5,55,toe_r,47.791557,-83.686218,7.581232
5,56,back_r,9.486908,0.141751,4.346355
5,57,biceps_twist_l,-34.598471,19.421636,-27.251724
5,58,biceps_twist_r,-11.497780,70.332877,6.628902
5,59,thigh_twist_l,-24.723603,-13.645265,-2.933396
5,60,thigh_twist_r,10.942420,-10.266383,12.816989
6,0,pelvis,-6.849609,1.937500,4.962891
6,1,stomach,-10.137785,12.097966,2.198601
6,2,chest,-13.754143,28.188050,-4.408109
6,3,neck,-30.183571,49.104101,-16.352965
6,4,head,-38.503296,59.129762,-20.600783
6,5,hair,-41.526917,72.459754,-27.742438
