frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.318175,10.877320,1.808634
0,2,chest,1.390639,28.608354,2.087337
0,3,neck,-5.329265,56.827333,5.023157
0,4,head,-8.782161,69.835956,7.597817
0,5,hair,-6.383993,85.056479,8.244875
0,7,zero_joint_hand_l,1.390660,28.608289,2.087324
0,8,clavicle_l,-6.578930,52.188489,4.078548
0,9,arm_l,-19.785228,47.060735,-7.770273
0,10,forearm_l,-27.952476,21.198843,-17.906449
0,11,forearm_twist_l,-36.823890,17.077124,-11.078058
0,12,hand_l,-46.261076,12.705555,-3.825237
0,13,weapon_l,-54.141171,11.379470,0.657443
0,14,f_big1_l,-50.169239,16.176280,-0.351528
0,15,f_big2_l,-52.615618,16.510438,2.968379
0,16,f_big3_l,-54.749276,12.849352,4.977730
0,17,f_main1_l,-56.966918,9.431672,-2.130736
0,18,f_main2_l,-54.985318,9.291283,2.158090
0,19,f_main3_l,-50.962160,11.115875,1.692827
0,20,f_pointer1_l,-57.888062,14.529426,-1.003301
0,21,f_pointer2_l,-57.749801,12.960580,3.295483
0,22,f_pointer3_l,-54.438513,14.016868,3.437597
0,23,scapular_l,-18.421864,54.821557,-6.304467
0,24,chest_l,-17.799909,32.308265,10.902830
0,25,zero_joint_hand_r,1.390722,28.608150,2.087302
0,26,clavicle_r,-3.343607,52.684056,6.715644
0,27,arm_r,12.666830,52.132700,15.905673
0,28,forearm_r,29.951448,30.722724,24.913358
0,29,forearm_twist_r,19.340488,26.641113,28.553674
0,30,hand_r,8.092587,22.316627,32.422038
0,31,weapon_r,-0.554544,19.334759,31.715695
0,32,f_big1_r,2.572040,24.762700,30.726337
0,33,f_big2_r,-1.012126,24.358063,28.707441
0,34,f_big3_r,-3.077921,20.224940,27.928550
0,35,f_main1_r,-1.622404,17.356328,35.458810
0,36,f_main2_r,-1.533089,17.014920,30.745432
0,37,f_main3_r,1.945641,19.445526,29.420010
0,38,f_pointer1_r,-3.806027,22.107203,34.584726
0,39,f_pointer2_r,-5.122599,20.093911,30.689444
0,40,f_pointer3_r,-2.393614,21.594052,29.143729
0,41,scapular_r,9.476786,59.144453,13.720400
0,42,chest_r,-4.227091,34.386568,21.955140
0,43,zero_joint_pelvis_l,0.000034,-0.000020,0.000024
0,44,thigh_l,-8.347550,1.173838,-3.709258
0,45,calf_l,-42.437891,-31.204227,10.313524
0,46,foot_l,-47.108204,-68.590511,-6.170395
0,47,toe_l,-59.537930,-78.674334,6.905695
0,48,back_l,-3.550904,-3.271967,-12.814068
0,51,zero_joint_pelvis_r,-0.000019,-0.000319,0.000021
0,52,thigh_r,6.922937,-0.886807,5.996819
0,53,calf_r,25.863959,-38.463094,31.223577
0,54,foot_r,27.583361,-68.589396,3.282296
0,55,toe_r,34.766662,-78.639304,19.852306
0,56,back_r,12.275725,-5.407250,-2.754422
0,57,biceps_twist_l,-23.709734,34.632167,-12.641627
0,58,biceps_twist_r,20.972970,41.843952,20.235898
0,59,thigh_twist_l,-20.815768,-11.228536,1.031605
0,60,thigh_twist_r,13.972846,-15.185830,14.837462
1,0,pelvis,1.546875,1.500000,-0.171875
1,1,stomach,1.116314,12.334922,1.854834
1,2,chest,1.441752,30.094293,2.195842
1,3,neck,-6.020688,58.149958,4.893716
1,4,head,-9.625982,71.158530,7.250527
1,5,hair,-6.764210,86.306668,7.672904
1,7,zero_joint_hand_l,1.441775,30.094228,2.195830
1,8,clavicle_l,-7.145519,53.473387,3.978661
1,9,arm_l,-20.466920,48.416358,-7.771296
1,10,forearm_l,-28.947404,23.316244,-19.525430
1,11,forearm_twist_l,-38.076716,18.781053,-13.328239
1,12,hand_l,-47.739747,13.994319,-6.777934
1,13,weapon_l,-55.118645,12.314031,-1.612927
1,14,f_big1_l,-51.445359,17.274484,-2.918494
1,15,f_big2_l,-53.588559,17.480427,0.614563
1,16,f_big3_l,-55.385242,13.718929,2.763188
1,17,f_main1_l,-58.109854,10.279716,-4.156850
1,18,f_main2_l,-55.739861,10.179287,-0.068633
1,19,f_main3_l,-51.850221,12.167072,-0.875366
1,20,f_pointer1_l,-59.121529,15.327067,-2.884937
1,21,f_pointer2_l,-58.529265,13.725765,1.363004
1,22,f_pointer3_l,-55.262401,14.911816,1.216533
1,23,scapular_l,-19.278052,56.172872,-6.035495
1,24,chest_l,-17.875756,33.359013,10.905312
1,25,zero_joint_hand_r,1.441841,30.094091,2.195810
1,26,clavicle_r,-3.935418,54.072224,6.625134
1,27,arm_r,12.327876,54.012445,15.377072
1,28,forearm_r,24.433078,30.250009,25.069922
1,29,forearm_twist_r,13.823635,26.073809,28.605880
1,30,hand_r,2.535705,21.632355,32.377556
1,31,weapon_r,-6.455024,19.170879,31.400924
1,32,f_big1_r,-2.838304,24.433531,30.762454
1,33,f_big2_r,-6.417097,24.309699,28.697791
1,34,f_big3_r,-8.678038,20.329123,27.697773
1,35,f_main1_r,-7.445209,17.022816,35.087004
1,36,f_main2_r,-7.324254,16.910406,30.363319
1,37,f_main3_r,-3.715241,19.225534,29.188006
1,38,f_pointer1_r,-9.380307,21.914788,34.433514
1,39,f_pointer2_r,-10.755163,20.164909,30.432561
1,40,f_pointer3_r,-7.938994,21.600453,28.985006
1,41,scapular_r,8.834361,60.952995,13.228690
1,42,chest_r,-4.408682,35.870474,21.996964
1,43,zero_joint_pelvis_l,1.546911,1.499982,-0.171854
1,44,thigh_l,-7.010879,2.100669,-3.521819
1,45,calf_l,-41.172579,-30.872910,8.841442
1,46,foot_l,-47.106367,-68.635882,-6.154457
1,47,toe_l,-59.534078,-78.720570,6.922882
1,48,back_l,-2.270278,-1.798468,-12.902330
1,51,zero_joint_pelvis_r,1.546881,1.499681,-0.171860
1,52,thigh_r,8.764378,1.034599,5.529773
1,53,calf_r,28.368038,-36.816240,29.759383
1,54,foot_r,33.120861,-68.155525,3.459763
1,55,toe_r,42.310256,-77.983754,18.986597
1,56,back_r,14.072476,-2.902732,-3.525065
1,57,biceps_twist_l,-24.537577,36.366887,-13.414091
1,58,biceps_twist_r,18.263328,42.360525,20.131470
1,59,thigh_twist_l,-19.499441,-10.516858,0.618015
1,60,thigh_twist_r,16.090976,-13.352383,13.994648
2,0,pelvis,3.894531,3.250000,-0.402344
2,1,stomach,2.127024,13.879914,1.957596
2,2,chest,1.024662,31.605140,2.425146
2,3,neck,-7.907826,59.258544,4.788784
2,4,head,-11.824212,72.235432,6.798250
2,5,hair,-8.172545,87.217856,6.961053
2,7,zero_joint_hand_l,1.024689,31.605076,2.425133
2,8,clavicle_l,-8.766136,54.531779,3.843308
2,9,arm_l,-22.253588,50.107369,-7.972274
2,10,forearm_l,-31.029705,26.663580,-22.613603
2,11,forearm_twist_l,-40.520184,21.741815,-17.319784
2,12,hand_l,-50.614376,16.521349,-11.695858
2,13,weapon_l,-57.038807,14.243752,-5.573110
2,14,f_big1_l,-53.891532,19.457504,-7.220865
2,15,f_big2_l,-55.496900,19.432911,-3.407676
2,16,f_big3_l,-56.735894,15.509485,-1.157087
2,17,f_main1_l,-60.250888,12.096775,-7.724932
2,18,f_main2_l,-57.300515,12.033123,-4.032816
2,19,f_main3_l,-53.694266,14.281028,-5.326378
2,20,f_pointer1_l,-61.352970,17.034625,-6.137464
2,21,f_pointer2_l,-60.047521,15.358270,-2.082149
2,22,f_pointer3_l,-56.912219,16.749449,-2.661006
2,23,scapular_l,-21.262043,57.771697,-5.489986
2,24,chest_l,-18.735937,33.913925,10.416866
2,25,zero_joint_hand_r,1.024760,31.604945,2.425117
2,26,clavicle_r,-5.688412,55.289454,6.603873
2,27,arm_r,10.722865,55.686481,15.065970
2,28,forearm_r,14.165996,29.084247,25.367926
2,29,forearm_twist_r,3.539897,24.772995,28.685011
2,30,hand_r,-7.779719,20.181810,32.228164
2,31,weapon_r,-17.022082,18.840427,30.812101
2,32,f_big1_r,-12.761635,23.721027,30.817647
2,33,f_big2_r,-16.268581,24.213177,28.685736
2,34,f_big3_r,-18.922902,20.636064,27.231184
2,35,f_main1_r,-18.284401,16.472646,34.253348
2,36,f_main2_r,-18.034537,16.831711,29.547064
2,37,f_main3_r,-14.158869,18.833747,28.688460
2,38,f_pointer1_r,-19.648610,21.592479,34.082218
2,39,f_pointer2_r,-21.086806,20.427626,29.894780
2,40,f_pointer3_r,-18.087464,21.677522,28.658368
2,41,scapular_r,6.843777,62.601306,12.955245
2,42,chest_r,-5.823772,37.091737,21.987163
2,43,zero_joint_pelvis_l,3.894570,3.249985,-0.402327
2,44,thigh_l,-4.821349,2.772610,-3.338921
2,45,calf_l,-39.511816,-30.390257,7.004773
2,46,foot_l,-47.100512,-68.606063,-6.156894
2,47,toe_l,-59.529987,-78.688704,6.920347
2,48,back_l,-0.071449,-0.239323,-13.036058
2,51,zero_joint_pelvis_r,3.894579,3.249685,-0.402339
2,52,thigh_r,11.381405,3.627529,4.947601
2,53,calf_r,31.976400,-34.743589,27.612548
2,54,foot_r,42.632412,-67.002202,4.106082
2,55,toe_r,54.783965,-76.840390,17.596488
2,56,back_r,16.714202,0.646260,-4.451435
2,57,biceps_twist_l,-26.461530,38.865418,-14.993352
2,58,biceps_twist_r,12.388525,42.812532,20.053035
