frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.317755,10.876207,1.815388
0,2,chest,1.376893,28.592745,2.070766
0,3,neck,-5.261436,56.834578,4.972212
0,4,head,-8.760825,69.820340,7.598974
0,5,hair,-6.363598,85.039695,8.276302
0,7,zero_joint_hand_l,1.376896,28.592731,2.070754
0,8,clavicle_l,-6.464913,52.235914,3.803037
0,9,arm_l,-19.622411,46.463492,-7.825885
0,10,forearm_l,-27.729682,20.979829,3.270894
0,11,forearm_twist_l,-30.019401,19.564852,14.900983
0,12,hand_l,-32.457979,18.068835,27.229648
0,13,weapon_l,-38.333452,13.795873,32.992534
0,14,f_big1_l,-37.349827,19.757802,30.369493
0,15,f_big2_l,-39.427444,19.823114,33.686424
0,16,f_big3_l,-39.451185,16.749784,36.645064
0,17,f_main1_l,-39.908431,10.320761,31.111923
0,18,f_main2_l,-37.877847,12.350157,35.173178
0,19,f_main3_l,-35.222992,15.892770,33.407642
0,20,f_pointer1_l,-43.126892,14.539209,31.241129
0,21,f_pointer2_l,-42.134693,14.354561,35.578582
0,22,f_pointer3_l,-39.819654,16.820963,35.022516
0,23,scapular_l,-18.894187,54.251278,-6.029093
0,24,chest_l,-18.553365,32.378228,8.969443
0,25,zero_joint_hand_r,1.378360,28.592744,2.072138
0,26,clavicle_r,-3.509936,52.626057,6.761169
0,27,arm_r,9.146176,50.990432,20.111910
0,28,forearm_r,3.081252,22.954585,24.047823
0,29,forearm_twist_r,-5.970541,15.481502,26.177504
0,30,hand_r,-15.575874,7.547343,28.450220
0,31,weapon_r,-38.309990,13.790562,33.033281
0,32,f_big1_r,-21.650099,9.083723,28.076056
0,33,f_big2_r,-25.292902,8.686302,26.163463
0,34,f_big3_r,-26.546715,4.853934,23.776549
0,35,f_main1_r,-23.624538,-0.362623,29.375571
0,36,f_main2_r,-24.040085,1.247778,24.951275
0,37,f_main3_r,-21.317962,4.752238,24.677953
0,38,f_pointer1_r,-26.831448,3.668038,30.627298
0,39,f_pointer2_r,-28.167030,3.139111,26.284406
0,40,f_pointer3_r,-26.010296,5.737654,25.441588
0,41,scapular_r,4.848548,57.712768,19.378865
0,42,chest_r,-6.154038,34.014763,21.381832
0,43,zero_joint_pelvis_l,0.000262,-0.000050,0.000160
0,44,thigh_l,-8.345193,1.176569,-3.713033
