frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.395369,10.908832,1.590452
0,2,chest,-1.077196,28.661292,1.642539
0,3,neck,-10.059302,56.217158,4.817906
0,4,head,-14.890740,68.713109,7.696109
0,5,hair,-14.099193,84.103092,7.356742
0,7,zero_joint_hand_l,-1.075766,28.661563,1.644092
0,8,clavicle_l,-10.846932,51.563864,3.520880
0,9,arm_l,-22.287456,46.421063,-10.034957
0,10,forearm_l,-34.820110,24.400426,-24.045938
0,11,forearm_twist_l,-43.772784,20.729967,-17.067769
0,12,hand_l,-53.290250,16.843767,-9.645515
0,13,weapon_l,-60.184218,13.807114,-4.895715
0,14,f_big1_l,-56.642149,18.875927,-5.031746
0,15,f_big2_l,-58.348852,18.339536,-1.552268
0,16,f_big3_l,-59.829124,14.618595,-0.083104
0,17,f_main1_l,-63.512020,12.288275,-7.364834
0,18,f_main2_l,-60.664975,11.170885,-3.452784
0,19,f_main3_l,-56.647197,13.571819,-4.309559
0,20,f_pointer1_l,-64.226389,16.918786,-4.875177
0,21,f_pointer2_l,-63.372672,14.396686,-1.305579
0,22,f_pointer3_l,-60.153465,15.564414,-1.413341
0,23,scapular_l,-22.398596,53.930359,-7.244704
0,24,chest_l,-21.460520,30.703900,7.923254
0,25,zero_joint_hand_r,-1.076890,28.661220,1.642773
0,26,clavicle_r,-8.031055,52.127011,6.590588
0,27,arm_r,4.385244,52.417391,20.259748
0,28,forearm_r,13.874358,26.213394,28.107722
0,29,forearm_twist_r,2.688174,22.781119,25.782580
0,30,hand_r,-9.200263,19.122982,23.321354
0,31,weapon_r,-18.403714,17.337230,21.458717
0,32,f_big1_r,-13.369136,21.821277,19.494927
0,33,f_big2_r,-16.389124,21.427330,16.706032
0,34,f_big3_r,-19.232142,17.713026,16.500810
0,35,f_main1_r,-20.296715,17.271685,24.603288
0,36,f_main2_r,-19.251578,15.387739,20.396283
0,37,f_main3_r,-15.061915,16.577488,19.543041
0,38,f_pointer1_r,-20.912221,21.778488,21.886298
0,39,f_pointer2_r,-21.805869,18.869020,18.471539
0,40,f_pointer3_r,-18.506732,19.259956,17.446908
0,41,scapular_r,1.060080,59.216936,17.647262
0,42,chest_r,-9.656679,33.061676,20.788699
0,43,zero_joint_pelvis_l,0.000072,-0.000078,0.000444
0,44,thigh_l,-7.965981,0.689341,-4.569332
0,45,calf_l,-46.992799,-28.187533,2.513215
0,46,foot_l,-47.403694,-67.094919,-10.802644
0,47,toe_l,-62.122137,-77.392184,-0.580146
