frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-3.494848,10.433143,0.789962
0,2,chest,-6.424082,27.563477,-2.820303
0,3,neck,-3.540849,56.537535,-4.329573
0,4,head,-0.307824,69.777710,-5.751170
0,5,hair,1.954514,85.032240,-5.627183
0,7,zero_joint_hand_l,-6.424341,27.563699,-2.818318
0,8,clavicle_l,-4.784262,52.251501,-6.283397
0,9,arm_l,-0.288439,65.018705,-18.848536
0,10,forearm_l,2.652503,92.298837,-28.091299
0,11,forearm_twist_l,11.339022,95.860001,-20.717940
0,12,hand_l,20.556686,99.634472,-12.909690
0,13,weapon_l,-128.213740,275.917263,6.317075
0,14,f_big1_l,24.623353,95.603875,-10.355102
0,15,f_big2_l,27.473342,93.965407,-7.849334
0,16,f_big3_l,31.144621,95.161582,-5.194557
0,17,f_main1_l,31.703217,101.568858,-13.372981
0,18,f_main2_l,33.361870,101.553922,-8.942850
0,19,f_main3_l,29.202905,100.081831,-8.425833
0,20,f_pointer1_l,32.201182,96.359106,-12.533823
0,21,f_pointer2_l,35.195758,96.974247,-9.131130
0,22,f_pointer3_l,32.138250,97.106511,-7.481542
0,23,scapular_l,2.817857,65.319090,-11.442137
0,24,chest_l,-21.902359,37.475678,-13.857545
0,25,zero_joint_hand_r,-6.424086,27.563387,-2.820265
0,26,clavicle_r,-5.200003,52.508021,-2.144090
0,27,arm_r,-0.045558,67.373408,7.527863
0,28,forearm_r,5.981527,95.657755,8.925520
0,29,forearm_twist_r,16.564064,92.897667,4.140567
0,30,hand_r,27.789292,89.969768,-0.919313
0,31,weapon_r,31.488121,92.018265,-9.696403
0,32,f_big1_r,29.311831,84.454846,-2.908090
0,33,f_big2_r,31.245472,82.052534,-5.312650
0,34,f_big3_r,33.329444,80.676523,-8.770808
0,35,f_main1_r,36.967458,88.447579,-7.570859
0,36,f_main2_r,35.815455,87.844508,-12.367356
0,37,f_main3_r,31.261292,86.446131,-12.227614
0,38,f_pointer1_r,36.533600,83.464403,-5.794379
0,39,f_pointer2_r,39.047116,83.972470,-9.435252
0,40,f_pointer3_r,36.379039,82.843356,-11.275131
0,41,scapular_r,3.203386,65.858730,0.367543
0,42,chest_r,-23.656469,38.559475,3.645952
0,43,zero_joint_pelvis_l,0.000090,-0.000026,0.000315
0,44,thigh_l,-4.287060,-0.494074,-8.135715
0,45,calf_l,-52.789873,-6.882752,-11.849320
0,46,foot_l,-45.616433,-47.233393,-15.260066
0,47,toe_l,-65.055242,-53.788722,-17.775232
0,48,back_l,5.977023,-2.829745,-11.990712
0,51,zero_joint_pelvis_r,0.000713,-0.000295,0.001888
0,52,thigh_r,1.746127,0.225892,9.041901
0,53,calf_r,19.543231,-45.494890,9.087569
0,54,foot_r,60.190414,-51.273367,6.704015
0,55,toe_r,74.509272,-65.225560,1.462612
0,56,back_r,12.227807,-2.084114,5.804615
0,57,biceps_twist_l,1.127792,78.128740,-23.289526
0,58,biceps_twist_r,2.850234,80.966216,8.199510
0,59,thigh_twist_l,-22.208714,-3.482987,-9.619271
0,60,thigh_twist_r,8.943800,-16.522630,9.068514
1,0,pelvis,-18.437500,-1.562500,-0.763672
1,1,stomach,-19.916329,9.352856,-0.166562
1,2,chest,-18.244128,26.862586,-2.548972
1,3,neck,-7.661753,53.979486,-4.214492
1,4,head,-3.268672,66.903412,-5.418073
1,5,hair,3.102366,80.945889,-5.648209
1,7,zero_joint_hand_l,-18.244062,26.862719,-2.546942
1,8,clavicle_l,-10.274936,50.285378,-6.018576
1,9,arm_l,-4.451018,61.245374,-19.695447
1,10,forearm_l,7.045901,86.740892,-27.184298
1,11,forearm_twist_l,17.235296,87.109258,-20.975878
1,12,hand_l,28.044703,87.493753,-14.403998
1,13,weapon_l,-128.178910,275.818518,6.348025
1,14,f_big1_l,30.454997,82.483781,-11.508800
1,15,f_big2_l,32.324604,79.980218,-8.802768
1,16,f_big3_l,35.974311,80.107272,-5.866700
1,17,f_main1_l,39.251235,86.022600,-13.732431
1,18,f_main2_l,40.048279,85.481451,-9.105084
1,19,f_main3_l,35.698584,85.601761,-9.978205
1,20,f_pointer1_l,38.086064,80.919737,-12.912878
1,21,f_pointer2_l,40.611640,80.702203,-9.109901
1,22,f_pointer3_l,37.394633,81.753566,-8.323193
1,23,scapular_l,0.191085,59.922122,-13.266773
1,24,chest_l,-31.621330,41.100075,-11.380250
1,25,zero_joint_hand_r,-18.244147,26.862485,-2.548597
1,26,clavicle_r,-10.087365,50.467208,-1.858422
1,27,arm_r,-2.240464,63.559384,8.539452
1,28,forearm_r,11.931745,88.793412,7.717388
1,29,forearm_twist_r,21.101353,82.749506,3.038346
1,30,hand_r,30.828914,76.342070,-1.911404
1,31,weapon_r,35.819190,77.041270,-10.240697
1,32,f_big1_r,30.838869,70.590710,-3.801748
1,33,f_big2_r,32.480701,67.698067,-5.858196
1,34,f_big3_r,34.429856,65.209869,-8.716770
1,35,f_main1_r,39.750872,72.048096,-7.619629
1,36,f_main2_r,39.774324,71.880920,-12.586387
1,37,f_main3_r,35.141488,71.726553,-13.694712
1,38,f_pointer1_r,37.690764,67.449361,-5.957222
1,39,f_pointer2_r,41.337753,67.560700,-8.510441
1,40,f_pointer3_r,39.301869,67.004802,-11.214409
1,41,scapular_r,0.720096,61.785564,1.309424
1,42,chest_r,-30.813185,41.862325,6.209543
1,43,zero_joint_pelvis_l,-18.438828,-1.562873,-0.760931
1,44,thigh_l,-22.770372,-1.393314,-8.886683
1,45,calf_l,-69.667941,-15.668472,-10.878355
1,46,foot_l,-68.097017,-56.678392,-13.521146
1,47,toe_l,-88.352224,-60.504062,-15.023334
1,48,back_l,-13.137519,-5.677859,-12.697377
1,51,zero_joint_pelvis_r,-18.436846,-1.562887,-0.761773
1,52,thigh_r,-16.649226,-1.503350,8.272624
1,53,calf_r,-0.749276,-47.909127,9.180574
1,54,foot_r,39.925602,-53.231704,6.266797
1,55,toe_r,50.371939,-70.471186,1.701711
1,56,back_r,-6.795751,-5.791954,5.079087
1,57,biceps_twist_l,1.074824,73.497669,-23.293706
1,58,biceps_twist_r,4.567710,75.678678,8.145413
1,59,thigh_twist_l,-39.984670,-7.287209,-9.711946
1,60,thigh_twist_r,-10.147016,-18.530701,8.605500
2,0,pelvis,-27.375000,-3.125000,-1.562500
2,1,stomach,-27.723904,7.886423,-1.000977
2,2,chest,-23.914639,25.151689,-2.570321
2,3,neck,-10.751646,51.118241,-4.170550
2,4,head,-6.404423,64.076981,-5.144376
2,5,hair,1.565205,77.276288,-5.456712
2,7,zero_joint_hand_l,-23.916385,25.152688,-2.568130
2,8,clavicle_l,-13.826313,47.762491,-5.911418
2,9,arm_l,-8.606003,57.512722,-20.722057
2,10,forearm_l,5.291785,82.071361,-27.203429
2,11,forearm_twist_l,15.584552,82.111398,-21.156836
2,12,hand_l,26.503025,82.147704,-14.756340
2,13,weapon_l,-128.253976,275.766454,6.352090
2,14,f_big1_l,28.843354,77.157607,-11.768461
2,15,f_big2_l,30.587655,74.619133,-9.017613
2,16,f_big3_l,34.048757,74.541995,-5.859801
2,17,f_main1_l,37.672363,80.881139,-13.465388
2,18,f_main2_l,38.361083,80.235467,-8.830069
2,19,f_main3_l,34.019499,80.240332,-9.750553
2,20,f_pointer1_l,36.575459,75.746576,-12.751292
2,21,f_pointer2_l,39.044968,75.412290,-8.915411
2,22,f_pointer3_l,35.827151,76.428974,-8.079352
2,23,scapular_l,-3.545937,56.390249,-14.574066
2,24,chest_l,-36.260284,40.920744,-10.228252
2,25,zero_joint_hand_r,-23.914660,25.151551,-2.569962
2,26,clavicle_r,-13.384752,47.793700,-1.764660
2,27,arm_r,-5.203637,59.820781,9.615736
2,28,forearm_r,9.703132,84.621293,8.612615
2,29,forearm_twist_r,18.323535,78.130152,3.507942
2,30,hand_r,27.469353,71.248166,-1.893260
2,31,weapon_r,32.775194,72.310675,-10.173296
2,32,f_big1_r,27.608597,65.510212,-3.818909
2,33,f_big2_r,29.412570,62.639621,-5.767593
2,34,f_big3_r,31.539585,60.118223,-8.465765
2,35,f_main1_r,36.739198,67.008807,-7.079460
2,36,f_main2_r,37.162079,66.898284,-12.025907
2,37,f_main3_r,32.634351,66.723696,-13.503939
2,38,f_pointer1_r,34.586744,62.398125,-5.574758
2,39,f_pointer2_r,38.438169,62.596458,-7.785981
2,40,f_pointer3_r,36.661345,62.035318,-10.665790
2,41,scapular_r,-2.266932,58.527173,2.279265
2,42,chest_r,-34.386091,41.047734,7.296212
2,43,zero_joint_pelvis_l,-27.376311,-3.125221,-1.559975
2,44,thigh_l,-31.321950,-2.518063,-9.859494
2,45,calf_l,-77.009673,-20.387777,-10.518411
2,46,foot_l,-79.614330,-61.361916,-12.885113
2,47,toe_l,-99.891840,-65.283324,-13.666709
2,48,back_l,-22.040792,-7.797082,-13.274142
2,51,zero_joint_pelvis_r,-27.374442,-3.125451,-1.560486
2,52,thigh_r,-25.970446,-3.236268,7.540942
2,53,calf_r,-10.448767,-49.744669,9.322815
2,54,foot_r,30.018416,-56.591101,6.715310
2,55,toe_r,37.090350,-75.746193,3.491348
2,56,back_r,-16.496348,-8.541522,4.752121
2,57,biceps_twist_l,-1.926390,69.314670,-23.836206
2,58,biceps_twist_r,1.961345,71.738520,9.134424
2,59,thigh_twist_l,-48.058711,-9.735420,-10.191417
2,60,thigh_twist_r,-19.612004,-20.291833,8.195979
3,0,pelvis,-46.781250,-7.312500,-3.366577
3,1,stomach,-45.316871,3.602561,-2.729773
3,2,chest,-38.734108,20.083832,-3.042330
3,3,neck,-22.955850,44.577415,-4.136802
3,4,head,-18.616271,57.556314,-4.838131
3,5,hair,-9.263324,69.802244,-5.465676
3,7,zero_joint_hand_l,-38.734129,20.083782,-3.042331
3,8,clavicle_l,-26.512825,41.697374,-5.818878
3,9,arm_l,-22.842254,49.236365,-22.292014
3,10,forearm_l,-8.161512,73.715347,-27.143683
3,11,forearm_twist_l,2.320479,73.733820,-21.447630
3,12,hand_l,13.453264,73.748187,-15.411124
3,13,weapon_l,-128.280786,275.867987,6.252188
3,14,f_big1_l,15.993737,68.915777,-12.329009
3,15,f_big2_l,17.740888,66.457170,-9.508314
3,16,f_big3_l,20.891286,66.359470,-6.040980
3,17,f_main1_l,24.542355,73.485629,-13.177719
3,18,f_main2_l,25.116117,72.751099,-8.543959
3,19,f_main3_l,20.800695,72.238616,-9.444601
3,20,f_pointer1_l,23.879661,68.252678,-12.662808
3,21,f_pointer2_l,26.243826,67.929921,-8.760148
3,22,f_pointer3_l,22.969848,68.637176,-7.835882
3,23,scapular_l,-17.136750,48.765973,-16.648966
3,24,chest_l,-49.837019,37.571822,-8.571817
3,25,zero_joint_hand_r,-38.734126,20.083650,-3.041992
3,26,clavicle_r,-25.739525,41.381709,-1.723052
3,27,arm_r,-17.312942,51.846956,10.948413
3,28,forearm_r,-3.011519,77.005392,10.050692
3,29,forearm_twist_r,4.829482,70.287917,4.059184
3,30,hand_r,13.150084,63.165557,-2.282763
3,31,weapon_r,18.755089,65.222908,-10.292583
3,32,f_big1_r,13.901994,57.504531,-4.301460
3,33,f_big2_r,16.063972,54.829328,-6.161868
3,34,f_big3_r,18.609938,52.597578,-8.750136
3,35,f_main1_r,23.130787,59.787974,-6.729515
3,36,f_main2_r,23.899307,59.813435,-11.639293
3,37,f_main3_r,19.512833,59.335736,-13.430618
3,38,f_pointer1_r,21.227994,54.986630,-5.507898
3,39,f_pointer2_r,25.184403,55.487367,-7.481009
3,40,f_pointer3_r,23.620721,54.873874,-10.471630
3,41,scapular_r,-14.567379,51.568997,3.431377
3,42,chest_r,-46.559622,36.229024,8.695530
3,43,zero_joint_pelvis_l,-46.781248,-7.312554,-3.366583
3,44,thigh_l,-50.048842,-6.065669,-11.886365
3,45,calf_l,-92.075661,-31.354829,-10.731460
3,46,foot_l,-103.377410,-70.874797,-12.038461
3,47,toe_l,-123.669688,-74.761627,-11.507676
3,48,back_l,-41.588615,-12.829975,-14.773177
3,51,zero_joint_pelvis_r,-46.780886,-7.313034,-3.364473
3,52,thigh_r,-45.980779,-7.644030,5.804474
3,53,calf_r,-31.168068,-54.256018,9.681986
3,54,foot_r,8.816553,-63.645746,7.601424
3,55,toe_r,9.146607,-84.313930,7.399065
3,56,back_r,-37.373795,-14.465581,3.553869
3,57,biceps_twist_l,-15.786378,60.999949,-24.623074
3,58,biceps_twist_r,-10.438873,63.936734,10.517612
3,59,thigh_twist_l,-65.321702,-15.984365,-11.554128
3,60,thigh_twist_r,-39.882409,-24.747679,7.227930
4,0,pelvis,-66.468750,-14.687500,-5.333984
4,1,stomach,-65.168617,-3.754132,-4.656041
4,2,chest,-59.406662,13.028454,-4.200615
4,3,neck,-44.813036,38.263875,-4.735898
4,4,head,-44.077512,51.941961,-5.116158
4,5,hair,-38.304917,66.190200,-6.237829
4,7,zero_joint_hand_l,-59.406671,13.028410,-4.200619
4,8,clavicle_l,-48.336534,35.301915,-6.392708
4,9,arm_l,-50.545291,40.623539,-23.956181
4,10,forearm_l,-46.634901,69.309831,-24.254415
4,11,forearm_twist_l,-35.609463,71.402244,-20.184347
4,12,hand_l,-23.915690,73.620001,-15.881100
4,13,weapon_l,-128.277262,275.733597,6.345353
4,14,f_big1_l,-20.286476,69.435876,-12.943835
4,15,f_big2_l,-17.976549,67.592000,-10.059744
4,16,f_big3_l,-15.070231,68.564807,-6.515183
4,17,f_main1_l,-13.092974,75.960035,-13.553431
4,18,f_main2_l,-12.468777,75.444178,-8.896743
4,19,f_main3_l,-16.541442,73.783499,-9.518758
4,20,f_pointer1_l,-12.481154,70.706254,-13.226565
4,21,f_pointer2_l,-10.364941,70.987147,-9.180957
4,22,f_pointer3_l,-13.714116,70.811295,-8.272379
4,23,scapular_l,-43.666678,42.101238,-20.072194
4,24,chest_l,-71.558730,30.243490,-8.156553
4,25,zero_joint_hand_r,-59.406652,13.028252,-4.200292
4,26,clavicle_r,-47.327414,34.803276,-2.362930
4,27,arm_r,-42.824489,44.867035,12.453924
4,28,forearm_r,-36.614802,73.043291,10.041071
4,29,forearm_twist_r,-28.100133,68.049374,3.328014
4,30,hand_r,-19.064222,62.756882,-3.779909
4,31,weapon_r,-13.612058,66.017136,-11.166888
4,32,f_big1_r,-16.791776,57.591104,-5.979557
4,33,f_big2_r,-14.219719,55.577982,-8.129877
4,34,f_big3_r,-11.330446,54.720562,-11.142976
4,35,f_main1_r,-8.546148,62.399073,-8.256620
4,36,f_main2_r,-8.547287,62.364038,-13.226124
4,37,f_main3_r,-12.919260,60.803034,-14.305237
4,38,f_pointer1_r,-9.057624,57.222224,-7.210573
4,39,f_pointer2_r,-5.830407,58.268305,-10.083396
4,40,f_pointer3_r,-7.938380,57.288685,-12.605712
4,41,scapular_r,-39.534859,46.437377,5.324047
4,42,chest_r,-67.290629,28.132155,8.814928
