frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.323102,10.875768,1.817072
0,2,chest,1.379032,28.592513,2.071434
0,3,neck,-5.261635,56.831919,4.991094
0,4,head,-8.761636,69.821123,7.599964
0,5,hair,-6.362522,85.040178,8.277351
0,7,zero_joint_hand_l,1.377175,28.594215,2.073056
0,8,clavicle_l,-6.465491,52.236671,3.813151
0,9,arm_l,-19.596842,46.456723,-7.816748
0,10,forearm_l,-27.715934,20.977419,3.281400
0,11,forearm_twist_l,-30.012808,19.561258,14.901912
0,12,hand_l,-32.456117,18.059006,27.252943
0,13,weapon_l,-38.333308,13.793119,32.993263
0,14,f_big1_l,-37.346770,19.751696,30.389922
0,15,f_big2_l,-39.425603,19.818474,33.706062
0,16,f_big3_l,-39.451762,16.745468,36.664999
0,17,f_main1_l,-39.904528,10.320021,31.134325
0,18,f_main2_l,-37.873690,12.349458,35.195432
0,19,f_main3_l,-35.216668,15.890452,33.429910
0,20,f_pointer1_l,-43.114959,14.543444,31.259755
0,21,f_pointer2_l,-42.125148,14.359016,35.593753
0,22,f_pointer3_l,-39.808728,16.824128,35.037712
0,23,scapular_l,-18.884725,54.234506,-6.035186
0,24,chest_l,-18.554552,32.374298,8.970478
0,25,zero_joint_hand_r,1.380485,28.592569,2.072828
0,26,clavicle_r,-3.509230,52.622683,6.776103
0,27,arm_r,9.163973,50.966233,20.108050
0,28,forearm_r,3.101732,22.929693,24.043162
0,29,forearm_twist_r,-5.955248,15.452386,26.179726
0,30,hand_r,-15.558839,7.526414,28.444822
0,31,weapon_r,-38.284133,13.833264,32.988201
0,32,f_big1_r,-21.627953,9.072498,28.052086
0,33,f_big2_r,-25.265886,8.677336,26.129778
0,34,f_big3_r,-26.518971,4.842791,23.745987
0,35,f_main1_r,-23.621901,-0.369327,29.361620
0,36,f_main2_r,-24.020540,1.234208,24.933276
0,37,f_main3_r,-21.291694,4.733663,24.662868
0,38,f_pointer1_r,-26.825913,3.667153,30.597441
0,39,f_pointer2_r,-28.150395,3.133228,26.251762
0,40,f_pointer3_r,-25.987382,5.727099,25.410647
0,41,scapular_r,4.865687,57.693743,19.391182
0,42,chest_r,-6.166474,33.996373,21.396016
0,43,zero_joint_pelvis_l,0.001684,-0.000251,0.001066
0,44,thigh_l,-8.343318,1.180812,-3.711716
0,45,calf_l,-42.427228,-31.205631,10.307353
0,46,foot_l,-47.133473,-68.585576,-6.180721
0,47,toe_l,-59.563191,-78.662237,6.900897
0,48,back_l,-3.544074,-3.259447,-12.817709
0,51,zero_joint_pelvis_r,0.001825,-0.000578,0.001193
0,52,thigh_r,6.927124,-0.897762,6.005754
0,53,calf_r,25.856512,-38.472483,31.243575
0,54,foot_r,27.568603,-68.575753,3.277033
0,55,toe_r,34.771070,-78.640353,19.829798
0,56,back_r,12.275850,-5.412208,-2.751682
0,57,biceps_twist_l,-23.498714,34.211899,-2.483755
0,58,biceps_twist_r,6.254752,37.499452,21.996449
0,59,thigh_twist_l,-21.009215,-10.857065,1.499522
0,60,thigh_twist_r,13.956274,-14.851103,15.376891
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.323104,10.875768,1.817071
1,2,chest,1.379034,28.592513,2.071434
1,3,neck,-5.261644,56.831917,4.991088
1,4,head,-8.761658,69.821117,7.599959
1,5,hair,-6.362544,85.040172,8.277347
1,7,zero_joint_hand_l,1.377177,28.594215,2.073056
1,8,clavicle_l,-6.465489,52.236671,3.813151
1,9,arm_l,-19.596836,46.456732,-7.816757
1,10,forearm_l,-27.717253,20.977296,3.280115
1,11,forearm_twist_l,-30.013494,19.560523,14.900678
1,12,hand_l,-32.456144,18.057592,27.251757
1,13,weapon_l,-38.333368,13.791855,32.992154
1,14,f_big1_l,-37.347743,19.749453,30.389885
1,15,f_big2_l,-39.425226,19.816144,33.704569
1,16,f_big3_l,-39.451528,16.742778,36.663130
1,17,f_main1_l,-39.910771,10.313806,31.134575
1,18,f_main2_l,-37.879217,12.342443,35.195722
1,19,f_main3_l,-35.224185,15.880251,33.431362
1,20,f_pointer1_l,-43.120143,14.536883,31.260244
1,21,f_pointer2_l,-42.129914,14.351778,35.594118
1,22,f_pointer3_l,-39.813199,16.816627,35.038144
1,23,scapular_l,-18.884438,54.234622,-6.035565
1,24,chest_l,-18.554550,32.374298,8.970478
1,25,zero_joint_hand_r,1.380488,28.592569,2.072829
1,26,clavicle_r,-3.509228,52.622683,6.776103
1,27,arm_r,9.163974,50.966216,20.108049
1,28,forearm_r,3.101740,22.929673,24.043151
1,29,forearm_twist_r,-5.949313,15.457260,26.178315
1,30,hand_r,-15.558828,7.526388,28.444807
1,31,weapon_r,-38.284121,13.833238,32.988185
1,32,f_big1_r,-21.628200,9.072442,28.051129
1,33,f_big2_r,-25.266128,8.677286,26.128812
1,34,f_big3_r,-26.517577,4.845624,23.747192
1,35,f_main1_r,-23.621315,-0.370131,29.361471
1,36,f_main2_r,-24.020158,1.234552,24.929393
1,37,f_main3_r,-21.291694,4.734311,24.659067
1,38,f_pointer1_r,-26.824752,3.665570,30.597160
1,39,f_pointer2_r,-28.149396,3.131877,26.251502
1,40,f_pointer3_r,-25.987738,5.724437,25.410941
1,41,scapular_r,4.865689,57.693743,19.391182
1,42,chest_r,-6.166472,33.996373,21.396016
