frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-6.938115,7.662667,3.851568
0,2,chest,-22.728442,12.451307,10.435785
0,3,neck,-49.247269,1.539357,15.705330
0,4,head,-62.781715,-0.571813,16.075953
0,5,hair,-77.689981,3.322107,16.720314
0,7,zero_joint_hand_l,-22.728442,12.451307,10.435785
0,8,clavicle_l,-45.380046,2.209002,12.779917
0,9,arm_l,-50.347051,0.668819,-4.941579
0,10,forearm_l,-25.811836,-13.148693,1.795112
0,11,forearm_twist_l,-20.608865,-9.579196,11.928805
0,12,hand_l,-15.100628,-5.802859,22.679587
0,13,weapon_l,-77.012535,-48.644755,-10.768727
0,14,f_big1_l,-17.229295,-0.883508,25.502754
0,15,f_big2_l,-16.993982,2.922948,26.375841
0,16,f_big3_l,-13.372449,5.163535,26.680543
0,17,f_main1_l,-9.117748,-0.765934,31.023873
0,18,f_main2_l,-9.284682,2.556194,27.326374
0,19,f_main3_l,-12.237359,0.532138,24.173990
0,20,f_pointer1_l,-13.893830,1.176178,32.292313
0,21,f_pointer2_l,-12.258713,4.780535,30.251021
0,22,f_pointer3_l,-13.994398,3.821461,27.449909
0,23,scapular_l,-55.683929,-0.596517,0.898031
0,24,chest_l,-26.241645,-6.895801,1.890158
0,25,zero_joint_hand_r,-22.728292,12.451382,10.435755
0,26,clavicle_r,-44.537550,2.151091,16.897424
0,27,arm_r,-41.706247,4.879874,34.942706
0,28,forearm_r,-37.901862,-23.616127,31.509340
0,29,forearm_twist_r,-37.939418,-35.366411,29.403784
0,30,hand_r,-37.980198,-47.826273,27.183225
0,31,weapon_r,-59.882851,-48.557358,54.764310
0,32,f_big1_r,-41.444346,-49.883860,22.375000
0,33,f_big2_r,-43.724397,-50.757586,19.034958
0,34,f_big3_r,-45.538346,-50.512843,14.717198
0,35,f_main1_r,-49.212518,-48.871560,28.159317
0,36,f_main2_r,-53.519442,-50.769343,28.634954
0,37,f_main3_r,-57.959665,-50.770273,28.760788
0,38,f_pointer1_r,-49.253755,-48.663655,22.860921
0,39,f_pointer2_r,-53.554662,-50.130381,22.303381
0,40,f_pointer3_r,-56.933629,-50.770946,21.781044
0,41,scapular_r,-49.152697,4.377422,32.028982
0,42,chest_r,-22.709537,-7.134630,19.157492
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-5.575857,-0.950072,-7.268184
0,45,calf_l,8.631939,-45.484958,-22.164872
0,46,foot_l,48.816431,-45.112119,-13.427982
0,47,toe_l,68.250524,-46.253344,-20.339971
0,48,back_l,3.556257,1.975666,-13.075379
0,51,zero_joint_pelvis_r,0.000144,-0.000249,-0.000077
0,52,thigh_r,3.627798,-0.518223,8.449107
0,53,calf_r,-8.616683,-46.616967,19.942902
