frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.191042,10.810293,2.188503
0,2,chest,1.238963,28.529234,2.249633
0,3,neck,-3.435110,56.950923,-2.272266
0,4,head,-10.164030,68.306486,-5.953088
0,5,hair,-14.283238,82.011997,-11.678855
0,7,zero_joint_hand_l,1.238965,28.529203,2.249636
0,8,clavicle_l,-4.712622,52.252510,-2.778110
0,9,arm_l,-17.050309,47.320365,-15.605820
0,10,forearm_l,-27.725070,20.582280,-12.538613
0,11,forearm_twist_l,-34.270453,19.095911,-2.666804
0,12,hand_l,-41.218410,17.526718,7.794755
0,13,weapon_l,-35.925105,2.624716,12.188924
0,14,f_big1_l,-42.891951,20.812956,12.595971
0,15,f_big2_l,-42.875396,21.484941,16.450264
0,16,f_big3_l,-42.594713,18.482204,19.472314
0,17,f_main1_l,-48.086417,13.137876,15.817120
0,18,f_main2_l,-43.735460,13.933438,18.091378
0,19,f_main3_l,-40.528034,16.635188,15.835012
0,20,f_pointer1_l,-48.973755,18.270298,16.842933
0,21,f_pointer2_l,-46.139918,17.433504,20.169528
0,22,f_pointer3_l,-43.663352,18.808576,18.231879
0,23,scapular_l,-14.732969,54.954703,-14.932714
0,24,chest_l,-19.372738,34.371952,2.999335
0,25,zero_joint_hand_r,1.239003,28.529026,2.249656
0,26,clavicle_r,-2.531743,53.163314,0.695331
0,27,arm_r,3.598843,58.127371,17.394695
0,28,forearm_r,-10.670406,35.708132,28.885984
0,29,forearm_twist_r,-22.537434,35.160974,29.977642
0,30,hand_r,-35.134216,34.585459,31.147431
0,31,weapon_r,17.780525,2.009160,13.236291
0,32,f_big1_r,-39.682757,37.778427,28.232251
0,33,f_big2_r,-41.213919,39.370487,24.738465
0,34,f_big3_r,-40.295634,37.614154,20.488091
0,35,f_main1_r,-41.143172,29.811783,22.832501
0,36,f_main2_r,-38.788165,33.334804,20.730199
0,37,f_main3_r,-36.863072,35.626863,24.006952
0,38,f_pointer1_r,-44.766838,33.527207,23.910458
0,39,f_pointer2_r,-42.971870,35.477739,20.177705
0,40,f_pointer3_r,-41.025510,37.433038,22.293237
0,41,scapular_r,4.086001,63.197334,11.216250
0,42,chest_r,-10.214894,38.199462,17.556207
0,43,zero_joint_pelvis_l,0.000002,-0.000001,0.000003
0,44,thigh_l,-7.819906,1.396232,-4.660285
0,45,calf_l,-9.764649,-47.589295,-6.600666
0,46,foot_l,-7.657577,-88.430828,-10.935994
0,47,toe_l,-22.287771,-98.719862,-0.579407
0,48,back_l,-1.989067,-2.822983,-13.246144
0,51,zero_joint_pelvis_r,-0.000045,-0.000293,-0.000004
0,52,thigh_r,6.133811,-1.164973,6.770420
0,53,calf_r,13.133338,-48.843832,15.982474
0,54,foot_r,22.027315,-87.793104,6.362305
0,55,toe_r,22.206987,-97.792275,24.449527
0,56,back_r,12.461298,-5.474433,-1.409740
0,57,biceps_twist_l,-22.180159,34.470556,-14.133342
0,58,biceps_twist_r,-3.255182,47.360259,22.915150
0,59,thigh_twist_l,-8.062440,-16.780994,-5.792263
0,60,thigh_twist_r,8.911759,-18.959528,9.591353
1,0,pelvis,0.000000,0.000000,-0.003906
1,1,stomach,0.192943,10.810213,2.184825
1,2,chest,1.240725,28.529163,2.245663
1,3,neck,-3.442112,56.950397,-2.270023
1,4,head,-10.176212,68.305598,-5.942479
1,5,hair,-14.303327,82.010788,-11.663321
1,7,zero_joint_hand_l,1.240728,28.529134,2.245665
1,8,clavicle_l,-4.719783,52.251851,-2.774285
1,9,arm_l,-17.073276,47.318504,-15.586312
1,10,forearm_l,-27.699721,20.561213,-12.518830
1,11,forearm_twist_l,-34.227251,19.063028,-2.636991
1,12,hand_l,-41.156287,17.481284,7.835222
1,13,weapon_l,-35.836263,2.588379,12.234755
1,14,f_big1_l,-42.818854,20.775495,12.634786
1,15,f_big2_l,-42.791208,21.455234,16.487656
1,16,f_big3_l,-42.498217,18.458859,19.514847
