frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.292890,10.877792,1.810062
0,2,chest,1.336660,28.595170,2.070465
0,3,neck,-5.311742,56.833579,4.982157
0,4,head,-8.834072,70.003636,6.367230
0,5,hair,-6.527829,85.236921,7.047291
0,7,zero_joint_hand_l,1.336668,28.595210,2.070473
0,8,clavicle_l,-6.565263,52.201767,4.015429
0,9,arm_l,-19.212504,47.161887,-8.464220
0,10,forearm_l,-34.802547,29.372636,8.232383
0,11,forearm_twist_l,-37.315915,37.741791,16.365290
0,12,hand_l,-39.990982,46.618942,24.980446
0,13,weapon_l,-19.615505,57.200728,26.117880
0,14,f_big1_l,-35.432379,49.082792,28.118932
0,15,f_big2_l,-32.569051,48.666411,30.752423
0,16,f_big3_l,-33.124368,47.598736,34.844714
0,17,f_main1_l,-41.928627,52.139666,34.797553
0,18,f_main2_l,-39.893445,49.536321,38.514636
0,19,f_main3_l,-38.653456,46.536426,35.030173
0,20,f_pointer1_l,-37.216078,54.303831,33.667139
0,21,f_pointer2_l,-35.453582,52.269954,37.215192
0,22,f_pointer3_l,-34.201556,49.140838,36.567335
0,23,scapular_l,-15.696948,55.191814,-9.754653
0,24,chest_l,-17.936880,32.350430,10.679166
0,25,zero_joint_hand_r,1.336720,28.595051,2.070468
0,26,clavicle_r,-3.357534,52.680851,6.689028
0,27,arm_r,13.155392,52.099654,14.940102
0,28,forearm_r,0.460837,30.092761,28.826367
0,29,forearm_twist_r,-6.645736,39.683591,28.697739
0,30,hand_r,-14.186474,49.866798,28.571194
0,31,weapon_r,-19.607077,57.212370,26.123804
0,32,f_big1_r,-13.312440,55.180189,25.356341
0,33,f_big2_r,-14.393584,57.914876,22.445829
0,34,f_big3_r,-18.847370,58.865415,21.326137
0,35,f_main1_r,-21.349667,58.554571,29.685672
0,36,f_main2_r,-23.320682,59.233869,25.435019
0,37,f_main3_r,-21.475884,55.251701,24.749179
0,38,f_pointer1_r,-17.366553,61.511564,27.826499
0,39,f_pointer2_r,-19.451319,62.338174,23.839685
0,40,f_pointer3_r,-18.329220,59.226893,22.755703
0,41,scapular_r,9.954543,59.095571,12.727959
0,42,chest_r,-4.479955,34.360747,21.884704
0,43,zero_joint_pelvis_l,0.000049,0.000018,0.000024
0,44,thigh_l,-8.348297,1.155898,-3.712857
0,45,calf_l,-42.434885,-31.218743,10.326946
0,46,foot_l,-47.142471,-68.604850,-6.146767
0,47,toe_l,-59.609354,-78.672639,6.906284
0,48,back_l,-3.538660,-3.277318,-12.816074
0,51,zero_joint_pelvis_r,0.000002,-0.000252,0.000032
0,52,thigh_r,6.928780,-0.873753,6.004047
0,53,calf_r,25.844080,-38.458152,31.238019
0,54,foot_r,27.558705,-68.594802,3.307605
0,55,toe_r,34.750549,-78.666943,19.860401
0,56,back_r,12.288844,-5.379214,-2.750762
0,57,biceps_twist_l,-26.704794,38.613320,-0.439962
0,58,biceps_twist_r,7.054850,41.524420,21.614601
0,59,thigh_twist_l,-20.815095,-11.245893,1.033330
0,60,thigh_twist_r,13.956522,-15.181110,14.848889
1,0,pelvis,0.058594,-0.312500,-0.015625
1,1,stomach,0.271339,10.565003,1.807323
1,2,chest,1.128360,28.291913,2.098769
1,3,neck,-5.581091,56.530597,4.864065
1,4,head,-9.079243,69.716224,6.159370
1,5,hair,-6.827863,84.957590,6.842220
1,7,zero_joint_hand_l,1.128367,28.291946,2.098775
1,8,clavicle_l,-6.810330,51.900966,3.855526
1,9,arm_l,-18.925143,46.883784,-9.150392
1,10,forearm_l,-35.769701,26.569694,2.761034
1,11,forearm_twist_l,-38.984308,34.463085,11.119540
1,12,hand_l,-42.401758,42.836684,19.973047
1,13,weapon_l,-26.703624,55.754461,22.795511
1,14,f_big1_l,-38.811896,46.454485,23.248092
1,15,f_big2_l,-36.399453,46.950150,26.288114
1,16,f_big3_l,-37.426785,46.302644,30.377181
1,17,f_main1_l,-46.619992,49.075298,28.569245
1,18,f_main2_l,-44.594225,47.148348,32.687264
1,19,f_main3_l,-42.389427,44.121896,29.744836
1,20,f_pointer1_l,-42.211539,51.904874,27.715656
1,21,f_pointer2_l,-40.714102,50.569401,31.686947
