frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.497970,10.148662,3.528921
0,2,chest,-7.288111,27.090500,5.785341
0,3,neck,-20.372297,53.029469,8.247224
0,4,head,-24.986228,63.102397,16.310933
0,5,hair,-22.038586,78.238130,16.539181
0,7,zero_joint_hand_l,-7.287222,27.093167,5.785637
0,8,clavicle_l,-20.344514,48.165053,8.785671
0,9,arm_l,-37.265164,41.701464,5.178962
0,10,forearm_l,-43.931373,13.812149,1.175065
0,11,forearm_twist_l,-49.384064,4.371818,6.058567
0,12,hand_l,-54.998011,-5.676970,11.339962
0,13,weapon_l,51.314689,31.172219,-7.666773
0,14,f_big1_l,-54.678033,-7.681760,17.057337
0,15,f_big2_l,-54.334679,-9.481403,20.516424
0,16,f_big3_l,-56.027584,-12.230917,23.323133
0,17,f_main1_l,-63.696122,-11.313305,16.146847
0,18,f_main2_l,-64.682888,-13.678942,17.282421
0,19,f_main3_l,-62.032555,-17.528723,16.501305
0,20,f_pointer1_l,-61.316171,-9.781439,20.619956
0,21,f_pointer2_l,-63.668584,-13.215369,22.169673
0,22,f_pointer3_l,-62.642656,-16.466950,22.247898
0,23,scapular_l,-36.409271,48.627911,8.912490
0,24,chest_l,-19.505443,29.266877,23.269085
0,25,zero_joint_hand_r,-7.286250,27.091241,5.785442
0,26,clavicle_r,-16.587890,50.030651,9.061298
0,27,arm_r,-0.282191,58.657306,8.167009
0,28,forearm_r,25.945658,51.385554,-1.707454
0,29,forearm_twist_r,35.079848,43.798215,-2.771719
0,30,hand_r,44.832221,35.796718,-3.974267
0,31,weapon_r,51.277487,31.155267,-7.656089
0,32,f_big1_r,48.603580,30.509756,-3.094375
0,33,f_big2_r,49.570565,26.800445,-4.766361
0,34,f_big3_r,50.992527,26.262322,-8.975197
0,35,f_main1_r,54.772558,34.783314,-9.207902
0,36,f_main2_r,52.520383,31.087929,-11.071590
0,37,f_main3_r,48.835192,30.530696,-8.621075
0,38,f_pointer1_r,55.597263,31.389210,-5.862084
0,39,f_pointer2_r,57.464097,29.952443,-9.674627
0,40,f_pointer3_r,55.526525,27.074018,-9.350069
0,41,scapular_r,-6.955826,62.719074,9.879548
0,42,chest_r,-3.753210,37.094405,24.417008
0,43,zero_joint_pelvis_l,0.001111,0.001417,0.002958
0,44,thigh_l,-9.027124,-1.569745,-0.910709
0,45,calf_l,-42.490277,-34.180567,14.051930
0,46,foot_l,-38.771097,-71.852452,-2.018614
0,47,toe_l,-52.481448,-81.530437,10.044909
0,48,back_l,-6.351775,-3.416688,-11.636335
0,51,zero_joint_pelvis_r,0.000051,-0.000287,-0.000029
0,52,thigh_r,8.425475,1.183175,3.525877
0,53,calf_r,35.731584,-35.374723,21.554337
0,54,foot_r,44.161561,-73.264114,7.967755
0,55,toe_r,54.007651,-81.667277,24.080081
0,56,back_r,11.729377,-0.565593,-7.044110
0,57,biceps_twist_l,-40.486508,28.241649,3.342356
0,58,biceps_twist_r,12.418067,55.159378,3.541309
0,59,thigh_twist_l,-21.193646,-14.087138,4.234797
0,60,thigh_twist_r,18.525863,-12.819639,8.477608
1,0,pelvis,0.062500,-0.125000,0.023438
1,1,stomach,-2.378074,10.079417,3.429600
1,2,chest,-7.133580,27.023916,5.738683
1,3,neck,-20.525511,52.798382,8.272453
1,4,head,-25.115941,63.080404,16.067937
1,5,hair,-22.535011,78.279560,16.462382
1,7,zero_joint_hand_l,-7.132725,27.026585,5.739055
