frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-6.780087,8.676608,0.659821
0,2,chest,-16.286105,23.639461,1.560599
0,3,neck,-38.974496,41.919952,2.631790
0,4,head,-52.628082,40.946703,1.993030
0,5,hair,-67.613851,44.562738,1.562620
0,7,zero_joint_hand_l,-16.286105,23.639461,1.560599
0,8,clavicle_l,-36.393510,38.399844,0.419609
0,9,arm_l,-35.865243,32.691709,-17.136953
0,10,forearm_l,-21.304741,9.417847,-26.334917
0,11,forearm_twist_l,-23.566440,-1.644582,-30.185224
0,12,hand_l,-25.963605,-13.387595,-34.275913
0,13,weapon_l,-31.975475,-20.471547,-34.657096
0,14,f_big1_l,-30.054674,-15.596115,-38.481480
0,15,f_big2_l,-33.772874,-17.200910,-39.305456
0,16,f_big3_l,-36.227044,-19.728295,-36.213105
0,17,f_main1_l,-29.755452,-24.021636,-33.634744
0,18,f_main2_l,-33.582490,-21.345269,-32.899631
0,19,f_main3_l,-32.314043,-17.170239,-33.712083
0,20,f_pointer1_l,-30.939478,-23.450421,-38.768362
0,21,f_pointer2_l,-35.157108,-22.873829,-37.093577
0,22,f_pointer3_l,-34.636804,-19.443152,-37.315078
0,23,scapular_l,-38.776912,39.923815,-15.294450
0,24,chest_l,-34.559736,15.598871,-6.256320
0,25,zero_joint_hand_r,-16.285965,23.639364,1.560593
0,26,clavicle_r,-36.174722,38.424720,4.617053
0,27,arm_r,-31.774892,40.829095,22.392181
0,28,forearm_r,-39.039756,20.318228,41.492169
0,29,forearm_twist_r,-45.336769,17.343331,31.796727
0,30,hand_r,-52.025155,14.206298,21.520282
0,31,weapon_r,-56.066818,9.555674,15.756578
0,32,f_big1_r,-51.950783,11.326838,16.190699
0,33,f_big2_r,-52.857911,8.246407,13.958293
0,34,f_big3_r,-56.293253,5.767914,14.460900
0,35,f_main1_r,-61.718521,12.161219,15.792292
0,36,f_main2_r,-59.964378,7.686456,17.061124
0,37,f_main3_r,-55.703836,8.679913,18.944481
0,38,f_pointer1_r,-58.357375,11.745592,11.705790
0,39,f_pointer2_r,-59.006468,7.406202,12.446068
0,40,f_pointer3_r,-56.044768,7.391840,14.173186
0,41,scapular_r,-35.447626,46.646203,18.285462
0,42,chest_r,-33.636648,15.709210,11.345651
