frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.485408,10.160072,3.504877
0,2,chest,-7.287362,27.099062,5.757567
0,3,neck,-20.361744,53.041054,8.239592
0,4,head,-24.989245,63.134643,16.269620
0,5,hair,-23.469798,78.462373,16.857235
0,7,zero_joint_hand_l,-7.287382,27.099052,5.757563
0,8,clavicle_l,-20.334634,48.174491,8.774901
0,9,arm_l,-37.259054,41.725933,5.158988
0,10,forearm_l,-43.929484,13.836715,1.161446
0,11,forearm_twist_l,-49.383207,4.383121,6.037251
0,12,hand_l,-54.990994,-5.667013,11.303878
0,13,weapon_l,51.383464,31.214334,-7.709473
0,14,f_big1_l,-54.659841,-7.670263,17.024313
0,15,f_big2_l,-54.310117,-9.470460,20.484683
0,16,f_big3_l,-55.996625,-12.221909,23.293368
0,17,f_main1_l,-63.677158,-11.312193,16.121977
0,18,f_main2_l,-64.660778,-13.680593,17.259875
0,19,f_main3_l,-62.007905,-17.527952,16.475418
0,20,f_pointer1_l,-61.293312,-9.777418,20.592014
0,21,f_pointer2_l,-63.642663,-13.216803,22.145475
0,22,f_pointer3_l,-62.613575,-16.467427,22.221937
0,23,scapular_l,-36.399070,48.649800,8.896309
0,24,chest_l,-19.464498,29.299400,23.266290
0,25,zero_joint_hand_r,-7.287283,27.098871,5.757554
0,26,clavicle_r,-16.578005,50.040426,9.049648
0,27,arm_r,-0.289491,58.697837,8.139542
0,28,forearm_r,25.943012,51.430388,-1.725720
0,29,forearm_twist_r,35.087610,43.856612,-2.797194
0,30,hand_r,44.851045,35.869778,-4.007435
0,31,weapon_r,51.328024,31.227394,-7.717949
0,32,f_big1_r,48.608032,30.573206,-3.113841
0,33,f_big2_r,49.567228,26.858292,-4.777855
0,34,f_big3_r,50.992399,26.309153,-8.980029
0,35,f_main1_r,54.795161,34.818562,-9.226758
0,36,f_main2_r,52.535169,31.125963,-11.086504
0,37,f_main3_r,48.842055,30.583084,-8.637582
0,38,f_pointer1_r,55.606002,31.428122,-5.873141
0,39,f_pointer2_r,57.473914,29.979118,-9.680522
0,40,f_pointer3_r,55.526994,27.104966,-9.352920
0,41,scapular_r,-6.962471,62.750971,9.856339
0,42,chest_r,-3.735618,37.092238,24.394532
0,43,zero_joint_pelvis_l,-0.000014,0.000031,0.000009
0,44,thigh_l,-9.031056,-1.560509,-0.907499
0,45,calf_l,-42.528669,-34.147545,14.029833
0,46,foot_l,-38.845734,-71.815182,-2.059005
0,47,toe_l,-52.502976,-81.548196,10.020477
0,48,back_l,-6.354883,-3.431200,-11.645497
0,51,zero_joint_pelvis_r,0.000056,-0.000249,-0.000008
0,52,thigh_r,8.427335,1.180571,3.522286
