frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.491475,10.153494,3.519602
0,2,chest,-7.279032,27.096087,5.775832
0,3,neck,-20.367751,53.033469,8.230329
0,4,head,-24.979306,63.097588,16.306386
0,5,hair,-22.026160,78.232448,16.520931
0,7,zero_joint_hand_l,-7.279032,27.096087,5.775832
0,8,clavicle_l,-20.336822,48.168197,8.769380
0,9,arm_l,-37.258740,41.709390,5.160054
0,10,forearm_l,-43.922118,13.822070,1.137587
0,11,forearm_twist_l,-49.295496,4.375009,6.075578
0,12,hand_l,-55.001409,-5.653013,11.315593
0,13,weapon_l,51.314244,31.133387,-7.671183
0,14,f_big1_l,-54.683078,-7.660462,17.030929
0,15,f_big2_l,-54.341700,-9.462454,20.488989
0,16,f_big3_l,-56.036364,-12.213702,23.292958
0,17,f_main1_l,-63.702253,-11.290660,16.115712
0,18,f_main2_l,-64.690862,-13.656889,17.249768
0,19,f_main3_l,-62.040935,-17.506676,16.467272
0,20,f_pointer1_l,-61.319769,-9.759563,20.584232
0,21,f_pointer2_l,-63.673218,-13.194279,22.130630
0,22,f_pointer3_l,-62.648873,-16.444361,22.206708
0,23,scapular_l,-36.392729,48.635341,8.893195
0,24,chest_l,-19.502948,29.270277,23.255239
0,25,zero_joint_hand_r,-7.278955,27.095937,5.775805
0,26,clavicle_r,-16.583155,50.035489,9.044020
0,27,arm_r,-0.278116,58.664745,8.162904
0,28,forearm_r,25.950502,51.398536,-1.713596
0,29,forearm_twist_r,35.112924,43.824888,-2.806194
0,30,hand_r,44.826748,35.794834,-3.964003
0,31,weapon_r,51.270968,31.113895,-7.656901
0,32,f_big1_r,48.609094,30.515019,-3.094440
0,33,f_big2_r,49.582264,26.813628,-4.770621
0,34,f_big3_r,50.999840,26.284831,-8.977966
0,35,f_main1_r,54.749075,34.811690,-9.204643
0,36,f_main2_r,52.505179,31.116734,-11.069317
0,37,f_main3_r,48.820247,30.547456,-8.614075
0,38,f_pointer1_r,55.592710,31.415135,-5.865450
0,39,f_pointer2_r,57.459273,29.987183,-9.681436
0,40,f_pointer3_r,55.528287,27.104215,-9.357720
0,41,scapular_r,-6.960435,62.721512,9.871989
0,42,chest_r,-3.753105,37.102022,24.407165
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.030081,-1.565002,-0.909550
0,45,calf_l,-42.505641,-34.161171,14.057263
0,46,foot_l,-38.751231,-71.817236,-2.042142
0,47,toe_l,-52.470926,-81.474270,10.027547
0,48,back_l,-6.355296,-3.424679,-11.636044
0,51,zero_joint_pelvis_r,0.000054,-0.000291,-0.000032
0,52,thigh_r,8.426411,1.180630,3.524455
0,53,calf_r,36.325416,-34.071216,23.173420
0,54,foot_r,44.275858,-71.748144,8.733711
0,55,toe_r,53.994171,-81.615344,24.075108
0,56,back_r,11.728863,-0.579358,-7.043857
0,57,biceps_twist_l,-40.458901,28.314980,3.228077
0,58,biceps_twist_r,12.326638,55.172824,3.416559
0,59,thigh_twist_l,-21.471175,-13.680043,4.652589
0,60,thigh_twist_r,18.795076,-11.921496,10.826340
1,0,pelvis,-1.445312,-3.500000,0.039062
1,1,stomach,-3.010022,6.974498,3.125331
1,2,chest,-6.877968,24.202267,4.943497
1,3,neck,-18.416104,50.858128,7.477932
1,4,head,-22.891948,61.176176,15.306109
1,5,hair,-20.361820,76.381840,14.839933
1,7,zero_joint_hand_l,-6.877968,24.202267,4.943497
1,8,clavicle_l,-18.548809,46.026716,8.259237
1,9,arm_l,-35.518955,39.218052,5.660972
1,10,forearm_l,-43.704592,11.768407,1.442466
1,11,forearm_twist_l,-48.754742,3.002858,7.780055
1,12,hand_l,-54.117117,-6.301907,14.506326
1,13,weapon_l,49.228745,31.357379,-9.292203
1,14,f_big1_l,-53.498983,-7.599344,20.431590
1,15,f_big2_l,-53.124626,-8.790912,24.183487
1,16,f_big3_l,-54.142503,-11.641598,27.305431
1,17,f_main1_l,-61.645359,-12.952256,19.908912
1,18,f_main2_l,-61.928229,-15.708287,21.509724
1,19,f_main3_l,-59.443229,-19.621262,22.272488
1,20,f_pointer1_l,-59.697323,-10.550184,24.207768
1,21,f_pointer2_l,-61.249272,-14.154030,26.346498
1,22,f_pointer3_l,-60.059341,-17.235803,27.261565
1,23,scapular_l,-34.603743,46.398457,8.854596
1,24,chest_l,-16.966148,27.796912,23.517351
1,25,zero_joint_hand_r,-6.877901,24.202112,4.943470
1,26,clavicle_r,-14.704967,47.711766,8.026591
1,27,arm_r,0.828161,57.211024,4.931314
1,28,forearm_r,26.176985,54.419868,-8.777443
1,29,forearm_twist_r,34.119650,45.619850,-7.439086
1,30,hand_r,42.551051,36.277997,-6.017914
1,31,weapon_r,49.195968,31.354837,-9.263751
1,32,f_big1_r,46.096358,30.885074,-4.887107
1,33,f_big2_r,47.004898,27.119325,-6.452555
1,34,f_big3_r,48.584200,26.458490,-10.582932
1,35,f_main1_r,52.657035,34.837889,-10.797993
1,36,f_main2_r,50.364028,31.193460,-12.692245
1,37,f_main3_r,46.557456,30.804503,-10.392301
1,38,f_pointer1_r,53.221681,31.479079,-7.363733
1,39,f_pointer2_r,55.198570,29.911821,-11.067796
1,40,f_pointer3_r,53.149838,27.105100,-10.778944
1,41,scapular_r,-5.746077,60.902612,7.599827
1,42,chest_r,-0.845627,34.860696,22.541401
1,43,zero_joint_pelvis_l,-1.445312,-3.500000,0.039062
1,44,thigh_l,-10.546427,-4.735055,0.719554
1,45,calf_l,-45.803280,-34.497374,17.401509
1,46,foot_l,-39.634490,-70.383337,-1.714173
1,47,toe_l,-52.460365,-81.546232,10.035399
1,48,back_l,-9.725281,-7.460725,-10.123148
1,51,zero_joint_pelvis_r,-1.445274,-3.500295,0.039044
1,52,thigh_r,7.477313,-2.437131,2.058327
1,53,calf_r,36.841795,-34.625180,24.614605
1,54,foot_r,44.249607,-71.830984,8.736378
1,55,toe_r,53.988535,-81.675045,24.079567
1,56,back_r,8.946456,-5.080021,-8.737752
1,57,biceps_twist_l,-39.450264,26.033846,3.634814
1,58,biceps_twist_r,13.003258,55.870356,-1.653018
1,59,thigh_twist_l,-23.649574,-15.796933,6.919138
1,60,thigh_twist_r,18.371985,-14.380121,10.426414
2,0,pelvis,-5.205078,-9.812500,0.609375
2,1,stomach,-5.084675,1.015250,2.715035
2,2,chest,-7.306587,18.600235,3.660629
2,3,neck,-16.011315,46.299228,6.321537
2,4,head,-20.167626,57.136049,13.606041
2,5,hair,-18.636437,72.381522,11.856147
2,7,zero_joint_hand_l,-7.306587,18.600235,3.660629
2,8,clavicle_l,-16.250397,41.578735,7.598403
2,9,arm_l,-33.071884,33.954316,7.575305
2,10,forearm_l,-45.441055,7.919493,4.841253
2,11,forearm_twist_l,-48.879094,0.528140,13.551318
2,12,hand_l,-52.529334,-7.317858,22.797644
2,13,weapon_l,43.551285,33.073209,-12.730998
2,14,f_big1_l,-51.880664,-7.187023,28.924137
2,15,f_big2_l,-51.924293,-7.431380,32.951797
2,16,f_big3_l,-51.649306,-9.556369,36.882885
2,17,f_main1_l,-56.748087,-15.661335,29.304853
2,18,f_main2_l,-55.438636,-18.459140,32.160015
2,19,f_main3_l,-53.659750,-21.265192,35.355437
2,20,f_pointer1_l,-56.462245,-12.007550,33.138126
2,21,f_pointer2_l,-56.274001,-15.243679,36.293060
2,22,f_pointer3_l,-54.894706,-17.486670,38.536109
2,23,scapular_l,-32.208445,41.581106,9.493803
2,24,chest_l,-11.924604,24.582538,23.724698
2,25,zero_joint_hand_r,-7.306540,18.600074,3.660602
2,26,clavicle_r,-12.499802,42.888473,6.224989
2,27,arm_r,0.588319,53.685570,-1.070113
2,28,forearm_r,21.219508,55.079655,-21.335699
2,29,forearm_twist_r,28.534559,47.160597,-16.209058
2,30,hand_r,36.290002,38.764917,-10.773404
2,31,weapon_r,43.472303,33.055247,-12.694653
2,32,f_big1_r,39.375304,33.246874,-9.050839
2,33,f_big2_r,40.205069,29.358607,-10.347933
2,34,f_big3_r,42.136771,28.404314,-14.256769
2,35,f_main1_r,46.718271,36.524143,-14.442458
2,36,f_main2_r,44.402612,32.915896,-16.396884
2,37,f_main3_r,40.372150,32.856420,-14.477816
2,38,f_pointer1_r,46.739850,33.318889,-10.822124
2,39,f_pointer2_r,48.972654,31.458957,-14.233882
2,40,f_pointer3_r,46.742695,28.791328,-14.027809
2,41,scapular_r,-5.270609,56.820359,3.381826
2,42,chest_r,3.804578,30.072319,17.964851
2,43,zero_joint_pelvis_l,-5.205078,-9.812500,0.609375
2,44,thigh_l,-13.732897,-10.077636,4.077044
2,45,calf_l,-51.028558,-35.243845,23.642945
2,46,foot_l,-41.330559,-67.366824,-0.133696
2,47,toe_l,-52.447851,-81.523750,10.022730
2,48,back_l,-16.409628,-13.912526,-6.111012
2,51,zero_joint_pelvis_r,-5.205066,-9.812797,0.609382
2,52,thigh_r,3.959165,-9.437995,-0.225256
2,53,calf_r,35.980171,-35.549398,26.231857
2,54,foot_r,44.202573,-71.844823,8.730432
2,55,toe_r,53.988572,-81.637156,24.076772
2,56,back_r,1.918063,-13.249625,-10.569392
2,57,biceps_twist_l,-39.015949,21.442619,6.261284
2,58,biceps_twist_r,10.497433,54.355283,-10.803803
2,59,thigh_twist_l,-27.570135,-19.415316,11.335993
2,60,thigh_twist_r,15.849765,-19.134821,9.598596
3,0,pelvis,-10.310547,-13.187500,2.128906
3,1,stomach,-9.514443,-2.278380,3.559217
3,2,chest,-11.132839,15.393758,3.932154
3,3,neck,-18.697812,43.415790,6.693284
3,4,head,-22.500287,54.674931,13.500230
3,5,hair,-21.841705,69.856593,10.870687
3,7,zero_joint_hand_l,-11.132839,15.393758,3.932154
3,8,clavicle_l,-18.581833,38.812606,8.357006
3,9,arm_l,-34.608845,30.262552,11.692600
3,10,forearm_l,-49.445573,5.486963,13.772298
3,11,forearm_twist_l,-50.530755,-0.992022,23.739697
3,12,hand_l,-51.681137,-7.859417,34.308338
3,13,weapon_l,34.953168,37.451800,-15.697798
3,14,f_big1_l,-51.670424,-6.943427,40.433657
3,15,f_big2_l,-52.200004,-7.079091,44.471032
3,16,f_big3_l,-51.752073,-7.975095,48.910193
3,17,f_main1_l,-51.366336,-16.656987,41.520012
3,18,f_main2_l,-48.811467,-18.277103,45.287823
3,19,f_main3_l,-47.365424,-20.117384,49.213391
3,20,f_pointer1_l,-53.348696,-13.173646,45.000694
3,21,f_pointer2_l,-51.782524,-15.329867,48.684699
