frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.165460,10.120761,3.816995
0,2,chest,-3.101532,27.845840,3.726917
0,3,neck,-13.180429,52.618194,15.338687
0,4,head,-18.542868,64.684294,19.003262
0,5,hair,-17.591487,79.952779,20.953256
0,7,zero_joint_hand_l,-3.101545,27.845855,3.726911
0,8,clavicle_l,-13.894261,48.202396,13.350912
0,9,arm_l,-28.645803,46.967234,2.307311
0,10,forearm_l,-34.191658,23.261230,-13.362798
0,11,forearm_twist_l,-39.986783,12.942616,-14.926966
0,12,hand_l,-46.132239,2.003023,-16.582063
0,13,weapon_l,-47.680492,-7.292281,-16.462276
0,14,f_big1_l,-50.165666,-1.635408,-13.899750
0,15,f_big2_l,-51.028062,-4.840139,-11.831398
0,16,f_big3_l,-48.823277,-8.495259,-11.917941
0,17,f_main1_l,-47.851088,-8.656170,-20.352188
0,18,f_main2_l,-45.919785,-9.176684,-15.798602
0,19,f_main3_l,-45.762005,-4.702984,-14.162601
0,20,f_pointer1_l,-52.452111,-8.057160,-17.772809
0,21,f_pointer2_l,-50.325270,-10.522232,-14.734418
0,22,f_pointer3_l,-49.626380,-7.614306,-13.054891
0,23,scapular_l,-27.932502,53.041924,7.481708
0,24,chest_l,-20.486992,25.463241,16.045608
0,25,zero_joint_hand_r,-3.101473,27.845725,3.726849
0,26,clavicle_r,-10.308323,48.655181,15.496418
0,27,arm_r,7.423698,52.546175,18.892050
0,28,forearm_r,27.690814,31.962242,16.935218
0,29,forearm_twist_r,32.876825,24.171257,24.345328
0,30,hand_r,38.374184,15.911671,32.202743
0,31,weapon_r,40.852304,6.923949,33.595137
0,32,f_big1_r,39.070374,12.133740,37.163687
0,33,f_big2_r,38.537275,8.410159,38.886752
0,34,f_big3_r,38.316454,4.432094,36.412950
0,35,f_main1_r,44.518123,6.430714,31.445210
0,36,f_main2_r,40.117873,4.911499,32.263909
0,37,f_main3_r,37.727289,8.550986,33.161318
0,38,f_pointer1_r,44.871262,6.757322,36.726068
0,39,f_pointer2_r,41.661018,3.505634,36.513814
0,40,f_pointer3_r,39.286067,6.000049,36.987613
0,41,scapular_r,1.810342,58.211012,19.618297
0,42,chest_r,-5.444115,27.367858,25.033294
0,43,zero_joint_pelvis_l,0.000008,-0.000004,-0.000008
0,44,thigh_l,-8.954538,-0.830349,-1.985727
