frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,2.873851,9.992934,3.683848
0,2,chest,0.899738,26.032299,11.025808
0,3,neck,-6.580204,40.811249,35.019975
0,4,head,-11.903683,47.491125,45.914579
0,5,hair,-14.766872,61.320972,52.109070
0,7,zero_joint_hand_l,0.899732,26.032301,11.025815
0,8,clavicle_l,-6.738941,36.798795,32.220770
0,9,arm_l,-22.166184,33.698304,22.552168
0,10,forearm_l,-42.541639,26.273956,3.368755
0,11,forearm_twist_l,-51.122193,17.987347,3.827144
0,12,hand_l,-60.219640,9.202130,4.314052
0,13,weapon_l,-51.790131,9.323826,0.324398
0,14,f_big1_l,-55.321295,5.647871,4.563506
0,15,f_big2_l,-51.450855,5.183553,4.902701
0,16,f_big3_l,-48.507891,7.970603,3.561472
0,17,f_main1_l,-52.258145,9.586282,-3.885494
0,18,f_main2_l,-49.999597,11.228987,0.229689
0,19,f_main3_l,-53.261167,10.504545,3.627846
0,20,f_pointer1_l,-51.095590,4.768842,-1.979604
0,21,f_pointer2_l,-47.811492,7.045389,-0.014579
0,22,f_pointer3_l,-49.732364,7.108628,2.828263
0,23,scapular_l,-22.385247,38.076699,29.257769
0,24,chest_l,0.908970,12.068055,27.292570
0,25,zero_joint_hand_r,0.899781,26.032227,11.025671
0,26,clavicle_r,-3.211762,39.065482,31.923672
0,27,arm_r,13.596165,46.304576,29.436938
0,28,forearm_r,38.080191,41.134653,14.873700
0,29,forearm_twist_r,39.860580,34.484987,24.626446
0,30,hand_r,41.750246,27.434822,34.965934
0,31,weapon_r,43.420000,18.729132,37.732404
0,32,f_big1_r,35.728735,29.197886,34.780315
0,33,f_big2_r,31.730727,28.215761,35.201139
0,34,f_big3_r,30.202905,24.776189,37.996898
0,35,f_main1_r,35.214317,26.719863,44.182680
0,36,f_main2_r,33.303984,23.656393,41.126210
0,37,f_main3_r,35.436776,24.291573,37.282037
0,38,f_pointer1_r,32.152463,30.303029,41.755860
0,39,f_pointer2_r,29.610050,26.603660,40.852303
0,40,f_pointer3_r,31.129322,26.481396,37.726259
0,41,scapular_r,8.740608,49.167301,35.135256
0,42,chest_r,-3.114743,39.027118,-5.549551
0,43,zero_joint_pelvis_l,0.000006,-0.000008,-0.000007
0,44,thigh_l,-8.191973,1.211364,4.029944
0,45,calf_l,-49.391330,-20.249161,19.815625
0,46,foot_l,-59.830223,-42.996440,-1.644642
0,47,toe_l,-73.206373,-50.855763,12.011528
0,48,back_l,-12.114838,-0.156116,-6.381381
0,51,zero_joint_pelvis_r,-0.000052,-0.000312,-0.000050
0,52,thigh_r,8.933895,-1.688666,-1.467486
0,53,calf_r,37.253810,-15.341620,36.198257
0,54,foot_r,37.950666,-42.195555,27.559819
0,55,toe_r,50.743950,-30.098564,38.386694
0,56,back_r,5.626884,-3.159572,-12.077815
0,57,biceps_twist_l,-31.957866,30.130273,13.332990
0,58,biceps_twist_r,25.361331,43.821366,22.435819
0,59,thigh_twist_l,-23.503955,-6.764760,9.896549
0,60,thigh_twist_r,19.459368,-6.763697,12.530761
1,0,pelvis,1.603027,1.125000,0.484375
1,1,stomach,3.776202,11.307008,4.130265
1,2,chest,0.813228,27.584431,10.559031
1,3,neck,-8.849429,44.399656,32.329841
1,4,head,-15.256052,51.937407,42.014369
1,5,hair,-19.467853,66.068447,46.531962
1,7,zero_joint_hand_l,0.813220,27.584430,10.559043
1,8,clavicle_l,-8.612791,40.100784,30.000856
1,9,arm_l,-23.200050,34.830162,19.974534
1,10,forearm_l,-41.995072,25.087203,0.223448
1,11,forearm_twist_l,-50.655394,16.899592,0.905898
1,12,hand_l,-59.837856,8.219776,1.629689
1,13,weapon_l,-51.287625,8.105659,-2.094463
1,14,f_big1_l,-55.068652,4.503034,1.989254
1,15,f_big2_l,-51.228047,3.907382,2.443021
1,16,f_big3_l,-48.154789,6.609887,1.226826
1,17,f_main1_l,-51.614230,8.428752,-6.313473
1,18,f_main2_l,-49.433642,9.951489,-2.111028
1,19,f_main3_l,-52.822375,9.298734,1.175388
1,20,f_pointer1_l,-50.670359,3.555271,-4.429339
1,21,f_pointer2_l,-47.376952,5.700708,-2.336528
1,22,f_pointer3_l,-49.383146,5.796810,0.445818
1,23,scapular_l,-24.036846,40.221472,25.841137
1,24,chest_l,0.764914,15.534146,28.290255
1,25,zero_joint_hand_r,0.813282,27.584365,10.558922
1,26,clavicle_r,-5.216977,42.547948,29.617361
1,27,arm_r,10.777874,50.616302,25.127247
1,28,forearm_r,37.504120,47.424434,14.459387
1,29,forearm_twist_r,38.176926,40.792725,24.362502
1,30,hand_r,38.892356,33.761621,34.861664
1,31,weapon_r,40.482833,24.983058,37.438036
1,32,f_big1_r,33.004839,35.156804,33.190720
1,33,f_big2_r,29.128326,33.897977,32.473973
1,34,f_big3_r,27.208591,30.157721,34.549129
1,35,f_main1_r,30.261279,31.907813,41.950094
1,36,f_main2_r,29.467550,28.985909,38.315717
1,37,f_main3_r,32.469419,30.057542,35.222126
1,38,f_pointer1_r,27.657665,35.476613,39.019505
1,39,f_pointer2_r,25.746483,31.710714,37.250042
1,40,f_pointer3_r,28.032345,31.933301,34.638416
1,41,scapular_r,5.810621,54.082125,30.375649
1,42,chest_r,-3.055255,38.375690,-7.560219
1,43,zero_joint_pelvis_l,1.603030,1.124983,0.484363
1,44,thigh_l,-6.831185,1.970532,4.085129
1,45,calf_l,-48.376437,-18.973239,19.656878
1,46,foot_l,-59.545772,-43.037234,-1.635233
1,47,toe_l,-73.091036,-50.741325,11.942474
1,48,back_l,-10.154050,0.247055,-6.480985
1,51,zero_joint_pelvis_r,1.602991,1.124682,0.484328
1,52,thigh_r,10.673527,-0.120620,-0.512633
1,53,calf_r,38.917237,-15.737086,36.440685
1,54,foot_r,38.033777,-42.229255,27.550929
1,55,toe_r,50.900119,-30.204658,38.371875
1,56,back_r,7.980161,-1.918457,-11.245411
1,57,biceps_twist_l,-32.232208,30.147864,10.482571
1,58,biceps_twist_r,23.620879,49.083651,19.997985
1,59,thigh_twist_l,-22.271720,-5.813535,9.872237
1,60,thigh_twist_r,21.170632,-5.925398,13.220822
2,0,pelvis,3.298828,2.781250,1.207031
2,1,stomach,4.405260,13.176774,4.728021
2,2,chest,-0.006903,29.500404,10.125674
2,3,neck,-12.816040,48.261087,28.402701
2,4,head,-20.597213,56.746610,36.090471
2,5,hair,-26.599585,70.786438,38.255880
2,7,zero_joint_hand_l,-0.006911,29.500416,10.125680
2,8,clavicle_l,-12.058235,43.719590,26.741142
2,9,arm_l,-25.112967,36.073842,16.148161
2,10,forearm_l,-40.779555,23.651348,-4.792782
2,11,forearm_twist_l,-49.574671,15.616543,-4.023520
2,12,hand_l,-58.900337,7.098990,-3.208715
2,13,weapon_l,-50.134967,6.484294,-6.335887
2,14,f_big1_l,-54.325637,3.218500,-2.370451
