frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.794008,10.458211,3.015929
0,2,chest,0.079927,27.370059,8.180110
0,3,neck,-4.564114,48.306527,27.933188
0,4,head,-8.822853,55.625978,38.706508
0,5,hair,-10.532640,70.457945,42.538310
0,7,zero_joint_hand_l,0.081052,27.369069,8.181423
0,8,clavicle_l,-4.981394,43.674538,26.402412
0,9,arm_l,-16.586384,30.689503,32.551218
0,10,forearm_l,-24.609110,5.935853,45.246732
0,11,forearm_twist_l,-19.464839,-2.678690,51.714347
0,12,hand_l,-14.012509,-11.811988,58.572600
0,13,weapon_l,-5.828022,-16.085421,58.905051
0,14,f_big1_l,-8.420318,-10.963694,55.860216
0,15,f_big2_l,-5.075267,-12.587522,54.054744
0,16,f_big3_l,-2.487447,-16.487175,53.755778
0,17,f_main1_l,-4.658476,-16.387850,63.019390
0,18,f_main2_l,-4.863485,-18.773225,58.944046
0,19,f_main3_l,-8.326436,-17.084829,56.725172
0,20,f_pointer1_l,-2.058541,-12.688699,60.249095
0,21,f_pointer2_l,-1.013267,-15.938389,57.204246
0,22,f_pointer3_l,-4.045519,-15.265351,55.638030
0,23,scapular_l,-17.625621,38.371991,34.587867
0,24,chest_l,1.457756,20.838679,28.539641
0,25,zero_joint_hand_r,0.081609,27.370952,8.179312
0,26,clavicle_r,-1.589279,45.736458,25.013587
0,27,arm_r,7.492609,57.714144,14.282833
0,28,forearm_r,28.034660,75.532146,4.341688
0,29,forearm_twist_r,38.237684,81.464536,2.550327
0,30,hand_r,49.070240,87.759536,0.651615
0,31,weapon_r,56.863323,89.442262,6.233205
0,32,f_big1_r,52.152848,85.295151,5.431768
0,33,f_big2_r,55.621575,83.834174,7.001666
0,34,f_big3_r,59.692001,84.682786,5.142455
0,35,f_main1_r,57.839290,93.264512,5.392174
0,36,f_main2_r,60.101043,89.394378,3.587995
0,37,f_main3_r,56.485014,88.141348,1.082454
0,38,f_pointer1_r,56.821143,90.153873,9.570972
0,39,f_pointer2_r,60.349388,87.383688,8.804700
0,40,f_pointer3_r,58.452354,85.853950,6.325254
0,41,scapular_r,4.391698,60.064155,21.287220
0,42,chest_r,15.676190,29.488886,22.720997
0,43,zero_joint_pelvis_l,0.002016,-0.000203,-0.000552
0,44,thigh_l,-8.415473,0.711081,3.668055
0,45,calf_l,-40.092287,-21.689017,33.700436
0,46,foot_l,-53.414329,-56.977297,17.313670
0,47,toe_l,-63.393922,-67.188567,32.257010
0,48,back_l,-11.784217,-1.760162,-6.732060
0,51,zero_joint_pelvis_r,0.002079,-0.000516,-0.000601
0,52,thigh_r,9.103492,-0.931785,-1.056094
0,53,calf_r,39.820327,-22.948821,30.230566
0,54,foot_r,39.754720,-57.437486,7.829822
0,55,toe_r,47.145937,-67.286438,24.429032
0,56,back_r,6.351717,-3.462954,-11.614810
0,57,biceps_twist_l,-20.442031,18.793526,38.652107
0,58,biceps_twist_r,17.364511,66.277026,9.505414
0,59,thigh_twist_l,-20.188269,-7.614025,14.829878
0,60,thigh_twist_r,20.519605,-9.114452,10.571836
1,0,pelvis,-0.039062,-0.125000,0.078125
1,1,stomach,1.760627,10.336558,3.079024
1,2,chest,0.054371,27.259346,8.209849
1,3,neck,-4.563355,48.266086,27.894371
1,4,head,-8.802306,55.598945,38.666377
