frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.198158,10.642254,2.644866
0,2,chest,2.142178,28.282648,4.373476
0,3,neck,6.907726,55.624372,13.306927
0,4,head,9.436284,67.992674,18.636763
0,5,hair,13.383111,82.863505,19.571773
0,7,zero_joint_hand_l,2.142177,28.282646,4.373483
0,8,clavicle_l,4.001643,51.718108,12.789339
0,9,arm_l,-13.870059,56.073754,14.440197
0,10,forearm_l,-36.990324,38.820485,11.978185
0,11,forearm_twist_l,-36.410228,50.043036,16.028920
0,12,hand_l,-35.806987,61.934295,20.297081
0,13,weapon_l,-28.222890,67.283327,19.433305
0,14,f_big1_l,-34.018770,66.219666,16.410341
0,15,f_big2_l,-31.295773,67.815507,14.101512
0,16,f_big3_l,-27.084324,67.653512,14.784098
0,17,f_main1_l,-27.550964,69.326257,23.091884
0,18,f_main2_l,-25.696091,66.623169,19.356916
0,19,f_main3_l,-29.411477,63.986672,17.970185
0,20,f_pointer1_l,-29.795097,72.185226,19.223983
0,21,f_pointer2_l,-26.310629,70.633716,16.933052
0,22,f_pointer3_l,-28.398101,68.240085,15.632406
0,23,scapular_l,-8.278310,61.814728,14.291389
0,24,chest_l,-7.543194,33.438951,22.778463
0,25,zero_joint_hand_r,2.142167,28.282490,4.373419
0,26,clavicle_r,8.102542,50.878509,13.169925
0,27,arm_r,25.134073,45.598269,8.359442
0,28,forearm_r,21.548815,32.484412,33.922230
0,29,forearm_twist_r,12.710670,39.981772,36.814857
0,30,hand_r,3.358385,47.923533,39.888330
0,31,weapon_r,-5.259680,51.431766,41.309186
0,32,f_big1_r,-0.027577,52.586647,37.403743
0,33,f_big2_r,-3.672463,53.977025,36.025386
0,34,f_big3_r,-7.797229,52.360489,37.563768
0,35,f_main1_r,-5.521434,52.219886,45.431232
0,36,f_main2_r,-7.379025,50.237534,41.558629
0,37,f_main3_r,-3.924470,49.041546,39.035324
0,38,f_pointer1_r,-4.841408,56.470173,42.337697
0,39,f_pointer2_r,-8.373093,54.623020,40.084882
0,40,f_pointer3_r,-6.071661,53.234400,37.876780
0,41,scapular_r,23.564370,53.286728,9.960710
0,42,chest_r,9.646472,29.919043,24.373585
0,43,zero_joint_pelvis_l,-0.000032,-0.000011,-0.000004
0,44,thigh_l,-9.054596,1.003153,1.351753
0,45,calf_l,-27.945483,-39.411979,21.769403
0,46,foot_l,-15.979037,-75.169550,5.353985
0,47,toe_l,-27.455560,-90.314350,13.483570
0,48,back_l,-9.733893,-2.202876,-9.368444
0,51,zero_joint_pelvis_r,-0.000064,-0.000297,-0.000012
0,52,thigh_r,9.049624,-1.037481,1.358984
0,53,calf_r,32.180185,-38.438601,23.113577
0,54,foot_r,46.615941,-75.919642,14.279203
0,55,toe_r,57.247635,-90.166457,24.822497
0,56,back_r,9.014141,-4.313502,-9.353301
0,57,biceps_twist_l,-24.980840,47.782069,13.257137
0,58,biceps_twist_r,23.411177,39.297404,20.644875
0,59,thigh_twist_l,-15.752648,-14.361233,8.520573
0,60,thigh_twist_r,17.634037,-15.230220,8.883952
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,1.198158,10.642254,2.644866
1,2,chest,2.142178,28.282648,4.373476
1,3,neck,6.907726,55.624372,13.306927
1,4,head,9.436284,67.992674,18.636763
1,5,hair,13.383111,82.863505,19.571773
1,7,zero_joint_hand_l,2.142177,28.282646,4.373483
1,8,clavicle_l,4.001643,51.718108,12.789339
1,9,arm_l,-13.870059,56.073754,14.440197
1,10,forearm_l,-36.990324,38.820485,11.978185
1,11,forearm_twist_l,-36.410228,50.043036,16.028920
1,12,hand_l,-35.806987,61.934295,20.297081
1,13,weapon_l,-28.222890,67.283327,19.433305
1,14,f_big1_l,-34.018770,66.219666,16.410341
1,15,f_big2_l,-31.295773,67.815507,14.101512
1,16,f_big3_l,-27.084324,67.653512,14.784098
1,17,f_main1_l,-27.550964,69.326257,23.091884
1,18,f_main2_l,-25.696091,66.623169,19.356916
1,19,f_main3_l,-29.411477,63.986672,17.970185
1,20,f_pointer1_l,-29.795097,72.185226,19.223983
1,21,f_pointer2_l,-26.310629,70.633716,16.933052
1,22,f_pointer3_l,-28.398101,68.240085,15.632406
1,23,scapular_l,-8.278310,61.814728,14.291389
1,24,chest_l,-7.543194,33.438951,22.778463
1,25,zero_joint_hand_r,2.142167,28.282490,4.373419
1,26,clavicle_r,8.102542,50.878509,13.169925
1,27,arm_r,25.134073,45.598269,8.359442
1,28,forearm_r,21.548815,32.484412,33.922230
1,29,forearm_twist_r,12.710670,39.981772,36.814857
1,30,hand_r,3.358385,47.923533,39.888330
1,31,weapon_r,-5.259680,51.431766,41.309186
1,32,f_big1_r,-0.027577,52.586647,37.403743
1,33,f_big2_r,-3.672463,53.977025,36.025386
1,34,f_big3_r,-7.797229,52.360489,37.563768
1,35,f_main1_r,-5.521434,52.219886,45.431232
1,36,f_main2_r,-7.379025,50.237534,41.558629
1,37,f_main3_r,-3.924470,49.041546,39.035324
1,38,f_pointer1_r,-4.841408,56.470173,42.337697
1,39,f_pointer2_r,-8.373093,54.623020,40.084882
1,40,f_pointer3_r,-6.071661,53.234400,37.876780
1,41,scapular_r,23.564370,53.286728,9.960710
1,42,chest_r,9.646472,29.919043,24.373585
1,43,zero_joint_pelvis_l,-0.000032,-0.000011,-0.000004
1,44,thigh_l,-9.054596,1.003153,1.351753
1,45,calf_l,-27.945483,-39.411979,21.769403
1,46,foot_l,-15.979037,-75.169550,5.353985
1,47,toe_l,-27.455560,-90.314350,13.483570
1,48,back_l,-9.733893,-2.202876,-9.368444
1,51,zero_joint_pelvis_r,-0.000064,-0.000297,-0.000012
1,52,thigh_r,9.049624,-1.037481,1.358984
1,53,calf_r,32.180185,-38.438601,23.113577
1,54,foot_r,46.615941,-75.919642,14.279203
1,55,toe_r,57.247635,-90.166457,24.822497
1,56,back_r,9.014141,-4.313502,-9.353301
1,57,biceps_twist_l,-24.980840,47.782069,13.257137
1,58,biceps_twist_r,23.411177,39.297404,20.644875
1,59,thigh_twist_l,-15.752648,-14.361233,8.520573
1,60,thigh_twist_r,17.634037,-15.230220,8.883952
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,1.198158,10.642254,2.644866
2,2,chest,2.142178,28.282648,4.373476
2,3,neck,6.907726,55.624372,13.306927
2,4,head,9.436284,67.992674,18.636763
2,5,hair,13.383111,82.863505,19.571773
2,7,zero_joint_hand_l,2.142177,28.282646,4.373483
2,8,clavicle_l,4.001643,51.718108,12.789339
2,9,arm_l,-13.870059,56.073754,14.440197
2,10,forearm_l,-36.990324,38.820485,11.978185
2,11,forearm_twist_l,-36.410228,50.043036,16.028920
2,12,hand_l,-35.806987,61.934295,20.297081
2,13,weapon_l,-28.222890,67.283327,19.433305
2,14,f_big1_l,-34.018770,66.219666,16.410341
2,15,f_big2_l,-31.295773,67.815507,14.101512
2,16,f_big3_l,-27.084324,67.653512,14.784098
2,17,f_main1_l,-27.550964,69.326257,23.091884
2,18,f_main2_l,-25.696091,66.623169,19.356916
2,19,f_main3_l,-29.411477,63.986672,17.970185
2,20,f_pointer1_l,-29.795097,72.185226,19.223983
2,21,f_pointer2_l,-26.310629,70.633716,16.933052
2,22,f_pointer3_l,-28.398101,68.240085,15.632406
2,23,scapular_l,-8.278310,61.814728,14.291389
2,24,chest_l,-7.543194,33.438951,22.778463
2,25,zero_joint_hand_r,2.142167,28.282490,4.373419
2,26,clavicle_r,8.102542,50.878509,13.169925
2,27,arm_r,25.134073,45.598269,8.359442
2,28,forearm_r,21.548815,32.484412,33.922230
2,29,forearm_twist_r,12.710670,39.981772,36.814857
2,30,hand_r,3.358385,47.923533,39.888330
2,31,weapon_r,-5.259680,51.431766,41.309186
2,32,f_big1_r,-0.027577,52.586647,37.403743
2,33,f_big2_r,-3.672463,53.977025,36.025386
2,34,f_big3_r,-7.797229,52.360489,37.563768
2,35,f_main1_r,-5.521434,52.219886,45.431232
2,36,f_main2_r,-7.379025,50.237534,41.558629
2,37,f_main3_r,-3.924470,49.041546,39.035324
2,38,f_pointer1_r,-4.841408,56.470173,42.337697
2,39,f_pointer2_r,-8.373093,54.623020,40.084882
2,40,f_pointer3_r,-6.071661,53.234400,37.876780
2,41,scapular_r,23.564370,53.286728,9.960710
2,42,chest_r,9.646472,29.919043,24.373585
2,43,zero_joint_pelvis_l,-0.000032,-0.000011,-0.000004
2,44,thigh_l,-9.054596,1.003153,1.351753
2,45,calf_l,-27.945483,-39.411979,21.769403
2,46,foot_l,-15.979037,-75.169550,5.353985
2,47,toe_l,-27.455560,-90.314350,13.483570
2,48,back_l,-9.733893,-2.202876,-9.368444
2,51,zero_joint_pelvis_r,-0.000064,-0.000297,-0.000012
2,52,thigh_r,9.049624,-1.037481,1.358984
2,53,calf_r,32.180185,-38.438601,23.113577
2,54,foot_r,46.615941,-75.919642,14.279203
2,55,toe_r,57.247635,-90.166457,24.822497
2,56,back_r,9.014141,-4.313502,-9.353301
2,57,biceps_twist_l,-24.980840,47.782069,13.257137
2,58,biceps_twist_r,23.411177,39.297404,20.644875
2,59,thigh_twist_l,-15.752648,-14.361233,8.520573
2,60,thigh_twist_r,17.634037,-15.230220,8.883952
3,0,pelvis,0.000000,0.000000,0.000000
3,1,stomach,1.198158,10.642254,2.644866
3,2,chest,2.142178,28.282648,4.373476
3,3,neck,6.907726,55.624372,13.306927
3,4,head,9.436284,67.992674,18.636763
3,5,hair,13.383111,82.863505,19.571773
3,7,zero_joint_hand_l,2.142177,28.282646,4.373483
3,8,clavicle_l,4.001643,51.718108,12.789339
3,9,arm_l,-13.870059,56.073754,14.440197
3,10,forearm_l,-36.990324,38.820485,11.978185
3,11,forearm_twist_l,-36.410228,50.043036,16.028920
3,12,hand_l,-35.806987,61.934295,20.297081
3,13,weapon_l,-28.222890,67.283327,19.433305
3,14,f_big1_l,-34.018770,66.219666,16.410341
3,15,f_big2_l,-31.295773,67.815507,14.101512
3,16,f_big3_l,-27.084324,67.653512,14.784098
3,17,f_main1_l,-27.550964,69.326257,23.091884
3,18,f_main2_l,-25.696091,66.623169,19.356916
3,19,f_main3_l,-29.411477,63.986672,17.970185
3,20,f_pointer1_l,-29.795097,72.185226,19.223983
3,21,f_pointer2_l,-26.310629,70.633716,16.933052
3,22,f_pointer3_l,-28.398101,68.240085,15.632406
3,23,scapular_l,-8.278310,61.814728,14.291389
3,24,chest_l,-7.543194,33.438951,22.778463
3,25,zero_joint_hand_r,2.142167,28.282490,4.373419
3,26,clavicle_r,8.102542,50.878509,13.169925
3,27,arm_r,25.134073,45.598269,8.359442
3,28,forearm_r,21.548815,32.484412,33.922230
3,29,forearm_twist_r,12.710670,39.981772,36.814857
3,30,hand_r,3.358385,47.923533,39.888330
3,31,weapon_r,-5.259680,51.431766,41.309186
