frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.192522,10.719371,2.315482
0,2,chest,-4.634873,27.949919,4.937672
0,3,neck,-16.581194,53.156141,13.424052
0,4,head,-22.061698,64.114310,19.560684
0,5,hair,-25.202503,78.806298,23.006572
0,7,zero_joint_hand_l,-4.634876,27.949919,4.937664
0,8,clavicle_l,-16.685812,48.279559,12.999046
0,9,arm_l,-32.245230,38.345336,13.556219
0,10,forearm_l,-49.050655,17.077002,23.730654
0,11,forearm_twist_l,-50.690765,27.702454,28.918502
0,12,hand_l,-52.436250,38.973298,34.405042
0,13,weapon_l,-47.976566,46.360045,37.998894
0,14,f_big1_l,-49.957823,44.010108,32.114247
0,15,f_big2_l,-47.009659,46.572958,31.896816
0,16,f_big3_l,-44.354640,47.547968,35.089803
0,17,f_main1_l,-50.395519,48.074186,41.037063
0,18,f_main2_l,-45.918151,46.458970,39.594737
0,19,f_main3_l,-46.955167,43.039699,36.446487
0,20,f_pointer1_l,-50.424421,50.580133,36.356300
0,21,f_pointer2_l,-46.018712,50.366619,36.940434
0,22,f_pointer3_l,-46.006885,47.637526,34.859427
0,23,scapular_l,-32.428552,46.255521,14.812528
0,24,chest_l,-15.468710,26.881694,23.408393
0,25,zero_joint_hand_r,-4.634808,27.949786,4.937607
0,26,clavicle_r,-12.856776,49.979796,13.337761
0,27,arm_r,2.413181,56.740958,21.225082
0,28,forearm_r,21.152271,48.205873,41.579007
0,29,forearm_twist_r,9.284345,47.794539,42.719437
0,30,hand_r,-3.329477,47.364784,43.936533
0,31,weapon_r,-12.565479,46.067130,42.451279
0,32,f_big1_r,-7.194011,48.002231,39.036709
0,33,f_big2_r,-10.358777,46.549376,36.802629
0,34,f_big3_r,-13.746732,43.846083,38.593638
0,35,f_main1_r,-14.507335,48.254171,45.452470
0,36,f_main2_r,-13.940821,44.180313,43.115777
0,37,f_main3_r,-9.657784,44.032272,41.962341
0,38,f_pointer1_r,-14.546061,50.452787,40.627370
0,39,f_pointer2_r,-16.019571,46.289431,39.421066
0,40,f_pointer3_r,-12.745714,45.529575,38.531418
0,41,scapular_r,-4.421595,60.919241,21.362501
0,42,chest_r,0.581768,34.008073,24.828001
0,43,zero_joint_pelvis_l,0.000005,0.000008,0.000002
0,44,thigh_l,-9.180393,-0.726643,0.104832
0,45,calf_l,-38.488563,-35.931352,17.677211
0,46,foot_l,-47.228343,-72.061654,0.085078
0,47,toe_l,-56.738214,-82.274524,15.330580
0,48,back_l,-7.775661,-4.192513,-10.463149
0,51,zero_joint_pelvis_r,0.000028,-0.000279,0.000002
0,52,thigh_r,8.809869,0.740405,2.579758
0,53,calf_r,30.415201,-35.408574,27.750970
0,54,foot_r,41.916441,-71.973351,12.851166
0,55,toe_r,48.586727,-82.122142,29.574653
0,56,back_r,10.860910,-2.675189,-7.891269
0,57,biceps_twist_l,-40.316523,28.129652,18.442712
0,58,biceps_twist_r,11.418420,52.640328,31.007292
0,59,thigh_twist_l,-19.985934,-14.129661,6.098182
0,60,thigh_twist_r,16.892442,-13.017530,11.395204
1,0,pelvis,-0.046875,0.062500,-0.015625
1,1,stomach,-1.259258,10.778079,2.307084
1,2,chest,-4.733379,27.998755,4.952124
1,3,neck,-16.756778,53.142867,13.513573
1,4,head,-22.256859,64.080668,19.668997
1,5,hair,-25.423644,78.769995,23.137337
1,7,zero_joint_hand_l,-4.733385,27.998769,4.952125
1,8,clavicle_l,-16.845266,48.267059,13.076405
1,9,arm_l,-32.376766,38.288215,13.614821
1,10,forearm_l,-49.047812,16.887991,23.733619
1,11,forearm_twist_l,-50.708384,27.485459,28.971951
1,12,hand_l,-52.475660,38.726649,34.512088
1,13,weapon_l,-48.049313,46.119321,38.134858
