frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.615176,10.741171,1.925336
0,2,chest,-3.014736,28.288381,4.324108
0,3,neck,-6.644533,55.818976,13.211056
0,4,head,-11.016077,66.752298,20.220171
0,5,hair,-9.215259,81.811687,23.014111
0,7,zero_joint_hand_l,-3.014716,28.288337,4.324103
0,8,clavicle_l,-8.433046,51.523625,11.690104
0,9,arm_l,-23.293253,52.738474,0.790878
0,10,forearm_l,-40.724203,29.641772,-0.203018
0,11,forearm_twist_l,-33.931506,25.874013,8.861594
0,12,hand_l,-26.726320,21.883858,18.491778
0,13,weapon_l,-22.605314,21.507117,26.804815
0,14,f_big1_l,-24.197119,25.953099,22.199795
0,15,f_big2_l,-20.911130,27.315062,23.829115
0,16,f_big3_l,-17.248005,27.191248,26.018755
0,17,f_main1_l,-25.188043,19.568094,29.585177
0,18,f_main2_l,-20.276957,19.466880,30.364280
0,19,f_main3_l,-15.531957,19.879955,30.536684
0,20,f_pointer1_l,-24.990598,24.863290,29.923188
0,21,f_pointer2_l,-20.727470,24.229485,31.059280
0,22,f_pointer3_l,-17.309767,23.998890,30.847567
0,23,scapular_l,-20.710168,59.133694,4.865200
0,24,chest_l,-20.241792,31.441386,16.692087
0,25,zero_joint_hand_r,-3.014688,28.288190,4.324070
0,26,clavicle_r,-4.805208,51.319455,13.802982
0,27,arm_r,11.803993,47.778115,21.061637
0,28,forearm_r,12.537273,22.614882,35.363995
0,29,forearm_twist_r,1.090717,21.328746,32.229329
0,30,hand_r,-11.062992,19.967330,28.911145
0,31,weapon_r,-18.962145,21.239615,24.175039
0,32,f_big1_r,-13.949367,24.784866,26.109982
0,33,f_big2_r,-16.114179,26.239393,22.898105
0,34,f_big3_r,-18.917308,23.564988,20.255470
0,35,f_main1_r,-22.144919,19.546345,26.625524
0,36,f_main2_r,-20.058551,19.714924,22.383346
0,37,f_main3_r,-15.751030,20.472956,23.181321
0,38,f_pointer1_r,-21.861969,24.837963,26.434123
0,39,f_pointer2_r,-21.889051,24.056222,21.923237
0,40,f_pointer3_r,-18.422958,24.344764,21.982464
0,41,scapular_r,8.527129,55.053713,21.773141
0,42,chest_r,-5.024096,30.587272,25.545696
0,43,zero_joint_pelvis_l,0.000026,-0.000048,0.000029
0,44,thigh_l,-7.675815,0.074701,-5.088406
0,45,calf_l,-10.408569,-48.911632,-5.099606
0,46,foot_l,2.681076,-85.714963,-17.962018
0,47,toe_l,-13.193478,-98.096998,-13.287678
0,48,back_l,-0.795697,-3.318883,-13.261491
0,51,zero_joint_pelvis_r,0.000015,-0.000291,0.000027
0,52,thigh_r,5.863225,-0.075122,7.101699
0,53,calf_r,1.664612,-47.686464,18.176928
0,54,foot_r,2.729826,-88.320162,11.929248
0,55,toe_r,-1.697803,-98.046196,29.620096
0,56,back_r,13.230683,-3.473653,-0.633151
0,57,biceps_twist_l,-31.669039,41.638035,0.313804
0,58,biceps_twist_r,12.155293,35.685292,27.934873
0,59,thigh_twist_l,-8.691600,-18.131358,-5.092439
0,60,thigh_twist_r,4.302767,-17.770146,11.217952
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-1.615187,10.741168,1.925346
1,2,chest,-3.014747,28.288379,4.324109
1,3,neck,-6.644548,55.818968,13.211070
1,4,head,-11.016091,66.752291,20.220186
1,5,hair,-9.215274,81.811679,23.014127
1,7,zero_joint_hand_l,-3.014727,28.288335,4.324103
1,8,clavicle_l,-8.433057,51.523623,11.690104
1,9,arm_l,-23.293292,52.738517,0.790922
1,10,forearm_l,-40.724226,29.641804,-0.202977
1,11,forearm_twist_l,-33.932161,25.874152,8.862153
1,12,hand_l,-26.727628,21.884126,18.492878
1,13,weapon_l,-22.607290,21.507432,26.806248
1,14,f_big1_l,-24.198853,25.953409,22.201140
1,15,f_big2_l,-20.913056,27.315568,23.830692
1,16,f_big3_l,-17.250119,27.191857,26.020655
1,17,f_main1_l,-25.190187,19.568305,29.586381
1,18,f_main2_l,-20.279162,19.467255,30.365887
1,19,f_main3_l,-15.534188,19.880473,30.538683
1,20,f_pointer1_l,-24.992930,24.863504,29.924458
1,21,f_pointer2_l,-20.729871,24.229847,31.060890
1,22,f_pointer3_l,-17.312145,23.999343,30.849456
1,23,scapular_l,-20.710179,59.133692,4.865201
1,24,chest_l,-20.241803,31.441383,16.692088
1,25,zero_joint_hand_r,-3.014699,28.288188,4.324071
1,26,clavicle_r,-4.805219,51.319453,13.802982
1,27,arm_r,11.803995,47.778173,21.061637
1,28,forearm_r,12.537243,22.614935,35.363989
1,29,forearm_twist_r,1.090688,21.328824,32.229305
1,30,hand_r,-11.063021,19.967381,28.911134
1,31,weapon_r,-18.962195,21.239952,24.175139
1,32,f_big1_r,-13.949472,24.785114,26.110387
1,33,f_big2_r,-16.114292,26.239941,22.898654
1,34,f_big3_r,-18.917380,23.565721,20.255788
1,35,f_main1_r,-22.144942,19.546421,26.625477
1,36,f_main2_r,-20.058578,19.715407,22.383314
1,37,f_main3_r,-15.751065,20.473421,23.181353
1,38,f_pointer1_r,-21.862074,24.838061,26.434534
1,39,f_pointer2_r,-21.889159,24.056707,21.923580
1,40,f_pointer3_r,-18.423070,24.345295,21.982817
1,41,scapular_r,8.527118,55.053711,21.773141
1,42,chest_r,-5.024107,30.587270,25.545697
1,43,zero_joint_pelvis_l,0.000026,-0.000048,0.000029
1,44,thigh_l,-7.675851,0.074939,-5.088363
1,45,calf_l,-10.405452,-48.911571,-5.090693
1,46,foot_l,2.686760,-85.716387,-17.946242
1,47,toe_l,-13.184772,-98.100793,-13.267925
1,48,back_l,-0.795697,-3.318883,-13.261491
1,51,zero_joint_pelvis_r,0.000015,-0.000291,0.000027
1,52,thigh_r,5.863154,-0.074646,7.101784
1,53,calf_r,1.657523,-47.686374,18.172692
1,54,foot_r,2.716788,-88.319660,11.921322
1,55,toe_r,-1.715516,-98.045264,29.611235
1,56,back_r,13.230683,-3.473653,-0.633151
1,57,biceps_twist_l,-31.669053,41.638060,0.313838
1,58,biceps_twist_r,12.155263,35.685351,27.934876
1,59,thigh_twist_l,-8.690473,-18.131186,-5.089114
1,60,thigh_twist_r,4.300083,-17.769811,11.216441
2,0,pelvis,0.000000,0.000000,0.000000
2,1,stomach,-1.615187,10.741168,1.925346
2,2,chest,-3.014747,28.288379,4.324109
2,3,neck,-6.644548,55.818968,13.211070
2,4,head,-11.016091,66.752291,20.220186
2,5,hair,-9.215274,81.811679,23.014127
2,7,zero_joint_hand_l,-3.014727,28.288335,4.324103
2,8,clavicle_l,-8.433057,51.523623,11.690104
2,9,arm_l,-23.293292,52.738517,0.790922
2,10,forearm_l,-40.724226,29.641804,-0.202977
2,11,forearm_twist_l,-33.932161,25.874152,8.862153
2,12,hand_l,-26.727628,21.884126,18.492878
2,13,weapon_l,-22.607290,21.507432,26.806248
2,14,f_big1_l,-24.198853,25.953409,22.201140
2,15,f_big2_l,-20.913056,27.315568,23.830692
2,16,f_big3_l,-17.250119,27.191857,26.020655
2,17,f_main1_l,-25.190187,19.568305,29.586381
2,18,f_main2_l,-20.279162,19.467255,30.365887
2,19,f_main3_l,-15.534188,19.880473,30.538683
2,20,f_pointer1_l,-24.992930,24.863504,29.924458
2,21,f_pointer2_l,-20.729871,24.229847,31.060890
2,22,f_pointer3_l,-17.312145,23.999343,30.849456
2,23,scapular_l,-20.710179,59.133692,4.865201
2,24,chest_l,-20.241803,31.441383,16.692088
2,25,zero_joint_hand_r,-3.014699,28.288188,4.324071
2,26,clavicle_r,-4.805219,51.319453,13.802982
2,27,arm_r,11.803995,47.778173,21.061637
2,28,forearm_r,12.537243,22.614935,35.363989
2,29,forearm_twist_r,1.090688,21.328824,32.229305
2,30,hand_r,-11.063021,19.967381,28.911134
2,31,weapon_r,-18.962195,21.239952,24.175139
2,32,f_big1_r,-13.949472,24.785114,26.110387
2,33,f_big2_r,-16.114292,26.239941,22.898654
2,34,f_big3_r,-18.917380,23.565721,20.255788
2,35,f_main1_r,-22.144942,19.546421,26.625477
2,36,f_main2_r,-20.058578,19.715407,22.383314
2,37,f_main3_r,-15.751065,20.473421,23.181353
2,38,f_pointer1_r,-21.862074,24.838061,26.434534
2,39,f_pointer2_r,-21.889159,24.056707,21.923580
2,40,f_pointer3_r,-18.423070,24.345295,21.982817
2,41,scapular_r,8.527118,55.053711,21.773141
2,42,chest_r,-5.024107,30.587270,25.545697
2,43,zero_joint_pelvis_l,0.000026,-0.000048,0.000029
2,44,thigh_l,-7.675851,0.074939,-5.088363
2,45,calf_l,-10.405452,-48.911571,-5.090693
2,46,foot_l,2.686760,-85.716387,-17.946242
2,47,toe_l,-13.184772,-98.100793,-13.267925
2,48,back_l,-0.795697,-3.318883,-13.261491
2,51,zero_joint_pelvis_r,0.000015,-0.000291,0.000027
2,52,thigh_r,5.863154,-0.074646,7.101784
2,53,calf_r,1.657523,-47.686374,18.172692
2,54,foot_r,2.716788,-88.319660,11.921322
2,55,toe_r,-1.715516,-98.045264,29.611235
2,56,back_r,13.230683,-3.473653,-0.633151
2,57,biceps_twist_l,-31.669053,41.638060,0.313838
2,58,biceps_twist_r,12.155263,35.685351,27.934876
2,59,thigh_twist_l,-8.690473,-18.131186,-5.089114
2,60,thigh_twist_r,4.300083,-17.769811,11.216441
3,0,pelvis,0.000000,0.000000,0.000000
3,1,stomach,-1.615187,10.741168,1.925346
3,2,chest,-3.014747,28.288379,4.324109
3,3,neck,-6.644548,55.818968,13.211070
3,4,head,-11.016091,66.752291,20.220186
3,5,hair,-9.215274,81.811679,23.014127
3,7,zero_joint_hand_l,-3.014727,28.288335,4.324103
3,8,clavicle_l,-8.433057,51.523623,11.690104
3,9,arm_l,-23.293292,52.738517,0.790922
3,10,forearm_l,-40.724226,29.641804,-0.202977
3,11,forearm_twist_l,-33.932161,25.874152,8.862153
3,12,hand_l,-26.727628,21.884126,18.492878
3,13,weapon_l,-22.607290,21.507432,26.806248
3,14,f_big1_l,-24.198853,25.953409,22.201140
3,15,f_big2_l,-20.913056,27.315568,23.830692
