frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-4.849099,9.516571,2.758549
0,2,chest,-16.081517,22.983243,5.604415
0,3,neck,-37.181747,41.006256,14.550824
0,4,head,-45.547544,50.485778,19.835493
0,5,hair,-50.724678,65.009890,20.121335
0,7,zero_joint_hand_l,-16.081517,22.983243,5.604415
0,8,clavicle_l,-35.611432,36.582281,13.163750
0,9,arm_l,-53.734550,33.868268,15.461885
0,10,forearm_l,-74.650349,17.263957,26.647129
0,11,forearm_twist_l,-65.766221,20.826486,33.780470
0,12,hand_l,-56.346815,24.604266,41.342470
0,13,weapon_l,-50.074744,23.137531,45.655054
0,14,f_big1_l,-50.378931,25.853908,39.896244
0,15,f_big2_l,-46.387606,24.805713,39.660258
0,16,f_big3_l,-42.800594,22.199391,41.150873
0,17,f_main1_l,-48.399707,25.040431,49.396447
0,18,f_main2_l,-46.622359,21.246330,47.191860
0,19,f_main3_l,-46.553138,19.041488,43.327379
0,20,f_pointer1_l,-45.636826,27.904343,45.891945
0,21,f_pointer2_l,-42.838499,24.317338,46.368254
0,22,f_pointer3_l,-42.689929,21.632029,44.165079
0,23,scapular_l,-50.892238,41.181565,10.791850
0,24,chest_l,-30.288669,14.096222,18.978219
0,25,zero_joint_hand_r,-16.081394,22.983145,5.604353
0,26,clavicle_r,-32.741750,39.003097,15.053617
0,27,arm_r,-16.562278,47.707433,16.938811
0,28,forearm_r,11.676184,48.806788,10.640866
0,29,forearm_twist_r,23.574018,48.486937,9.722628
0,30,hand_r,36.188293,48.148300,8.749979
0,31,weapon_r,40.965946,48.325650,5.177306
0,32,f_big1_r,42.071492,46.018657,8.221230
0,33,f_big2_r,45.453541,44.796387,6.167124
0,34,f_big3_r,48.234226,45.748002,2.496919
0,35,f_main1_r,44.458265,54.865289,4.940176
0,36,f_main2_r,43.947173,51.356459,1.826725
0,37,f_main3_r,42.314177,47.247766,2.041392
0,38,f_pointer1_r,47.739857,51.479702,7.359744
0,39,f_pointer2_r,48.564721,50.421243,2.982603
0,40,f_pointer3_r,46.942612,47.584625,1.795397
0,41,scapular_r,-23.450310,51.730925,17.678822
0,42,chest_r,-18.253189,24.252121,26.896463
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-7.827832,-2.409973,-4.211118
0,45,calf_l,-53.177456,-18.938752,4.583196
0,46,foot_l,-34.577290,-53.207563,-8.491515
0,47,toe_l,-50.952112,-63.622993,-1.381681
0,48,back_l,-1.273055,-3.093432,-13.278771
0,51,zero_joint_pelvis_r,0.000098,-0.000281,-0.000022
0,52,thigh_r,6.381181,1.752212,6.405246
0,53,calf_r,36.282572,-28.065350,31.384211
0,54,foot_r,65.388392,-56.248218,24.324265
0,55,toe_r,78.508908,-65.347709,37.447414
0,56,back_r,13.447308,1.218788,-2.280851
0,57,biceps_twist_l,-63.785874,25.888216,20.836904
0,58,biceps_twist_r,-2.991270,48.234763,13.913781
0,59,thigh_twist_l,-24.682293,-8.552985,-0.942632
0,60,thigh_twist_r,17.494229,-9.329663,15.688814
1,0,pelvis,0.187500,-1.062500,-0.190430
1,1,stomach,-4.428117,8.551612,2.629749
1,2,chest,-15.368363,22.264496,5.437818
1,3,neck,-36.036702,40.775771,14.395461
1,4,head,-44.212583,50.393298,19.727796
1,5,hair,-49.024447,65.036972,20.220742
1,7,zero_joint_hand_l,-15.368363,22.264558,5.437858
1,8,clavicle_l,-34.576411,36.322501,12.982398
1,9,arm_l,-52.753745,33.490497,14.613035
1,10,forearm_l,-74.122958,16.570883,24.378633
1,11,forearm_twist_l,-65.650757,20.135802,31.995527
1,12,hand_l,-56.668209,23.916412,40.070271
1,13,weapon_l,-50.407981,22.306538,44.057461
1,14,f_big1_l,-50.680650,25.149247,38.692566
1,15,f_big2_l,-46.692920,24.092555,38.507843
1,16,f_big3_l,-43.133961,21.480195,40.053975
1,17,f_main1_l,-48.816775,24.357949,48.217262
1,18,f_main2_l,-47.023074,20.554360,46.042471
1,19,f_main3_l,-46.923282,18.345578,42.180927
1,20,f_pointer1_l,-46.006663,27.206474,44.739212
1,21,f_pointer2_l,-43.223141,23.613445,45.255209
1,22,f_pointer3_l,-43.061962,20.926211,43.055268
1,23,scapular_l,-49.828903,40.852191,11.339794
1,24,chest_l,-29.897366,13.655707,18.646820
1,25,zero_joint_hand_r,-15.368242,22.264396,5.437756
1,26,clavicle_r,-31.655474,38.650064,14.910393
1,27,arm_r,-15.237713,46.847571,16.996711
1,28,forearm_r,12.865040,47.112453,10.036211
1,29,forearm_twist_r,24.741621,46.035221,9.497431
1,30,hand_r,37.333374,44.893633,8.927166
1,31,weapon_r,41.620989,44.879753,5.420263
1,32,f_big1_r,43.408335,43.366988,8.489908
1,33,f_big2_r,46.922586,42.477900,6.487131
1,34,f_big3_r,49.623875,43.695317,2.836225
1,35,f_main1_r,44.929230,52.381862,5.151670
1,36,f_main2_r,44.816802,48.813599,2.065971
1,37,f_main3_r,43.590880,44.568276,2.327636
1,38,f_pointer1_r,48.505216,49.367048,7.643372
1,39,f_pointer2_r,49.486207,48.353619,3.287833
1,40,f_pointer3_r,48.161298,45.353371,2.134479
1,41,scapular_r,-22.007772,51.068113,17.727142
1,42,chest_r,-17.646792,23.420761,26.725122
1,43,zero_joint_pelvis_l,0.187518,-1.062512,-0.190359
1,44,thigh_l,-7.715424,-3.276643,-4.368585
1,45,calf_l,-52.618848,-21.375683,3.583536
1,46,foot_l,-36.293552,-56.520052,-10.186855
1,47,toe_l,-51.909119,-66.675828,-1.232527
1,48,back_l,-1.225778,-4.074516,-13.473664
1,51,zero_joint_pelvis_r,0.187633,-1.062772,-0.190423
1,52,thigh_r,6.640728,0.518601,6.187172
1,53,calf_r,35.891932,-29.667831,31.490833
1,54,foot_r,64.290341,-58.187230,23.038622
1,55,toe_r,77.156514,-67.357984,36.362457
1,56,back_r,13.647021,-0.142443,-2.538529
1,57,biceps_twist_l,-63.022946,25.358913,19.305794
1,58,biceps_twist_r,-1.731923,46.973844,13.653238
1,59,thigh_twist_l,-24.399406,-10.017617,-1.419566
1,60,thigh_twist_r,17.519155,-10.705281,15.577433
2,0,pelvis,0.375000,-3.437500,-0.918945
2,1,stomach,-3.715970,6.355273,2.090048
2,2,chest,-13.709822,20.761764,4.952454
2,3,neck,-33.643734,39.906256,14.237628
2,4,head,-41.508849,49.747485,19.628900
2,5,hair,-45.114746,64.720684,20.425797
2,7,zero_joint_hand_l,-13.709815,20.761987,4.952606
2,8,clavicle_l,-32.365231,35.435638,12.708528
2,9,arm_l,-50.518505,32.039007,12.836090
2,10,forearm_l,-72.800269,14.022883,16.986478
2,11,forearm_twist_l,-66.018553,16.776373,26.416777
2,12,hand_l,-58.828628,19.697540,36.414398
2,13,weapon_l,-52.581600,17.704415,40.618807
2,14,f_big1_l,-52.797514,21.151505,35.569271
2,15,f_big2_l,-48.785369,20.191288,35.590999
2,16,f_big3_l,-45.318663,17.524858,37.216205
2,17,f_main1_l,-51.580135,19.663435,45.113847
2,18,f_main2_l,-49.549547,16.074425,42.772033
2,19,f_main3_l,-49.200028,14.222294,38.732681
2,20,f_pointer1_l,-48.607902,22.830040,42.072340
2,21,f_pointer2_l,-45.787855,19.257069,42.484191
2,22,f_pointer3_l,-45.460490,16.785959,40.060677
2,23,scapular_l,-47.790037,39.508083,11.865477
2,24,chest_l,-28.760784,12.427137,17.746337
2,25,zero_joint_hand_r,-13.709706,20.761660,4.952390
2,26,clavicle_r,-29.367240,37.573277,14.735338
2,27,arm_r,-12.611839,44.894079,17.334781
2,28,forearm_r,15.326170,43.251378,9.915032
2,29,forearm_twist_r,26.981051,40.670730,10.003931
2,30,hand_r,39.337886,37.935735,10.099370
2,31,weapon_r,43.020122,37.950845,7.065360
2,32,f_big1_r,45.569763,37.172499,10.189706
2,33,f_big2_r,49.317256,36.708008,8.489095
2,34,f_big3_r,52.110288,38.216261,5.020354
2,35,f_main1_r,46.240311,46.255082,6.757220
2,36,f_main2_r,46.825775,42.658411,3.759242
2,37,f_main3_r,46.084847,38.303590,4.043230
2,38,f_pointer1_r,49.941677,43.748061,9.603286
2,39,f_pointer2_r,51.396098,42.791766,5.368873
2,40,f_pointer3_r,50.534668,39.628095,4.212924
2,41,scapular_r,-19.178686,49.430578,18.024400
2,42,chest_r,-16.186789,21.396378,26.239525
2,43,zero_joint_pelvis_l,0.375066,-3.437552,-0.918688
2,44,thigh_l,-7.684104,-5.198280,-5.013326
2,45,calf_l,-52.500422,-23.718490,2.445114
2,46,foot_l,-39.156518,-59.882451,-11.885752
2,47,toe_l,-53.340918,-69.954501,-0.726794
2,48,back_l,-1.365395,-6.194356,-14.218559
2,51,zero_joint_pelvis_r,0.375231,-3.437756,-0.918864
2,52,thigh_r,6.984426,-2.266673,5.387007
2,53,calf_r,35.515928,-31.679436,32.367956
2,54,foot_r,63.226413,-60.156411,21.763402
2,55,toe_r,75.842779,-69.392960,35.279288
2,56,back_r,13.831026,-3.156995,-3.444435
2,57,biceps_twist_l,-61.226225,23.380546,14.830313
2,58,biceps_twist_r,0.814708,44.103581,13.770499
2,59,thigh_twist_l,-24.323025,-12.133578,-2.266686
2,60,thigh_twist_r,17.614985,-13.218484,15.364238
3,0,pelvis,-0.125000,-5.687500,-2.282227
3,1,stomach,-3.359927,4.330992,1.012245
3,2,chest,-11.708380,19.701362,4.122304
3,3,neck,-31.243016,38.831473,14.247707
3,4,head,-38.944208,48.635835,19.934689
3,5,hair,-40.881395,63.866713,21.384480
3,7,zero_joint_hand_l,-11.708359,19.701807,4.122643
3,8,clavicle_l,-30.061421,34.414628,12.500764
3,9,arm_l,-47.904585,29.912954,10.935145
3,10,forearm_l,-69.276302,10.850336,6.674894
3,11,forearm_twist_l,-66.702939,10.784636,18.331540
3,12,hand_l,-63.975138,10.718070,30.690154
3,13,weapon_l,-58.645169,8.149023,36.803283
3,14,f_big1_l,-58.329925,12.880897,32.259588
3,15,f_big2_l,-54.409913,12.312607,33.355017
3,16,f_big3_l,-51.283469,9.528336,35.350415
3,17,f_main1_l,-59.686439,8.799640,41.002458
3,18,f_main2_l,-56.470847,6.254319,38.590386
3,19,f_main3_l,-54.855260,5.847746,34.430947
3,20,f_pointer1_l,-56.575912,12.966133,39.970301
3,21,f_pointer2_l,-53.414285,9.692587,40.294528
3,22,f_pointer3_l,-52.109104,8.198466,37.444260
3,23,scapular_l,-45.677060,37.533588,11.003291
3,24,chest_l,-27.051042,11.098437,16.380906
3,25,zero_joint_hand_r,-11.708267,19.701260,4.122235
3,26,clavicle_r,-27.027903,36.372195,14.652364
3,27,arm_r,-10.167867,43.100905,18.052124
3,28,forearm_r,17.697577,39.780732,10.926330
3,29,forearm_twist_r,28.754481,35.496097,12.301353
3,30,hand_r,40.492144,30.949831,13.762571
3,31,weapon_r,44.368338,31.329112,11.396685
3,32,f_big1_r,46.503139,29.706145,14.872475
3,33,f_big2_r,50.448348,28.739013,15.495885
3,34,f_big3_r,54.978448,28.092521,14.819736
3,35,f_main1_r,48.534591,38.612549,11.446534
3,36,f_main2_r,51.486264,37.072789,8.020195
3,37,f_main3_r,53.821827,34.388161,5.265279
3,38,f_pointer1_r,51.464994,35.868247,14.912582
3,39,f_pointer2_r,54.694034,36.594534,11.766461
3,40,f_pointer3_r,56.316487,35.170211,9.038975
3,41,scapular_r,-16.631126,47.777967,18.779780
3,42,chest_r,-14.327858,19.313541,25.398239
3,43,zero_joint_pelvis_l,-0.124866,-5.687632,-2.281698
3,44,thigh_l,-8.355235,-6.686512,-6.291648
3,45,calf_l,-53.826980,-23.341960,1.585239
3,46,foot_l,-40.589835,-59.872663,-11.888860
3,47,toe_l,-53.899632,-70.174622,0.106333
3,48,back_l,-2.263125,-7.972757,-15.612932
3,51,zero_joint_pelvis_r,-0.124620,-5.687759,-2.282039
3,52,thigh_r,6.642116,-5.211355,3.947023
3,53,calf_r,35.241960,-32.260870,33.230149
3,54,foot_r,63.218383,-60.138574,21.766336
3,55,toe_r,75.828850,-69.380619,35.283970
3,56,back_r,13.273962,-6.444253,-5.006276
3,57,biceps_twist_l,-58.174895,20.751676,8.887502
3,58,biceps_twist_r,3.223715,41.504331,14.629022
3,59,thigh_twist_l,-25.223086,-12.987313,-3.413512
3,60,thigh_twist_r,17.329879,-15.311453,14.729781
4,0,pelvis,-0.812500,-6.187500,-3.791992
4,1,stomach,-3.071700,4.053555,-0.370695
4,2,chest,-9.555726,20.292032,2.773618
4,3,neck,-28.434882,39.775766,13.452969
4,4,head,-35.918695,49.549497,19.473130
4,5,hair,-37.109065,64.761074,21.714821
4,7,zero_joint_hand_l,-9.555667,20.292743,2.774206
4,8,clavicle_l,-27.409267,35.384529,11.548605
4,9,arm_l,-44.790419,30.051285,8.301021
4,10,forearm_l,-63.291849,9.343386,0.105688
4,11,forearm_twist_l,-65.409260,6.248168,11.438830
4,12,hand_l,-67.655685,2.970916,23.455229
4,13,weapon_l,-64.313940,0.173045,31.802681
4,14,f_big1_l,-63.938750,5.399169,27.811069
4,15,f_big2_l,-60.943755,5.075543,30.565851
4,16,f_big3_l,-58.775891,2.172071,33.370744
4,17,f_main1_l,-68.255427,-0.541327,34.230598
4,18,f_main2_l,-63.823775,-2.092912,33.288053
4,19,f_main3_l,-60.751875,-1.184215,30.099954
4,20,f_pointer1_l,-65.937848,4.096318,35.336856
4,21,f_pointer2_l,-62.615094,1.259184,36.595757
4,22,f_pointer3_l,-60.060301,0.786749,34.300264
4,23,scapular_l,-42.914909,37.834312,8.583317
4,24,chest_l,-25.341331,11.839744,14.565753
4,25,zero_joint_hand_r,-9.555617,20.291929,2.773547
4,26,clavicle_r,-24.322202,37.140784,13.798833
4,27,arm_r,-7.380288,43.112060,18.089538
4,28,forearm_r,20.470881,37.249578,12.776616
4,29,forearm_twist_r,30.276506,31.204261,15.908348
4,30,hand_r,40.686497,24.790065,19.234999
4,31,weapon_r,45.220609,23.210990,17.582935
4,32,f_big1_r,45.636249,21.840162,21.523561
4,33,f_big2_r,48.130352,20.549135,24.480554
4,34,f_big3_r,50.779794,18.701832,27.691957
4,35,f_main1_r,51.018712,29.561049,18.831647
4,36,f_main2_r,55.685471,29.257403,17.616050
4,37,f_main3_r,60.242380,29.562304,17.360914
4,38,f_pointer1_r,52.132083,26.172305,22.763911
4,39,f_pointer2_r,56.489890,27.297963,22.091589
4,40,f_pointer3_r,59.849324,27.787690,21.333669
4,41,scapular_r,-13.706647,47.972362,18.819498
4,42,chest_r,-12.400085,19.205703,23.996413
4,43,zero_joint_pelvis_l,-0.812293,-6.187747,-3.791125
4,44,thigh_l,-9.134921,-6.375466,-7.730021
4,45,calf_l,-54.648632,-22.958072,0.057674
4,46,foot_l,-41.033381,-59.882512,-11.878667
4,47,toe_l,-53.875420,-70.104609,0.681449
4,48,back_l,-3.271522,-8.125302,-17.122059
4,51,zero_joint_pelvis_r,-0.811930,-6.187795,-3.791668
4,52,thigh_r,6.024480,-6.407486,2.375351
4,53,calf_r,32.969217,-32.224067,34.228360
4,54,foot_r,58.454429,-60.115562,17.985390
4,55,toe_r,70.284051,-69.552652,32.062573
4,56,back_r,12.433514,-8.158451,-6.653568
4,57,biceps_twist_l,-53.681343,20.099395,4.362431
4,58,biceps_twist_r,6.004283,40.293889,15.537616
4,59,thigh_twist_l,-25.981055,-12.718385,-4.912083
4,60,thigh_twist_r,16.128655,-16.085343,14.046270
5,0,pelvis,-0.687500,-3.687500,-4.936523
5,1,stomach,-2.388741,6.735710,-1.750468
5,2,chest,-7.339663,23.592868,0.884302
5,3,neck,-24.599366,44.792432,11.021762
5,4,head,-31.610208,55.027043,16.842112
5,5,hair,-33.818997,70.110677,19.174373
5,7,zero_joint_hand_l,-7.339504,23.593894,0.885152
5,8,clavicle_l,-23.935627,40.311995,9.166273
5,9,arm_l,-40.983231,35.136504,4.299218
5,10,forearm_l,-56.136524,12.363081,-5.189319
5,11,forearm_twist_l,-60.631198,7.601570,4.792156
5,12,hand_l,-65.399947,2.558771,15.375628
5,13,weapon_l,-64.005166,0.143326,24.653938
5,14,f_big1_l,-63.307482,5.433133,20.437464
5,15,f_big2_l,-61.235594,5.454800,23.913681
5,16,f_big3_l,-59.958302,2.648598,27.212901
5,17,f_main1_l,-68.844681,-0.624670,25.729273
5,18,f_main2_l,-64.172223,-1.775080,26.073877
5,19,f_main3_l,-60.735021,-0.481459,23.359911
5,20,f_pointer1_l,-67.283893,4.240358,27.143292
5,21,f_pointer2_l,-64.149680,1.794867,29.309861
5,22,f_pointer3_l,-61.210630,1.721711,27.487156
5,23,scapular_l,-39.078341,42.921558,4.822554
5,24,chest_l,-24.085652,16.700600,12.362517
5,25,zero_joint_hand_r,-7.339564,23.592756,0.884233
5,26,clavicle_r,-20.752148,41.797514,11.475846
5,27,arm_r,-3.588011,46.338080,16.562142
5,28,forearm_r,23.282175,35.658492,15.071197
5,29,forearm_twist_r,31.241961,28.074461,19.721810
5,30,hand_r,39.683157,20.037946,24.655501
5,31,weapon_r,44.560423,12.590124,24.151129
5,32,f_big1_r,42.221453,15.229431,27.634550
5,33,f_big2_r,43.138529,12.973418,30.905708
5,34,f_big3_r,43.896999,10.147231,34.396062
5,35,f_main1_r,50.812851,19.886511,27.061041
5,36,f_main2_r,55.068508,17.605519,26.873993
5,37,f_main3_r,59.245737,15.915929,27.661090
5,38,f_pointer1_r,49.407200,16.328703,30.742351
5,39,f_pointer2_r,53.855056,15.467599,31.172103
5,40,f_pointer3_r,57.185153,14.463980,31.229344
5,41,scapular_r,-9.507908,51.719067,16.984932
5,42,chest_r,-10.739689,22.932596,22.042784
5,43,zero_joint_pelvis_l,-0.687210,-3.687843,-4.935257
5,44,thigh_l,-9.033851,-3.534847,-8.824200
5,45,calf_l,-53.732366,-22.169044,-0.954103
5,46,foot_l,-41.395466,-59.846875,-11.883313
5,47,toe_l,-53.941155,-69.968697,1.051915
5,48,back_l,-3.332414,-5.810663,-18.202219
5,51,zero_joint_pelvis_r,-0.686698,-3.687826,-4.936032
5,52,thigh_r,6.169936,-4.116899,1.197429
5,53,calf_r,29.973838,-31.999303,33.802256
5,54,foot_r,48.027274,-59.987907,9.678054
5,55,toe_r,58.041432,-69.758294,24.890612
5,56,back_r,12.419133,-6.413329,-7.821269
5,57,biceps_twist_l,-48.265159,24.192059,-0.260800
5,58,biceps_twist_r,9.324914,41.205244,15.846950
5,59,thigh_twist_l,-25.539542,-10.720281,-6.005588
5,60,thigh_twist_r,15.131517,-14.628359,13.080701
6,0,pelvis,0.250000,0.187500,-5.624023
6,1,stomach,-1.089456,10.782204,-2.858778
6,2,chest,-4.645191,28.088083,-0.993108
6,3,neck,-19.487577,51.628370,7.704326
6,4,head,-25.773148,62.647008,12.886687
6,5,hair,-29.000657,77.604300,14.809399
6,7,zero_joint_hand_l,-4.644852,28.089447,-0.992030
6,8,clavicle_l,-19.319732,47.027823,6.042809
6,9,arm_l,-35.945479,42.370178,-0.513531
6,10,forearm_l,-47.591496,18.059113,-11.078845
6,11,forearm_twist_l,-53.307531,12.662246,-2.095267
6,12,hand_l,-59.380729,6.939796,7.441309
6,13,weapon_l,-59.946998,5.052069,16.386357
6,14,f_big1_l,-58.683999,10.511078,12.397060
6,15,f_big2_l,-57.445974,11.094186,16.164251
6,16,f_big3_l,-56.880205,8.564734,19.776644
6,17,f_main1_l,-64.810240,4.568117,17.162334
6,18,f_main2_l,-60.175341,3.954362,18.516170
6,19,f_main3_l,-56.685499,5.390469,15.847840
6,20,f_pointer1_l,-63.933422,9.693229,18.203933
6,21,f_pointer2_l,-61.037601,7.859770,21.132085
6,22,f_pointer3_l,-57.984581,8.072969,19.536592
6,23,scapular_l,-33.922599,50.075676,0.325627
6,24,chest_l,-22.470727,23.762227,10.107261
6,25,zero_joint_hand_r,-4.645105,28.087958,-0.993170
6,26,clavicle_r,-16.053851,48.209818,8.411305
6,27,arm_r,1.206648,51.053588,14.334383
6,28,forearm_r,25.616767,35.612335,16.333695
6,29,forearm_twist_r,30.517722,26.646535,22.506132
