frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.862603,10.685839,2.599468
0,2,chest,-1.091686,28.426598,2.074354
0,3,neck,-2.717817,57.521250,3.045858
0,4,head,-5.122441,69.514456,9.222949
0,5,hair,-6.593550,84.146161,13.868727
0,7,zero_joint_hand_l,-1.091686,28.426598,2.074353
0,8,clavicle_l,-4.805067,53.094990,3.158860
0,9,arm_l,-22.806105,51.270896,-0.546544
0,10,forearm_l,-41.928383,35.437028,14.350121
0,11,forearm_twist_l,-32.943260,40.452153,20.401570
0,12,hand_l,-23.424784,45.778548,26.820980
0,13,weapon_l,-14.239951,22.803547,30.059006
0,14,f_big1_l,-17.994245,47.936981,24.535698
0,15,f_big2_l,-13.980467,47.524069,23.623820
0,16,f_big3_l,-10.492796,46.139857,26.439793
0,17,f_main1_l,-15.659588,50.350237,33.678990
0,18,f_main2_l,-11.705710,48.169453,35.092485
0,19,f_main3_l,-8.526801,45.088327,35.462537
0,20,f_pointer1_l,-13.791219,52.665028,29.289153
0,21,f_pointer2_l,-10.029656,50.415188,30.612210
0,22,f_pointer3_l,-7.339601,48.412515,31.537348
0,23,scapular_l,-19.622547,58.521939,0.666909
0,24,chest_l,-15.804454,36.060829,15.673392
0,25,zero_joint_hand_r,-1.091687,28.426431,2.074332
0,26,clavicle_r,-0.862702,53.266547,4.606348
0,27,arm_r,15.957415,50.291204,11.629577
0,28,forearm_r,14.751748,31.428011,33.561511
0,29,forearm_twist_r,3.057863,33.759420,34.128534
0,30,hand_r,-9.353109,36.243776,34.738645
0,31,weapon_r,-14.226439,22.798517,30.061587
0,32,f_big1_r,-9.706210,38.804551,29.259820
0,33,f_big2_r,-11.785049,39.934033,26.143166
0,34,f_big3_r,-15.083956,41.027008,23.662712
0,35,f_main1_r,-15.102187,46.004900,33.170802
0,36,f_main2_r,-18.658908,44.172143,30.214150
0,37,f_main3_r,-17.750526,39.678962,28.905698
0,38,f_pointer1_r,-12.027487,46.280080,28.850018
0,39,f_pointer2_r,-15.565654,45.907446,26.164404
0,40,f_pointer3_r,-15.933157,42.703816,24.988030
0,41,scapular_r,13.049660,57.732639,11.082953
0,42,chest_r,0.731037,36.780093,21.735841
0,43,zero_joint_pelvis_l,-0.000015,-0.000000,-0.000004
0,44,thigh_l,-9.111084,-0.090815,-1.341227
0,45,calf_l,-16.780017,-48.411433,-5.006511
0,46,foot_l,-19.822398,-88.747897,-12.421306
0,47,toe_l,-32.191694,-98.832320,0.711502
0,48,back_l,-6.291437,-3.261540,-11.717346
0,51,zero_joint_pelvis_r,0.000004,-0.000298,-0.000005
0,52,thigh_r,8.326740,0.032950,3.934616
0,53,calf_r,15.799163,-48.362900,6.956791
0,54,foot_r,23.586969,-88.329934,1.190342
0,55,toe_r,24.772495,-98.525690,19.129316
0,56,back_r,11.773597,-3.133856,-6.251329
0,57,biceps_twist_l,-31.996143,43.660908,6.611140
0,58,biceps_twist_r,15.377562,41.226339,22.169650
0,59,thigh_twist_l,-11.617595,-18.047877,-3.234053
0,60,thigh_twist_r,11.275761,-17.949232,4.449641
1,0,pelvis,0.001343,0.000000,0.015625
1,1,stomach,-0.862486,10.685093,2.617752
1,2,chest,-1.092297,28.425797,2.091121
1,3,neck,-2.711022,57.521264,3.050538
1,4,head,-5.106215,69.515085,9.230096
1,5,hair,-6.573079,84.142958,13.889266
1,7,zero_joint_hand_l,-1.092309,28.425797,2.091111
1,8,clavicle_l,-4.799007,53.095487,3.168941
1,9,arm_l,-22.806067,51.273166,-0.507971
1,10,forearm_l,-41.957633,35.462962,14.376196
1,11,forearm_twist_l,-32.986129,40.464348,20.459139
1,12,hand_l,-23.482111,45.776229,26.911911
1,13,weapon_l,-14.288033,22.804012,30.128378
1,14,f_big1_l,-18.052280,47.938261,24.628351
1,15,f_big2_l,-14.038257,47.527548,23.716555
1,16,f_big3_l,-10.550242,46.143110,26.531991
1,17,f_main1_l,-15.719363,50.347062,33.773262
1,18,f_main2_l,-11.764706,48.167050,35.185770
1,19,f_main3_l,-8.584553,45.087020,35.554254
1,20,f_pointer1_l,-13.852256,52.665941,29.385023
1,21,f_pointer2_l,-10.089871,50.416872,30.707053
1,22,f_pointer3_l,-7.399070,48.414752,31.631217
1,23,scapular_l,-19.619183,58.524212,0.696972
1,24,chest_l,-15.782674,36.069843,15.708845
1,25,zero_joint_hand_r,-1.092296,28.425630,2.091095
1,26,clavicle_r,-0.854380,53.266965,4.610306
1,27,arm_r,15.968695,50.281017,11.621938
1,28,forearm_r,14.700183,31.453064,33.580593
1,29,forearm_twist_r,3.005127,33.771315,34.176676
1,30,hand_r,-9.407070,36.241742,34.817620
1,31,weapon_r,-14.276460,22.797922,30.134382
1,32,f_big1_r,-9.759907,38.805934,29.340376
1,33,f_big2_r,-11.838483,39.936712,26.224016
1,34,f_big3_r,-15.137248,41.030151,23.743578
1,35,f_main1_r,-15.159188,46.001894,33.254877
1,36,f_main2_r,-18.714657,44.169820,30.296295
1,37,f_main3_r,-17.804451,39.677799,28.985133
1,38,f_pointer1_r,-12.083678,46.280925,28.934916
1,39,f_pointer2_r,-15.621154,45.908806,26.248321
1,40,f_pointer3_r,-15.987305,42.705810,25.069800
1,41,scapular_r,13.062863,57.723751,11.082833
1,42,chest_r,0.762247,36.788768,21.745598
1,43,zero_joint_pelvis_l,0.001357,-0.000008,0.015631
1,44,thigh_l,-9.109803,-0.091713,-1.324916
1,45,calf_l,-16.775005,-48.412102,-5.001001
1,46,foot_l,-19.824486,-88.748207,-12.414832
1,47,toe_l,-32.194199,-98.831158,0.718714
1,48,back_l,-6.290528,-3.259546,-11.702020
1,51,zero_joint_pelvis_r,0.001362,-0.000305,0.015623
1,52,thigh_r,8.328395,0.033099,3.949615
1,53,calf_r,15.800283,-48.363295,6.964386
1,54,foot_r,23.582720,-88.330871,1.194449
1,55,toe_r,24.768687,-98.524195,19.134777
1,56,back_r,11.774894,-3.130777,-6.237362
