frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.862603,10.685839,2.599468
0,2,chest,-1.091686,28.426598,2.074354
0,3,neck,-2.717817,57.521250,3.045858
0,4,head,-5.122441,69.514456,9.222949
0,5,hair,-6.593550,84.146161,13.868727
0,7,zero_joint_hand_l,-1.091686,28.426598,2.074353
0,8,clavicle_l,-4.805067,53.094990,3.158860
0,9,arm_l,-22.806105,51.270896,-0.546544
0,10,forearm_l,-41.928383,35.437028,14.350121
0,11,forearm_twist_l,-32.943260,40.452153,20.401570
0,12,hand_l,-23.424784,45.778548,26.820980
0,13,weapon_l,-14.239951,22.803547,30.059006
0,14,f_big1_l,-17.994245,47.936981,24.535698
0,15,f_big2_l,-13.980467,47.524069,23.623820
0,16,f_big3_l,-10.492796,46.139857,26.439793
0,17,f_main1_l,-15.659588,50.350237,33.678990
0,18,f_main2_l,-11.705710,48.169453,35.092485
0,19,f_main3_l,-8.526801,45.088327,35.462537
0,20,f_pointer1_l,-13.791219,52.665028,29.289153
0,21,f_pointer2_l,-10.029656,50.415188,30.612210
0,22,f_pointer3_l,-7.339601,48.412515,31.537348
0,23,scapular_l,-19.622547,58.521939,0.666909
0,24,chest_l,-15.804454,36.060829,15.673392
0,25,zero_joint_hand_r,-1.091687,28.426431,2.074332
0,26,clavicle_r,-0.862702,53.266547,4.606348
0,27,arm_r,15.957415,50.291204,11.629577
0,28,forearm_r,14.751748,31.428011,33.561511
0,29,forearm_twist_r,3.057863,33.759420,34.128534
0,30,hand_r,-9.353109,36.243776,34.738645
0,31,weapon_r,-14.226439,22.798517,30.061587
0,32,f_big1_r,-9.706210,38.804551,29.259820
0,33,f_big2_r,-11.785049,39.934033,26.143166
0,34,f_big3_r,-15.083956,41.027008,23.662712
0,35,f_main1_r,-15.102187,46.004900,33.170802
0,36,f_main2_r,-18.658908,44.172143,30.214150
0,37,f_main3_r,-17.750526,39.678962,28.905698
0,38,f_pointer1_r,-12.027487,46.280080,28.850018
0,39,f_pointer2_r,-15.565654,45.907446,26.164404
0,40,f_pointer3_r,-15.933157,42.703816,24.988030
0,41,scapular_r,13.049660,57.732639,11.082953
0,42,chest_r,0.731037,36.780093,21.735841
0,43,zero_joint_pelvis_l,-0.000015,-0.000000,-0.000004
0,44,thigh_l,-9.111084,-0.090815,-1.341227
0,45,calf_l,-16.780017,-48.411433,-5.006511
0,46,foot_l,-19.822398,-88.747897,-12.421306
0,47,toe_l,-32.191694,-98.832320,0.711502
0,48,back_l,-6.291437,-3.261540,-11.717346
0,51,zero_joint_pelvis_r,0.000004,-0.000298,-0.000005
0,52,thigh_r,8.326740,0.032950,3.934616
0,53,calf_r,15.799163,-48.362900,6.956791
0,54,foot_r,23.586969,-88.329934,1.190342
0,55,toe_r,24.772495,-98.525690,19.129316
0,56,back_r,11.773597,-3.133856,-6.251329
0,57,biceps_twist_l,-31.996143,43.660908,6.611140
0,58,biceps_twist_r,15.377562,41.226339,22.169650
0,59,thigh_twist_l,-11.617595,-18.047877,-3.234053
0,60,thigh_twist_r,11.275761,-17.949232,4.449641
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-0.862602,10.685839,2.599470
1,2,chest,-1.091694,28.426597,2.074360
1,3,neck,-2.717824,57.521250,3.045869
1,4,head,-5.122443,69.514459,9.222954
1,5,hair,-6.593552,84.146164,13.868732
1,7,zero_joint_hand_l,-1.091693,28.426598,2.074358
1,8,clavicle_l,-4.805074,53.094989,3.158866
1,9,arm_l,-22.805847,51.268716,-0.546755
1,10,forearm_l,-41.926537,35.433135,14.350124
1,11,forearm_twist_l,-32.942075,40.449466,20.401553
1,12,hand_l,-23.424313,45.777169,26.820937
1,13,weapon_l,-14.236897,22.803322,30.059825
1,14,f_big1_l,-17.993986,47.936152,24.535672
1,15,f_big2_l,-13.980170,47.523723,23.623761
1,16,f_big3_l,-10.492385,46.140000,26.439831
1,17,f_main1_l,-15.659747,50.349962,33.678925
1,18,f_main2_l,-11.705637,48.169687,35.092557
1,19,f_main3_l,-8.526380,45.088937,35.462754
1,20,f_pointer1_l,-13.791576,52.664830,29.289044
1,21,f_pointer2_l,-10.029759,50.415500,30.612250
1,22,f_pointer3_l,-7.339504,48.413140,31.537480
1,23,scapular_l,-19.623137,58.520163,0.666516
1,24,chest_l,-15.804462,36.060828,15.673397
1,25,zero_joint_hand_r,-1.091694,28.426430,2.074338
1,26,clavicle_r,-0.862709,53.266546,4.606354
1,27,arm_r,15.957407,50.291190,11.629577
1,28,forearm_r,14.751408,31.426374,33.560098
1,29,forearm_twist_r,3.057496,33.757670,34.127029
1,30,hand_r,-9.353501,36.241910,34.737085
1,31,weapon_r,-14.233181,22.794268,30.055054
1,32,f_big1_r,-9.706434,38.803410,29.258588
1,33,f_big2_r,-11.785175,39.933297,26.142015
1,34,f_big3_r,-15.084006,41.026588,23.661599
1,35,f_main1_r,-15.102566,46.003220,33.170348
1,36,f_main2_r,-18.659184,44.170841,30.213337
1,37,f_main3_r,-17.750742,39.677837,28.904320
1,38,f_pointer1_r,-12.027726,46.278984,28.849701
1,39,f_pointer2_r,-15.565804,45.906693,26.163922
1,40,f_pointer3_r,-15.933257,42.703217,24.987112
1,41,scapular_r,13.049653,57.732638,11.082959
1,42,chest_r,0.731030,36.780092,21.735846
1,43,zero_joint_pelvis_l,-0.000015,-0.000000,-0.000004
1,44,thigh_l,-9.111084,-0.090815,-1.341227
1,45,calf_l,-16.781789,-48.411444,-5.002654
1,46,foot_l,-19.821497,-88.747646,-12.419970
1,47,toe_l,-32.190909,-98.832083,0.712718
1,48,back_l,-6.291437,-3.261540,-11.717346
1,51,zero_joint_pelvis_r,0.000004,-0.000298,-0.000005
1,52,thigh_r,8.326740,0.032950,3.934616
1,53,calf_r,15.799155,-48.362901,6.956798
1,54,foot_r,23.586233,-88.330573,1.193791
1,55,toe_r,24.771301,-98.524860,19.133631
1,56,back_r,11.773597,-3.133856,-6.251329
