frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.193854,10.703291,2.388044
0,2,chest,-0.778248,28.442729,3.258116
0,3,neck,-10.943286,55.045360,9.507834
0,4,head,-16.364471,67.499587,11.318528
0,5,hair,-14.025932,82.653744,9.670199
0,7,zero_joint_hand_l,-0.777839,28.441629,3.257700
0,8,clavicle_l,-11.229443,50.790620,7.102635
0,9,arm_l,-15.813036,46.528812,-10.273279
0,10,forearm_l,-5.799397,22.780845,-23.465875
0,11,forearm_twist_l,-8.662182,11.402882,-25.668221
0,12,hand_l,-11.694327,-0.661201,-28.001601
0,13,weapon_l,-49.383301,-26.033381,-27.898183
0,14,f_big1_l,-16.199183,-4.379547,-26.410389
0,15,f_big2_l,-18.487094,-7.351126,-25.302561
0,16,f_big3_l,-18.860091,-11.354463,-23.878008
0,17,f_main1_l,-10.818405,-11.923049,-29.754858
0,18,f_main2_l,-10.610425,-16.157846,-27.162479
0,19,f_main3_l,-11.526194,-18.612519,-23.185804
0,20,f_pointer1_l,-16.518651,-11.561969,-29.340983
0,21,f_pointer2_l,-15.938541,-15.907744,-28.582842
0,22,f_pointer3_l,-15.560151,-18.374945,-26.230179
0,23,scapular_l,-15.749306,54.160948,-7.835655
0,24,chest_l,-22.159910,29.852735,3.962480
0,25,zero_joint_hand_r,-0.779608,28.441028,3.258587
0,26,clavicle_r,-9.384943,50.608174,10.877549
0,27,arm_r,-0.814378,47.345253,26.908565
0,28,forearm_r,4.902201,19.436745,32.077643
0,29,forearm_twist_r,2.472695,8.175090,35.204388
0,30,hand_r,-0.104969,-3.763284,38.522752
0,31,weapon_r,13.450438,70.696868,13.691247
0,32,f_big1_r,-5.067425,-7.424702,37.382849
0,33,f_big2_r,-7.487890,-10.348107,35.745497
0,34,f_big3_r,-6.990574,-14.746667,34.208537
0,35,f_main1_r,-0.350018,-14.481025,42.178130
0,36,f_main2_r,-0.350385,-18.536389,39.750268
0,37,f_main3_r,-0.924311,-20.806272,35.975399
0,38,f_pointer1_r,-5.604608,-14.080513,41.607002
0,39,f_pointer2_r,-5.470025,-18.654291,41.756656
0,40,f_pointer3_r,-4.950851,-21.281464,39.536522
0,41,scapular_r,-1.768945,54.847174,24.265888
0,42,chest_r,-14.424926,29.085213,19.783455
0,43,zero_joint_pelvis_l,0.000271,0.000505,0.000268
0,44,thigh_l,-8.659248,0.049845,-3.134691
0,45,calf_l,-27.825347,-45.082259,-1.436826
0,46,foot_l,-34.271090,-85.692802,-2.145207
0,47,toe_l,-51.786010,-94.467012,4.442974
0,48,back_l,-3.874536,-3.184123,-12.741779
0,51,zero_joint_pelvis_r,0.000308,-0.000018,0.000199
0,52,thigh_r,7.372480,-0.090214,5.519338
0,53,calf_r,17.976465,-47.949833,3.484318
0,54,foot_r,33.669902,-83.588043,-9.740645
0,55,toe_r,25.945410,-97.073380,3.884464
0,56,back_r,12.733822,-3.332244,-3.777320
0,57,biceps_twist_l,-11.000129,35.116349,-16.613055
0,58,biceps_twist_r,1.931996,33.933238,29.393805
0,59,thigh_twist_l,-15.222331,-16.951389,-2.682780
0,60,thigh_twist_r,11.674515,-17.744239,4.262752
1,0,pelvis,-1.070312,-0.250000,-0.250000
1,1,stomach,-2.181386,10.485001,2.033364
1,2,chest,-1.941432,28.228465,2.887364
1,3,neck,-12.401796,54.717203,9.133521
1,4,head,-17.703076,67.217168,10.983636
1,5,hair,-15.346410,82.381906,9.463407
1,7,zero_joint_hand_l,-1.941009,28.227370,2.886948
1,8,clavicle_l,-12.628080,50.468844,6.709054
1,9,arm_l,-16.830208,46.676010,-10.870799
1,10,forearm_l,-6.620045,23.206017,-24.405771
1,11,forearm_twist_l,-9.218290,11.825799,-26.904507
1,12,hand_l,-11.969953,-0.240643,-29.552146
1,13,weapon_l,-49.558430,-25.759063,-29.917607
1,14,f_big1_l,-16.433598,-4.044108,-28.048385
1,15,f_big2_l,-18.691540,-7.070858,-27.032221
1,16,f_big3_l,-19.025715,-11.133665,-25.776390
1,17,f_main1_l,-11.082461,-11.412159,-31.806020
1,18,f_main2_l,-10.815157,-15.754162,-29.403365
1,19,f_main3_l,-11.654576,-18.382540,-25.521999
1,20,f_pointer1_l,-16.776185,-11.094391,-31.281614
1,21,f_pointer2_l,-16.167396,-15.466293,-30.722220
1,22,f_pointer3_l,-15.740250,-18.031253,-28.485301
1,23,scapular_l,-16.884268,54.236610,-8.221082
1,24,chest_l,-23.340520,29.446133,3.393371
1,25,zero_joint_hand_r,-1.942782,28.226751,2.887816
1,26,clavicle_r,-10.817879,50.289199,10.500669
1,27,arm_r,-2.088799,47.322860,26.503753
1,28,forearm_r,1.903549,19.348468,32.810732
1,29,forearm_twist_r,-0.172676,8.007657,35.875492
1,30,hand_r,-2.376727,-4.030001,39.133623
1,31,weapon_r,12.063823,70.605343,13.363931
1,32,f_big1_r,-7.324722,-7.703158,37.962849
1,33,f_big2_r,-9.727307,-10.634373,36.313172
1,34,f_big3_r,-9.211058,-15.036425,34.792539
1,35,f_main1_r,-2.637885,-14.738058,42.816167
1,36,f_main2_r,-2.612256,-18.800016,40.399492
1,37,f_main3_r,-3.151258,-21.081041,36.626189
1,38,f_pointer1_r,-7.888022,-14.346417,42.199735
1,39,f_pointer2_r,-7.748443,-18.919577,42.363051
1,40,f_pointer3_r,-7.206996,-21.552074,40.154574
1,41,scapular_r,-3.179862,54.781856,23.793375
1,42,chest_r,-15.749261,28.690387,19.284373
1,43,zero_joint_pelvis_l,-1.070038,-0.249495,-0.249736
1,44,thigh_l,-9.719644,-0.156717,-3.409838
1,45,calf_l,-29.610049,-44.955517,-1.272503
1,46,foot_l,-34.521377,-85.778403,-2.070287
1,47,toe_l,-51.850951,-94.939409,4.481624
1,48,back_l,-4.938965,-3.522901,-12.971055
1,51,zero_joint_pelvis_r,-1.070005,-0.250019,-0.249800
1,52,thigh_r,6.285950,-0.350351,5.291405
1,53,calf_r,17.433857,-48.089231,3.328654
1,54,foot_r,33.655297,-83.556591,-9.717299
1,55,toe_r,25.949166,-97.064971,3.895377
1,56,back_r,11.644925,-3.723166,-3.962421
1,57,biceps_twist_l,-11.922854,35.397139,-17.375111
1,58,biceps_twist_r,-0.172776,33.879021,29.535779
1,59,thigh_twist_l,-16.555918,-17.044740,-2.793169
1,60,thigh_twist_r,10.794408,-17.955017,4.066629
2,0,pelvis,-3.828125,-0.875000,-0.812500
2,1,stomach,-4.739674,9.929544,1.217127
2,2,chest,-4.930675,27.675655,2.027373
2,3,neck,-16.115478,53.869278,8.262853
2,4,head,-21.128573,66.474853,10.197790
2,5,hair,-18.725876,81.660502,8.990585
2,7,zero_joint_hand_l,-4.930219,27.674573,2.026958
2,8,clavicle_l,-16.191176,49.639665,5.798233
2,9,arm_l,-19.811854,46.539764,-12.044862
2,10,forearm_l,-9.341561,23.265153,-25.717787
2,11,forearm_twist_l,-11.345438,11.826308,-28.482062
2,12,hand_l,-13.466896,-0.302172,-31.411236
2,13,weapon_l,-50.776549,-26.227092,-31.735632
2,14,f_big1_l,-17.799326,-4.279611,-29.975341
2,15,f_big2_l,-19.965766,-7.411663,-29.087142
2,16,f_big3_l,-20.188265,-11.568993,-28.158549
2,17,f_main1_l,-12.611302,-11.234443,-34.639823
2,18,f_main2_l,-12.163356,-15.756749,-32.628533
2,19,f_main3_l,-12.748865,-18.709810,-28.938735
2,20,f_pointer1_l,-18.266981,-11.041237,-33.762073
2,21,f_pointer2_l,-17.586326,-15.435513,-33.606740
2,22,f_pointer3_l,-17.004847,-18.171084,-31.620837
2,23,scapular_l,-20.069190,53.974288,-9.079225
2,24,chest_l,-26.357452,28.418942,2.048770
2,25,zero_joint_hand_r,-4.931997,27.673907,2.027779
2,26,clavicle_r,-14.465702,49.464537,9.627213
2,27,arm_r,-5.368632,47.001111,25.510209
2,28,forearm_r,-3.415277,19.115187,33.049645
2,29,forearm_twist_r,-5.115872,7.734087,36.195435
2,30,hand_r,-6.916647,-4.345789,39.543913
2,31,weapon_r,8.505749,70.304219,12.653418
2,32,f_big1_r,-11.886916,-7.965749,38.303847
2,33,f_big2_r,-14.293328,-10.880237,36.630285
2,34,f_big3_r,-13.803246,-15.301326,35.156956
2,35,f_main1_r,-7.389460,-15.017793,43.309096
2,36,f_main2_r,-7.367465,-19.100260,40.927194
2,37,f_main3_r,-7.859764,-21.406442,37.162812
2,38,f_pointer1_r,-12.620670,-14.564857,42.583423
2,39,f_pointer2_r,-12.543279,-19.133956,42.787248
2,40,f_pointer3_r,-11.991422,-21.791887,40.612064
2,41,scapular_r,-6.724264,54.383358,22.698956
2,42,chest_r,-19.117867,27.681891,18.103908
2,43,zero_joint_pelvis_l,-3.827842,-0.874494,-0.812246
2,44,thigh_l,-12.446662,-0.680396,-4.048463
2,45,calf_l,-33.517512,-44.882058,-0.988836
2,46,foot_l,-35.000628,-85.969312,-1.939397
2,47,toe_l,-51.967220,-95.837472,4.535160
2,48,back_l,-7.665071,-4.360269,-13.486660
2,51,zero_joint_pelvis_r,-3.827820,-0.875021,-0.812297
2,52,thigh_r,3.479368,-0.996275,4.794059
2,53,calf_r,15.973749,-48.408919,3.044618
2,54,foot_r,33.527439,-83.395886,-9.566714
2,55,toe_r,25.937154,-97.082835,3.932201
2,56,back_r,8.842325,-4.685906,-4.342218
2,57,biceps_twist_l,-14.779492,35.354797,-18.615477
2,58,biceps_twist_r,-4.436700,33.599536,29.133808
2,59,thigh_twist_l,-19.728362,-17.364862,-3.086019
2,60,thigh_twist_r,8.503550,-18.483136,3.659371
3,0,pelvis,-7.578125,-1.562500,-1.375000
3,1,stomach,-8.251806,9.315451,0.329354
3,2,chest,-8.972536,27.050686,1.077294
3,3,neck,-21.046398,52.864530,7.237991
3,4,head,-25.707216,65.586675,9.287246
3,5,hair,-23.232119,80.785856,8.454757
3,7,zero_joint_hand_l,-8.972039,27.049621,1.076881
3,8,clavicle_l,-20.935638,48.660649,4.729406
3,9,arm_l,-23.886194,45.538823,-13.232864
3,10,forearm_l,-13.250520,22.114965,-26.517772
3,11,forearm_twist_l,-14.503068,10.571012,-29.287640
3,12,hand_l,-15.827913,-1.668703,-32.222744
3,13,weapon_l,-52.444350,-28.517548,-30.612461
3,14,f_big1_l,-19.935061,-5.814378,-30.611383
3,15,f_big2_l,-21.949030,-9.036323,-29.686663
3,16,f_big3_l,-22.000018,-13.233487,-28.927456
3,17,f_main1_l,-15.000543,-12.429187,-35.990740
3,18,f_main2_l,-14.284964,-17.019114,-34.225034
3,19,f_main3_l,-14.493834,-20.139350,-30.633586
3,20,f_pointer1_l,-20.565998,-12.420183,-34.641629
3,21,f_pointer2_l,-19.776535,-16.797931,-34.737278
3,22,f_pointer3_l,-18.970046,-19.598774,-32.928928
3,23,scapular_l,-24.448968,52.950123,-10.251368
3,24,chest_l,-30.403289,27.212714,0.480384
3,25,zero_joint_hand_r,-8.973821,27.048898,1.077644
3,26,clavicle_r,-19.316708,48.492017,8.607044
3,27,arm_r,-9.729576,46.322001,24.242665
3,28,forearm_r,-6.874328,18.727453,32.529518
3,29,forearm_twist_r,-9.378025,7.551449,35.868073
3,30,hand_r,-12.025296,-4.310282,39.427549
3,31,weapon_r,3.801076,70.107343,11.818851
3,32,f_big1_r,-17.140912,-7.645948,37.994703
3,33,f_big2_r,-19.642859,-10.420879,36.226687
3,34,f_big3_r,-19.346972,-14.862701,34.763960
3,35,f_main1_r,-13.236950,-14.938404,43.151353
3,36,f_main2_r,-13.355098,-19.015968,40.763886
3,37,f_main3_r,-13.834938,-21.291329,36.979194
3,38,f_pointer1_r,-18.403676,-14.192432,42.231692
3,39,f_pointer2_r,-18.590743,-18.762537,42.429430
3,40,f_pointer3_r,-18.107990,-21.447543,40.271129
3,41,scapular_r,-11.340483,53.656356,21.440771
3,42,chest_r,-23.613534,26.503352,16.732102
3,43,zero_joint_pelvis_l,-7.577834,-1.561994,-1.374756
3,44,thigh_l,-16.144152,-1.254973,-4.737149
3,45,calf_l,-37.935256,-45.025648,-0.686874
3,46,foot_l,-35.244208,-86.045943,-1.852749
3,47,toe_l,-52.005075,-96.292273,4.570003
3,48,back_l,-11.334149,-5.322858,-13.994651
3,51,zero_joint_pelvis_r,-7.577823,-1.562522,-1.374792
3,52,thigh_r,-0.351633,-1.696069,4.336473
3,53,calf_r,13.895422,-48.623503,2.934248
3,54,foot_r,33.200254,-82.878564,-9.114816
3,55,toe_r,25.919133,-97.056984,4.042820
3,56,back_r,5.040235,-5.778225,-4.619513
3,57,biceps_twist_l,-18.777221,34.288479,-19.613456
3,58,biceps_twist_r,-8.370280,33.066914,28.222477
3,59,thigh_twist_l,-23.692321,-17.777755,-3.405247
3,60,thigh_twist_r,5.333311,-18.971892,3.347295
4,0,pelvis,-11.625977,-2.125000,-1.750000
4,1,stomach,-12.098298,8.808022,-0.359167
4,2,chest,-13.293266,26.520446,0.318721
4,3,neck,-26.165128,51.976351,6.351877
4,4,head,-30.511573,64.796944,8.477069
4,5,hair,-27.941360,79.994524,7.965416
4,7,zero_joint_hand_l,-13.292731,26.519397,0.318314
4,8,clavicle_l,-25.882619,47.797349,3.816942
4,9,arm_l,-28.233733,44.466296,-14.196138
4,10,forearm_l,-17.149959,20.816723,-26.691382
4,11,forearm_twist_l,-17.598053,9.171541,-29.278437
4,12,hand_l,-18.069946,-3.175262,-32.019686
4,13,weapon_l,-53.585830,-31.304957,-28.619805
4,14,f_big1_l,-21.908527,-7.510647,-30.252906
4,15,f_big2_l,-23.742781,-10.828718,-29.294774
4,16,f_big3_l,-23.602414,-15.047974,-28.683738
4,17,f_main1_l,-17.191040,-13.770418,-36.219751
4,18,f_main2_l,-16.197499,-18.388947,-34.677264
4,19,f_main3_l,-16.032688,-21.631620,-31.193601
4,20,f_pointer1_l,-22.634878,-13.997284,-34.456902
4,21,f_pointer2_l,-21.716389,-18.339759,-34.767325
4,22,f_pointer3_l,-20.685805,-21.169527,-33.125500
4,23,scapular_l,-29.123827,51.873234,-11.284330
4,24,chest_l,-34.698078,26.158229,-0.848554
4,25,zero_joint_hand_r,-13.294514,26.518624,0.319023
4,26,clavicle_r,-24.363967,47.636675,7.733177
4,27,arm_r,-14.148924,45.761164,23.005049
4,28,forearm_r,-10.855109,18.331109,31.666824
4,29,forearm_twist_r,-14.173016,7.404233,35.118268
4,30,hand_r,-17.678447,-4.193437,38.804008
4,31,weapon_r,-1.087281,69.992548,11.106792
4,32,f_big1_r,-22.973593,-7.119941,37.147973
4,33,f_big2_r,-25.605887,-9.698463,35.274975
4,34,f_big3_r,-25.599334,-14.159413,33.840825
4,35,f_main1_r,-19.904223,-14.666088,42.500130
4,36,f_main2_r,-20.238621,-18.737142,40.122067
4,37,f_main3_r,-20.725374,-20.992294,36.326178
4,38,f_pointer1_r,-24.947415,-13.516986,41.341210
4,39,f_pointer2_r,-25.507869,-18.056232,41.543906
4,40,f_pointer3_r,-25.143131,-20.785548,39.418259
4,41,scapular_r,-16.048609,53.038538,20.256776
4,42,chest_r,-28.325577,25.482018,15.572661
4,43,zero_joint_pelvis_l,-11.625679,-2.124494,-1.749765
4,44,thigh_l,-20.120695,-1.733132,-5.280826
4,45,calf_l,-41.807028,-45.474296,-0.428778
4,46,foot_l,-35.248763,-86.048433,-1.840946
4,47,toe_l,-52.008599,-96.294222,4.585362
4,48,back_l,-15.227088,-6.157394,-14.330755
4,51,zero_joint_pelvis_r,-11.625679,-2.125022,-1.749786
4,52,thigh_r,-4.510068,-2.249403,4.098429
4,53,calf_r,11.318039,-48.682594,3.350943
4,54,foot_r,32.540526,-81.922973,-8.308769
4,55,toe_r,25.869795,-97.025534,4.124239
4,56,back_r,0.957276,-6.692153,-4.635323
4,57,biceps_twist_l,-22.909543,33.107565,-20.197474
4,58,biceps_twist_r,-12.584204,32.584123,27.164536
4,59,thigh_twist_l,-27.637537,-18.260538,-3.649221
4,60,thigh_twist_r,1.780737,-19.343657,3.369126
5,0,pelvis,-15.285156,-2.312500,-1.625000
5,1,stomach,-15.671978,8.649363,-0.451797
5,2,chest,-17.134822,26.344145,0.158290
5,3,neck,-30.479748,51.603019,5.988312
5,4,head,-34.662285,64.476437,8.123053
5,5,hair,-31.982805,79.659371,7.758184
5,7,zero_joint_hand_l,-17.134265,26.343104,0.157892
5,8,clavicle_l,-30.094218,47.429830,3.457373
5,9,arm_l,-32.265786,43.809952,-14.522491
5,10,forearm_l,-20.852953,20.020310,-26.442375
5,11,forearm_twist_l,-20.755763,8.327008,-28.842614
5,12,hand_l,-20.649513,-4.070622,-31.385869
5,13,weapon_l,-55.161232,-33.237863,-26.649818
5,14,f_big1_l,-24.275288,-8.534475,-29.493901
5,15,f_big2_l,-25.967634,-11.914717,-28.492885
5,16,f_big3_l,-25.680346,-16.135367,-27.946290
5,17,f_main1_l,-19.682216,-14.584859,-35.765997
5,18,f_main2_l,-18.486567,-19.191616,-34.335818
5,19,f_main3_l,-18.061907,-22.470247,-30.908247
5,20,f_pointer1_l,-25.025166,-14.987749,-33.744850
5,21,f_pointer2_l,-24.002503,-19.298275,-34.157886
5,22,f_pointer3_l,-22.814754,-22.117258,-32.606155
5,23,scapular_l,-33.353559,51.233394,-11.712627
5,24,chest_l,-38.510252,25.664078,-1.354397
5,25,zero_joint_hand_r,-17.136048,26.342305,0.158572
5,26,clavicle_r,-28.636732,47.289993,7.397575
5,27,arm_r,-17.822011,45.701076,22.284210
5,28,forearm_r,-14.064107,18.339078,30.972288
5,29,forearm_twist_r,-17.925261,7.634114,34.525680
5,30,hand_r,-22.007430,-3.743371,38.329026
5,31,weapon_r,-5.191839,70.150730,10.826018
5,32,f_big1_r,-27.420766,-6.365737,36.550140
5,33,f_big2_r,-30.149886,-8.804537,34.629195
5,34,f_big3_r,-30.373217,-13.275955,33.245919
5,35,f_main1_r,-24.971264,-14.013561,42.074783
5,36,f_main2_r,-25.483868,-18.087456,39.733609
5,37,f_main3_r,-25.997235,-20.358096,35.950481
5,38,f_pointer1_r,-29.899791,-12.576896,40.754583
5,39,f_pointer2_r,-30.740759,-17.070960,40.991464
5,40,f_pointer3_r,-30.481508,-19.844661,38.908211
5,41,scapular_r,-19.983283,52.923748,19.585456
5,42,chest_r,-32.394193,25.075310,15.167391
5,43,zero_joint_pelvis_l,-15.284859,-2.311992,-1.624767
5,44,thigh_l,-23.695413,-1.900057,-5.354208
5,45,calf_l,-44.484812,-46.033710,-0.143603
5,46,foot_l,-35.248288,-86.071607,-1.852122
5,47,toe_l,-52.009801,-96.316934,4.570548
5,48,back_l,-18.632326,-6.546593,-14.209614
5,51,zero_joint_pelvis_r,-15.284864,-2.312521,-1.624779
5,52,thigh_r,-8.304941,-2.399061,4.382963
5,53,calf_r,8.213995,-48.593604,4.946804
5,54,foot_r,31.449258,-80.361945,-6.976311
5,55,toe_r,25.837485,-96.858753,4.138050
5,56,back_r,-2.687514,-7.063901,-4.124162
5,57,biceps_twist_l,-26.780476,32.377533,-20.250694
5,58,biceps_twist_r,-16.038337,32.555966,26.456600
5,59,thigh_twist_l,-30.874942,-18.563466,-3.592000
5,60,thigh_twist_r,-1.747612,-19.390241,4.154086
6,0,pelvis,-18.628906,-2.000000,-1.000000
6,1,stomach,-19.099786,8.965951,0.102122
6,2,chest,-20.553699,26.663810,0.640030
6,3,neck,-33.981647,51.953546,6.136063
6,4,head,-38.201745,64.829076,8.182310
6,5,hair,-35.378951,79.983685,7.730748
6,7,zero_joint_hand_l,-20.553138,26.662767,0.639645
6,8,clavicle_l,-33.574649,47.755177,3.648906
6,9,arm_l,-36.351135,43.771448,-14.170066
6,10,forearm_l,-24.991249,19.907056,-25.990692
6,11,forearm_twist_l,-24.693769,8.188223,-28.245547
6,12,hand_l,-24.375141,-4.236388,-30.634725
6,13,weapon_l,-58.087127,-34.137277,-24.833365
6,14,f_big1_l,-27.853006,-8.762820,-28.617885
6,15,f_big2_l,-29.443657,-12.170678,-27.546232
6,16,f_big3_l,-29.046528,-16.377908,-26.965991
6,17,f_main1_l,-23.264175,-14.769336,-34.935088
6,18,f_main2_l,-21.930263,-19.332841,-33.488610
6,19,f_main3_l,-21.352513,-22.566160,-30.040444
6,20,f_pointer1_l,-28.549323,-15.274109,-32.788722
6,21,f_pointer2_l,-27.436826,-19.564022,-33.183779
6,22,f_pointer3_l,-26.149429,-22.339287,-31.632717
6,23,scapular_l,-37.367928,51.242369,-11.471159
6,24,chest_l,-41.919296,25.922817,-0.979208
6,25,zero_joint_hand_r,-20.554922,26.661971,0.640324
6,26,clavicle_r,-32.137279,47.659306,7.599882
6,27,arm_r,-20.790738,46.371967,22.115167
6,28,forearm_r,-15.788634,19.103494,30.463388
6,29,forearm_twist_r,-19.866772,8.541692,34.198168
6,30,hand_r,-24.174451,-2.684631,38.196965
6,31,weapon_r,-8.528530,70.644374,11.036262
6,32,f_big1_r,-29.641575,-5.210908,36.447734
6,33,f_big2_r,-32.420778,-7.626275,34.569463
6,34,f_big3_r,-32.749454,-12.122977,33.293319
6,35,f_main1_r,-27.417982,-12.782874,42.171484
6,36,f_main2_r,-28.020436,-16.898321,39.926350
6,37,f_main3_r,-28.570012,-19.246660,36.196111
6,38,f_pointer1_r,-32.301155,-11.255210,40.786501
6,39,f_pointer2_r,-33.256845,-15.719608,41.126727
6,40,f_pointer3_r,-33.056262,-18.548805,39.112781
6,41,scapular_r,-23.169163,53.535337,19.440991
6,42,chest_r,-35.890382,25.518601,15.580113
6,43,zero_joint_pelvis_l,-18.628619,-1.999490,-0.999761
6,44,thigh_l,-26.932674,-1.643610,-4.975214
6,45,calf_l,-46.184177,-46.477371,0.167004
6,46,foot_l,-35.257704,-86.076002,-1.789087
6,47,toe_l,-52.030580,-96.305747,4.628753
6,48,back_l,-21.555285,-6.313875,-13.662164
6,51,zero_joint_pelvis_r,-18.628621,-2.000019,-0.999769
6,52,thigh_r,-11.828428,-2.025335,5.205496
6,53,calf_r,2.788455,-48.654724,9.584504
6,54,foot_r,28.863009,-77.122478,-4.591892
6,55,toe_r,25.251038,-95.369083,4.418146
6,56,back_r,-5.937833,-6.708232,-3.071570
6,57,biceps_twist_l,-30.891274,32.303113,-19.850588
6,58,biceps_twist_r,-18.411128,33.263286,26.127856
6,59,thigh_twist_l,-33.532317,-18.548042,-3.241504
6,60,thigh_twist_r,-5.949109,-19.239174,6.404231
7,0,pelvis,-22.125000,-1.375000,-0.125000
7,1,stomach,-22.787348,9.580732,0.980312
7,2,chest,-24.054985,27.294566,1.460538
7,3,neck,-37.319543,52.765849,6.495632
7,4,head,-41.713077,65.607880,8.381027
