frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.311699,10.874739,1.825202
0,2,chest,1.374265,28.606794,2.075452
0,3,neck,-5.296311,56.839614,4.990618
0,4,head,-8.782153,69.831072,7.607212
0,5,hair,-6.373277,85.041335,8.269438
0,7,zero_joint_hand_l,1.374277,28.606781,2.075457
0,8,clavicle_l,-6.553094,52.203262,4.048961
0,9,arm_l,-21.422372,49.008240,-6.429165
0,10,forearm_l,-29.820469,21.306095,-5.840427
0,11,forearm_twist_l,-29.183751,16.707696,5.165932
0,12,hand_l,-28.510643,11.815376,16.810470
0,13,weapon_l,7.027688,-7.372760,37.577301
0,14,f_big1_l,-25.158123,7.205792,18.863239
0,15,f_big2_l,-24.805838,3.479803,20.003538
0,16,f_big3_l,-27.872042,1.177082,21.871972
0,17,f_main1_l,-30.400905,7.326947,27.158083
0,18,f_main2_l,-31.519514,3.716771,23.925220
0,19,f_main3_l,-30.179266,5.550855,19.735324
0,20,f_pointer1_l,-25.408877,5.625153,26.538162
0,21,f_pointer2_l,-27.507424,1.821338,25.558894
0,22,f_pointer3_l,-27.081076,2.592108,22.241843
0,23,scapular_l,-18.636789,56.453839,-5.505483
0,24,chest_l,-17.807096,32.353279,10.891329
0,25,zero_joint_hand_r,1.374277,28.606781,2.075457
0,26,clavicle_r,-3.314797,52.694384,6.687208
0,27,arm_r,11.883748,48.640810,16.365405
0,28,forearm_r,15.223982,20.215057,20.736090
0,29,forearm_twist_r,13.863577,9.611717,26.048565
0,30,hand_r,12.424475,-1.623160,31.695453
0,31,weapon_r,7.042780,-7.374907,37.572460
0,32,f_big1_r,14.352949,-4.654361,36.837635
0,33,f_big2_r,13.551213,-6.018716,40.656225
0,34,f_big3_r,9.236491,-7.064981,42.166858
0,35,f_main1_r,7.081192,-10.931409,35.278665
0,36,f_main2_r,6.375467,-7.755627,38.712873
0,37,f_main3_r,8.921187,-4.262035,37.673531
0,38,f_pointer1_r,11.587507,-11.996134,37.858566
0,39,f_pointer2_r,9.190108,-10.420770,41.426571
0,40,f_pointer3_r,10.745139,-7.343950,40.947800
0,41,scapular_r,9.839068,56.268319,15.004031
0,42,chest_r,-4.221203,34.409711,21.942453
0,43,zero_joint_pelvis_l,-0.000000,-0.000007,-0.000001
0,44,thigh_l,-8.349740,1.174041,-3.704552
0,45,calf_l,-42.456590,-31.181675,10.329667
0,46,foot_l,-47.121827,-68.568000,-6.155595
0,47,toe_l,-59.572680,-78.639418,6.909952
0,48,back_l,-3.553746,-3.255181,-12.817586
0,51,zero_joint_pelvis_r,-0.000009,-0.000300,-0.000050
0,52,thigh_r,6.932703,-0.892987,5.996939
0,53,calf_r,25.861398,-38.460481,31.246034
0,54,foot_r,27.561957,-68.579924,3.296206
0,55,toe_r,34.767103,-78.632833,19.854908
0,56,back_r,12.276585,-5.396688,-2.771334
0,57,biceps_twist_l,-25.448782,35.708785,-6.147872
0,58,biceps_twist_r,13.492186,34.981658,18.472944
0,59,thigh_twist_l,-21.028631,-10.845108,1.518312
0,60,thigh_twist_r,13.967069,-14.867727,15.362688
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.312606,10.874668,1.825471
1,2,chest,1.376632,28.606629,2.076143
1,3,neck,-5.289638,56.840235,4.993552
1,4,head,-8.773476,69.832021,7.611187
1,5,hair,-6.362284,85.041867,8.274538
1,7,zero_joint_hand_l,1.376645,28.606616,2.076149
1,8,clavicle_l,-6.547119,52.204149,4.051563
1,9,arm_l,-21.417042,49.012196,-6.426583
1,10,forearm_l,-29.817378,21.310642,-5.841998
1,11,forearm_twist_l,-29.181748,16.710779,5.163813
1,12,hand_l,-28.509824,11.816903,16.807765
