frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.109115,10.748468,2.479314
0,2,chest,-0.150565,28.125612,6.173983
0,3,neck,-7.439460,47.799413,26.419983
0,4,head,-11.607284,57.403773,35.260862
0,5,hair,-9.858638,71.943032,40.096811
0,7,zero_joint_hand_l,-0.150565,28.125612,6.173983
0,8,clavicle_l,-8.630965,44.380971,23.125120
0,9,arm_l,-24.561458,46.119162,13.944009
0,10,forearm_l,-49.866514,36.918746,3.300234
0,11,forearm_twist_l,-57.671691,29.696106,8.723939
0,12,hand_l,-65.947832,22.039602,14.474079
0,13,weapon_l,-71.522184,14.653686,16.130152
0,14,f_big1_l,-67.595156,18.845038,19.525868
0,15,f_big2_l,-68.922713,16.745397,22.760092
0,16,f_big3_l,-69.637116,12.971534,25.208105
0,17,f_main1_l,-75.278209,15.510940,14.457940
0,18,f_main2_l,-72.589839,11.645781,15.545020
0,19,f_main3_l,-68.077423,10.964252,15.909501
0,20,f_pointer1_l,-74.979194,16.028016,19.733319
0,21,f_pointer2_l,-74.784777,11.495809,20.095139
0,22,f_pointer3_l,-71.931326,9.538127,20.449212
0,23,scapular_l,-22.385342,51.590901,19.376229
0,24,chest_l,-16.728233,22.447793,18.528100
0,25,zero_joint_hand_r,-0.150519,28.125508,6.173860
0,26,clavicle_r,-4.874481,43.896611,24.947550
0,27,arm_r,12.485850,40.608265,30.323459
0,28,forearm_r,33.884258,22.205990,36.784718
0,29,forearm_twist_r,30.100545,18.849560,47.597756
0,30,hand_r,26.084153,15.286724,59.076050
0,31,weapon_r,-71.507471,14.633093,16.170213
0,32,f_big1_r,20.395927,17.563625,60.024357
0,33,f_big2_r,16.519311,18.695249,60.592140
0,34,f_big3_r,12.127785,17.495220,60.732174
0,35,f_main1_r,20.608952,13.399269,68.881116
0,36,f_main2_r,16.520168,11.214140,67.518918
0,37,f_main3_r,14.060421,9.498561,64.064948
0,38,f_pointer1_r,17.775063,17.665248,67.482409
0,39,f_pointer2_r,13.994433,15.294245,68.373918
0,40,f_pointer3_r,11.709417,13.460221,66.495430
0,41,scapular_r,8.531693,47.018239,33.056193
0,42,chest_r,-0.971934,20.422168,26.165477
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.196432,0.311417,-0.380928
0,45,calf_l,-46.387512,-25.271875,18.840092
0,46,foot_l,-61.186639,-57.030669,-2.691987
0,47,toe_l,-72.603504,-67.788523,10.764962
0,48,back_l,-7.627726,-3.127871,-10.933890
0,51,zero_joint_pelvis_r,-0.000010,-0.000296,-0.000001
0,52,thigh_r,8.687679,-0.297226,3.041815
0,53,calf_r,23.041178,-27.787444,41.060151
0,54,foot_r,32.264433,-57.123356,13.754446
0,55,toe_r,37.665875,-68.247202,30.314947
0,56,back_r,10.899851,-3.757968,-7.388417
0,57,biceps_twist_l,-36.722229,41.697565,8.828712
0,58,biceps_twist_r,22.769410,31.764700,33.428436
0,59,thigh_twist_l,-23.018723,-9.196774,6.762670
0,60,thigh_twist_r,14.022241,-10.514209,17.171505
1,0,pelvis,-3.820312,0.812500,-0.206055
1,1,stomach,-3.672025,11.631150,1.944133
1,2,chest,-3.441969,28.915729,6.043866
1,3,neck,-9.511453,46.246383,28.691089
1,4,head,-12.646330,54.940097,38.808773
1,5,hair,-11.115956,69.115015,44.687879
1,7,zero_joint_hand_l,-3.441969,28.915729,6.043866
1,8,clavicle_l,-10.874066,43.068720,25.225933
1,9,arm_l,-27.663643,44.966991,17.769301
1,10,forearm_l,-53.388411,34.519217,9.561755
1,11,forearm_twist_l,-61.452702,26.866073,13.909226
1,12,hand_l,-70.003571,18.753220,18.518446
1,13,weapon_l,-75.984829,11.448384,19.642747
1,14,f_big1_l,-71.879213,15.311383,23.322113
1,15,f_big2_l,-73.354922,13.065276,26.389423
1,16,f_big3_l,-74.272503,9.174714,28.572712
1,17,f_main1_l,-79.595065,12.643787,17.920357
1,18,f_main2_l,-77.091015,8.605049,18.796055
1,19,f_main3_l,-72.618668,7.709233,19.189573
1,20,f_pointer1_l,-79.376527,12.804788,23.222501
1,21,f_pointer2_l,-79.377548,8.254503,23.289687
1,22,f_pointer3_l,-76.615245,6.157907,23.561785
1,23,scapular_l,-25.199649,49.937871,23.548856
1,24,chest_l,-18.306083,21.186088,19.422643
1,25,zero_joint_hand_r,-3.441931,28.915640,6.043730
1,26,clavicle_r,-6.925509,42.649487,26.604397
1,27,arm_r,11.364263,40.911511,28.490773
1,28,forearm_r,37.969411,32.688847,20.563769
1,29,forearm_twist_r,40.056683,28.308260,31.470541
1,30,hand_r,42.272917,23.658463,43.048283
1,31,weapon_r,-75.972979,11.404019,19.668306
1,32,f_big1_r,36.783764,22.712698,45.771188
1,33,f_big2_r,33.265566,21.705301,47.570780
1,34,f_big3_r,30.612190,18.426384,49.289350
1,35,f_main1_r,41.587073,21.614050,54.229947
1,36,f_main2_r,39.356848,17.333479,54.456511
1,37,f_main3_r,37.609121,13.813445,52.115937
1,38,f_pointer1_r,36.560865,23.224983,53.657231
1,39,f_pointer2_r,35.106429,19.200031,55.204482
1,40,f_pointer3_r,34.029184,16.544562,53.229212
1,41,scapular_r,7.406397,46.676769,32.400745
1,42,chest_r,-1.745155,19.434191,25.198467
1,43,zero_joint_pelvis_l,-3.820312,0.812500,-0.206055
1,44,thigh_l,-13.002919,1.344892,-0.667282
1,45,calf_l,-49.311950,-24.658344,19.645643
1,46,foot_l,-61.103887,-57.103716,-2.704159
1,47,toe_l,-72.607720,-67.740538,10.774920
1,48,back_l,-11.449339,-2.454501,-11.098272
1,51,zero_joint_pelvis_r,-3.820330,0.812205,-0.206047
1,52,thigh_r,4.835603,0.388639,2.910387
1,53,calf_r,20.745191,-27.471609,40.029392
1,54,foot_r,32.299311,-57.141861,14.001636
1,55,toe_r,37.737603,-68.682340,30.262264
1,56,back_r,7.031024,-3.444729,-7.392311
1,57,biceps_twist_l,-40.026127,39.945942,13.824785
1,58,biceps_twist_r,24.149932,36.960036,24.681095
1,59,thigh_twist_l,-26.497390,-8.319375,6.882131
1,60,thigh_twist_r,10.748500,-9.965867,16.705833
2,0,pelvis,-10.577637,2.500000,-2.159180
2,1,stomach,-10.038167,13.348317,-0.232662
2,2,chest,-9.364454,30.411813,4.666383
2,3,neck,-12.420234,43.968747,30.297588
2,4,head,-13.480804,51.243495,41.861708
2,5,hair,-12.244567,64.919644,48.880888
2,7,zero_joint_hand_l,-9.364454,30.411813,4.666383
2,8,clavicle_l,-14.144193,41.113838,26.714414
2,9,arm_l,-32.229044,43.299230,23.671886
2,10,forearm_l,-58.008880,31.420636,17.963778
2,11,forearm_twist_l,-64.694014,22.631680,22.498879
2,12,hand_l,-71.782737,13.314510,27.307310
2,13,weapon_l,-77.222664,5.979435,27.826321
2,14,f_big1_l,-73.551070,9.427763,31.802384
2,15,f_big2_l,-74.956724,6.889619,34.668228
2,16,f_big3_l,-75.757459,2.804161,36.515666
2,17,f_main1_l,-81.192155,6.999054,26.185926
2,18,f_main2_l,-78.569985,2.975980,26.722231
2,19,f_main3_l,-74.076710,2.182143,27.044381
2,20,f_pointer1_l,-80.971977,6.720208,31.483112
2,21,f_pointer2_l,-80.839835,2.182298,31.167649
2,22,f_pointer3_l,-78.017053,0.151955,31.266033
2,23,scapular_l,-28.522567,47.555445,29.357943
2,24,chest_l,-20.592252,19.421753,19.255284
