frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.864033,10.632507,2.272367
0,2,chest,-1.481840,28.378271,2.339777
0,3,neck,3.844544,56.815746,-1.269456
0,4,head,2.281914,70.385453,-0.175442
0,5,hair,4.910877,85.272623,-3.224203
0,7,zero_joint_hand_l,-1.481842,28.378263,2.339777
0,8,clavicle_l,0.978577,52.881519,-1.786925
0,9,arm_l,-8.926544,50.731746,-17.225896
0,10,forearm_l,-15.176673,25.832529,-30.614261
0,11,forearm_twist_l,-22.817053,17.082867,-27.862549
0,12,hand_l,-30.921230,7.808872,-24.947754
0,13,weapon_l,-33.720319,4.860735,-16.572616
0,14,f_big1_l,-34.593294,10.074149,-20.495344
0,15,f_big2_l,-34.726626,9.475465,-16.463607
0,16,f_big3_l,-34.402278,8.805194,-11.970199
0,17,f_main1_l,-35.396137,0.953169,-17.032315
0,18,f_main2_l,-33.205992,3.587616,-13.624753
0,19,f_main3_l,-31.040600,5.377529,-17.239517
0,20,f_pointer1_l,-38.939327,4.862222,-16.439425
0,21,f_pointer2_l,-36.971439,6.101796,-12.527842
0,22,f_pointer3_l,-35.954723,7.951444,-15.292831
0,23,scapular_l,-6.894210,55.432061,-10.737417
0,24,chest_l,-18.668187,40.998559,4.584459
0,25,zero_joint_hand_r,-1.481862,28.378105,2.339791
0,26,clavicle_r,3.527861,52.827664,1.554524
0,27,arm_r,15.618195,51.572597,15.459320
0,28,forearm_r,25.899525,25.134237,21.255080
0,29,forearm_twist_r,15.618011,21.999899,26.448375
0,30,hand_r,4.717259,18.678578,31.955016
0,31,weapon_r,-33.721417,4.847549,-16.586927
0,32,f_big1_r,1.214861,22.917376,34.819503
0,33,f_big2_r,-1.169485,26.126619,34.015289
0,34,f_big3_r,-3.136634,25.195463,30.014233
0,35,f_main1_r,-6.309736,16.708727,34.005552
0,36,f_main2_r,-5.400994,20.535181,31.198247
0,37,f_main3_r,-0.936605,20.082216,30.310817
0,38,f_pointer1_r,-5.727268,20.471683,37.705045
0,39,f_pointer2_r,-5.213583,23.927414,34.788942
0,40,f_pointer3_r,-2.112336,24.703021,33.417530
0,41,scapular_r,12.001704,55.369622,14.225204
0,42,chest_r,-7.968175,40.769405,18.589847
0,43,zero_joint_pelvis_l,-0.000002,0.000008,-0.000002
0,44,thigh_l,-7.289680,0.244237,-5.622935
0,45,calf_l,-18.672706,-47.114075,-11.517506
0,46,foot_l,-17.303150,-86.709744,-22.543516
0,47,toe_l,-33.123883,-97.172105,-14.333210
0,48,back_l,0.197388,-2.730069,-13.417284
0,51,zero_joint_pelvis_r,-0.000000,-0.000289,-0.000018
0,52,thigh_r,5.336088,-0.347988,7.498278
0,53,calf_r,12.722042,-46.957377,20.919956
0,54,foot_r,22.967617,-86.548082,25.263907
0,55,toe_r,17.507309,-96.856491,42.325192
0,56,back_r,13.278323,-3.342627,0.175082
0,57,biceps_twist_l,-11.930559,38.765546,-23.659175
0,58,biceps_twist_r,20.559315,38.867125,18.244540
0,59,thigh_twist_l,-11.519661,-17.356867,-7.814015
0,60,thigh_twist_r,8.081668,-17.670781,12.485768
1,0,pelvis,0.765625,-0.062500,-1.312500
1,1,stomach,-1.080148,10.579318,0.931004
1,2,chest,-0.656655,28.324029,1.023880
1,3,neck,4.125762,56.902306,-2.216098
1,4,head,2.410602,70.444435,-1.014174
1,5,hair,5.052007,85.345559,-3.982962
1,7,zero_joint_hand_l,-0.656656,28.324027,1.023880
1,8,clavicle_l,1.331244,52.922802,-2.776301
1,9,arm_l,-8.636729,50.746414,-18.171028
1,10,forearm_l,-14.794630,25.328724,-30.592974
1,11,forearm_twist_l,-22.325450,16.704151,-27.215490
1,12,hand_l,-30.313703,7.562889,-23.636966
1,13,weapon_l,-33.200363,4.587264,-15.301368
1,14,f_big1_l,-34.017897,9.825615,-19.203804
1,15,f_big2_l,-34.209766,9.238344,-15.172749
1,16,f_big3_l,-33.938340,8.498392,-10.678838
1,17,f_main1_l,-34.885091,0.692822,-15.800566
1,18,f_main2_l,-32.680381,3.303869,-12.389924
1,19,f_main3_l,-30.507397,5.137781,-15.972994
1,20,f_pointer1_l,-38.419441,4.612089,-15.213372
1,21,f_pointer2_l,-36.454097,5.812000,-11.283637
1,22,f_pointer3_l,-35.394163,7.690179,-14.012933
1,23,scapular_l,-6.639003,55.495690,-11.767976
1,24,chest_l,-18.064982,40.590288,3.507815
1,25,zero_joint_hand_r,-0.656674,28.323863,1.023893
1,26,clavicle_r,3.894866,52.870915,0.554193
1,27,arm_r,16.012643,51.603124,14.433923
1,28,forearm_r,25.544990,24.684456,19.209188
1,29,forearm_twist_r,15.227655,21.406817,24.240451
1,30,hand_r,4.289029,17.933547,29.575573
1,31,weapon_r,-33.192383,4.584634,-15.279220
1,32,f_big1_r,0.614865,22.012401,32.441996
1,33,f_big2_r,-1.923933,25.133739,31.826170
1,34,f_big3_r,-3.921505,24.589328,27.786787
1,35,f_main1_r,-6.698866,15.584312,31.430767
1,36,f_main2_r,-5.919146,19.480547,28.667524
1,37,f_main3_r,-1.409600,19.048999,27.954292
1,38,f_pointer1_r,-6.283646,19.312045,35.188483
1,39,f_pointer2_r,-5.902224,22.815961,32.315999
1,40,f_pointer3_r,-2.764566,23.646751,31.070450
1,41,scapular_r,12.386825,55.461082,13.211527
1,42,chest_r,-7.304811,40.369677,17.467175
1,43,zero_joint_pelvis_l,0.765624,-0.062495,-1.312502
1,44,thigh_l,-6.556354,0.164447,-6.894041
1,45,calf_l,-19.016629,-47.054925,-11.605871
1,46,foot_l,-17.278697,-86.667527,-22.518570
1,47,toe_l,-33.097057,-97.130941,-14.305036
1,48,back_l,0.884062,-2.842581,-14.720442
1,51,zero_joint_pelvis_r,0.765625,-0.062791,-1.312517
1,52,thigh_r,6.144848,-0.385249,6.156027
1,53,calf_r,13.569408,-46.796166,20.228396
1,54,foot_r,22.898822,-86.531593,25.260641
1,55,toe_r,17.475264,-96.823991,42.343302
1,56,back_r,14.043141,-3.411085,-1.201789
1,57,biceps_twist_l,-11.596483,38.531075,-24.139820
1,58,biceps_twist_r,20.593827,38.666826,16.728717
1,59,thigh_twist_l,-11.173010,-17.387646,-8.655640
1,60,thigh_twist_r,8.913298,-17.637363,11.370715
2,0,pelvis,3.140625,-0.625000,-5.242188
2,1,stomach,1.533409,10.052236,-2.983436
2,2,chest,1.985829,27.796258,-2.895350
2,3,neck,5.052389,56.716017,-4.976366
2,4,head,2.880944,70.156430,-3.422089
2,5,hair,5.510907,85.115289,-6.096050
2,7,zero_joint_hand_l,1.985830,27.796270,-2.895351
2,8,clavicle_l,2.485930,52.606285,-5.671306
2,9,arm_l,-7.711387,50.244937,-20.887532
2,10,forearm_l,-13.845047,23.492705,-30.105980
2,11,forearm_twist_l,-20.913098,15.265066,-25.120749
2,12,hand_l,-28.411371,6.545047,-19.837014
2,13,weapon_l,-31.582525,3.462045,-11.645053
2,14,f_big1_l,-32.222040,8.778276,-15.468244
2,15,f_big2_l,-32.605091,8.222384,-11.438456
2,16,f_big3_l,-32.524267,7.249517,-6.957564
2,17,f_main1_l,-33.299209,-0.402262,-12.264525
2,18,f_main2_l,-31.055797,2.134956,-8.834505
2,19,f_main3_l,-28.860580,4.119639,-12.301913
2,20,f_pointer1_l,-36.803895,3.547233,-11.704951
2,21,f_pointer2_l,-34.860372,4.611624,-7.725633
2,22,f_pointer3_l,-33.664274,6.584673,-10.328804
2,23,scapular_l,-5.818343,55.198623,-14.781299
2,24,chest_l,-16.067812,38.906108,0.316885
2,25,zero_joint_hand_r,1.985820,27.796092,-2.895342
2,26,clavicle_r,5.096309,52.566059,-2.377167
2,27,arm_r,17.299821,51.243768,11.422129
2,28,forearm_r,24.513371,23.343193,14.216060
2,29,forearm_twist_r,14.129657,19.401865,18.591940
2,30,hand_r,3.120908,15.224922,23.233197
2,31,weapon_r,-31.579605,3.453072,-11.644776
2,32,f_big1_r,-0.977050,18.814433,26.129172
2,33,f_big2_r,-3.870268,21.637694,26.059575
2,34,f_big3_r,-6.226253,22.091179,22.261365
2,35,f_main1_r,-7.757391,11.992840,24.291154
2,36,f_main2_r,-7.539151,16.132720,21.748387
2,37,f_main3_r,-2.940158,16.059547,21.390492
2,38,f_pointer1_r,-7.794032,15.476948,28.297092
2,39,f_pointer2_r,-8.012665,19.157512,25.663096
2,40,f_pointer3_r,-4.917699,20.379156,24.682732
2,41,scapular_r,13.652928,55.311874,10.258720
