frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,1.316869,10.580462,2.829870
0,2,chest,0.535700,28.282034,1.540861
0,3,neck,-5.416788,56.385223,-3.445675
0,4,head,-8.071361,69.738356,-1.889166
0,5,hair,-6.247245,84.168421,-6.992022
0,7,zero_joint_hand_l,0.535700,28.282034,1.540861
0,8,clavicle_l,-6.781601,51.873217,-2.122805
0,9,arm_l,-23.412876,44.815938,-5.955586
0,10,forearm_l,-26.105064,16.127568,-8.786317
0,11,forearm_twist_l,-27.737525,4.647654,-5.982013
0,12,hand_l,-29.482370,-7.537379,-3.005606
0,13,weapon_l,42.002946,-44.938927,56.793684
0,14,f_big1_l,-27.799758,-11.830838,0.434457
0,15,f_big2_l,-28.208626,-15.371988,2.037536
0,16,f_big3_l,-28.199147,-19.536615,2.923190
0,17,f_main1_l,-30.537337,-18.180088,-6.178286
0,18,f_main2_l,-28.921610,-22.858727,-6.462202
0,19,f_main3_l,-27.492463,-27.260208,-5.338612
0,20,f_pointer1_l,-30.084582,-18.709236,-1.149968
0,21,f_pointer2_l,-29.800191,-23.131628,-1.501962
0,22,f_pointer3_l,-29.232903,-26.499686,-1.232006
0,23,scapular_l,-21.746966,52.466155,-7.656977
0,24,chest_l,-13.698768,36.878732,15.029073
0,25,zero_joint_hand_r,0.535737,28.281869,1.540878
0,26,clavicle_r,-2.782168,52.868022,-1.285266
0,27,arm_r,15.509849,50.866084,-2.862951
0,28,forearm_r,24.060148,23.444134,-6.497855
0,29,forearm_twist_r,28.136009,12.272664,-5.651251
0,30,hand_r,32.481557,0.403281,-4.751004
0,31,weapon_r,42.026469,-44.946856,56.816236
0,32,f_big1_r,31.750665,-3.732841,-0.094748
0,33,f_big2_r,31.835437,-7.679192,1.092191
0,34,f_big3_r,31.691879,-12.206711,0.298442
0,35,f_main1_r,36.072311,-10.146547,-5.940295
0,36,f_main2_r,33.550725,-14.182069,-5.678235
0,37,f_main3_r,31.493797,-18.278323,-4.951945
0,38,f_pointer1_r,36.032893,-10.295051,-0.622400
0,39,f_pointer2_r,35.262125,-14.728490,-1.380550
0,40,f_pointer3_r,34.211995,-18.047466,-1.705130
0,41,scapular_r,12.196600,58.155225,-2.972304
0,42,chest_r,3.048862,41.043988,18.556628
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.087552,1.222422,0.860702
0,45,calf_l,-7.909280,-47.789575,-1.027343
0,46,foot_l,-5.284040,-88.595943,-5.410731
0,47,toe_l,-13.196494,-99.033200,10.577467
0,48,back_l,-9.250961,-1.858037,-9.916439
0,51,zero_joint_pelvis_r,-0.000040,-0.000295,-0.000011
0,52,thigh_r,8.931781,-1.283486,1.842786
0,53,calf_r,29.476497,-45.834702,2.325244
0,54,foot_r,45.333521,-83.042726,-5.116757
0,55,toe_r,55.433704,-98.519432,4.136545
0,56,back_r,9.398453,-4.447032,-8.893328
0,57,biceps_twist_l,-24.677490,31.025036,-7.302417
0,58,biceps_twist_r,19.606478,37.724283,-4.602583
0,59,thigh_twist_l,-8.383253,-16.949311,-0.407604
0,60,thigh_twist_r,16.475269,-17.856052,1.395305
1,0,pelvis,0.562500,-0.125000,0.078125
1,1,stomach,1.802499,10.466714,2.900619
1,2,chest,0.993781,28.166727,1.607198
1,3,neck,-5.091978,56.264980,-3.244464
1,4,head,-7.849966,69.589277,-1.622046
1,5,hair,-6.085528,84.074194,-6.588662
1,7,zero_joint_hand_l,0.993781,28.166727,1.607198
1,8,clavicle_l,-6.440563,51.735005,-1.967162
1,9,arm_l,-23.002567,44.646477,-6.035029
1,10,forearm_l,-25.550807,15.986298,-9.394946
1,11,forearm_twist_l,-27.215500,4.549022,-6.439443
1,12,hand_l,-28.996751,-7.605732,-3.298803
1,13,weapon_l,40.448780,-44.516793,57.669933
1,14,f_big1_l,-27.415808,-11.842269,0.265521
1,15,f_big2_l,-27.800567,-15.350668,1.949192
1,16,f_big3_l,-27.750103,-19.503957,2.902173
1,17,f_main1_l,-30.035255,-18.298138,-6.297060
1,18,f_main2_l,-28.421518,-22.982676,-6.474907
1,19,f_main3_l,-27.038346,-27.388386,-5.311437
1,20,f_pointer1_l,-29.706223,-18.737181,-1.248372
1,21,f_pointer2_l,-29.469254,-23.172465,-1.511322
1,22,f_pointer3_l,-28.924701,-26.540215,-1.174329
1,23,scapular_l,-21.349042,52.317289,-7.653901
1,24,chest_l,-13.438083,36.577405,15.022866
1,25,zero_joint_hand_r,0.993819,28.166562,1.607214
1,26,clavicle_r,-2.456544,52.749884,-1.081619
1,27,arm_r,15.862429,50.842917,-2.450359
1,28,forearm_r,24.785364,23.479010,-5.869687
1,29,forearm_twist_r,28.969094,12.383094,-4.641600
1,30,hand_r,33.429195,0.594191,-3.335558
1,31,weapon_r,40.471595,-44.503808,57.678832
1,32,f_big1_r,32.442895,-3.468227,1.337384
1,33,f_big2_r,32.445642,-7.394905,2.590697
1,34,f_big3_r,32.318733,-11.933854,1.862163
1,35,f_main1_r,37.043055,-9.981004,-4.179396
1,36,f_main2_r,34.478433,-13.993278,-3.987402
1,37,f_main3_r,32.321309,-18.044488,-3.300217
1,38,f_pointer1_r,36.728306,-10.048871,1.131053
