frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-6.409155,7.114714,-5.476500
0,2,chest,-18.093927,16.502528,-14.984276
0,3,neck,-25.759438,38.354231,-32.699522
0,4,head,-27.070625,49.591680,-40.431026
0,5,hair,-21.848956,64.094152,-40.507087
0,7,zero_joint_hand_l,-18.093974,16.502517,-14.984370
0,8,clavicle_l,-22.369315,35.524180,-30.585811
0,9,arm_l,-6.233384,43.833628,-27.168280
0,10,forearm_l,10.128451,45.110845,-3.315764
0,11,forearm_twist_l,21.750413,45.705230,-0.690087
0,12,hand_l,34.103306,46.348078,2.096900
0,13,weapon_l,42.838305,48.367646,4.481675
0,14,f_big1_l,39.431100,47.655071,-0.937115
0,15,f_big2_l,42.777334,48.680635,1.268232
0,16,f_big3_l,46.606247,49.178228,3.919245
0,17,f_main1_l,42.626969,51.580244,7.372036
0,18,f_main2_l,46.953256,50.987086,9.183494
0,19,f_main3_l,51.117767,51.320060,11.027973
0,20,f_pointer1_l,44.258034,52.891089,2.504523
0,21,f_pointer2_l,47.573871,53.950859,5.460291
0,22,f_pointer3_l,50.134129,54.697871,7.684983
0,23,scapular_l,-11.750491,47.390009,-31.762026
0,24,chest_l,-6.059299,18.288214,-32.599542
0,25,zero_joint_hand_r,-18.093975,16.502433,-14.984121
0,26,clavicle_r,-26.104069,33.698107,-31.220553
0,27,arm_r,-42.952355,26.421064,-33.288067
0,28,forearm_r,-34.457464,1.202932,-21.879032
0,29,forearm_twist_r,-37.475356,-7.182952,-29.809149
0,30,hand_r,-40.696405,-16.094513,-38.234317
0,31,weapon_r,-41.238202,-25.166930,-40.532925
0,32,f_big1_r,-42.740675,-19.091412,-43.073956
0,33,f_big2_r,-43.334470,-21.965182,-45.656440
0,34,f_big3_r,-42.625482,-25.678533,-47.615937
0,35,f_main1_r,-43.445754,-27.157562,-37.515401
0,36,f_main2_r,-40.279072,-28.197603,-41.187742
0,37,f_main3_r,-37.529705,-25.406875,-43.897221
0,38,f_pointer1_r,-46.104381,-26.017854,-41.964895
0,39,f_pointer2_r,-44.774571,-29.521619,-44.356711
0,40,f_pointer3_r,-42.310054,-27.972913,-46.164914
0,41,scapular_r,-41.217923,33.594560,-36.385064
0,42,chest_r,-21.698932,10.638599,-35.265712
0,43,zero_joint_pelvis_l,0.000119,-0.000017,-0.000038
0,44,thigh_l,6.539410,6.483408,0.146869
0,45,calf_l,52.226285,-11.114597,-3.038804
0,46,foot_l,85.296869,-20.802767,19.405382
0,47,toe_l,103.588582,-24.329568,28.357511
0,48,back_l,5.644313,5.341137,11.260237
0,51,zero_joint_pelvis_r,0.000328,-0.000241,0.000102
0,52,thigh_r,-5.681359,-6.724585,-2.705679
0,53,calf_r,10.347300,-27.650767,-44.085697
0,54,foot_r,27.040226,-22.238687,-6.892670
0,55,toe_r,43.174610,-24.802274,5.767322
0,56,back_r,-7.000616,-8.320860,8.301183
0,57,biceps_twist_l,1.617058,44.447551,-15.725242
0,58,biceps_twist_r,-38.876819,14.322489,-27.814135
0,59,thigh_twist_l,23.556987,0.059415,-0.416052
0,60,thigh_twist_r,0.797061,-14.678520,-17.775005
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-6.409155,7.114714,-5.476500
1,2,chest,-18.093927,16.502528,-14.984276
1,3,neck,-25.759438,38.354231,-32.699522
1,4,head,-27.070625,49.591680,-40.431026
1,5,hair,-21.848956,64.094152,-40.507087
1,7,zero_joint_hand_l,-18.093974,16.502517,-14.984370
1,8,clavicle_l,-22.369315,35.524180,-30.585811
1,9,arm_l,-6.233384,43.833628,-27.168280
1,10,forearm_l,10.128451,45.110845,-3.315764
1,11,forearm_twist_l,21.750413,45.705230,-0.690087
1,12,hand_l,34.103306,46.348078,2.096900
1,13,weapon_l,42.838305,48.367646,4.481675
1,14,f_big1_l,39.431100,47.655071,-0.937115
1,15,f_big2_l,42.777334,48.680635,1.268232
1,16,f_big3_l,46.606247,49.178228,3.919245
