frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-3.402961,10.549191,-2.055667
0,2,chest,-1.936899,29.203298,-1.539102
0,3,neck,-0.881067,58.337781,-1.931620
0,4,head,-0.466641,72.005029,-2.831734
0,5,hair,3.353257,86.668683,-5.698763
0,7,zero_joint_hand_l,-1.936890,29.203313,-1.539094
0,8,clavicle_l,-2.951302,54.095391,-3.226788
0,9,arm_l,-8.133794,51.161012,-20.708948
0,10,forearm_l,-9.434780,21.760423,-21.401219
0,11,forearm_twist_l,-10.653581,10.749692,-25.848941
0,12,hand_l,-11.988551,-1.312475,-30.723296
0,13,weapon_l,-10.698449,-10.484675,-30.062350
0,14,f_big1_l,-15.366340,-5.551726,-28.879533
0,15,f_big2_l,-15.425793,-9.247066,-27.155575
0,16,f_big3_l,-14.904584,-13.750968,-26.721538
0,17,f_main1_l,-11.135213,-12.192092,-33.976816
0,18,f_main2_l,-9.211477,-16.376106,-32.513331
0,19,f_main3_l,-6.999474,-19.915040,-30.640776
0,20,f_pointer1_l,-15.274467,-12.912775,-30.731265
0,21,f_pointer2_l,-14.278413,-17.352971,-30.777578
0,22,f_pointer3_l,-12.676100,-20.290601,-29.827318
0,23,scapular_l,-7.060611,58.618109,-17.987505
0,24,chest_l,-21.104707,38.801219,-1.144288
0,25,zero_joint_hand_r,-1.936874,29.203160,-1.539082
0,26,clavicle_r,-0.955773,54.072498,0.472472
0,27,arm_r,11.669365,50.304117,13.414648
0,28,forearm_r,17.289249,21.985517,11.451821
0,29,forearm_twist_r,7.398303,16.546695,15.336700
0,30,hand_r,-3.073970,10.786426,19.452064
0,31,weapon_r,-9.691938,5.035235,16.393179
0,32,f_big1_r,-7.557984,11.115373,15.183001
0,33,f_big2_r,-10.456845,10.100499,12.500141
0,34,f_big3_r,-10.931477,7.270909,8.962724
0,35,f_main1_r,-11.962187,3.674735,19.773132
0,36,f_main2_r,-12.578951,0.983351,15.807709
0,37,f_main3_r,-11.099754,0.010086,11.590102
0,38,f_pointer1_r,-14.336492,7.387345,16.812544
0,39,f_pointer2_r,-15.831527,3.828949,14.401673
0,40,f_pointer3_r,-14.704149,2.336475,11.468823
0,41,scapular_r,9.665532,57.885658,11.780339
0,42,chest_r,-12.729151,38.704265,14.364902
0,43,zero_joint_pelvis_l,-0.000197,0.002088,-0.000375
0,44,thigh_l,-5.151151,-2.151249,-7.326963
0,45,calf_l,-3.023311,-51.318680,6.289753
0,46,foot_l,5.629916,-89.799523,13.134268
0,47,toe_l,-11.043173,-100.367089,19.139001
0,48,back_l,4.692822,-6.432569,-11.139787
0,51,zero_joint_pelvis_r,-0.000153,0.001798,-0.000267
0,52,thigh_r,2.717116,2.249485,8.513043
0,53,calf_r,-1.639745,-46.612349,7.695837
0,54,foot_r,28.118794,-71.129589,-6.608006
0,55,toe_r,33.877446,-90.973099,-6.119371
0,56,back_r,12.753811,-0.700642,4.935189
0,57,biceps_twist_l,-8.748419,37.264393,-21.036626
0,58,biceps_twist_r,14.371597,36.687664,12.470573
0,59,thigh_twist_l,-4.390398,-19.708879,-2.464523
