frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.873836,10.796754,2.086864
0,2,chest,2.875069,27.855878,6.625449
0,3,neck,3.766007,45.809841,29.580805
0,4,head,2.799961,55.323111,39.396104
0,5,hair,5.745648,69.585627,44.469348
0,7,zero_joint_hand_l,2.875061,27.855866,6.625439
0,8,clavicle_l,2.107286,41.791506,27.330593
0,9,arm_l,-14.503183,37.544167,34.196972
0,10,forearm_l,-36.120247,22.121358,22.659080
0,11,forearm_twist_l,-46.869449,18.886701,26.697534
0,12,hand_l,-58.285094,15.463702,30.980603
0,13,weapon_l,-66.704265,12.112440,33.009660
0,14,f_big1_l,-60.933105,13.722484,36.313461
0,15,f_big2_l,-64.072503,11.144947,36.380032
0,16,f_big3_l,-67.183508,7.973446,37.329728
0,17,f_main1_l,-69.626068,14.625886,31.136598
0,18,f_main2_l,-73.509736,11.842006,31.800170
0,19,f_main3_l,-76.186474,8.385022,33.131390
0,20,f_pointer1_l,-69.060364,15.331635,36.369141
0,21,f_pointer2_l,-73.472608,14.347505,36.731412
0,22,f_pointer3_l,-76.731231,13.132832,36.653360
0,23,scapular_l,-11.587758,44.967349,34.893245
0,24,chest_l,1.813714,18.024938,25.649300
0,25,zero_joint_hand_r,2.875066,27.855791,6.625317
0,26,clavicle_r,5.977267,43.006975,26.229217
0,27,arm_r,20.472305,53.735050,22.242113
0,28,forearm_r,41.262798,57.340477,2.416883
0,29,forearm_twist_r,43.222973,50.863174,12.231840
0,30,hand_r,45.312362,43.987580,22.669135
0,31,weapon_r,43.562461,33.142962,25.526010
0,32,f_big1_r,42.158000,39.126794,24.896321
0,33,f_big2_r,41.085999,35.232721,25.368231
0,34,f_big3_r,41.436207,30.868100,24.114192
0,35,f_main1_r,51.246052,34.606397,25.103908
0,36,f_main2_r,48.565462,32.299273,21.822947
0,37,f_main3_r,44.613838,34.323925,20.707294
0,38,f_pointer1_r,47.198588,33.549383,28.365198
0,39,f_pointer2_r,46.721301,29.878784,25.717831
0,40,f_pointer3_r,43.917579,30.355617,23.728463
0,41,scapular_r,14.748353,56.321434,27.209415
0,42,chest_r,18.039516,23.127685,21.025503
0,43,zero_joint_pelvis_l,0.000006,-0.000014,-0.000007
0,44,thigh_l,-8.936927,0.626294,2.134332
0,45,calf_l,-27.703962,-31.101782,34.511122
0,46,foot_l,-49.163106,-58.514633,12.618056
0,47,toe_l,-60.688670,-75.180815,16.688126
0,48,back_l,-10.413966,-3.093448,-8.336409
0,51,zero_joint_pelvis_r,-0.000005,-0.000320,0.000003
0,52,thigh_r,9.176728,-0.536718,0.562656
0,53,calf_r,4.189731,-33.645871,36.424094
0,54,foot_r,12.924905,-66.164422,12.812525
0,55,toe_r,10.754949,-75.768680,30.984350
0,56,back_r,8.351314,-4.297868,-9.965051
0,57,biceps_twist_l,-24.879613,30.140198,28.658243
0,58,biceps_twist_r,30.451900,55.464805,12.724645
0,59,thigh_twist_l,-16.204673,-11.426068,13.671359
0,60,thigh_twist_r,7.505277,-13.267297,13.459234
1,0,pelvis,-0.187500,0.625000,0.250000
1,1,stomach,0.779340,11.404684,2.383567
1,2,chest,2.894269,28.485040,6.788784
1,3,neck,3.934285,46.838346,29.419768
1,4,head,2.887251,56.496817,39.083788
1,5,hair,5.832280,70.807529,44.019836
1,7,zero_joint_hand_l,2.894260,28.485028,6.788774
1,8,clavicle_l,2.243256,42.793640,27.242006
1,9,arm_l,-14.254526,38.192634,34.152046
1,10,forearm_l,-36.386087,21.584892,25.627941
1,11,forearm_twist_l,-45.880016,17.654845,31.704451
1,12,hand_l,-55.951469,13.498467,38.144253
1,13,weapon_l,-62.894389,9.426875,42.775503
1,14,f_big1_l,-57.195825,12.937300,44.195687
1,15,f_big2_l,-59.521346,10.293092,46.229359
1,16,f_big3_l,-61.511563,7.428289,49.145887
1,17,f_main1_l,-66.592538,10.719778,41.040412
1,18,f_main2_l,-69.665378,7.685256,43.190415
1,19,f_main3_l,-71.485646,4.457524,45.872187
1,20,f_pointer1_l,-65.348894,13.005935,45.667953
1,21,f_pointer2_l,-69.375098,11.533038,47.147108
1,22,f_pointer3_l,-72.347300,9.935992,48.001039
1,23,scapular_l,-11.464630,45.652419,34.921863
1,24,chest_l,1.762338,19.003891,25.985328
1,25,zero_joint_hand_r,2.894265,28.484951,6.788653
1,26,clavicle_r,6.122285,43.958788,26.118299
1,27,arm_r,20.862039,54.501428,22.556403
1,28,forearm_r,43.165908,54.502021,4.095068
1,29,forearm_twist_r,44.070212,48.229722,14.193169
1,30,hand_r,45.037870,41.571413,24.931280
1,31,weapon_r,42.441947,32.259694,27.690386
1,32,f_big1_r,41.704405,36.772983,27.029061
1,33,f_big2_r,40.510741,32.903598,27.441963
1,34,f_big3_r,40.812795,28.563795,26.106115
1,35,f_main1_r,50.662306,32.009537,27.396967
1,36,f_main2_r,47.839846,30.052287,24.009345
1,37,f_main3_r,44.117320,32.584864,23.179833
1,38,f_pointer1_r,46.512503,31.026059,30.550878
1,39,f_pointer2_r,45.798487,27.534938,27.726632
1,40,f_pointer3_r,43.029817,28.482943,25.860738
1,41,scapular_r,15.013418,57.162505,27.293874
1,42,chest_r,18.026122,23.895542,21.267781
1,43,zero_joint_pelvis_l,-0.187494,0.624986,0.249993
1,44,thigh_l,-9.138321,1.338698,2.296879
1,45,calf_l,-31.114097,-29.469830,33.522329
1,46,foot_l,-50.809736,-58.597327,12.193090
1,47,toe_l,-62.346872,-75.119643,16.783652
1,48,back_l,-10.549213,-2.329347,-8.201187
1,51,zero_joint_pelvis_r,-0.187509,0.624681,0.250002
1,52,thigh_r,8.976923,-0.010893,0.902676
1,53,calf_r,4.534015,-33.536888,36.446973
1,54,foot_r,12.837299,-66.157667,12.820593
1,55,toe_r,10.761766,-75.793882,30.986529
1,56,back_r,8.217721,-3.727058,-9.645969
1,57,biceps_twist_l,-24.883907,30.215427,30.057633
1,58,biceps_twist_r,31.574062,54.500808,13.688689
1,59,thigh_twist_l,-17.545570,-10.391121,13.408215
1,60,thigh_twist_r,7.496963,-12.880452,13.683460
2,0,pelvis,-0.812500,2.125000,0.937500
2,1,stomach,0.372737,12.859895,3.183768
2,2,chest,2.767824,29.994287,7.220302
2,3,neck,4.129987,49.485960,28.860683
2,4,head,2.861495,59.475534,38.154497
2,5,hair,5.804368,73.883830,42.799357
2,7,zero_joint_hand_l,2.767815,29.994275,7.220292
2,8,clavicle_l,2.351678,45.374681,26.886630
2,9,arm_l,-13.879581,40.013631,33.879491
2,10,forearm_l,-35.844833,21.264525,31.810154
2,11,forearm_twist_l,-41.042723,16.248859,41.314309
2,12,hand_l,-46.560507,10.940353,51.391736
2,13,weapon_l,-48.981200,7.826738,59.798645
2,14,f_big1_l,-47.617883,13.816423,56.785562
2,15,f_big2_l,-48.024552,13.675361,60.829128
2,16,f_big3_l,-48.150472,14.022382,65.361004
2,17,f_main1_l,-52.315988,5.177683,59.329447
2,18,f_main2_l,-52.656186,3.202481,63.717615
2,19,f_main3_l,-52.229906,2.117735,68.140865
2,20,f_pointer1_l,-53.511677,10.005046,61.187994
2,21,f_pointer2_l,-55.631273,7.771652,64.523014
2,22,f_pointer3_l,-56.824395,5.684502,67.039758
2,23,scapular_l,-11.347094,47.547317,34.803842
2,24,chest_l,1.285446,21.570778,26.880612
2,25,zero_joint_hand_r,2.767819,29.994191,7.220176
2,26,clavicle_r,6.265176,46.383178,25.731375
2,27,arm_r,21.607793,56.379504,23.328815
2,28,forearm_r,45.722493,48.001576,9.669568
2,29,forearm_twist_r,43.849324,42.374769,20.011783
2,30,hand_r,41.865459,36.400760,31.009598
2,31,weapon_r,38.945898,30.252305,32.849510
2,32,f_big1_r,38.065681,31.806104,32.738304
2,33,f_big2_r,36.560555,28.031682,32.974527
2,34,f_big3_r,36.728506,23.745426,31.454851
2,35,f_main1_r,46.617971,26.396583,33.553897
2,36,f_main2_r,43.647743,25.260512,29.926200
2,37,f_main3_r,40.607214,28.678093,29.740314
2,38,f_pointer1_r,42.204177,25.638398,36.396225
2,39,f_pointer2_r,41.081412,22.620482,33.185977
2,40,f_pointer3_r,38.597616,24.494121,31.647783
2,41,scapular_r,15.498622,59.266793,27.436675
2,42,chest_r,17.693952,25.805301,22.030465
2,43,zero_joint_pelvis_l,-0.812494,2.124986,0.937493
2,44,thigh_l,-9.797093,3.058753,2.732345
2,45,calf_l,-36.932532,-26.966285,30.468494
2,46,foot_l,-54.257175,-58.959216,11.296255
2,47,toe_l,-65.845451,-75.039639,16.964657
2,48,back_l,-10.999161,-0.495110,-7.830782
2,51,zero_joint_pelvis_r,-0.812517,2.124681,0.937499
2,52,thigh_r,8.309568,1.243931,1.847762
2,53,calf_r,5.335877,-33.313976,36.547000
2,54,foot_r,12.605362,-66.141333,12.866104
2,55,toe_r,10.880397,-75.862323,31.023543
2,56,back_r,7.758905,-2.374785,-8.747607
2,57,biceps_twist_l,-24.429201,31.008046,32.885132
2,58,biceps_twist_r,33.189480,52.354797,16.767561
2,59,thigh_twist_l,-20.012279,-8.380627,12.554523
