frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.320749,10.877504,1.807072
0,2,chest,1.366360,28.594699,2.072405
0,3,neck,-5.325609,56.819199,5.018941
0,4,head,-8.770650,69.829023,7.598053
0,5,hair,-6.379640,85.050069,8.259143
0,7,zero_joint_hand_l,1.364699,28.596200,2.074145
0,8,clavicle_l,-6.577924,52.184320,4.074658
0,9,arm_l,-19.770127,47.081023,-7.800395
0,10,forearm_l,-27.989290,21.269576,-18.022822
0,11,forearm_twist_l,-36.845669,17.130648,-11.171708
0,12,hand_l,-46.243401,12.750350,-3.913862
0,13,weapon_l,-0.624096,19.136348,31.718695
0,14,f_big1_l,-50.019979,16.154493,-0.619285
0,15,f_big2_l,-52.211737,16.713744,2.573021
0,16,f_big3_l,-54.154346,13.631237,4.798531
0,17,f_main1_l,-57.010078,9.405188,-1.994520
0,18,f_main2_l,-54.802758,9.379772,2.462285
0,19,f_main3_l,-50.528740,11.292312,1.573273
0,20,f_pointer1_l,-57.689570,14.587462,-1.054134
0,21,f_pointer2_l,-57.514851,13.188200,3.170010
0,22,f_pointer3_l,-54.225138,14.164904,3.220341
0,23,scapular_l,-18.423334,54.833399,-6.312295
0,24,chest_l,-17.833630,32.310557,10.866677
0,25,zero_joint_hand_r,1.368017,28.594799,2.073700
0,26,clavicle_r,-3.342599,52.673337,6.713196
0,27,arm_r,12.653285,52.125932,15.928768
0,28,forearm_r,30.099249,30.993903,25.275380
0,29,forearm_twist_r,19.470293,26.819361,28.754234
0,30,hand_r,8.203631,22.395984,32.452445
0,31,weapon_r,-0.614082,19.134650,31.730666
0,32,f_big1_r,2.675111,24.820782,30.737174
0,33,f_big2_r,-0.902658,24.401027,28.702086
0,34,f_big3_r,-2.947446,20.255385,27.910890
0,35,f_main1_r,-1.499533,17.388169,35.449240
0,36,f_main2_r,-1.391186,17.050368,30.732083
0,37,f_main3_r,2.081454,19.497885,29.421915
0,38,f_pointer1_r,-3.708949,22.128214,34.572667
0,39,f_pointer2_r,-5.000970,20.112162,30.670596
0,40,f_pointer3_r,-2.271842,21.626604,29.134729
0,41,scapular_r,9.468763,59.141952,13.730759
0,42,chest_r,-4.270059,34.365640,21.938000
0,43,zero_joint_pelvis_l,0.001713,-0.000239,0.001083
0,44,thigh_l,-8.346042,1.175258,-3.707314
0,45,calf_l,-42.443805,-31.186033,10.336132
0,46,foot_l,-47.146925,-68.562915,-6.159775
0,47,toe_l,-59.585537,-78.658177,6.899028
0,48,back_l,-3.551176,-3.271957,-12.812526
0,51,zero_joint_pelvis_r,0.000218,-0.000359,0.000169
0,52,thigh_r,6.930196,-0.889403,6.000303
0,53,calf_r,25.859663,-38.462925,31.239848
0,54,foot_r,27.584628,-68.598771,3.309203
0,55,toe_r,34.794264,-78.663426,19.858813
0,56,back_r,12.274411,-5.410378,-2.755126
0,57,biceps_twist_l,-23.720759,34.676702,-12.712264
0,58,biceps_twist_r,21.036810,41.970629,20.421815
0,59,thigh_twist_l,-20.828655,-11.231686,1.043788
0,60,thigh_twist_r,13.976983,-15.188257,14.843741
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,0.319839,10.877575,1.806805
1,2,chest,1.363990,28.594863,2.071714
1,3,neck,-5.330328,56.818881,5.017524
1,4,head,-8.776485,69.828473,7.596317
1,5,hair,-6.386461,85.049604,8.259033
1,7,zero_joint_hand_l,1.362790,28.594409,2.073255
1,8,clavicle_l,-6.581792,52.181922,4.073145
1,9,arm_l,-19.773502,47.077228,-7.801856
1,10,forearm_l,-27.990500,21.264865,-18.023709
1,11,forearm_twist_l,-36.846559,17.125363,-11.172528
1,12,hand_l,-46.243990,12.744475,-3.914649
1,13,weapon_l,-0.554126,19.050336,31.739448
1,14,f_big1_l,-50.024592,16.145953,-0.621935
1,15,f_big2_l,-52.226853,16.699100,2.564199
1,16,f_big3_l,-54.185104,13.613366,4.771454
1,17,f_main1_l,-57.025743,9.418528,-2.047242
1,18,f_main2_l,-54.835029,9.371905,2.417579
1,19,f_main3_l,-50.553148,11.277265,1.551278
1,20,f_pointer1_l,-57.696260,14.599039,-1.090835
1,21,f_pointer2_l,-57.540611,13.184282,3.128891
1,22,f_pointer3_l,-54.248767,14.152835,3.194950
1,23,scapular_l,-18.427365,54.829766,-6.313938
1,24,chest_l,-17.835894,32.307396,10.865590
1,25,zero_joint_hand_r,1.365650,28.594971,2.073013
1,26,clavicle_r,-3.346982,52.673234,6.711892
1,27,arm_r,12.648892,52.127407,15.927575
1,28,forearm_r,30.097118,30.997079,25.273812
1,29,forearm_twist_r,19.468553,26.820954,28.751961
1,30,hand_r,8.202270,22.395942,32.449369
1,31,weapon_r,-0.549028,19.054576,31.739616
1,32,f_big1_r,2.673579,24.820036,30.733657
1,33,f_big2_r,-0.903846,24.399914,28.698039
1,34,f_big3_r,-2.947875,20.254023,27.906190
1,35,f_main1_r,-1.500475,17.386338,35.444534
1,36,f_main2_r,-1.391538,17.049041,30.727355
1,37,f_main3_r,2.080866,19.497239,29.417832
1,38,f_pointer1_r,-3.710524,22.126119,34.568133
1,39,f_pointer2_r,-5.001705,20.110198,30.665715
1,40,f_pointer3_r,-2.272636,21.625233,29.130326
1,41,scapular_r,9.463808,59.143080,13.729366
1,42,chest_r,-4.273012,34.365834,21.937140
1,43,zero_joint_pelvis_l,0.001687,-0.000250,0.001064
1,44,thigh_l,-8.346145,1.174466,-3.707407
1,45,calf_l,-42.441303,-31.189311,10.336634
1,46,foot_l,-47.141246,-68.566988,-6.158378
1,47,toe_l,-59.577813,-78.663239,6.901607
1,48,back_l,-3.550861,-3.272576,-12.812484
1,51,zero_joint_pelvis_r,0.000217,-0.000375,0.000168
1,52,thigh_r,6.930235,-0.888699,6.000362
1,53,calf_r,25.862661,-38.460039,31.240935
1,54,foot_r,27.590287,-68.596430,3.311043
1,55,toe_r,34.800664,-78.660082,19.860940
1,56,back_r,12.274872,-5.409447,-2.754926
1,57,biceps_twist_l,-23.723352,34.672583,-12.713535
1,58,biceps_twist_r,21.033521,41.972948,20.420470
1,59,thigh_twist_l,-20.827769,-11.233386,1.043921
1,60,thigh_twist_r,13.978159,-15.186752,14.844190
2,0,pelvis,0.082031,-0.312500,-0.105469
2,1,stomach,0.522358,10.597424,1.465564
2,2,chest,1.228098,28.329786,1.823325
2,3,neck,-5.324944,56.549197,5.111088
2,4,head,-8.517907,69.647946,7.561274
2,5,hair,-5.929081,84.822779,8.486821
