frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321048,10.877392,1.807688
0,2,chest,1.391689,28.608947,2.058946
0,3,neck,-5.260645,56.846132,4.973518
0,4,head,-8.746541,69.822525,7.623680
0,5,hair,-6.349118,85.050070,8.080257
0,7,zero_joint_hand_l,1.391677,28.608975,2.058954
0,8,clavicle_l,-6.460531,52.248629,3.794075
0,9,arm_l,-19.591890,46.463077,-7.833030
0,10,forearm_l,-27.713031,20.980466,3.256020
0,11,forearm_twist_l,-29.996986,19.585701,14.865633
0,12,hand_l,-32.441476,18.109651,27.235628
0,13,weapon_l,-38.285297,13.800507,33.049067
0,14,f_big1_l,-37.459777,19.818200,30.585035
0,15,f_big2_l,-39.611250,19.596310,34.102877
0,16,f_big3_l,-42.085828,16.688123,36.832228
0,17,f_main1_l,-39.828007,10.389222,30.936575
0,18,f_main2_l,-37.621082,12.163566,34.716084
0,19,f_main3_l,-35.316979,15.576398,33.060686
0,20,f_pointer1_l,-43.211994,14.451036,31.302182
0,21,f_pointer2_l,-41.821693,14.115633,35.643053
0,22,f_pointer3_l,-39.598857,16.654753,34.823426
0,23,scapular_l,-18.862960,54.234363,-6.061030
0,24,chest_l,-18.537458,32.383017,8.957195
0,25,zero_joint_hand_r,1.391735,28.608801,2.058942
0,26,clavicle_r,-3.505495,52.638443,6.757680
0,27,arm_r,9.170934,50.984210,20.086835
0,28,forearm_r,-1.403124,24.323179,24.044379
0,29,forearm_twist_r,-10.400690,17.203562,27.339647
0,30,hand_r,-19.936710,9.656237,30.844349
0,31,weapon_r,-38.276649,13.797817,33.053871
0,32,f_big1_r,-25.506875,10.156049,33.143157
0,33,f_big2_r,-29.235572,9.753260,34.250448
0,34,f_big3_r,-33.437656,9.081113,34.017973
0,35,f_main1_r,-28.547359,3.286278,26.870541
0,36,f_main2_r,-31.911099,6.270283,24.763811
0,37,f_main3_r,-28.447386,9.051153,26.480861
0,38,f_pointer1_r,-30.645555,4.471049,31.596842
0,39,f_pointer2_r,-34.088260,6.192876,29.365229
0,40,f_pointer3_r,-32.984225,9.432403,29.561916
0,41,scapular_r,5.946273,57.968475,18.975984
0,42,chest_r,-6.145163,34.018373,21.373934
0,43,zero_joint_pelvis_l,-0.000005,-0.000021,-0.000011
0,44,thigh_l,-8.345640,1.176009,-3.712968
0,45,calf_l,-42.433383,-31.172666,10.383766
0,46,foot_l,-47.053817,-68.546159,-6.143158
0,47,toe_l,-59.562491,-78.588335,6.889627
0,48,back_l,-3.546629,-3.272053,-12.815276
0,51,zero_joint_pelvis_r,-0.000045,-0.000330,-0.000000
0,52,thigh_r,6.926661,-0.889060,6.004007
0,53,calf_r,25.838340,-38.458618,31.262780
0,54,foot_r,27.520214,-68.544160,3.275334
0,55,toe_r,34.752935,-78.577013,19.834178
0,56,back_r,12.274895,-5.408534,-2.747821
0,57,biceps_twist_l,-23.494285,34.224630,-2.506162
0,58,biceps_twist_r,4.093210,38.178345,21.986925
0,59,thigh_twist_l,-20.802974,-11.205149,1.051804
0,60,thigh_twist_r,13.953328,-15.161597,14.841538
1,0,pelvis,-0.062500,0.000000,-0.007812
1,1,stomach,0.259714,10.876823,1.803095
1,2,chest,1.332782,28.608175,2.058259
1,3,neck,-5.319047,56.845054,4.976941
1,4,head,-8.802967,69.821208,7.630866
1,5,hair,-6.401851,85.048268,8.084192
1,7,zero_joint_hand_l,1.332767,28.608217,2.058269
1,8,clavicle_l,-6.519146,52.247690,3.797199
1,9,arm_l,-19.654140,46.465150,-7.827298
1,10,forearm_l,-27.776804,20.984027,3.264057
1,11,forearm_twist_l,-30.059005,19.588816,14.873961
1,12,hand_l,-32.501762,18.112319,27.244246
1,13,weapon_l,-38.347664,13.806157,33.057678
1,14,f_big1_l,-37.517522,19.815454,30.593368
1,15,f_big2_l,-39.671298,19.595056,34.114479
1,16,f_big3_l,-42.147809,16.688754,36.844074
1,17,f_main1_l,-39.899356,10.391908,30.946212
1,18,f_main2_l,-37.689751,12.166689,34.728832
1,19,f_main3_l,-35.383323,15.577878,33.073286
1,20,f_pointer1_l,-43.274526,14.460471,31.310931
1,21,f_pointer2_l,-41.884450,14.123421,35.651747
1,22,f_pointer3_l,-39.659635,16.660894,34.832391
1,23,scapular_l,-18.923251,54.236222,-6.055232
1,24,chest_l,-18.609465,32.369630,8.964877
1,25,zero_joint_hand_r,1.332821,28.608044,2.058248
1,26,clavicle_r,-3.563625,52.637187,6.760352
1,27,arm_r,9.114491,50.983196,20.087933
1,28,forearm_r,-1.458943,24.322687,24.050659
1,29,forearm_twist_r,-10.450808,17.208955,27.345907
1,30,hand_r,-19.992942,9.658336,30.855090
1,31,weapon_r,-38.331596,13.804708,33.066296
1,32,f_big1_r,-25.563042,10.162113,33.158027
1,33,f_big2_r,-29.293754,9.759886,34.265602
1,34,f_big3_r,-33.491951,9.088243,34.033165
1,35,f_main1_r,-28.605624,3.290479,26.882318
1,36,f_main2_r,-31.965671,6.273366,24.777315
1,37,f_main3_r,-28.503269,9.050093,26.492905
1,38,f_pointer1_r,-30.703049,4.475930,31.608791
1,39,f_pointer2_r,-34.142422,6.197013,29.379252
1,40,f_pointer3_r,-33.037433,9.436240,29.575508
1,41,scapular_r,5.895863,57.967300,18.982284
1,42,chest_r,-6.211415,34.011948,21.386032
1,43,zero_joint_pelvis_l,-0.062497,-0.000029,-0.007824
1,44,thigh_l,-8.408689,1.177771,-3.718966
1,45,calf_l,-42.494300,-31.169221,10.386782
1,46,foot_l,-47.114699,-68.543632,-6.138077
1,47,toe_l,-59.621148,-78.585997,6.896697
1,48,back_l,-3.605070,-3.268816,-12.819286
1,51,zero_joint_pelvis_r,-0.062532,-0.000322,-0.007817
1,52,thigh_r,6.865155,-0.891400,5.994711
1,53,calf_r,25.778821,-38.458018,31.256367
1,54,foot_r,27.459076,-68.539980,3.264977
1,55,toe_r,34.692601,-78.576521,19.821235
1,56,back_r,12.207137,-5.413464,-2.753570
1,57,biceps_twist_l,-23.557297,34.227418,-2.499345
1,58,biceps_twist_r,4.036988,38.177620,21.990558
1,59,thigh_twist_l,-20.886730,-11.224031,1.057439
1,60,thigh_twist_r,13.898625,-15.175378,14.840580
2,0,pelvis,0.062500,-0.312500,0.003906
2,1,stomach,0.368336,10.568215,1.794153
2,2,chest,1.427607,28.300144,2.066273
2,3,neck,-5.288502,56.506886,5.125767
2,4,head,-8.681974,69.476683,7.924035
2,5,hair,-6.308577,84.705664,8.452569
2,7,zero_joint_hand_l,1.427613,28.300177,2.066273
2,8,clavicle_l,-6.497453,51.901122,3.987689
2,9,arm_l,-19.581145,46.935574,-8.064492
