frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.323936,10.876529,1.812363
0,2,chest,1.389511,28.592663,2.069074
0,3,neck,-5.264568,56.829152,4.986406
0,4,head,-8.757662,69.818971,7.601465
0,5,hair,-6.345884,85.036390,8.270582
0,7,zero_joint_hand_l,1.389509,28.592670,2.069075
0,8,clavicle_l,-6.521985,52.193598,4.043759
0,9,arm_l,-19.722419,47.041612,-7.801084
0,10,forearm_l,-27.947422,21.256760,-18.085743
0,11,forearm_twist_l,-36.789182,17.129770,-11.222164
0,12,hand_l,-46.182972,12.758124,-3.940410
0,13,weapon_l,-54.168455,11.197254,0.620656
0,14,f_big1_l,-49.965529,16.166423,-0.659615
0,15,f_big2_l,-52.164617,16.729233,2.527014
0,16,f_big3_l,-54.111326,13.649089,4.752141
0,17,f_main1_l,-56.953031,9.415563,-2.038559
0,18,f_main2_l,-54.753545,9.395941,2.422145
0,19,f_main3_l,-50.481680,11.306567,1.539524
0,20,f_pointer1_l,-57.635619,14.596064,-1.107440
0,21,f_pointer2_l,-57.469822,13.200899,3.118419
0,22,f_pointer3_l,-54.182239,14.177670,3.173221
0,23,scapular_l,-18.386737,54.802263,-6.331215
0,24,chest_l,-17.782596,32.340193,10.865937
0,25,zero_joint_hand_r,1.389558,28.592504,2.069046
0,26,clavicle_r,-3.287023,52.682444,6.682833
0,27,arm_r,12.684842,52.093689,15.937433
0,28,forearm_r,30.110760,30.937103,25.265870
0,29,forearm_twist_r,19.477401,26.785908,28.732384
0,30,hand_r,8.191153,22.383146,32.422210
0,31,weapon_r,-0.621743,19.137207,31.704179
0,32,f_big1_r,2.663674,24.811784,30.706004
0,33,f_big2_r,-0.914032,24.395183,28.670230
0,34,f_big3_r,-2.962721,20.250593,27.883538
0,35,f_main1_r,-1.517309,17.387263,35.420811
0,36,f_main2_r,-1.406186,17.046281,30.703949
0,37,f_main3_r,2.065261,19.488865,29.394695
0,38,f_pointer1_r,-3.721834,22.127940,34.541224
0,39,f_pointer2_r,-5.015692,20.109524,30.640986
0,40,f_pointer3_r,-2.284940,21.620730,29.104816
0,41,scapular_r,9.515820,59.108744,13.731099
0,42,chest_r,-4.223227,34.394313,21.928022
0,43,zero_joint_pelvis_l,-0.000000,0.000000,-0.000000
0,44,thigh_l,-8.346039,1.179691,-3.710886
0,45,calf_l,-42.450616,-31.165714,10.352595
0,46,foot_l,-47.109948,-68.533593,-6.176103
0,47,toe_l,-59.542131,-78.617637,6.897480
0,48,back_l,-3.543242,-3.266379,-12.811891
0,51,zero_joint_pelvis_r,-0.000046,-0.000300,0.000006
0,52,thigh_r,6.926969,-0.895216,6.002914
0,53,calf_r,25.854992,-38.465107,31.248948
0,54,foot_r,27.563330,-68.534971,3.292176
0,55,toe_r,34.773549,-78.600755,19.840773
0,56,back_r,12.268961,-5.410423,-2.746934
0,57,biceps_twist_l,-23.673496,34.649910,-12.744348
0,58,biceps_twist_r,21.049663,41.938261,20.416677
0,59,thigh_twist_l,-20.819971,-11.211458,1.044279
0,60,thigh_twist_r,13.971841,-15.193477,14.848873
1,0,pelvis,-0.484375,0.500000,-0.195312
1,1,stomach,-0.187612,11.363607,1.697424
1,2,chest,0.816478,29.082147,2.025891
1,3,neck,-5.267880,57.473074,4.675937
1,4,head,-8.526676,70.552991,7.096186
1,5,hair,-5.669699,85.704374,7.424061
1,7,zero_joint_hand_l,0.816476,29.082154,2.025891
1,8,clavicle_l,-6.622496,52.852227,3.797962
1,9,arm_l,-20.173891,47.971630,-7.762064
1,10,forearm_l,-29.122675,22.501443,-18.224963
1,11,forearm_twist_l,-38.099248,18.323147,-11.556611
1,12,hand_l,-47.623912,13.902818,-4.491047
1,13,weapon_l,-55.498076,12.423056,0.242014
1,14,f_big1_l,-51.191504,17.166668,-0.841714
1,15,f_big2_l,-53.296918,17.571287,2.431026
1,16,f_big3_l,-55.329013,14.473849,4.545594
1,17,f_main1_l,-58.452684,10.789349,-2.537752
1,18,f_main2_l,-56.178926,10.320868,1.860616
1,19,f_main3_l,-51.838102,12.131187,1.089956
1,20,f_pointer1_l,-58.912536,15.897651,-1.176363
1,21,f_pointer2_l,-58.730873,14.161332,2.912001
1,22,f_pointer3_l,-55.400764,14.964829,3.086554
1,23,scapular_l,-18.622476,55.702107,-6.341989
1,24,chest_l,-18.199832,33.298549,10.947797
1,25,zero_joint_hand_r,0.816522,29.081987,2.025864
1,26,clavicle_r,-3.355010,53.308531,6.402569
1,27,arm_r,12.598433,52.555322,15.676999
