frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.285256,10.876911,1.816569
0,2,chest,1.415472,28.589799,2.013926
0,3,neck,-5.276073,56.812675,4.976932
0,4,head,-8.764306,69.805733,7.582367
0,5,hair,-6.354001,85.023410,8.250935
0,7,zero_joint_hand_l,1.415459,28.589865,2.013936
0,8,clavicle_l,-6.526444,52.177407,4.025624
0,9,arm_l,-19.735025,47.032796,-7.813341
0,10,forearm_l,-27.921297,21.249466,-18.132659
0,11,forearm_twist_l,-36.760786,17.136448,-11.257775
0,12,hand_l,-46.161948,12.782257,-3.947936
0,13,weapon_l,-54.103254,11.229937,0.606141
0,14,f_big1_l,-49.942970,16.186313,-0.671437
0,15,f_big2_l,-52.142667,16.751319,2.514383
0,16,f_big3_l,-54.090922,13.676210,4.737683
0,17,f_main1_l,-56.926518,9.445283,-2.049057
0,18,f_main2_l,-54.730348,9.426215,2.408932
0,19,f_main3_l,-50.453718,11.335701,1.525937
0,20,f_pointer1_l,-57.606553,14.624971,-1.121928
0,21,f_pointer2_l,-57.442368,13.233299,3.101030
0,22,f_pointer3_l,-54.156260,14.208105,3.156918
0,23,scapular_l,-18.384039,54.791445,-6.342840
0,24,chest_l,-17.773278,32.302112,10.828271
0,25,zero_joint_hand_r,1.415502,28.589706,2.013903
0,26,clavicle_r,-3.291985,52.665991,6.668466
0,27,arm_r,12.680542,52.080713,15.922144
0,28,forearm_r,30.072978,30.910263,25.281560
0,29,forearm_twist_r,19.424746,26.789779,28.739058
0,30,hand_r,8.129069,22.404343,32.420658
0,31,weapon_r,-0.656338,19.169287,31.689282
0,32,f_big1_r,2.610267,24.832720,30.698215
0,33,f_big2_r,-0.967161,24.416829,28.661777
0,34,f_big3_r,-3.017725,20.273094,27.875402
0,35,f_main1_r,-1.576996,17.418233,35.413821
0,36,f_main2_r,-1.463752,17.074971,30.697176
0,37,f_main3_r,2.006630,19.512473,29.388798
0,38,f_pointer1_r,-3.771269,22.160913,34.527878
0,39,f_pointer2_r,-5.063491,20.142129,30.627287
0,40,f_pointer3_r,-2.332379,21.649853,29.092756
0,41,scapular_r,9.519403,59.098821,13.714945
0,42,chest_r,-4.200322,34.352793,21.886756
0,43,zero_joint_pelvis_l,-0.000028,-0.000036,0.000038
0,44,thigh_l,-8.349911,1.152064,-3.710562
0,45,calf_l,-42.431897,-31.205174,10.380437
0,46,foot_l,-47.061806,-68.589945,-6.118304
0,47,toe_l,-59.475532,-78.679127,6.968846
0,48,back_l,-3.539043,-3.273004,-12.817091
0,51,zero_joint_pelvis_r,-0.000070,-0.000314,0.000045
0,52,thigh_r,6.930476,-0.873239,6.002103
0,53,calf_r,25.839131,-38.442306,31.263870
