frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.320958,10.877688,1.805927
0,2,chest,1.373681,28.578803,2.071654
0,3,neck,-5.270511,56.818571,4.979761
0,4,head,-8.788376,69.989915,6.363940
0,5,hair,-6.476150,85.222328,7.043240
0,7,zero_joint_hand_l,1.373681,28.578803,2.071654
0,8,clavicle_l,-6.523862,52.186774,4.015673
0,9,arm_l,-19.184548,47.144705,-8.472589
0,10,forearm_l,-34.778624,29.370102,8.235844
0,11,forearm_twist_l,-37.279704,37.740716,16.371036
0,12,hand_l,-39.941611,46.619598,24.988486
0,13,weapon_l,-19.558528,57.173331,26.100353
0,14,f_big1_l,-35.382896,49.083902,28.126451
0,15,f_big2_l,-32.520535,48.668328,30.761121
0,16,f_big3_l,-33.077530,47.603988,34.854052
0,17,f_main1_l,-41.879834,52.148648,34.800791
0,18,f_main2_l,-39.846893,49.547267,38.520475
0,19,f_main3_l,-38.607143,46.544181,35.038677
0,20,f_pointer1_l,-37.166025,54.309940,33.670133
0,21,f_pointer2_l,-35.406995,52.279808,37.217150
0,22,f_pointer3_l,-34.156104,49.149668,36.572057
0,23,scapular_l,-15.651754,55.175552,-9.757199
0,24,chest_l,-17.899613,32.337889,10.679227
0,25,zero_joint_hand_r,1.373727,28.578641,2.071628
0,26,clavicle_r,-3.311423,52.650969,6.686259
0,27,arm_r,13.203639,52.077801,14.933619
0,28,forearm_r,0.487713,30.095612,28.839446
0,29,forearm_twist_r,-6.623192,39.683037,28.697149
0,30,hand_r,-14.159438,49.849950,28.557239
0,31,weapon_r,-19.539514,57.166704,26.107440
0,32,f_big1_r,-13.270080,55.163805,25.341590
0,33,f_big2_r,-14.344425,57.901144,22.431052
0,34,f_big3_r,-18.795763,58.861433,21.309959
0,35,f_main1_r,-21.307686,58.559730,29.672607
0,36,f_main2_r,-23.275885,59.243743,25.421406
0,37,f_main3_r,-21.439391,55.257711,24.735734
0,38,f_pointer1_r,-17.317646,61.508401,27.815066
0,39,f_pointer2_r,-19.401147,62.340654,23.824282
0,40,f_pointer3_r,-18.285814,59.228942,22.740827
0,41,scapular_r,9.997893,59.072672,12.723854
0,42,chest_r,-4.442798,34.347428,21.885008
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
