frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.298743,10.877803,1.809040
0,2,chest,1.341671,28.595223,2.069951
0,3,neck,-5.307626,56.833402,4.981828
0,4,head,-8.830273,70.003382,6.366826
0,5,hair,-6.524538,85.236728,7.047245
0,7,zero_joint_hand_l,1.341684,28.595256,2.069965
0,8,clavicle_l,-6.561027,52.201529,4.015188
0,9,arm_l,-19.207922,47.161338,-8.464687
0,10,forearm_l,-34.797817,29.372370,8.232355
0,11,forearm_twist_l,-37.311802,37.741818,16.364769
0,12,hand_l,-39.987485,46.619452,24.979236
0,13,weapon_l,-19.612633,57.202314,26.117840
0,14,f_big1_l,-35.429230,49.083572,28.118016
0,15,f_big2_l,-32.566085,48.667362,30.751733
0,16,f_big3_l,-33.121671,47.599759,34.844006
0,17,f_main1_l,-41.926933,52.145269,34.802057
0,18,f_main2_l,-39.890364,49.540098,38.522328
0,19,f_main3_l,-38.649977,46.540175,35.038031
0,20,f_pointer1_l,-37.213581,54.304665,33.665963
0,21,f_pointer2_l,-35.452811,52.272677,37.211054
0,22,f_pointer3_l,-34.200588,49.143606,36.563362
0,23,scapular_l,-15.692464,55.191563,-9.755062
0,24,chest_l,-17.932193,32.349710,10.678254
0,25,zero_joint_hand_r,1.341720,28.595093,2.069951
0,26,clavicle_r,-3.353396,52.680657,6.688867
0,27,arm_r,13.159182,52.099493,14.940640
0,28,forearm_r,0.463066,30.091434,28.823631
0,29,forearm_twist_r,-6.642879,39.682734,28.695404
0,30,hand_r,-14.173818,49.853773,28.570349
0,31,weapon_r,-19.593033,57.200313,26.122795
0,32,f_big1_r,-13.299073,55.167123,25.355035
0,33,f_big2_r,-14.379481,57.902132,22.444552
0,34,f_big3_r,-18.833001,58.853416,21.324432
0,35,f_main1_r,-21.339608,58.549282,29.685818
0,36,f_main2_r,-23.308437,59.228587,25.438504
0,37,f_main3_r,-21.464173,55.246176,24.752635
0,38,f_pointer1_r,-17.355840,61.505773,27.827248
0,39,f_pointer2_r,-19.441836,62.333656,23.836858
0,40,f_pointer3_r,-18.319923,59.222355,22.752747
0,41,scapular_r,9.957992,59.095810,12.728857
0,42,chest_r,-4.475625,34.360220,21.884156
0,43,zero_joint_pelvis_l,0.000042,-0.000002,0.000005
0,44,thigh_l,-8.346467,1.160231,-3.715629
0,45,calf_l,-42.430464,-31.216462,10.325731
0,46,foot_l,-47.134979,-68.604082,-6.145426
0,47,toe_l,-59.603183,-78.671359,6.906760
0,48,back_l,-3.536650,-3.276587,-12.816842
0,51,zero_joint_pelvis_r,-0.000006,-0.000259,0.000026
0,52,thigh_r,6.926911,-0.877382,6.005433
0,53,calf_r,25.848512,-38.460844,31.236075
0,54,foot_r,27.564583,-68.594762,3.302802
0,55,toe_r,34.755952,-78.667350,19.855533
0,56,back_r,12.286472,-5.386857,-2.746384
0,57,biceps_twist_l,-26.700118,38.612877,-0.440229
0,58,biceps_twist_r,7.057478,41.523990,21.613652
0,59,thigh_twist_l,-20.812932,-11.241967,1.030366
0,60,thigh_twist_r,13.970737,-15.179607,14.845780
1,0,pelvis,-0.125000,-0.187500,-0.210938
1,1,stomach,0.143391,10.680403,1.661263
1,2,chest,1.369160,28.385043,1.986770
1,3,neck,-4.498544,56.816485,4.690483
1,4,head,-7.804985,69.986205,6.534817
1,5,hair,-5.386867,85.191209,7.279055
1,7,zero_joint_hand_l,1.369173,28.385074,1.986783
1,8,clavicle_l,-5.894927,52.203093,3.838176
1,9,arm_l,-19.560727,48.353467,-7.973724
1,10,forearm_l,-34.346550,29.858868,8.687989
1,11,forearm_twist_l,-34.806345,38.531813,16.877773
1,12,hand_l,-35.304645,47.732166,25.554519
1,13,weapon_l,-14.459343,57.949396,25.542138
1,14,f_big1_l,-30.555693,50.323066,28.281459
1,15,f_big2_l,-27.549202,50.005381,30.764881
1,16,f_big3_l,-27.874955,49.156735,34.932474
1,17,f_main1_l,-36.639343,53.847067,35.116684
1,18,f_main2_l,-34.420573,51.444304,38.863665
1,19,f_main3_l,-33.404400,48.228839,35.501136
1,20,f_pointer1_l,-31.979517,55.884271,33.598334
1,21,f_pointer2_l,-30.051410,54.101456,37.190120
1,22,f_pointer3_l,-28.838917,50.923023,36.736165
1,23,scapular_l,-15.325522,55.980858,-9.532311
1,24,chest_l,-17.501483,32.733694,11.188344
1,25,zero_joint_hand_r,1.369206,28.384910,1.986769
1,26,clavicle_r,-2.586575,52.642421,6.393333
1,27,arm_r,14.116518,51.799753,14.228595
1,28,forearm_r,3.846664,29.789509,29.988124
1,29,forearm_twist_r,-2.542898,39.833720,29.098593
1,30,hand_r,-9.313603,50.485875,28.165943
1,31,weapon_r,-14.453115,57.952155,25.549331
1,32,f_big1_r,-8.307228,55.624036,24.708351
1,33,f_big2_r,-9.354775,58.281558,21.715242
1,34,f_big3_r,-13.794761,59.374060,20.672950
1,35,f_main1_r,-16.077773,59.508061,29.102416
1,36,f_main2_r,-18.134499,60.096599,24.883302
1,37,f_main3_r,-16.477147,56.018699,24.317130
1,38,f_pointer1_r,-12.028445,62.215350,27.019156
1,39,f_pointer2_r,-14.188923,62.967589,23.053498
1,40,f_pointer3_r,-13.227281,59.771853,22.072118
1,41,scapular_r,11.000296,58.839804,12.034162
1,42,chest_r,-3.622735,34.577083,21.897028
1,43,zero_joint_pelvis_l,-0.124962,-0.187502,-0.210935
1,44,thigh_l,-8.589440,0.929656,-3.663595
1,45,calf_l,-43.689226,-30.797030,9.319139
1,46,foot_l,-49.040779,-68.579946,-6.013106
1,47,toe_l,-62.173307,-78.720203,6.310757
1,48,back_l,-4.023993,-3.409306,-12.936236
1,51,zero_joint_pelvis_r,-0.125006,-0.187763,-0.210914
1,52,thigh_r,6.987994,-1.048070,5.575410
1,53,calf_r,25.827603,-38.416962,31.183298
1,54,foot_r,27.692855,-68.567358,3.277383
1,55,toe_r,34.571937,-78.722316,19.912309
1,56,back_r,12.114108,-5.457530,-3.365181
1,57,biceps_twist_l,-26.666534,39.465847,0.033701
1,58,biceps_twist_r,9.180855,41.223239,21.803404
1,59,thigh_twist_l,-21.416407,-11.241433,0.705072
1,60,thigh_twist_r,14.005637,-15.274130,14.558323
2,0,pelvis,-0.437500,-0.687500,-0.703125
2,1,stomach,-0.255932,10.154285,1.324487
2,2,chest,1.389010,27.821397,1.804121
2,3,neck,-2.532727,56.629781,3.991339
2,4,head,-5.244851,69.720401,7.000605
2,5,hair,-2.501343,84.862440,7.886696
2,7,zero_joint_hand_l,1.389024,27.821422,1.804129
2,8,clavicle_l,-4.268779,52.087469,3.429908
2,9,arm_l,-19.985822,51.332974,-6.239632
2,10,forearm_l,-33.123992,33.610364,12.510863
2,11,forearm_twist_l,-28.585733,41.985665,19.705477
2,12,hand_l,-23.784931,50.872828,27.331181
2,13,weapon_l,-2.016366,59.899740,24.239714
2,14,f_big1_l,-18.619635,53.621592,28.901382
2,15,f_big2_l,-15.262963,53.469950,30.905640
2,16,f_big3_l,-14.932019,53.139913,35.145534
2,17,f_main1_l,-23.487261,58.297422,36.014223
2,18,f_main2_l,-20.751256,56.347162,39.681217
2,19,f_main3_l,-20.335501,52.660157,36.695992
2,20,f_pointer1_l,-19.087649,59.916071,33.525658
2,21,f_pointer2_l,-16.667879,58.731923,37.066768
2,22,f_pointer3_l,-15.508847,55.501553,37.066657
2,23,scapular_l,-14.444574,57.821780,-8.634437
2,24,chest_l,-16.298512,33.604056,12.452749
2,25,zero_joint_hand_r,1.389048,27.821257,1.804116
2,26,clavicle_r,-0.725377,52.399374,5.669116
2,27,arm_r,16.396394,50.909466,12.430762
2,28,forearm_r,12.866564,30.605639,32.767388
2,29,forearm_twist_r,7.823172,41.093757,30.108909
2,30,hand_r,2.482493,52.218442,27.298354
2,31,weapon_r,-2.009547,59.895596,24.243288
2,32,f_big1_r,3.706755,56.857081,23.254515
2,33,f_big2_r,2.689378,59.301164,20.074911
2,34,f_big3_r,-1.692092,60.743236,19.228396
2,35,f_main1_r,-3.281088,61.945920,27.732081
2,36,f_main2_r,-5.596637,62.326903,23.624709
2,37,f_main3_r,-4.390760,58.058596,23.382374
2,38,f_pointer1_r,0.834416,63.996515,25.100879
2,39,f_pointer2_r,-1.548270,64.575408,21.234658
2,40,f_pointer3_r,-0.980942,61.215565,20.534522
2,41,scapular_r,13.479362,58.049174,10.272269
2,42,chest_r,-1.436757,34.912030,21.839501
