frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.268364,11.014736,0.540425
0,2,chest,-0.576428,28.724059,1.701336
0,3,neck,1.030947,57.404437,6.695248
0,4,head,7.830837,68.088491,11.928613
0,5,hair,11.515048,82.938346,13.863202
0,7,zero_joint_hand_l,-0.576428,28.724059,1.701336
0,8,clavicle_l,0.670568,52.782529,8.269297
0,9,arm_l,-4.413175,48.864442,25.586886
0,10,forearm_l,21.591892,36.402931,28.181245
0,11,forearm_twist_l,31.948788,37.864620,22.427801
0,12,hand_l,42.932256,39.423540,16.335684
0,13,weapon_l,36.456662,55.951213,7.924634
0,14,f_big1_l,44.530548,45.024895,14.209648
0,15,f_big2_l,46.568644,45.684138,10.959464
0,16,f_big3_l,48.997294,49.378064,10.530803
0,17,f_main1_l,51.914688,45.041729,20.557367
0,18,f_main2_l,55.983140,47.117238,18.577792
0,19,f_main3_l,56.580693,45.900260,14.094564
0,20,f_pointer1_l,49.470238,49.271777,18.348754
0,21,f_pointer2_l,52.718625,50.292992,15.552029
0,22,f_pointer3_l,53.074211,48.711613,12.489595
0,23,scapular_l,-9.586802,54.725135,21.411114
0,24,chest_l,10.734309,34.099246,19.104080
0,25,zero_joint_hand_r,-0.576448,28.723894,1.701301
0,26,clavicle_r,2.731079,53.298142,4.642252
0,27,arm_r,13.767597,57.482746,-9.562644
0,28,forearm_r,36.034935,46.346243,-24.341935
0,29,forearm_twist_r,36.782937,48.137021,-12.563245
0,30,hand_r,37.583178,50.048279,-0.061918
0,31,weapon_r,36.461639,55.950360,7.931574
0,32,f_big1_r,32.401138,53.480424,1.191145
0,33,f_big2_r,29.076419,54.768976,3.046807
0,34,f_big3_r,26.544961,58.344828,4.516759
0,35,f_main1_r,38.258084,59.321793,6.422421
0,36,f_main2_r,35.895989,56.726658,9.565729
0,37,f_main3_r,33.036252,53.443944,8.664723
0,38,f_pointer1_r,33.685758,60.756354,4.142110
0,39,f_pointer2_r,32.388558,60.584834,8.525272
0,40,f_pointer3_r,30.369847,57.890945,9.394047
0,41,scapular_r,8.321680,62.746544,-6.961140
0,42,chest_r,19.375177,36.260935,3.893684
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-9.113832,0.021900,1.325257
0,45,calf_l,-45.173588,-32.115504,9.928176
0,46,foot_l,-61.223969,-63.195048,-11.698492
0,47,toe_l,-70.978456,-73.593270,3.264552
0,48,back_l,-9.305107,-5.243241,-8.569664
0,51,zero_joint_pelvis_r,0.000007,-0.000293,0.000051
0,52,thigh_r,9.099658,0.464078,1.341703
0,53,calf_r,34.823342,-32.489858,27.021640
0,54,foot_r,30.128888,-63.170692,0.041757
0,55,toe_r,40.434574,-73.175428,14.903244
0,56,back_r,9.563611,-4.785297,-8.553132
0,57,biceps_twist_l,8.076991,42.878895,26.832988
0,58,biceps_twist_r,24.469617,52.131927,-16.664520
0,59,thigh_twist_l,-22.425293,-12.133532,3.933368
0,60,thigh_twist_r,18.589909,-12.189001,10.405675
1,0,pelvis,0.000000,0.062500,0.000000
1,1,stomach,-0.268356,11.077283,0.539470
1,2,chest,-0.575231,28.789553,1.654835
1,3,neck,0.998348,57.482651,6.586051
1,4,head,7.778408,68.169828,11.838735
1,5,hair,11.438600,83.023971,13.785945
1,7,zero_joint_hand_l,-0.575231,28.789553,1.654835
1,8,clavicle_l,0.644154,52.863727,8.170230
1,9,arm_l,-4.429324,48.976934,25.497878
1,10,forearm_l,21.585749,36.538412,28.102225
1,11,forearm_twist_l,31.929492,37.991688,22.339201
1,12,hand_l,42.912971,39.543672,16.229123
1,13,weapon_l,36.413031,56.067617,7.829535
1,14,f_big1_l,44.503434,45.145432,14.109585
1,15,f_big2_l,46.542282,45.810817,10.861124
1,16,f_big3_l,48.964898,49.509211,10.436877
1,17,f_main1_l,51.878353,45.168880,20.457247
1,18,f_main2_l,55.947463,47.255112,18.480474
1,19,f_main3_l,56.549371,46.043331,13.996420
1,20,f_pointer1_l,49.428175,49.395212,18.252455
1,21,f_pointer2_l,52.673651,50.424146,15.461337
1,22,f_pointer3_l,53.034312,48.845522,12.395866
1,23,scapular_l,-9.611482,54.822178,21.311048
1,24,chest_l,10.734326,34.216399,19.042307
1,25,zero_joint_hand_r,-0.575250,28.789388,1.654801
1,26,clavicle_r,2.702890,53.374014,4.541425
1,27,arm_r,13.725596,57.596180,-9.663081
1,28,forearm_r,36.012667,46.522143,-24.459555
1,29,forearm_twist_r,36.756864,48.291116,-12.677330
1,30,hand_r,37.553045,50.179226,-0.172227
1,31,weapon_r,36.419330,56.066492,7.833661
1,32,f_big1_r,32.360538,53.601911,1.078580
1,33,f_big2_r,29.031868,54.882583,2.932614
1,34,f_big3_r,26.492616,58.452072,4.404586
1,35,f_main1_r,38.205781,59.445403,6.325081
1,36,f_main2_r,35.844930,56.842816,9.463157
1,37,f_main3_r,32.994038,53.559179,8.556761
1,38,f_pointer1_r,33.633489,60.875365,4.041711
1,39,f_pointer2_r,32.332059,60.696406,8.423321
1,40,f_pointer3_r,30.316118,57.996399,9.287340
1,41,scapular_r,8.265131,62.844255,-7.048088
1,42,chest_r,19.367752,36.355752,3.824529
1,43,zero_joint_pelvis_l,0.000000,0.062500,0.000000
1,44,thigh_l,-9.113839,0.084759,1.325257
1,45,calf_l,-45.136758,-32.105695,9.884048
1,46,foot_l,-61.220488,-63.197595,-11.700045
1,47,toe_l,-70.975257,-73.595234,3.263220
1,48,back_l,-9.305099,-5.181481,-8.569221
1,51,zero_joint_pelvis_r,0.000007,0.062207,0.000051
1,52,thigh_r,9.099651,0.526937,1.341685
1,53,calf_r,34.798963,-32.464937,26.997299
1,54,foot_r,30.129932,-63.173585,0.044661
1,55,toe_r,40.433000,-73.177860,14.908274
1,56,back_r,9.563620,-4.723536,-8.552709
1,57,biceps_twist_l,8.072658,42.999051,26.749478
1,58,biceps_twist_r,24.437100,52.275393,-16.773218
1,59,thigh_twist_l,-22.422711,-12.099982,3.918994
1,60,thigh_twist_r,18.580610,-12.139803,10.396295
2,0,pelvis,0.000000,0.125000,0.000000
2,1,stomach,-0.268379,11.139829,0.538517
2,2,chest,-0.574536,28.855008,1.606901
2,3,neck,0.965785,57.561301,6.471367
2,4,head,7.726762,68.252096,11.741256
2,5,hair,11.362567,83.110967,13.698063
2,7,zero_joint_hand_l,-0.574536,28.855008,1.606901
2,8,clavicle_l,0.617487,52.945633,8.066310
2,9,arm_l,-4.447327,49.092855,25.404086
2,10,forearm_l,21.575740,36.674522,28.024855
2,11,forearm_twist_l,31.921128,38.118808,22.246368
2,12,hand_l,42.892388,39.659312,16.127626
2,13,weapon_l,36.374712,56.177357,7.730176
2,14,f_big1_l,44.476398,45.264035,14.011090
2,15,f_big2_l,46.515652,45.933129,10.765992
2,16,f_big3_l,48.931126,49.631898,10.345174
2,17,f_main1_l,51.846857,45.295490,20.363928
2,18,f_main2_l,55.914271,47.388053,18.390361
2,19,f_main3_l,56.520812,46.178898,13.906223
2,20,f_pointer1_l,49.392789,49.519082,18.158468
2,21,f_pointer2_l,52.641453,50.553970,15.367096
2,22,f_pointer3_l,53.005859,48.976798,12.301320
2,23,scapular_l,-9.637453,54.922185,21.204961
2,24,chest_l,10.732523,34.335612,18.979129
2,25,zero_joint_hand_r,-0.574556,28.854842,1.606867
2,26,clavicle_r,2.674771,53.449991,4.435852
2,27,arm_r,13.686518,57.702871,-9.767991
2,28,forearm_r,35.993581,46.683501,-24.575147
2,29,forearm_twist_r,36.733299,48.435734,-12.790138
2,30,hand_r,37.524723,50.306099,-0.282067
2,31,weapon_r,36.377654,56.174140,7.730434
2,32,f_big1_r,32.329208,53.720302,0.969788
2,33,f_big2_r,28.993800,54.995461,2.823985
2,34,f_big3_r,26.448367,58.560040,4.297181
2,35,f_main1_r,38.156910,59.566946,6.224865
