frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-7.154007,1.710041,8.220975
0,2,chest,-19.426890,0.755252,21.008760
0,3,neck,-42.181705,0.121280,39.226976
0,4,head,-52.775601,-3.127816,47.288513
0,5,hair,-63.900557,-10.612554,54.907454
0,7,zero_joint_hand_l,-19.426889,0.755253,21.008761
0,8,clavicle_l,-37.444006,0.924877,38.296030
0,9,arm_l,-26.740729,1.976058,53.310343
0,10,forearm_l,-0.770912,5.954231,41.143743
0,11,forearm_twist_l,-0.735986,12.493327,31.165945
0,12,hand_l,-0.698697,19.436310,20.574813
0,13,weapon_l,2.041165,10.863349,23.021497
0,14,f_big1_l,-4.295340,18.300137,15.656328
0,15,f_big2_l,-4.836700,16.504326,11.864296
0,16,f_big3_l,-1.322786,15.717187,8.778477
0,17,f_main1_l,2.023248,23.509524,10.312207
0,18,f_main2_l,2.280111,18.726632,9.925783
0,19,f_main3_l,0.735179,17.218341,13.884400
0,20,f_pointer1_l,-3.129590,22.785261,9.258417
0,21,f_pointer2_l,-1.557350,19.071463,6.975770
0,22,f_pointer3_l,-2.330321,17.116313,9.798203
0,23,scapular_l,-34.665133,1.041543,54.018758
0,24,chest_l,-19.540964,16.423506,35.643437
0,25,zero_joint_hand_r,-19.426759,0.755244,21.008655
0,26,clavicle_r,-40.050532,1.567273,35.061528
0,27,arm_r,-53.484343,-0.228448,22.515500
0,28,forearm_r,-70.899699,-8.971639,1.101825
0,29,forearm_twist_r,-67.418831,-9.620521,-10.298457
0,30,hand_r,-63.728504,-10.315610,-22.384772
0,31,weapon_r,-55.852696,-14.619390,-25.169373
0,32,f_big1_r,-59.863981,-11.025431,-27.181638
0,33,f_big2_r,-59.183530,-12.341533,-30.968533
0,34,f_big3_r,-62.390042,-12.638018,-34.184117
0,35,f_main1_r,-65.932465,-5.435509,-32.426717
0,36,f_main2_r,-66.193658,-10.177093,-33.276723
0,37,f_main3_r,-64.719541,-12.146051,-29.433952
0,38,f_pointer1_r,-60.723890,-6.042631,-33.250813
0,39,f_pointer2_r,-62.224343,-9.538423,-35.734104
0,40,f_pointer3_r,-61.494956,-11.591184,-33.034714
0,41,scapular_r,-55.189486,2.056356,30.005049
0,42,chest_r,-30.470676,19.101222,22.075389
0,43,zero_joint_pelvis_l,0.000003,-0.000004,-0.000016
0,44,thigh_l,6.741691,0.029499,6.274336
