frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-0.574019,0.395725,11.009195
0,2,chest,-0.917552,2.702629,28.605301
0,3,neck,0.402739,-2.049617,57.341339
0,4,head,2.147719,-4.333089,70.731723
0,5,hair,-1.292035,-1.799374,85.541912
0,7,zero_joint_hand_l,-0.917551,2.702627,28.605298
0,8,clavicle_l,-0.772768,-3.456925,52.803105
0,9,arm_l,-17.952677,-3.345889,59.580504
0,10,forearm_l,-34.370313,-9.768841,82.547662
0,11,forearm_twist_l,-26.735607,-9.600694,91.723004
0,12,hand_l,-18.641230,-9.421425,101.450778
0,13,weapon_l,-21.100917,-17.544268,97.583203
0,14,f_big1_l,-12.925986,-10.644345,103.527571
0,15,f_big2_l,-10.301900,-13.081240,105.779956
0,16,f_big3_l,-11.619468,-15.581311,109.588252
0,17,f_main1_l,-16.263252,-8.959452,112.569592
0,18,f_main2_l,-15.662279,-13.550686,111.299454
0,19,f_main3_l,-16.164307,-13.527126,106.818403
0,20,f_pointer1_l,-11.247680,-8.400569,110.920340
0,21,f_pointer2_l,-10.940494,-12.848348,112.169917
0,22,f_pointer3_l,-11.463472,-13.741041,108.806022
0,23,scapular_l,-12.053153,0.491609,63.401546
0,24,chest_l,3.532629,-17.530686,34.077604
0,25,zero_joint_hand_r,-0.917567,2.702663,28.605135
0,26,clavicle_r,2.499252,-0.833452,53.085818
0,27,arm_r,16.960833,10.651653,52.862754
0,28,forearm_r,31.242529,-3.853234,32.273318
0,29,forearm_twist_r,38.370335,-6.765474,41.395662
0,30,hand_r,45.924566,-9.860026,51.067168
0,31,weapon_r,44.693022,-13.230385,59.752147
0,32,f_big1_r,48.896544,-11.410042,56.288791
0,33,f_big2_r,51.559789,-13.789974,58.224508
0,34,f_big3_r,55.113549,-15.798130,56.221466
0,35,f_main1_r,57.279010,-9.274922,51.708326
0,36,f_main2_r,56.259627,-13.971592,52.127259
0,37,f_main3_r,51.715491,-14.162766,52.489171
0,38,f_pointer1_r,56.432236,-9.097825,56.945509
0,39,f_pointer2_r,57.661190,-13.457442,56.596131
0,40,f_pointer3_r,54.286494,-14.268077,56.615932
0,41,scapular_r,13.203840,8.983680,59.738327
0,42,chest_r,17.237531,-6.520819,35.262412
0,43,zero_joint_pelvis_l,0.000002,0.000009,-0.000013
0,44,thigh_l,-3.634317,-8.451654,0.424058
0,45,calf_l,8.449449,-8.698469,-47.126448
0,46,foot_l,-29.244564,-10.885278,-63.425065
0,47,toe_l,-32.646816,-11.982417,-83.781555
0,48,back_l,-11.702257,-3.942282,-5.904174
0,51,zero_joint_pelvis_r,0.000080,-0.000032,-0.000305
0,52,thigh_r,5.851387,7.103036,0.357394
0,53,calf_r,23.106845,-10.076122,-42.236674
0,54,foot_r,22.065074,-9.055440,-83.304535
0,55,toe_r,35.312397,-10.363002,-99.114723
0,56,back_r,-1.883748,12.176157,-5.972319
0,57,biceps_twist_l,-25.864263,-6.433826,70.601996
0,58,biceps_twist_r,23.808913,3.691722,42.960871
0,59,thigh_twist_l,0.851608,-8.542765,-17.233548
0,60,thigh_twist_r,12.257999,0.724131,-15.459931
1,0,pelvis,0.000488,0.000000,0.000000
1,1,stomach,-0.574167,0.396861,11.009121
1,2,chest,-0.917778,2.706810,28.604826
1,3,neck,0.403431,-2.045928,57.340740
1,4,head,2.148845,-4.329498,70.731051
1,5,hair,-1.291030,-1.793171,85.548896
1,7,zero_joint_hand_l,-0.917777,2.706810,28.604827
1,8,clavicle_l,-0.772616,-3.452978,52.802572
1,9,arm_l,-17.951842,-3.338115,59.581638
1,10,forearm_l,-34.369190,-9.755914,82.550443
1,11,forearm_twist_l,-26.738782,-9.588861,91.719217
1,12,hand_l,-18.638667,-9.410553,101.452398
1,13,weapon_l,-21.100377,-17.533138,97.585568
1,14,f_big1_l,-12.926642,-10.633246,103.531805
1,15,f_big2_l,-10.302915,-13.070567,105.784146
1,16,f_big3_l,-11.622196,-15.571677,109.596031
1,17,f_main1_l,-16.257243,-8.946948,112.578268
1,18,f_main2_l,-15.657142,-13.538350,111.308324
1,19,f_main3_l,-16.160731,-13.515362,106.823518
1,20,f_pointer1_l,-11.243542,-8.388773,110.929176
1,21,f_pointer2_l,-10.936449,-12.840305,112.179890
1,22,f_pointer3_l,-11.459847,-13.733155,108.816100
1,23,scapular_l,-12.050300,0.501870,63.404056
1,24,chest_l,3.535125,-17.522482,34.077209
1,25,zero_joint_hand_r,-0.917794,2.706846,28.604660
1,26,clavicle_r,2.499856,-0.829911,53.085135
1,27,arm_r,16.963433,10.652644,52.860188
1,28,forearm_r,31.240088,-3.856294,32.270111
1,29,forearm_twist_r,38.363173,-6.766324,41.386626
1,30,hand_r,45.921960,-9.862481,51.064282
1,31,weapon_r,44.690506,-13.232719,59.749321
1,32,f_big1_r,48.894024,-11.412675,56.285804
1,33,f_big2_r,51.559431,-13.795522,58.223162
1,34,f_big3_r,55.112798,-15.803799,56.219545
1,35,f_main1_r,57.268918,-9.279516,51.703560
1,36,f_main2_r,56.249269,-13.976143,52.122326
1,37,f_main3_r,51.709090,-14.167366,52.484654
1,38,f_pointer1_r,56.422347,-9.102340,56.940772
1,39,f_pointer2_r,57.649888,-13.458282,56.591363
1,40,f_pointer3_r,54.277135,-14.268636,56.611477
1,41,scapular_r,13.204525,8.988496,59.735634
1,42,chest_r,17.242801,-6.513609,35.261476
1,43,zero_joint_pelvis_l,0.000491,0.000010,-0.000015
1,44,thigh_l,-3.633823,-8.451662,0.423933
1,45,calf_l,8.454897,-8.700287,-47.125304
1,46,foot_l,-29.237597,-10.884153,-63.427828
1,47,toe_l,-32.637678,-11.980734,-83.784710
1,48,back_l,-11.701139,-3.942523,-5.905262
1,51,zero_joint_pelvis_r,0.000570,-0.000030,-0.000307
1,52,thigh_r,5.851855,7.103076,0.356998
1,53,calf_r,23.113885,-10.075997,-42.234441
1,54,foot_r,22.075069,-9.058639,-83.302459
1,55,toe_r,35.321943,-10.369858,-99.112720
1,56,back_r,-1.886780,12.168732,-5.977555
1,57,biceps_twist_l,-25.858859,-6.421847,70.597726
1,58,biceps_twist_r,23.809091,3.690754,42.958008
1,59,thigh_twist_l,0.853931,-8.543421,-17.233205
1,60,thigh_twist_r,12.260909,0.724190,-15.459344
2,0,pelvis,-0.000488,-0.015625,-0.125000
2,1,stomach,-0.591228,0.372759,10.883572
2,2,chest,-0.967509,2.711477,28.474807
2,3,neck,0.142619,-1.822553,57.254958
2,4,head,1.777545,-4.192427,70.644219
2,5,hair,-1.462631,-1.743851,85.521718
2,7,zero_joint_hand_l,-0.967510,2.711481,28.474813
2,8,clavicle_l,-0.956977,-3.282968,52.714478
2,9,arm_l,-18.160810,-3.337117,59.431615
2,10,forearm_l,-34.430390,-9.816531,82.488098
2,11,forearm_twist_l,-26.770261,-9.622184,91.641708
2,12,hand_l,-18.648905,-9.415125,101.346416
2,13,weapon_l,-21.112063,-17.515604,97.434399
2,14,f_big1_l,-12.937824,-10.651811,103.417645
2,15,f_big2_l,-10.314713,-13.102119,105.656574
2,16,f_big3_l,-11.633630,-15.622014,109.451312
2,17,f_main1_l,-16.270535,-9.015136,112.467549
2,18,f_main2_l,-15.671324,-13.603397,111.171338
2,19,f_main3_l,-16.174135,-13.555155,106.686644
2,20,f_pointer1_l,-11.254062,-8.447992,110.829198
2,21,f_pointer2_l,-10.948212,-12.906458,112.055273
2,22,f_pointer3_l,-11.472078,-13.780201,108.686539
2,23,scapular_l,-12.296231,0.500606,63.312837
2,24,chest_l,3.832176,-17.404870,34.129577
2,25,zero_joint_hand_r,-0.967526,2.711516,28.474647
2,26,clavicle_r,2.259591,-0.593535,53.013290
2,27,arm_r,16.534283,11.120568,52.685141
2,28,forearm_r,30.812759,-3.180713,31.951546
2,29,forearm_twist_r,37.962211,-6.441775,40.937910
2,30,hand_r,45.539437,-9.906027,50.464991
2,31,weapon_r,44.240780,-13.179154,59.177340
2,32,f_big1_r,48.430456,-11.146563,55.814877
2,33,f_big2_r,50.993509,-12.877922,58.454731
2,34,f_big3_r,54.619330,-15.597685,58.047388
2,35,f_main1_r,56.800269,-8.537757,51.465651
2,36,f_main2_r,57.474293,-13.283234,52.012795
2,37,f_main3_r,53.981670,-16.178018,52.463076
2,38,f_pointer1_r,55.763968,-8.314331,56.668898
2,39,f_pointer2_r,58.255138,-12.113316,56.648917
2,40,f_pointer3_r,55.844383,-14.605382,56.547512
2,41,scapular_r,12.773329,9.491961,59.568002
2,42,chest_r,17.310367,-6.113726,35.382225
2,43,zero_joint_pelvis_l,-0.000488,-0.015619,-0.125015
2,44,thigh_l,-3.670247,-8.452624,0.285505
2,45,calf_l,8.451920,-8.699585,-47.255225
2,46,foot_l,-29.250823,-10.894079,-63.532600
2,47,toe_l,-32.656965,-11.987899,-83.888618
2,48,back_l,-11.711340,-3.893912,-6.056550
2,51,zero_joint_pelvis_r,-0.000409,-0.015660,-0.125308
2,52,thigh_r,5.880074,7.062441,0.248483
2,53,calf_r,23.100517,-10.188970,-42.330551
2,54,foot_r,22.064137,-9.209122,-83.399543
2,55,toe_r,35.396065,-10.402932,-99.147489
2,56,back_r,-1.816253,12.169397,-6.092984
2,57,biceps_twist_l,-25.996922,-6.450557,70.489931
2,58,biceps_twist_r,23.384850,4.254904,42.708475
2,59,thigh_twist_l,0.833798,-8.543863,-17.383612
2,60,thigh_twist_r,12.279159,0.651195,-15.576816
3,0,pelvis,-0.000977,-0.039062,-0.125000
3,1,stomach,-0.631428,0.331926,10.881969
3,2,chest,-1.081221,2.731030,28.463344
3,3,neck,-0.525565,-1.147467,57.355132
3,4,head,0.828302,-3.758414,70.730916
3,5,hair,-1.870589,-1.557878,85.754492
3,7,zero_joint_hand_l,-1.081220,2.731032,28.463339
3,8,clavicle_l,-1.422777,-2.754499,52.820827
3,9,arm_l,-18.683577,-3.278343,59.369499
3,10,forearm_l,-34.570387,-9.940241,82.639905
3,11,forearm_twist_l,-26.845760,-9.685686,91.737665
3,12,hand_l,-18.656039,-9.414782,101.383170
3,13,weapon_l,-21.124374,-17.495041,97.432789
3,14,f_big1_l,-12.944902,-10.663426,103.449554
3,15,f_big2_l,-10.325846,-13.124419,105.674086
3,16,f_big3_l,-11.647542,-15.664591,109.459210
3,17,f_main1_l,-16.273837,-9.067029,112.512964
3,18,f_main2_l,-15.677132,-13.649334,111.194710
3,19,f_main3_l,-16.180083,-13.579345,106.710318
3,20,f_pointer1_l,-11.259708,-8.496804,110.869625
3,21,f_pointer2_l,-10.956845,-12.957473,112.073471
3,22,f_pointer3_l,-11.480854,-13.814362,108.702471
3,23,scapular_l,-12.921470,0.547586,63.405821
3,24,chest_l,4.589859,-16.987083,34.674366
3,25,zero_joint_hand_r,-1.081233,2.731065,28.463174
3,26,clavicle_r,1.640399,0.102698,53.144483
3,27,arm_r,15.466849,12.331985,52.537398
3,28,forearm_r,29.829715,-1.393850,31.475751
3,29,forearm_twist_r,36.962628,-5.569861,40.078074
3,30,hand_r,44.531894,-10.009410,49.209071
3,31,weapon_r,42.870248,-13.640670,57.715408
3,32,f_big1_r,47.126428,-11.215106,54.716933
3,33,f_big2_r,49.439474,-12.267069,57.896657
