frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.313030,10.876888,1.812124
0,2,chest,1.392697,28.607966,2.058388
0,3,neck,-5.279153,56.839329,4.984728
0,4,head,-8.768394,69.830001,7.600690
0,5,hair,-6.361169,85.048178,8.268960
0,7,zero_joint_hand_l,1.392697,28.607951,2.058379
0,8,clavicle_l,-6.473836,52.241846,3.804090
0,9,arm_l,-19.617088,46.460861,-7.811844
0,10,forearm_l,-27.727531,20.970860,3.268049
0,11,forearm_twist_l,-30.014311,19.576851,14.885213
0,12,hand_l,-32.457070,18.095310,27.246873
0,13,weapon_l,-38.422483,-292.959872,32.951548
0,14,f_big1_l,-37.476933,19.805065,30.589891
0,15,f_big2_l,-39.633478,19.590345,34.109637
0,16,f_big3_l,-42.105453,16.692273,36.838692
0,17,f_main1_l,-39.845661,10.380754,30.955160
0,18,f_main2_l,-37.642488,12.160926,34.734120
0,19,f_main3_l,-35.334018,15.573797,33.074354
0,20,f_pointer1_l,-43.234964,14.436678,31.313698
0,21,f_pointer2_l,-41.847696,14.107369,35.660104
0,22,f_pointer3_l,-39.621742,16.648164,34.837614
0,23,scapular_l,-18.890082,54.233239,-6.046647
0,24,chest_l,-18.554889,32.360984,8.964133
0,25,zero_joint_hand_r,1.392748,28.607807,2.058369
0,26,clavicle_r,-3.520317,52.632070,6.769155
0,27,arm_r,9.156579,50.990388,20.099418
0,28,forearm_r,-1.451945,24.326280,23.942327
0,29,forearm_twist_r,-10.419003,17.209731,27.298531
0,30,hand_r,-19.932508,9.647899,30.860889
0,31,weapon_r,-38.308311,-292.864464,32.994839
0,32,f_big1_r,-25.496440,10.152589,33.187660
0,33,f_big2_r,-29.228466,9.760210,34.301237
0,34,f_big3_r,-33.432293,9.096892,34.075002
0,35,f_main1_r,-28.560358,3.260618,26.917648
0,36,f_main2_r,-31.922232,6.257142,24.807043
0,37,f_main3_r,-28.454137,9.034676,26.520633
0,38,f_pointer1_r,-30.653897,4.453186,31.646786
0,39,f_pointer2_r,-34.099234,6.181036,29.416088
0,40,f_pointer3_r,-32.990786,9.423459,29.607486
0,41,scapular_r,5.927277,57.976151,18.986812
0,42,chest_r,-6.157929,34.000596,21.386742
0,43,zero_joint_pelvis_l,0.000013,0.000006,0.000009
0,44,thigh_l,-8.346701,1.171750,-3.711569
0,45,calf_l,-42.438120,-31.187809,10.351256
0,46,foot_l,-47.094191,-68.560473,-6.167539
0,47,toe_l,-59.523440,-78.628180,6.921416
0,48,back_l,-3.546590,-3.269462,-12.815916
0,51,zero_joint_pelvis_r,-0.000039,-0.000296,0.000027
0,52,thigh_r,6.928504,-0.886658,6.002239
0,53,calf_r,25.843209,-38.464771,31.246016
0,54,foot_r,27.541811,-68.564701,3.275056
0,55,toe_r,34.727715,-78.620161,19.840569
0,56,back_r,12.278411,-5.401773,-2.753056
0,57,biceps_twist_l,-23.516588,34.218606,-2.491609
0,58,biceps_twist_r,4.062511,38.191392,21.944070
0,59,thigh_twist_l,-20.815061,-11.224513,1.044883
0,60,thigh_twist_r,13.962345,-15.174668,14.841298
1,0,pelvis,-0.312500,-0.687500,-0.074219
1,1,stomach,-0.013535,10.195427,1.703703
1,2,chest,1.327148,27.906960,2.052396
1,3,neck,-6.237055,55.919112,4.914053
1,4,head,-10.001771,68.811100,7.634198
1,5,hair,-7.403154,83.999563,8.260319
1,7,zero_joint_hand_l,1.327143,27.906928,2.052384
1,8,clavicle_l,-7.276503,51.288569,3.715809
1,9,arm_l,-20.098200,45.136424,-8.067652
1,10,forearm_l,-29.089009,19.938105,3.040837
1,11,forearm_twist_l,-31.173355,18.832834,14.726941
1,12,hand_l,-33.400507,17.658781,27.162136
1,13,weapon_l,-38.452576,-292.909460,32.922122
1,14,f_big1_l,-38.198059,19.880841,30.532877
1,15,f_big2_l,-40.289929,19.959819,34.097037
1,16,f_big3_l,-42.928076,17.364648,36.971493
1,17,f_main1_l,-41.307725,10.697795,31.271423
1,18,f_main2_l,-38.891448,12.419377,34.945831
1,19,f_main3_l,-36.350011,15.575401,33.125898
1,20,f_pointer1_l,-44.357888,15.022061,31.550253
1,21,f_pointer2_l,-42.912806,14.727441,35.880280
1,22,f_pointer3_l,-40.506793,17.050040,34.929680
1,23,scapular_l,-19.616891,52.926236,-6.294121
1,24,chest_l,-18.809182,31.043864,8.713389
1,25,zero_joint_hand_r,1.327198,27.906786,2.052375
1,26,clavicle_r,-4.373048,51.765527,6.717412
1,27,arm_r,8.110544,50.486484,20.268010
1,28,forearm_r,-0.543805,23.159354,24.343995
1,29,forearm_twist_r,-9.380815,16.003529,27.952167
1,30,hand_r,-18.756132,8.400105,31.782294
1,31,weapon_r,-38.329202,-292.850791,33.056891
1,32,f_big1_r,-24.289373,8.826774,34.196236
1,33,f_big2_r,-27.986614,8.371407,35.391994
1,34,f_big3_r,-32.174236,7.589362,35.267205
1,35,f_main1_r,-27.273076,1.657492,28.205732
1,36,f_main2_r,-30.757808,4.492924,26.062875
1,37,f_main3_r,-27.336248,7.421068,27.623291
1,38,f_pointer1_r,-29.308255,2.949316,32.933021
1,39,f_pointer2_r,-32.840252,4.509027,30.713985
1,40,f_pointer3_r,-31.819990,7.785169,30.781495
1,41,scapular_r,4.693644,57.373625,19.104014
1,42,chest_r,-6.622126,33.047552,21.289362
1,43,zero_joint_pelvis_l,-0.312500,-0.687485,-0.074216
1,44,thigh_l,-8.693829,0.450955,-3.717526
1,45,calf_l,-42.977023,-31.455977,11.006827
1,46,foot_l,-47.156912,-68.586499,-6.172188
1,47,toe_l,-59.588927,-78.647125,6.919585
1,48,back_l,-3.959766,-4.003831,-12.849781
1,51,zero_joint_pelvis_r,-0.312536,-0.687786,-0.074206
1,52,thigh_r,6.669509,-1.537989,5.870967
1,53,calf_r,25.817499,-38.698327,31.613152
1,54,foot_r,27.489357,-68.586568,3.277958
1,55,toe_r,34.674227,-78.643258,19.843173
1,56,back_r,11.956535,-6.064181,-2.916747
1,57,biceps_twist_l,-24.418180,33.040962,-2.736481
1,58,biceps_twist_r,3.954647,37.369043,22.224494
1,59,thigh_twist_l,-21.235142,-11.775066,1.281576
1,60,thigh_twist_r,13.789422,-15.668165,14.892946
2,0,pelvis,-1.250000,-1.937500,0.234375
2,1,stomach,-0.954308,8.992128,1.698707
2,2,chest,0.899732,26.657120,2.056521
2,3,neck,-8.326105,54.178110,4.807153
2,4,head,-13.025990,66.700778,7.785323
2,5,hair,-10.067749,81.826337,8.333502
2,7,zero_joint_hand_l,0.899704,26.657096,2.056510
2,8,clavicle_l,-9.072825,49.498017,3.583537
2,9,arm_l,-21.311755,42.451026,-8.317861
2,10,forearm_l,-32.101217,17.911566,2.663526
2,11,forearm_twist_l,-33.590139,17.645460,14.489067
2,12,hand_l,-35.183371,17.364952,27.073009
2,13,weapon_l,-38.454786,-292.879147,32.992791
2,14,f_big1_l,-39.385237,20.557810,30.459148
2,15,f_big2_l,-41.232781,21.224954,34.096028
2,16,f_big3_l,-44.071443,19.295333,37.285979
2,17,f_main1_l,-43.831893,12.062187,32.069119
2,18,f_main2_l,-40.978666,13.640133,35.485653
2,19,f_main3_l,-38.086443,16.211124,33.312659
2,20,f_pointer1_l,-46.155120,16.824237,32.133887
2,21,f_pointer2_l,-44.535882,16.618544,36.407054
2,22,f_pointer3_l,-41.855575,18.455057,35.170048
2,23,scapular_l,-21.390123,50.259188,-6.558978
2,24,chest_l,-19.507659,28.608550,8.334431
