frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.321016,10.876108,1.815404
0,2,chest,1.379487,28.608250,2.076633
0,3,neck,-5.276566,56.843998,4.996627
0,4,head,-8.772275,69.834110,7.606735
0,5,hair,-6.363888,85.052232,8.272058
0,7,zero_joint_hand_l,1.379483,28.608233,2.076629
0,8,clavicle_l,-6.477458,52.245892,3.818683
0,9,arm_l,-19.601561,46.460608,-7.816743
0,10,forearm_l,-27.722689,21.005610,3.335558
0,11,forearm_twist_l,-29.996746,19.575981,14.958910
0,12,hand_l,-32.425603,18.063991,27.311605
0,13,weapon_l,-38.331628,13.792619,33.041213
0,14,f_big1_l,-37.331445,19.757104,30.434735
0,15,f_big2_l,-39.424629,19.816191,33.739637
0,16,f_big3_l,-39.465546,16.730166,36.684174
0,17,f_main1_l,-39.912531,10.320930,31.133286
0,18,f_main2_l,-37.899224,12.334592,35.206241
0,19,f_main3_l,-35.229486,15.873270,33.465947
0,20,f_pointer1_l,-43.117472,14.551179,31.256146
0,21,f_pointer2_l,-42.153181,14.351299,35.599179
0,22,f_pointer3_l,-39.825841,16.815554,35.061011
0,23,scapular_l,-18.889343,54.239553,-6.039846
0,24,chest_l,-18.547247,32.378139,8.984075
0,25,zero_joint_hand_r,1.379523,28.608073,2.076599
0,26,clavicle_r,-3.519874,52.636436,6.779616
0,27,arm_r,9.157778,50.997878,20.109545
0,28,forearm_r,3.100870,22.962884,24.063841
0,29,forearm_twist_r,-5.956199,15.493709,26.184784
0,30,hand_r,-15.568339,7.564686,28.446611
0,31,weapon_r,-38.290360,13.839295,33.033909
0,32,f_big1_r,-21.638554,9.092248,28.058831
0,33,f_big2_r,-25.281430,8.686133,26.139760
0,34,f_big3_r,-26.526695,4.843432,23.757235
0,35,f_main1_r,-23.602046,-0.349295,29.373570
0,36,f_main2_r,-24.013861,1.252692,24.945871
0,37,f_main3_r,-21.298241,4.762042,24.670269
0,38,f_pointer1_r,-26.822274,3.675875,30.614723
0,39,f_pointer2_r,-28.153553,3.136757,26.267655
0,40,f_pointer3_r,-25.998904,5.735596,25.420494
0,41,scapular_r,4.856726,57.723081,19.387337
