frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-5.369341,9.272699,2.622157
0,2,chest,-17.688852,20.703519,8.334315
0,3,neck,-38.536502,39.989555,14.930616
0,4,head,-46.140263,51.198164,16.958302
0,5,hair,-58.196722,58.710834,22.961285
0,7,zero_joint_hand_l,-17.688543,20.703454,8.334266
0,8,clavicle_l,-33.868439,38.513987,15.005332
0,9,arm_l,-18.102490,46.452280,20.437926
0,10,forearm_l,8.710071,41.024826,10.955693
0,11,forearm_twist_l,15.148785,45.072115,1.764400
0,12,hand_l,21.991204,49.378408,-8.003489
0,13,weapon_l,-40.026483,-33.837015,1.786882
0,14,f_big1_l,27.037261,52.890895,-7.243519
0,15,f_big2_l,30.774507,54.513221,-7.260931
0,16,f_big3_l,33.237386,55.749322,-10.882519
0,17,f_main1_l,31.366894,47.520427,-14.179267
0,18,f_main2_l,30.602832,52.082431,-15.576713
0,19,f_main3_l,26.930724,54.618482,-14.555293
0,20,f_pointer1_l,33.801560,50.144427,-10.261201
0,21,f_pointer2_l,34.627086,53.608233,-13.094955
0,22,f_pointer3_l,32.390695,56.268420,-12.946521
0,23,scapular_l,-26.280875,50.555545,22.639995
0,24,chest_l,-11.516007,41.204966,7.207900
0,25,zero_joint_hand_r,-17.688557,20.703387,8.334283
0,26,clavicle_r,-36.122223,37.204624,11.707638
0,27,arm_r,-47.715315,23.462771,7.481950
0,28,forearm_r,-44.723072,-4.603700,13.932001
0,29,forearm_twist_r,-44.099611,-15.577357,9.294369
0,30,hand_r,-43.450904,-27.226388,4.369151
0,31,weapon_r,-40.041499,-33.869998,1.785665
0,32,f_big1_r,-42.464081,-31.379440,-0.123355
0,33,f_big2_r,-42.385029,-33.965955,-3.270251
0,34,f_big3_r,-39.322871,-35.920108,-6.011435
0,35,f_main1_r,-40.402020,-37.905415,6.814656
0,36,f_main2_r,-36.620624,-36.810499,4.017720
0,37,f_main3_r,-35.655135,-32.677514,2.321215
0,38,f_pointer1_r,-42.408069,-38.990544,2.020237
