frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.305575,10.743321,1.607419
0,2,chest,0.017478,32.360036,2.132410
0,3,neck,-6.825396,60.529512,5.253725
0,4,head,-11.662775,73.222538,7.059964
0,5,hair,-8.484080,88.295738,7.787134
0,7,zero_joint_hand_l,0.017486,32.359967,2.132412
0,8,clavicle_l,-7.533603,56.189609,2.877308
0,9,arm_l,-20.450463,52.254864,-6.821307
0,10,forearm_l,-30.557223,27.778828,-18.528592
0,11,forearm_twist_l,-39.629696,23.268107,-12.216101
0,12,hand_l,-49.260638,18.480449,-5.515378
0,13,weapon_l,-56.912623,16.444743,-0.373854
0,14,f_big1_l,-52.634830,22.595618,-2.631018
0,15,f_big2_l,-54.467950,23.862237,0.581515
0,16,f_big3_l,-56.177894,21.372411,3.576789
0,17,f_main1_l,-59.767647,15.918618,-1.845308
0,18,f_main2_l,-57.097638,16.746270,2.259692
0,19,f_main3_l,-52.937836,18.307851,0.557434
0,20,f_pointer1_l,-60.299676,21.194079,-1.938631
0,21,f_pointer2_l,-59.684234,20.690242,2.435381
0,22,f_pointer3_l,-56.403397,21.561112,1.940022
0,23,scapular_l,-20.183463,59.483955,-6.306789
0,24,chest_l,-19.258449,35.918035,10.819148
0,25,zero_joint_hand_r,0.017527,32.359837,2.132398
0,26,clavicle_r,-3.382379,55.751255,6.006176
0,27,arm_r,11.079319,56.036900,14.201803
0,28,forearm_r,29.201141,35.639346,23.888020
0,29,forearm_twist_r,19.137213,30.474375,27.701722
0,30,hand_r,8.467223,24.998955,31.745453
0,31,weapon_r,-0.955015,20.687167,31.183404
0,32,f_big1_r,2.958245,26.459380,29.707278
0,33,f_big2_r,-0.335192,25.539899,27.813063
0,34,f_big3_r,-2.047359,21.650870,27.608235
0,35,f_main1_r,-0.857429,19.802763,35.804226
0,36,f_main2_r,-0.574581,18.471554,31.027078
0,37,f_main3_r,3.012437,21.117500,29.369826
0,38,f_pointer1_r,-3.227099,24.155935,33.916939
0,39,f_pointer2_r,-4.279403,21.374697,30.617216
0,40,f_pointer3_r,-1.654918,22.694133,28.845225
0,41,scapular_r,9.284349,62.885340,12.630364
0,42,chest_r,-5.785124,37.949398,22.001141
0,43,zero_joint_pelvis_l,0.000004,-0.000045,-0.000011
0,44,thigh_l,-9.182918,1.228591,-4.357310
0,45,calf_l,-42.162047,-32.904519,8.069947
0,46,foot_l,-47.861089,-70.862372,-6.694468
0,47,toe_l,-58.735428,-79.181323,5.239331
0,48,back_l,-3.459518,-3.496232,-12.779844
0,51,zero_joint_pelvis_r,-0.000028,-0.000293,0.000009
0,52,thigh_r,7.748710,-0.898261,6.631988
0,53,calf_r,28.897110,-38.953809,29.251656
0,54,foot_r,28.217062,-70.574484,2.965994
0,55,toe_r,33.883786,-78.637296,18.222175
0,56,back_r,12.287570,-5.473442,-2.564229
0,57,biceps_twist_l,-25.307103,40.492177,-12.447441
0,58,biceps_twist_r,19.788683,46.234842,18.856669
0,59,thigh_twist_l,-21.439410,-11.457819,0.260679
0,60,thigh_twist_r,15.608586,-15.042132,15.038277
1,0,pelvis,0.816406,0.500000,0.007812
1,1,stomach,1.105920,11.249787,1.574455
1,2,chest,0.779369,32.867063,2.051701
1,3,neck,-6.033036,61.058722,5.036398
1,4,head,-10.949580,73.727763,6.796688
1,5,hair,-7.809168,88.811873,7.461262
1,7,zero_joint_hand_l,0.779377,32.866993,2.051704
1,8,clavicle_l,-6.727061,56.714521,2.663650
1,9,arm_l,-19.526672,52.750681,-7.177516
1,10,forearm_l,-29.309708,28.260798,-19.128302
1,11,forearm_twist_l,-38.563574,23.695240,-13.126174
1,12,hand_l,-48.387037,18.849387,-6.754854
1,13,weapon_l,-55.893547,16.727183,-1.451153
1,14,f_big1_l,-51.783674,22.930999,-3.849237
1,15,f_big2_l,-53.579534,24.197167,-0.615550
1,16,f_big3_l,-55.185071,21.707763,2.437305
1,17,f_main1_l,-58.772381,16.129985,-2.858818
1,18,f_main2_l,-56.041548,17.051378,1.185755
1,19,f_main3_l,-51.945171,18.672444,-0.612026
1,20,f_pointer1_l,-59.406104,21.393228,-2.996357
1,21,f_pointer2_l,-58.698778,20.947752,1.370087
1,22,f_pointer3_l,-55.444986,21.874718,0.803283
1,23,scapular_l,-19.275404,59.980747,-6.668560
1,24,chest_l,-18.573935,36.487694,10.538206
1,25,zero_joint_hand_r,0.779423,32.866848,2.051687
1,26,clavicle_r,-2.608001,56.274947,5.834577
1,27,arm_r,11.786674,56.611518,14.145454
1,28,forearm_r,29.211198,35.861348,24.348387
1,29,forearm_twist_r,19.122950,30.641390,28.020332
1,30,hand_r,8.427083,25.107813,31.913740
1,31,weapon_r,-0.979592,20.779349,31.261655
1,32,f_big1_r,2.931444,26.564491,29.837236
1,33,f_big2_r,-0.344583,25.645565,27.912801
1,34,f_big3_r,-2.046367,21.753657,27.678278
1,35,f_main1_r,-0.918320,19.874513,35.875962
1,36,f_main2_r,-0.594065,18.563567,31.095843
1,37,f_main3_r,3.000263,21.224174,29.478383
1,38,f_pointer1_r,-3.282428,24.230184,33.987465
1,39,f_pointer2_r,-4.301916,21.460200,30.668034
1,40,f_pointer3_r,-1.666221,22.792693,28.922651
1,41,scapular_r,9.948204,63.457692,12.614762
1,42,chest_r,-5.207703,38.517636,21.848248
1,43,zero_joint_pelvis_l,0.816411,0.499955,0.007802
1,44,thigh_l,-8.295888,1.717373,-4.498368
1,45,calf_l,-41.588572,-32.349630,7.256010
1,46,foot_l,-47.769902,-70.566892,-6.618345
1,47,toe_l,-59.859731,-79.360196,5.485418
1,48,back_l,-2.444897,-3.047416,-12.809989
1,51,zero_joint_pelvis_r,0.816378,0.499699,0.007823
1,52,thigh_r,8.459225,-0.376094,6.764482
1,53,calf_r,28.679925,-38.981539,29.300494
1,54,foot_r,28.210405,-70.560843,2.960548
1,55,toe_r,33.875103,-78.626919,18.215757
1,56,back_r,13.138096,-4.993820,-2.339996
1,57,biceps_twist_l,-24.227752,40.981336,-12.920643
1,58,biceps_twist_r,20.160939,46.639988,19.048657
1,59,thigh_twist_l,-20.668893,-10.944474,-0.130438
1,60,thigh_twist_r,15.974315,-14.724349,15.139650
2,0,pelvis,2.258789,1.437500,0.027344
2,1,stomach,2.512275,12.204804,1.532958
2,2,chest,2.119472,33.822397,1.940829
2,3,neck,-4.638680,62.052787,4.672015
2,4,head,-9.749345,74.665765,6.274994
2,5,hair,-6.808126,89.793139,6.863218
2,7,zero_joint_hand_l,2.119483,33.822329,1.940828
2,8,clavicle_l,-5.296588,57.703273,2.298713
2,9,arm_l,-17.830128,53.694532,-7.861553
2,10,forearm_l,-26.901158,29.117207,-20.188553
2,11,forearm_twist_l,-36.403824,24.424199,-14.695017
2,12,hand_l,-46.491320,19.442944,-8.863556
2,13,weapon_l,-53.858123,17.149233,-3.422845
2,14,f_big1_l,-49.983921,23.452081,-5.970828
2,15,f_big2_l,-51.778023,24.705940,-2.731374
2,16,f_big3_l,-53.258415,22.210343,0.379131
2,17,f_main1_l,-56.726870,16.437496,-4.785516
2,18,f_main2_l,-53.974872,17.509776,-0.792809
2,19,f_main3_l,-49.959432,19.239379,-2.670277
2,20,f_pointer1_l,-57.538478,21.674048,-4.990607
2,21,f_pointer2_l,-56.758532,21.317722,-0.628347
