frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-2.565279,10.153800,3.415214
0,2,chest,-7.535602,27.045802,5.528142
0,3,neck,-21.012541,52.857021,7.758745
0,4,head,-25.644672,62.969757,15.681439
0,5,hair,-23.889160,78.267454,16.537522
0,7,zero_joint_hand_l,-7.535609,27.045789,5.528152
0,8,clavicle_l,-20.907165,47.969199,8.292102
0,9,arm_l,-37.325160,41.124793,4.280126
0,10,forearm_l,-42.485793,12.909205,0.339071
0,11,forearm_twist_l,-48.202307,3.321270,4.614583
0,12,hand_l,-54.103533,-6.862210,9.268833
0,13,weapon_l,51.253083,31.296458,-7.555860
0,14,f_big1_l,-54.124041,-8.897494,14.987507
0,15,f_big2_l,-53.991779,-10.718239,18.452269
0,16,f_big3_l,-55.860901,-13.470970,21.141573
0,17,f_main1_l,-63.100426,-12.462820,13.537398
0,18,f_main2_l,-64.166874,-14.829236,14.602482
0,19,f_main3_l,-61.500852,-18.692796,13.954017
0,20,f_pointer1_l,-60.971398,-10.970135,18.148105
0,21,f_pointer2_l,-63.433383,-14.398850,19.542596
0,22,f_pointer3_l,-62.434707,-17.657658,19.661952
0,23,scapular_l,-36.975647,47.994217,7.960461
0,24,chest_l,-20.071269,29.067646,22.803863
0,25,zero_joint_hand_r,-7.535525,27.045686,5.528144
0,26,clavicle_r,-17.202130,49.892053,8.626341
0,27,arm_r,-1.104624,58.723524,7.907968
0,28,forearm_r,25.358334,51.626089,-1.452679
0,29,forearm_twist_r,34.593396,44.146066,-2.399623
0,30,hand_r,44.453527,36.259532,-3.476304
0,31,weapon_r,51.190110,31.288758,-7.524059
0,32,f_big1_r,48.340007,31.041985,-2.676549
0,33,f_big2_r,49.362278,27.364758,-4.386094
0,34,f_big3_r,50.749059,26.885197,-8.613709
0,35,f_main1_r,54.354861,35.481629,-8.823293
0,36,f_main2_r,52.156683,31.755401,-10.690040
0,37,f_main3_r,48.506774,31.106718,-8.202389
0,38,f_pointer1_r,55.282854,32.080567,-5.511057
0,39,f_pointer2_r,57.137041,30.708289,-9.353412
0,40,f_pointer3_r,55.259883,27.787735,-9.029064
0,41,scapular_r,-7.772136,62.735019,9.521118
0,42,chest_r,-4.445489,37.102148,24.209690
0,43,zero_joint_pelvis_l,0.000011,-0.000027,-0.000011
0,44,thigh_l,-8.998344,-1.630216,-0.968632
0,45,calf_l,-42.414890,-34.098495,14.402583
0,46,foot_l,-38.864131,-71.740229,-1.776342
0,47,toe_l,-52.551686,-81.435322,10.269389
0,48,back_l,-6.231113,-3.540319,-11.668565
0,51,zero_joint_pelvis_r,0.000084,-0.000353,-0.000045
0,52,thigh_r,8.372131,1.263121,3.579665
0,53,calf_r,35.755141,-35.232466,21.617731
0,54,foot_r,44.048126,-73.176379,8.099169
0,55,toe_r,53.846383,-81.568400,24.268786
0,56,back_r,11.797095,-0.580872,-6.928916
0,57,biceps_twist_l,-39.833095,27.510135,2.472319
0,58,biceps_twist_r,11.706180,55.309492,3.531114
0,59,thigh_twist_l,-21.153761,-14.096057,4.326110
0,60,thigh_twist_r,18.500157,-12.736125,8.541835
1,0,pelvis,-0.054688,0.000000,0.046875
1,1,stomach,-2.613385,10.152861,3.494868
1,2,chest,-7.569568,27.075933,5.654394
1,3,neck,-20.971940,52.867407,7.948562
1,4,head,-25.758880,62.986806,15.851638
1,5,hair,-24.179670,78.309655,16.593677
1,7,zero_joint_hand_l,-7.569561,27.075895,5.654391
1,8,clavicle_l,-20.895694,48.019601,8.485413
1,9,arm_l,-37.573347,41.134635,4.542338
1,10,forearm_l,-43.024992,12.965297,0.662718
1,11,forearm_twist_l,-48.710008,3.397111,5.023616
1,12,hand_l,-54.575425,-6.766839,9.765006
1,13,weapon_l,51.234408,31.271581,-7.550352
1,14,f_big1_l,-54.521642,-8.811492,15.480121
1,15,f_big2_l,-54.345935,-10.638283,18.939766
1,16,f_big3_l,-56.184648,-13.390571,21.650401
1,17,f_main1_l,-63.526680,-12.351045,14.149440
1,18,f_main2_l,-64.584408,-14.716434,15.225444
1,19,f_main3_l,-61.937827,-18.585845,14.533676
1,20,f_pointer1_l,-61.328825,-10.871176,18.734136
1,21,f_pointer2_l,-63.780147,-14.295766,20.157254
1,22,f_pointer3_l,-62.788465,-17.557354,20.257432
1,23,scapular_l,-36.966060,48.088959,8.272680
1,24,chest_l,-20.025640,29.113215,22.985760
1,25,zero_joint_hand_r,-7.569479,27.075758,5.654367
1,26,clavicle_r,-17.182554,49.937912,8.804203
1,27,arm_r,-0.961588,58.736520,8.056221
1,28,forearm_r,25.467849,51.624954,-1.388032
1,29,forearm_twist_r,34.697222,44.142392,-2.369741
1,30,hand_r,44.551135,36.253231,-3.483472
1,31,weapon_r,51.200424,31.264452,-7.528066
1,32,f_big1_r,48.400881,31.010869,-2.668470
1,33,f_big2_r,49.407682,27.328017,-4.375083
1,34,f_big3_r,50.810698,26.841590,-8.596553
1,35,f_main1_r,54.471671,35.415158,-8.785587
1,36,f_main2_r,52.258538,31.703733,-10.664114
1,37,f_main3_r,48.593268,31.076967,-8.193487
1,38,f_pointer1_r,55.363023,32.006820,-5.470769
1,39,f_pointer2_r,57.226032,30.624568,-9.305274
1,40,f_pointer3_r,55.328999,27.715791,-8.990886
1,41,scapular_r,-7.688403,62.734049,9.691412
1,42,chest_r,-4.380442,37.121187,24.325208
1,43,zero_joint_pelvis_l,-0.054669,-0.000050,0.046877
1,44,thigh_l,-9.055243,-1.617090,-0.919338
1,45,calf_l,-42.554917,-34.076010,14.289845
1,46,foot_l,-38.870469,-71.756236,-1.769140
1,47,toe_l,-52.566687,-81.456399,10.292625
1,48,back_l,-6.299058,-3.504776,-11.625323
1,51,zero_joint_pelvis_r,-0.054611,-0.000328,0.046846
1,52,thigh_r,8.322123,1.242787,3.623660
1,53,calf_r,35.721375,-35.257668,21.627179
1,54,foot_r,44.038182,-73.196454,8.108864
1,55,toe_r,53.817708,-81.580632,24.271541
1,56,back_r,11.735251,-0.567182,-6.895315
1,57,biceps_twist_l,-40.219688,27.542242,2.764540
1,58,biceps_twist_r,11.833470,55.315561,3.638906
1,59,thigh_twist_l,-21.238269,-14.080219,4.318019
1,60,thigh_twist_r,18.455628,-12.757134,8.572720
2,0,pelvis,-0.085938,0.062500,0.101562
2,1,stomach,-2.626975,10.210784,3.575989
2,2,chest,-7.545751,27.139708,5.774812
2,3,neck,-20.869088,52.965872,8.138051
2,4,head,-25.553862,63.036018,16.164300
2,5,hair,-23.977065,78.357445,16.940068
2,7,zero_joint_hand_l,-7.545752,27.139708,5.774802
2,8,clavicle_l,-20.805177,48.116618,8.674533
2,9,arm_l,-37.564891,41.364030,4.852328
2,10,forearm_l,-43.419971,13.277859,0.957655
2,11,forearm_twist_l,-49.037246,3.741438,5.473175
2,12,hand_l,-54.826659,-6.391283,10.372201
2,13,weapon_l,51.312434,31.176505,-7.636962
2,14,f_big1_l,-54.670055,-8.435580,16.085551
2,15,f_big2_l,-54.431228,-10.261933,19.541643
2,16,f_big3_l,-56.218135,-13.016941,22.283977
2,17,f_main1_l,-63.691476,-11.989042,14.912211
2,18,f_main2_l,-64.726630,-14.356000,16.006562
2,19,f_main3_l,-62.086568,-18.221369,15.268818
2,20,f_pointer1_l,-61.417215,-10.505915,19.456169
2,21,f_pointer2_l,-63.838070,-13.934203,20.921897
2,22,f_pointer3_l,-62.839775,-17.194258,21.004830
2,23,scapular_l,-36.875680,48.310095,8.583808
