frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.313108,10.876976,1.811583
0,2,chest,1.360028,28.594086,2.077471
0,3,neck,-5.336167,56.817531,5.024513
0,4,head,-8.779162,69.827991,7.603145
0,5,hair,-6.391784,85.049580,8.264867
0,7,zero_joint_hand_l,1.360029,28.594095,2.077469
0,8,clavicle_l,-6.585458,52.181692,4.074308
0,9,arm_l,-19.769512,47.068176,-7.805397
0,10,forearm_l,-27.981597,21.256789,-18.033663
0,11,forearm_twist_l,-36.841204,17.122185,-11.170498
0,12,hand_l,-46.250140,12.748776,-3.909379
0,13,weapon_l,-54.187613,11.192549,0.649409
0,14,f_big1_l,-50.026396,16.154355,-0.621926
0,15,f_big2_l,-52.220715,16.716272,2.565757
0,16,f_big3_l,-54.169032,13.639320,4.786480
0,17,f_main1_l,-57.016234,9.419877,-2.005801
0,18,f_main2_l,-54.816378,9.391109,2.450320
0,19,f_main3_l,-50.542123,11.296548,1.568117
0,20,f_pointer1_l,-57.689871,14.600100,-1.066650
0,21,f_pointer2_l,-57.523214,13.201370,3.153878
0,22,f_pointer3_l,-54.232325,14.173876,3.208362
0,23,scapular_l,-18.417835,54.823162,-6.316031
0,24,chest_l,-17.834745,32.308110,10.877904
0,25,zero_joint_hand_r,1.360091,28.593964,2.077439
0,26,clavicle_r,-3.353313,52.671491,6.719789
0,27,arm_r,12.643953,52.104317,15.931765
0,28,forearm_r,30.087821,30.969195,25.275297
0,29,forearm_twist_r,19.446593,26.801485,28.751641
0,30,hand_r,8.181966,22.388992,32.442315
0,31,weapon_r,-0.628242,19.133274,31.717680
0,32,f_big1_r,2.654950,24.815772,30.726107
0,33,f_big2_r,-0.922363,24.396878,28.690038
0,34,f_big3_r,-2.966263,20.255141,27.899229
0,35,f_main1_r,-1.516433,17.385924,35.432961
0,36,f_main2_r,-1.405800,17.048626,30.715821
0,37,f_main3_r,2.068040,19.495203,29.407075
0,38,f_pointer1_r,-3.723539,22.124914,34.556618
0,39,f_pointer2_r,-5.014661,20.109049,30.654152
0,40,f_pointer3_r,-2.284909,21.623216,29.119122
0,41,scapular_r,9.459147,59.119437,13.734525
0,42,chest_r,-4.269098,34.364700,21.944290
0,43,zero_joint_pelvis_l,0.000014,-0.000001,0.000007
0,44,thigh_l,-8.341818,1.173439,-3.721998
0,45,calf_l,-42.301741,-31.333586,10.318866
0,46,foot_l,-46.935002,-68.754162,-6.097559
0,47,toe_l,-59.562359,-78.610521,6.962600
0,48,back_l,-3.531451,-3.269488,-12.820093
0,51,zero_joint_pelvis_r,-0.000038,-0.000321,0.000035
0,52,thigh_r,6.920266,-0.889510,6.011515
0,53,calf_r,25.783688,-38.514636,31.223617
0,54,foot_r,27.443886,-68.621489,3.257802
0,55,toe_r,34.715338,-78.611140,19.825801
0,56,back_r,12.280696,-5.404056,-2.738389
0,57,biceps_twist_l,-23.715624,34.663870,-12.720938
0,58,biceps_twist_r,21.021971,41.953361,20.420720
0,59,thigh_twist_l,-20.771114,-11.286792,1.029367
0,60,thigh_twist_r,13.934745,-15.194962,14.837740
1,0,pelvis,-0.332031,0.250000,-0.027344
1,1,stomach,-0.034980,11.123431,1.808067
1,2,chest,0.948752,28.843551,2.112004
1,3,neck,-5.750215,57.057689,5.140726
1,4,head,-9.234967,70.049557,7.756736
1,5,hair,-6.896727,85.278689,8.420339
1,7,zero_joint_hand_l,0.948736,28.843573,2.112016
1,8,clavicle_l,-6.997685,52.425586,4.170157
1,9,arm_l,-20.152086,47.353805,-7.760203
1,10,forearm_l,-28.283866,21.532873,-18.028460
1,11,forearm_twist_l,-37.069472,17.319556,-11.118198
1,12,hand_l,-46.400091,12.862654,-3.806961
1,13,weapon_l,-54.274922,11.176030,0.814943
1,14,f_big1_l,-50.187546,16.202968,-0.459439
1,15,f_big2_l,-52.368645,16.722222,2.746833
1,16,f_big3_l,-54.263760,13.621574,4.987903
1,17,f_main1_l,-57.106861,9.392338,-1.825027
1,18,f_main2_l,-54.892301,9.357312,2.623725
1,19,f_main3_l,-50.630266,11.314758,1.798860
1,20,f_pointer1_l,-57.835105,14.557183,-0.843877
1,21,f_pointer2_l,-57.640567,13.128383,3.369489
1,22,f_pointer3_l,-54.358316,14.127449,3.454425
1,23,scapular_l,-18.787930,55.104216,-6.258492
1,24,chest_l,-18.271242,32.530141,10.868876
1,25,zero_joint_hand_r,0.948798,28.843438,2.111987
1,26,clavicle_r,-3.772704,52.905370,6.826191
1,27,arm_r,12.194620,52.311122,16.088274
1,28,forearm_r,29.647042,31.135318,25.323084
1,29,forearm_twist_r,19.044065,26.914905,28.878675
1,30,hand_r,7.834254,22.452343,32.648436
1,31,weapon_r,-1.030635,19.333002,31.930272
1,32,f_big1_r,2.322358,24.995679,31.062532
1,33,f_big2_r,-1.282539,24.686119,29.063857
1,34,f_big3_r,-3.405447,20.605327,28.171196
1,35,f_main1_r,-1.895268,17.497032,35.616976
1,36,f_main2_r,-1.869934,17.272424,30.891901
1,37,f_main3_r,1.607528,19.696966,29.552130
1,38,f_pointer1_r,-4.049611,22.286002,34.893915
1,39,f_pointer2_r,-5.435103,20.381212,30.968086
1,40,f_pointer3_r,-2.718705,21.880906,29.399944
1,41,scapular_r,9.001575,59.333932,13.927814
1,42,chest_r,-4.738003,34.543923,21.982711
1,43,zero_joint_pelvis_l,-0.332022,0.249992,-0.027338
1,44,thigh_l,-8.674806,1.419526,-3.748438
1,45,calf_l,-42.407603,-31.317754,10.304954
1,46,foot_l,-46.961967,-68.735667,-6.139594
1,47,toe_l,-59.838877,-78.556994,6.701452
1,48,back_l,-3.856240,-2.996560,-12.855258
1,51,zero_joint_pelvis_r,-0.332063,0.249678,-0.027329
1,52,thigh_r,6.588334,-0.642661,5.983578
1,53,calf_r,25.546344,-38.331125,31.029584
1,54,foot_r,27.412506,-68.592372,3.243976
1,55,toe_r,34.695381,-78.562596,19.818657
1,56,back_r,11.956997,-5.130333,-2.775099
1,57,biceps_twist_l,-24.057416,34.951884,-12.692196
1,58,biceps_twist_r,20.576751,42.140621,20.525004
1,59,thigh_twist_l,-21.019049,-11.123847,1.005893
1,60,thigh_twist_r,13.638141,-14.969472,14.746787
2,0,pelvis,-1.187500,0.750000,-0.093750
2,1,stomach,-0.936078,11.615575,1.794252
2,2,chest,-0.107220,29.341888,2.186128
2,3,neck,-6.807820,57.533180,5.417213
2,4,head,-10.394507,70.477333,8.130186
2,5,hair,-8.181625,85.724952,8.799131
2,7,zero_joint_hand_l,-0.107252,29.341925,2.186149
2,8,clavicle_l,-8.051546,52.910874,4.396504
2,9,arm_l,-21.126924,47.939257,-7.662195
2,10,forearm_l,-29.054989,22.091867,-18.022780
2,11,forearm_twist_l,-37.649487,17.691070,-10.990126
2,12,hand_l,-46.777892,13.035266,-3.548733
2,13,weapon_l,-54.485953,11.043518,1.230520
2,14,f_big1_l,-50.587803,16.213602,-0.064817
2,15,f_big2_l,-52.733729,16.636509,3.186020
2,16,f_big3_l,-54.490882,13.494344,5.487935
2,17,f_main1_l,-57.315465,9.215277,-1.363032
2,18,f_main2_l,-55.070383,9.174541,3.070260
2,19,f_main3_l,-50.845265,11.250263,2.407621
2,20,f_pointer1_l,-58.187587,14.336511,-0.291852
2,21,f_pointer2_l,-57.928637,12.846258,3.904966
2,22,f_pointer3_l,-54.669226,13.906921,4.076236
2,23,scapular_l,-19.736756,55.678378,-6.126730
2,24,chest_l,-19.387451,32.965425,10.836298
2,25,zero_joint_hand_r,-0.107192,29.341785,2.186122
2,26,clavicle_r,-4.845528,53.364514,7.079947
