frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-1.476247,10.834127,1.459747
0,2,chest,-0.543950,28.500571,0.013950
0,3,neck,1.597188,57.556995,-1.093588
0,4,head,0.454534,70.080495,4.349933
0,5,hair,3.850460,85.008554,6.208693
0,7,zero_joint_hand_l,-0.543916,28.500591,0.013943
0,8,clavicle_l,-0.937178,53.410279,-1.672968
0,9,arm_l,-13.069441,46.834742,-13.947545
0,10,forearm_l,-15.953654,21.006425,-26.709318
0,11,forearm_twist_l,-18.213562,9.311583,-27.611592
0,12,hand_l,-20.629051,-3.066782,-28.573158
0,13,weapon_l,-18.705588,-12.143410,-28.922794
0,14,f_big1_l,-20.645360,-7.722028,-24.478742
0,15,f_big2_l,-19.048913,-10.939537,-22.547396
0,16,f_big3_l,-17.599866,-15.074941,-21.304868
0,17,f_main1_l,-21.066199,-13.897609,-32.063364
0,18,f_main2_l,-16.988915,-14.329804,-29.506513
0,19,f_main3_l,-14.747487,-11.697083,-26.505844
0,20,f_pointer1_l,-22.840712,-14.832768,-27.146836
0,21,f_pointer2_l,-19.406569,-17.597569,-26.018944
0,22,f_pointer3_l,-16.536901,-16.942984,-24.165138
0,23,scapular_l,-11.604727,54.696774,-13.483555
0,24,chest_l,-18.343522,38.956648,5.804090
0,25,zero_joint_hand_r,-0.543930,28.500440,0.013947
0,26,clavicle_r,2.040538,53.303166,1.294660
0,27,arm_r,15.404284,47.500166,12.645000
0,28,forearm_r,24.049672,19.872185,12.159816
0,29,forearm_twist_r,25.184268,8.157837,14.248825
0,30,hand_r,26.393943,-4.228721,16.461360
0,31,weapon_r,24.483279,-13.088419,13.892236
0,32,f_big1_r,22.034617,-8.386013,17.926070
0,33,f_big2_r,20.852320,-12.288961,17.909213
0,34,f_big3_r,20.524626,-16.467407,16.126411
0,35,f_main1_r,28.150929,-15.472979,14.607271
0,36,f_main2_r,26.817056,-18.316915,10.935578
0,37,f_main3_r,24.739940,-20.319249,7.385969
0,38,f_pointer1_r,24.123463,-15.822542,18.051845
0,39,f_pointer2_r,23.792838,-19.555632,15.463426
0,40,f_pointer3_r,22.970590,-21.796765,12.933347
0,41,scapular_r,14.335539,55.321933,11.279608
0,42,chest_r,-5.842094,38.502525,18.222974
0,43,zero_joint_pelvis_l,0.000009,-0.000051,0.000043
0,44,thigh_l,-7.770691,-0.078344,-4.942277
0,45,calf_l,-14.718279,-48.577285,-7.533165
0,46,foot_l,-18.309880,-89.270718,-12.267141
0,47,toe_l,-33.659104,-98.663356,-2.101248
