frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.293920,10.767496,2.379732
0,2,chest,-1.073779,28.348320,4.538774
0,3,neck,-4.344222,57.319388,4.277458
0,4,head,-5.654233,70.959011,4.135369
0,5,hair,-14.361863,81.879759,-2.402878
0,7,zero_joint_hand_l,-1.071621,28.350580,4.540238
0,8,clavicle_l,-5.655934,52.863246,5.814044
0,9,arm_l,-23.843239,49.665680,6.117741
0,10,forearm_l,-41.748547,27.936993,-0.631153
0,11,forearm_twist_l,-37.191890,21.825193,8.555071
0,12,hand_l,-32.359881,15.346103,18.314658
0,13,weapon_l,-27.807226,9.957452,24.373225
0,14,f_big1_l,-29.447415,16.302522,23.533612
0,15,f_big2_l,-27.921803,15.523461,27.048948
0,16,f_big3_l,-25.844512,14.059056,30.464915
0,17,f_main1_l,-30.342643,6.758366,25.567845
0,18,f_main2_l,-25.429931,6.391237,24.944280
0,19,f_main3_l,-20.725057,7.071674,25.015188
0,20,f_pointer1_l,-29.875591,10.752758,29.026949
0,21,f_pointer2_l,-29.165926,7.395614,31.853307
0,22,f_pointer3_l,-26.590652,5.569201,33.193992
0,23,scapular_l,-21.017238,57.143171,6.588583
0,24,chest_l,-6.610633,36.846509,23.426260
0,25,zero_joint_hand_r,-1.071836,28.348381,4.538298
0,26,clavicle_r,-1.589526,53.310601,4.848235
0,27,arm_r,16.505046,57.005868,5.010138
0,28,forearm_r,42.900648,50.441576,14.933126
0,29,forearm_twist_r,51.625297,53.143748,22.607515
0,30,hand_r,60.891720,56.020632,30.746035
0,31,weapon_r,65.639212,59.726602,37.959193
0,32,f_big1_r,65.070861,60.641891,31.433789
0,33,f_big2_r,68.645887,62.183442,32.810849
0,34,f_big3_r,71.863573,63.333530,36.017232
0,35,f_main1_r,67.547639,56.501239,39.883630
0,36,f_main2_r,69.327126,58.209567,43.915441
0,37,f_main3_r,71.564291,59.429016,46.880598
0,38,f_pointer1_r,70.685974,59.545923,36.889616
0,39,f_pointer2_r,73.332883,60.060679,40.589460
0,40,f_pointer3_r,75.496248,60.518391,43.269715
0,41,scapular_r,11.144787,62.919297,5.670461
