frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.698084,10.751245,2.368944
0,2,chest,0.849170,28.456139,3.624579
0,3,neck,-5.696594,56.364717,8.949164
0,4,head,-8.522436,67.626411,16.226835
0,5,hair,-10.126809,82.501953,19.965614
0,7,zero_joint_hand_l,0.849158,28.456151,3.624589
0,8,clavicle_l,-6.870333,51.611726,8.890891
0,9,arm_l,-23.643043,43.976578,7.676205
0,10,forearm_l,-9.599789,29.366641,28.355184
0,11,forearm_twist_l,-5.502102,39.604910,32.905383
0,12,hand_l,-1.166951,50.496628,37.737734
0,13,weapon_l,-5.734594,57.069716,42.937793
0,14,f_big1_l,-6.731237,52.168621,39.444201
0,15,f_big2_l,-9.463869,54.920148,39.962961
0,16,f_big3_l,-8.693618,59.008125,40.924125
0,17,f_main1_l,-2.740027,57.361007,46.748744
0,18,f_main2_l,-4.285470,59.971384,42.812409
0,19,f_main3_l,-4.069267,56.808381,39.253727
0,20,f_pointer1_l,-7.601942,55.237406,46.597351
0,21,f_pointer2_l,-8.547010,59.140204,44.672056
0,22,f_pointer3_l,-8.351066,57.542675,41.640852
0,23,scapular_l,-22.833307,51.912129,8.381919
0,24,chest_l,-11.350080,31.576321,20.961842
0,25,zero_joint_hand_r,0.849222,28.455983,3.624548
0,26,clavicle_r,-2.794101,52.456218,9.472590
0,27,arm_r,13.940471,58.395581,14.549281
0,28,forearm_r,38.768396,63.559756,28.520284
0,29,forearm_twist_r,27.393836,63.661940,32.115635
0,30,hand_r,15.326620,63.782824,35.955734
0,31,weapon_r,-5.730334,57.061389,42.943858
0,32,f_big1_r,10.434658,60.944454,38.668263
0,33,f_big2_r,8.871328,58.902574,41.904425
0,34,f_big3_r,10.480545,59.386359,46.278579
0,35,f_main1_r,11.176759,67.532503,45.800836
0,36,f_main2_r,12.858921,63.221184,46.780776
0,37,f_main3_r,13.974146,61.439295,42.867655
0,38,f_pointer1_r,6.753739,64.960159,44.416182
0,39,f_pointer2_r,8.363338,61.870912,47.380966
0,40,f_pointer3_r,9.662001,60.130064,44.663708
0,41,scapular_r,7.529717,63.133096,15.358515
0,42,chest_r,5.745001,35.117867,23.392903
0,43,zero_joint_pelvis_l,-0.000002,-0.000029,-0.000010
0,44,thigh_l,-9.043618,0.538805,1.655704
0,45,calf_l,-45.239492,-32.255703,6.293362
0,46,foot_l,-72.859821,-60.211569,-5.824913
0,47,toe_l,-80.460770,-69.527336,10.986030
0,48,back_l,-9.917448,-2.951607,-8.961081
0,51,zero_joint_pelvis_r,-0.000011,-0.000326,-0.000004
0,52,thigh_r,9.135104,-0.509420,1.053545
0,53,calf_r,35.404052,-29.068708,31.077507
0,54,foot_r,31.864985,-59.628482,3.785734
0,55,toe_r,39.156431,-69.631546,20.336844
0,56,back_r,8.907459,-4.036470,-9.585528
0,57,biceps_twist_l,-16.899296,36.955126,17.606205
0,58,biceps_twist_r,25.865636,60.878511,21.258178
0,59,thigh_twist_l,-22.493010,-11.695207,2.748662
0,60,thigh_twist_r,18.876045,-11.566585,11.759000
1,0,pelvis,0.062500,-0.062500,0.062500
1,1,stomach,0.759421,10.691481,2.419334
1,2,chest,0.907215,28.397812,3.654945
1,3,neck,-5.605260,56.324184,8.926790
1,4,head,-8.415319,67.601207,16.186815
1,5,hair,-9.998392,82.484830,19.902442
1,7,zero_joint_hand_l,0.907203,28.397824,3.654955
1,8,clavicle_l,-6.784716,51.572513,8.877342
1,9,arm_l,-23.575113,43.974344,7.675200
1,10,forearm_l,-9.554882,29.342428,28.354261
1,11,forearm_twist_l,-5.461766,39.582844,32.903742
1,12,hand_l,-1.131447,50.476820,37.735337
1,13,weapon_l,-5.675430,57.066051,42.935696
1,14,f_big1_l,-6.689244,52.167835,39.440209
1,15,f_big2_l,-9.411969,54.929139,39.959104
1,16,f_big3_l,-8.627032,59.014280,40.920444
1,17,f_main1_l,-2.679825,57.346414,46.746650
1,18,f_main2_l,-4.217105,59.964614,42.807383
1,19,f_main3_l,-4.012278,56.801009,39.248563
1,20,f_pointer1_l,-7.551195,55.239720,46.594999
1,21,f_pointer2_l,-8.481411,59.142520,44.671507
1,22,f_pointer3_l,-8.291235,57.544452,41.640221
1,23,scapular_l,-22.746894,51.909272,8.366155
1,24,chest_l,-11.289307,31.565190,20.985568
1,25,zero_joint_hand_r,0.907266,28.397656,3.654914
1,26,clavicle_r,-2.707504,52.413186,9.457709
1,27,arm_r,14.017543,58.387647,14.524594
1,28,forearm_r,38.852847,63.433653,28.525627
1,29,forearm_twist_r,27.477664,63.558095,32.118304
1,30,hand_r,15.409815,63.702420,35.955604
1,31,weapon_r,-5.672028,57.057347,42.941940
1,32,f_big1_r,10.507192,60.881878,38.667482
1,33,f_big2_r,8.934481,58.843550,41.906325
1,34,f_big3_r,10.545114,59.321025,46.280652
1,35,f_main1_r,11.273294,67.465849,45.801221
1,36,f_main2_r,12.939466,63.148277,46.780945
1,37,f_main3_r,14.048454,61.362607,42.867775
