frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-4.622625,8.320412,5.575891
0,2,chest,-10.383622,23.641075,12.442544
0,3,neck,-19.115906,49.065819,23.730439
0,4,head,-24.806779,59.962713,29.766434
0,5,hair,-23.364415,75.294212,30.602478
0,7,zero_joint_hand_l,-10.383629,23.641073,12.442545
0,8,clavicle_l,-19.771793,44.290628,22.880116
0,9,arm_l,-37.705426,40.950361,19.995229
0,10,forearm_l,-66.040396,36.451534,23.890545
0,11,forearm_twist_l,-77.531367,35.874794,27.073140
0,12,hand_l,-89.716700,35.279233,30.441188
0,13,weapon_l,5.983129,36.232013,40.473965
0,14,f_big1_l,-93.512004,34.853352,35.144300
0,15,f_big2_l,-95.451948,36.961674,37.808678
0,16,f_big3_l,-97.344973,40.077356,40.030687
0,17,f_main1_l,-96.430329,44.056700,33.387132
0,18,f_main2_l,-99.987832,47.164541,34.943289
0,19,f_main3_l,-101.777105,51.177797,36.789300
0,20,f_pointer1_l,-96.523029,41.489882,38.035234
0,21,f_pointer2_l,-98.804015,45.250131,38.734862
0,22,f_pointer3_l,-100.178561,48.306440,39.475331
0,23,scapular_l,-35.321813,47.980377,23.044680
0,24,chest_l,-20.513575,21.998762,31.267207
0,25,zero_joint_hand_r,-10.383569,23.640948,12.442476
0,26,clavicle_r,-15.771156,45.531810,23.177968
0,27,arm_r,0.491603,54.174188,24.566019
0,28,forearm_r,26.738434,64.491632,31.118703
0,29,forearm_twist_r,19.671902,55.925297,35.498881
0,30,hand_r,12.175851,46.851146,40.151808
0,31,weapon_r,5.973048,36.234804,40.440273
0,32,f_big1_r,7.464438,43.069071,38.453335
0,33,f_big2_r,5.130151,39.920852,37.127415
0,34,f_big3_r,6.416467,35.440551,37.642965
0,35,f_main1_r,9.910045,37.429348,46.008961
0,36,f_main2_r,11.179591,35.416925,41.920462
0,37,f_main3_r,10.786665,38.221936,38.498622
0,38,f_pointer1_r,5.091524,37.749330,43.818668
0,39,f_pointer2_r,5.475211,33.230582,43.191269
0,40,f_pointer3_r,6.585862,32.400860,40.000878
0,41,scapular_r,-6.270074,57.860466,26.777112
0,42,chest_r,-3.721509,27.212825,32.505865
0,43,zero_joint_pelvis_l,0.000014,-0.000008,-0.000005
0,44,thigh_l,-7.991686,-1.043732,-4.456456
0,45,calf_l,-50.847408,-2.933061,19.354180
0,46,foot_l,-57.161885,-43.255441,24.403801
0,47,toe_l,-67.906222,-58.385374,33.512484
0,48,back_l,-1.739689,0.917770,-13.551642
0,51,zero_joint_pelvis_r,0.000115,-0.000278,-0.000109
0,52,thigh_r,6.606265,-0.219763,6.413142
0,53,calf_r,0.784060,-30.366068,44.681028
0,54,foot_r,25.174724,-44.012924,14.512759
0,55,toe_r,23.907236,-58.393168,29.303559
0,56,back_r,13.383710,1.773010,-2.291528
0,57,biceps_twist_l,-51.322404,38.787701,21.866581
0,58,biceps_twist_r,13.104575,59.132988,27.716316
0,59,thigh_twist_l,-23.901870,-2.375842,4.341974
0,60,thigh_twist_r,4.858849,-11.817943,20.368413
1,0,pelvis,0.000000,0.000000,0.000000
1,1,stomach,-4.625816,8.313444,5.583633
1,2,chest,-10.390311,23.633402,12.448924
1,3,neck,-19.135752,49.051204,23.742265
1,4,head,-24.798258,59.971402,29.762804
1,5,hair,-23.371861,75.305109,30.585633
1,7,zero_joint_hand_l,-10.390318,23.633399,12.448924
1,8,clavicle_l,-19.787727,44.275200,22.893514
1,9,arm_l,-37.719535,40.925169,20.008599
1,10,forearm_l,-66.054689,36.443397,23.922194
1,11,forearm_twist_l,-77.547932,35.857256,27.094846
1,12,hand_l,-89.735679,35.251721,30.452368
1,13,weapon_l,5.927817,36.197042,40.468954
1,14,f_big1_l,-93.546491,34.810935,35.141545
1,15,f_big2_l,-95.499762,36.911210,37.802540
1,16,f_big3_l,-97.406521,40.019648,40.022952
1,17,f_main1_l,-96.476462,44.011469,33.389029
1,18,f_main2_l,-100.045312,47.109972,34.937807
1,19,f_main3_l,-101.848746,51.116787,36.784028
1,20,f_pointer1_l,-96.580372,41.436975,38.032647
1,21,f_pointer2_l,-98.871039,45.191689,38.730367
1,22,f_pointer3_l,-100.254054,48.244143,39.470967
1,23,scapular_l,-35.339645,47.957004,23.056725
1,24,chest_l,-20.497249,21.984065,31.285340
1,25,zero_joint_hand_r,-10.390258,23.633275,12.448856
1,26,clavicle_r,-15.788025,45.520516,23.186616
1,27,arm_r,0.466724,54.180310,24.559875
1,28,forearm_r,26.719876,64.464290,31.139784
1,29,forearm_twist_r,19.643207,55.902497,35.512469
1,30,hand_r,12.136406,46.833166,40.157455
1,31,weapon_r,5.939551,36.213349,40.445902
1,32,f_big1_r,7.426451,43.048864,38.459893
1,33,f_big2_r,5.093407,39.899647,37.134160
1,34,f_big3_r,6.382377,35.419943,37.648270
1,35,f_main1_r,9.877933,37.408859,46.013404
1,36,f_main2_r,11.147081,35.398001,41.924011
1,37,f_main3_r,10.751348,38.203533,38.502921
1,38,f_pointer1_r,5.058433,37.726661,43.824947
1,39,f_pointer2_r,5.444377,33.208260,43.196432
1,40,f_pointer3_r,6.554294,32.379154,40.005625
1,41,scapular_r,-6.298675,57.865099,26.762046
1,42,chest_r,-3.709123,27.215482,32.504058
1,43,zero_joint_pelvis_l,0.000014,-0.000008,-0.000005
1,44,thigh_l,-7.992826,-1.046216,-4.453812
1,45,calf_l,-50.835208,-2.931098,19.381171
1,46,foot_l,-57.129581,-43.259405,24.408507
1,47,toe_l,-67.876834,-58.382977,33.524312
1,48,back_l,-1.746220,0.925929,-13.550247
1,51,zero_joint_pelvis_r,0.000115,-0.000278,-0.000109
1,52,thigh_r,6.609210,-0.219739,6.410108
1,53,calf_r,0.809206,-30.360011,44.686117
1,54,foot_r,25.200274,-44.006035,14.517798
1,55,toe_r,23.932295,-58.387091,29.307767
1,56,back_r,13.381515,1.783576,-2.296142
1,57,biceps_twist_l,-51.336604,38.770718,21.888734
1,58,biceps_twist_r,13.082734,59.123032,27.723248
1,59,thigh_twist_l,-23.898254,-2.376664,4.353462
1,60,thigh_twist_r,4.870170,-11.815541,20.368401
2,0,pelvis,-0.062500,0.000000,-0.015625
2,1,stomach,-4.690040,8.306348,5.577132
2,2,chest,-10.458862,23.626198,12.439031
2,3,neck,-19.211556,49.041126,23.733218
2,4,head,-24.847518,59.983531,29.738324
2,5,hair,-23.432008,75.318762,30.551504
2,7,zero_joint_hand_l,-10.458869,23.626195,12.439031
2,8,clavicle_l,-19.860947,44.264399,22.886525
2,9,arm_l,-37.791023,40.907454,19.998885
2,10,forearm_l,-66.127873,36.445712,23.923067
2,11,forearm_twist_l,-77.624094,35.853227,27.083735
2,12,hand_l,-89.814996,35.240989,30.428562
2,13,weapon_l,5.850851,36.194198,40.470238
2,14,f_big1_l,-93.640780,34.787381,35.104305
2,15,f_big2_l,-95.606541,36.880725,37.761561
2,16,f_big3_l,-97.526016,39.982910,39.979761
2,17,f_main1_l,-96.580449,43.985321,33.354415
2,18,f_main2_l,-100.159773,47.075635,34.895369
2,19,f_main3_l,-101.976190,51.076879,36.740944
2,20,f_pointer1_l,-96.695586,41.404342,37.994167
2,21,f_pointer2_l,-98.994947,45.154223,38.689277
2,22,f_pointer3_l,-100.385617,48.203323,39.429359
2,23,scapular_l,-35.414092,47.941234,23.044758
2,24,chest_l,-20.546590,21.975247,31.285600
2,25,zero_joint_hand_r,-10.458809,23.626071,12.438963
2,26,clavicle_r,-15.861852,45.512644,23.175430
2,27,arm_r,0.385859,54.186932,24.540468
2,28,forearm_r,26.646678,64.434761,31.146138
2,29,forearm_twist_r,19.559381,55.877949,35.511357
2,30,hand_r,12.041298,46.813917,40.148431
