frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,-4.624598,8.314292,5.583379
0,2,chest,-10.388069,23.635935,12.445769
0,3,neck,-19.131691,49.054314,23.739220
0,4,head,-24.785577,59.979992,29.757918
0,5,hair,-23.362815,75.314210,30.577524
0,7,zero_joint_hand_l,-10.386725,23.637694,12.448615
0,8,clavicle_l,-19.786316,44.279272,22.892370
0,9,arm_l,-37.714317,40.918480,19.996328
0,10,forearm_l,-66.057451,36.490787,23.913698
0,11,forearm_twist_l,-77.546748,35.880574,27.096091
0,12,hand_l,-89.730313,35.249484,30.464067
0,13,weapon_l,5.937342,36.182886,40.467270
0,14,f_big1_l,-93.546735,34.837426,35.150926
0,15,f_big2_l,-95.491150,36.951666,37.804462
0,16,f_big3_l,-97.384695,40.073939,40.016755
0,17,f_main1_l,-96.431620,44.047355,33.376545
0,18,f_main2_l,-99.984183,47.163824,34.914141
0,19,f_main3_l,-101.770009,51.183346,36.749827
0,20,f_pointer1_l,-96.551733,41.483993,38.024887
0,21,f_pointer2_l,-98.822621,45.248050,38.711917
0,22,f_pointer3_l,-100.190572,48.307124,39.444085
0,23,scapular_l,-35.339180,47.950442,23.040453
0,24,chest_l,-20.494697,21.988674,31.284500
0,25,zero_joint_hand_r,-10.385896,23.636468,12.445857
0,26,clavicle_r,-15.785734,45.523073,23.183014
0,27,arm_r,0.488231,54.152285,24.520726
0,28,forearm_r,26.732252,64.626926,30.830773
0,29,forearm_twist_r,19.682127,56.119192,35.349414
0,30,hand_r,12.205396,47.106540,40.150594
0,31,weapon_r,5.948131,36.215586,40.425897
0,32,f_big1_r,7.517326,43.322593,38.407360
0,33,f_big2_r,5.198994,40.178217,37.044839
0,34,f_big3_r,6.505706,35.698593,37.512783
0,35,f_main1_r,9.981788,37.616334,45.897598
0,36,f_main2_r,11.263174,35.656560,41.791771
0,37,f_main3_r,10.859941,38.497139,38.400609
0,38,f_pointer1_r,5.160865,37.931811,43.710868
0,39,f_pointer2_r,5.566666,33.422094,43.034330
0,40,f_pointer3_r,6.683428,32.632130,39.838114
0,41,scapular_r,-6.271595,57.844443,26.741002
0,42,chest_r,-3.705332,27.217256,32.501503
0,43,zero_joint_pelvis_l,0.001618,0.000083,0.001187
0,44,thigh_l,-7.992030,-1.046857,-4.451253
0,45,calf_l,-50.829526,-2.887626,19.395958
0,46,foot_l,-57.120055,-43.218896,24.404303
0,47,toe_l,-67.859265,-58.343088,33.528554
0,48,back_l,-1.746091,0.924987,-13.548935
0,51,zero_joint_pelvis_r,0.001718,-0.000190,0.001073
0,52,thigh_r,6.611323,-0.219275,6.410800
0,53,calf_r,0.820541,-30.367563,44.681892
0,54,foot_r,25.194678,-43.992559,14.490394
0,55,toe_r,23.921589,-58.358014,29.295078
0,56,back_r,13.383002,1.782354,-2.296646
0,57,biceps_twist_l,-51.335225,38.790136,21.878395
0,58,biceps_twist_r,13.092867,59.183562,27.552754
0,59,thigh_twist_l,-23.893456,-2.360979,4.365661
0,60,thigh_twist_r,4.881266,-11.814881,20.370372
1,0,pelvis,-1.187500,0.937500,1.406250
1,1,stomach,-5.701440,9.394333,6.864712
