frame,bone_id,bone_name,x,y,z
0,0,pelvis,0.000000,0.000000,0.000000
0,1,stomach,0.311002,10.874450,1.827045
0,2,chest,1.373850,28.606512,2.075573
0,3,neck,-5.278858,56.841829,5.007342
0,4,head,-8.770155,69.824399,7.619867
0,5,hair,-6.352348,85.041067,8.284304
0,7,zero_joint_hand_l,1.373850,28.606512,2.075573
0,8,clavicle_l,-6.495004,52.235730,3.877341
0,9,arm_l,-18.479638,47.222630,-9.250192
0,10,forearm_l,-21.317166,22.882093,-24.669989
0,11,forearm_twist_l,-31.697827,22.655053,-18.779805
0,12,hand_l,-42.708632,22.421957,-12.543737
0,13,weapon_l,-49.841840,26.314991,-8.050173
0,14,f_big1_l,-47.030188,26.446651,-14.285643
0,15,f_big2_l,-49.963292,29.393618,-13.938609
0,16,f_big3_l,-51.021820,31.548695,-10.061751
0,17,f_main1_l,-52.002689,23.232300,-6.049808
0,18,f_main2_l,-50.251368,27.672514,-5.848620
0,19,f_main3_l,-46.725128,28.069548,-8.784862
0,20,f_pointer1_l,-54.255599,25.021374,-10.474194
0,21,f_pointer2_l,-55.480083,28.594141,-7.849390
0,22,f_pointer3_l,-52.611854,29.874485,-9.211767
0,23,scapular_l,-17.498841,54.944683,-7.378961
0,24,chest_l,-18.422088,32.363191,9.402859
0,25,zero_joint_hand_r,1.373897,28.606350,2.075547
0,26,clavicle_r,-3.474608,52.646436,6.771394
0,27,arm_r,11.452390,51.357008,17.570322
0,28,forearm_r,24.228984,26.817870,26.106878
0,29,forearm_twist_r,16.443061,18.382963,29.354832
0,30,hand_r,8.181119,9.430368,32.814587
0,31,weapon_r,-49.835535,26.320708,-8.083701
0,32,f_big1_r,3.696449,9.132402,28.493657
0,33,f_big2_r,1.119971,7.309747,25.995438
0,34,f_big3_r,-0.546211,3.599412,23.998059
0,35,f_main1_r,0.101508,1.577482,34.242852
0,36,f_main2_r,1.490650,-0.374937,30.046675
0,37,f_main3_r,3.945206,2.375187,27.344216
0,38,f_pointer1_r,-2.897912,4.751928,31.156203
0,39,f_pointer2_r,-2.794909,1.075566,28.442745
0,40,f_pointer3_r,-0.830817,1.794530,25.719418
0,41,scapular_r,8.750686,58.512286,15.225375
0,42,chest_r,-5.755686,34.084953,21.539228
0,43,zero_joint_pelvis_l,0.000000,0.000000,0.000000
0,44,thigh_l,-8.349303,1.174071,-3.705322
0,45,calf_l,-42.418350,-31.205337,10.366025
0,46,foot_l,-47.116560,-68.550324,-6.203357
0,47,toe_l,-59.499623,-78.628122,6.921560
0,48,back_l,-3.551731,-3.252653,-12.818783
0,51,zero_joint_pelvis_r,-0.000044,-0.000295,0.000007
0,52,thigh_r,6.931545,-0.892894,5.997788
0,53,calf_r,26.069972,-38.400709,31.177410
0,54,foot_r,27.616236,-68.561569,3.263307
0,55,toe_r,34.755408,-78.617724,19.848592
0,56,back_r,12.278543,-5.394703,-2.766292
